Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20044.68,16.317,101309.229,101360,288.15,288.15,142244.448,142937,323.74,323.81,1.404062092,1.12351206,1.123754989,0.822749055
20044.68,16.301,101309.227,101360,288.15,288.15,143906.86,144390,324.63,324.58,1.420471405,1.126600729,1.126427208,0.834339283
20044.68,16.281,101309.234,101360,288.15,288.15,145520.44,145935,325.48,325.43,1.436398581,1.129550581,1.129377061,0.842580744
20044.68,16.246,101309.227,101360,288.15,288.15,146996.14,147525,326.29,326.315,1.450964975,1.132361617,1.132448378,0.847215368
20044.68,16.195,101309.232,101361,288.15,288.15,148718.88,149140,327.29,327.265,1.467969671,1.135832032,1.135745272,0.853959798
20044.68,16.094,101309.229,101362,288.15,288.15,150267.55,150580,328.285,328.215,1.483256279,1.139285095,1.139042166,0.857501697
20044.68,15.984,101309.225,101363,288.15,288.15,151680.1,152030,329.21,329.18,1.497199293,1.142495228,1.142391116,0.858374278
20044.68,15.858,101309.23,101364,288.15,288.15,153150.26,153470,330.264,330.2,1.511710828,1.146153045,1.145930939,0.85877553
20044.68,15.672,101309.226,101365,288.15,288.15,154329.42,154640,331.09,331.02,1.523350104,1.149019608,1.148776679,0.858942815
20044.68,15.493,101309.222,101367,288.15,288.15,155677.435,155960,332.124,332.09,1.53665611,1.152608017,1.152490023,0.856426323
20044.68,15.256,101309.224,101369,288.15,288.15,156697.73,156895,333.04,333,1.546727177,1.155786917,1.1556481,0.852619581
20044.68,15.026,101309.229,101371,288.15,288.15,157826.21,157950,334.207,334.16,1.557866066,1.159836891,1.159673781,0.845682389
20044.68,14.8665,101309.247,101373,288.15,288.15,157975.32,158190,334.574,334.58,1.559337619,1.161110533,1.161131355,0.839932917
20044.68,14.706,101309.234,101375,288.15,288.15,158254.4,158460,335.19,335.19,1.562092553,1.163248308,1.163248308,0.832549307
20044.68,14.606,101309.236,101376,288.15,288.15,158345.978,158425,335.76,335.56,1.562996468,1.165226445,1.164532362,0.82719306
