Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.094,0.120165,-0.088,0,129724.8711,337.107651,1.28048424,1.169903352
16.094,0.120169,-0.088,0.000066,129960.8125,337.087601,1.282813163,1.169833771
16.094,0.120177,-0.088,0.000168,130693.6445,336.913101,1.290046778,1.169228183
16.094,0.120188,-0.088,0.00033,131832.1797,336.740829,1.301284996,1.168630328
16.094,0.120205,-0.088,0.000583,133200.9766,336.621704,1.314796075,1.168216915
16.094,0.120233,-0.088,0.000981,134648.7656,336.547165,1.329086865,1.167958234
16.094,0.120277,-0.088,0.001604,136149.4844,336.498825,1.343900114,1.167790474
16.094,0.120345,-0.088,0.002583,137736.875,336.499649,1.35956888,1.167793333
16.094,0.120452,-0.088,0.00412,139452.0313,336.514359,1.376498792,1.167844383
16.094,0.120621,-0.088,0.006531,141355.0859,336.330948,1.395283404,1.167207871
16.094,0.120885,-0.088,0.010314,143535.4609,335.718063,1.416805382,1.165080906
16.094,0.1213,-0.088,0.016251,146111.5781,334.562637,1.44223364,1.161071098
16.094,0.12195,-0.088,0.025569,149051.5469,332.813095,1.471253393,1.154999462
16.094,0.122972,-0.088,0.040192,151852.7422,330.630188,1.498903345,1.14742387
16.094,0.124574,-0.088,0.06314,153720.8438,328.532166,1.517342944,1.140142863
16.094,0.127089,-0.088,0.099152,154285.2734,327.073059,1.522914298,1.135079157
16.094,0.131036,-0.088,0.155668,153891.9844,326.397614,1.519032233,1.132735082
16.094,0.134983,-0.088,0.212183,153177.9141,326.220291,1.51198381,1.132119698
16.094,0.138929,-0.088,0.268698,152588.5703,326.16304,1.506166534,1.131921013
16.094,0.142876,-0.088,0.325213,152217.6406,326.002884,1.502505173,1.131365206
16.094,0.146823,-0.088,0.381729,151930.1484,325.694962,1.499667403,1.130296589
16.094,0.15077,-0.088,0.438244,151617.8672,325.310883,1.496584948,1.128963675
16.094,0.154716,-0.088,0.494759,151313.6094,324.954773,1.493581689,1.127727826
16.094,0.158663,-0.088,0.551273,151093.2031,324.725922,1.49140611,1.126933618
16.094,0.16261,-0.088,0.607788,150965.9609,324.771866,1.490150131,1.127093063
16.094,0.166557,-0.088,0.664303,150874.2031,325.327652,1.489244411,1.129021871
16.094,0.170503,-0.088,0.720817,150710.9922,326.607788,1.487633394,1.133464473
16.094,0.17445,-0.088,0.777332,150307.6328,328.637085,1.483651927,1.140506976
16.094,0.178397,-0.088,0.833847,149444.8203,331.18335,1.475135304,1.149343571
16.094,0.182343,-0.088,0.890361,147949.2188,333.781891,1.460372567,1.158361586
16.094,0.184858,-0.088,0.926373,145905.5313,335.897797,1.4401998,1.165704657
16.094,0.186461,-0.088,0.949321,143725,337.212799,1.418676279,1.17026826
16.094,0.187482,-0.088,0.963944,141857.0469,337.787628,1.400238145,1.172263155
16.094,0.188133,-0.088,0.973262,140480.7188,337.948151,1.386652728,1.172820236
16.094,0.188547,-0.088,0.979199,139513.7813,337.989166,1.377108312,1.172962575
16.094,0.188812,-0.088,0.982983,138810.4688,338.017883,1.370166076,1.173062235
16.094,0.18898,-0.088,0.985394,138282.0156,338.041504,1.364949837,1.17314421
16.094,0.189087,-0.088,0.98693,137888.5234,338.053864,1.361065766,1.173187104
16.094,0.189156,-0.088,0.987909,137605.2188,338.052994,1.358269332,1.173184085
16.094,0.189199,-0.088,0.988533,137409.3672,338.04454,1.356336126,1.173154746
16.094,0.189227,-0.088,0.98893,137279.9219,338.035797,1.355058401,1.173124404
16.094,0.189245,-0.088,0.989184,137198.6563,338.030334,1.354256247,1.173105445
16.094,0.189256,-0.088,0.989345,137150.1172,338.027893,1.353777129,1.173096974
16.094,0.189263,-0.088,0.989448,137121.9922,338.027344,1.353499514,1.173095069
16.094,0.189268,-0.088,0.989513,137102.9453,338.02803,1.353311506,1.173097449
16.094,0.189272,-0.088,0.989579,137081.5,338.030014,1.353099825,1.173104335
16.094,0.18928,-0.088,0.98969,137049.1797,338.034424,1.352780798,1.173119639
16.094,0.189293,-0.088,0.989878,136999.4375,338.044205,1.352289805,1.173153583
16.094,0.189315,-0.088,0.990197,136920.0469,338.062485,1.351506158,1.173217022
16.094,0.189353,-0.088,0.990738,136778.9688,338.08783,1.350113609,1.17330498
16.094,0.189417,-0.088,0.991653,136514.6719,338.111816,1.347504795,1.173388221
16.094,0.189525,-0.088,0.993205,136071.1875,338.127121,1.343127263,1.173441336
16.094,0.189634,-0.088,0.994757,135425.6797,338.138626,1.336755605,1.173481263
16.094,0.189742,-0.088,0.996308,134562.9766,338.156647,1.328240062,1.173543804
16.094,0.189851,-0.088,0.99786,133508.3203,338.184357,1.317829793,1.173639969
16.094,0.189915,-0.088,0.998776,132377.6328,338.224854,1.306669038,1.17378051
16.094,0.189952,-0.088,0.999316,131316.5313,338.296814,1.29619515,1.174030241
16.094,0.189975,-0.088,0.999635,130429.4492,338.427658,1.287438968,1.174484324
16.094,0.189988,-0.088,0.999824,129779.9648,338.608841,1.281028057,1.175113104
16.094,0.189995,-0.088,0.999934,129394.0664,338.776672,1.277218943,1.175695547
16.094,0.19,-0.088,1,129140.7617,338.916565,1.274718631,1.176181034
14.8665,0.120165,-0.088,0,141797.6875,336.259583,1.399651974,1.166960205
14.8665,0.120169,-0.088,0.000066,142000.25,336.243347,1.401651421,1.166903859
14.8665,0.120177,-0.088,0.000168,142621.625,336.114807,1.407784869,1.166457772
14.8665,0.120188,-0.088,0.00033,143593.4531,335.984009,1.417377558,1.166003849
14.8665,0.120205,-0.088,0.000583,144763.5781,335.890518,1.428927589,1.165679396
14.8665,0.120233,-0.088,0.000981,145997.7891,335.835159,1.441110199,1.165487277
14.8665,0.120277,-0.088,0.001604,147277.6797,335.796356,1.453743701,1.165352615
14.8665,0.120345,-0.088,0.002583,148639.5469,335.742508,1.467186375,1.16516574
14.8665,0.120452,-0.088,0.00412,150122.8828,335.634644,1.481828039,1.164791407
14.8665,0.120621,-0.088,0.006531,151773.2109,335.424118,1.498118043,1.164060795
14.8665,0.120885,-0.088,0.010314,153614.0625,335.028931,1.516288661,1.162689332
14.8665,0.1213,-0.088,0.016251,155599.875,334.342346,1.535890154,1.160306597
14.8665,0.12195,-0.088,0.025569,157552.5781,333.338379,1.555164832,1.156822415
14.8665,0.122972,-0.088,0.040192,159127.2188,332.180695,1.570707744,1.152804772
14.8665,0.124574,-0.088,0.06314,159981.6094,331.163651,1.579141235,1.149275207
14.8665,0.127089,-0.088,0.099152,160050.3906,330.503372,1.579820158,1.146983765
14.8665,0.131036,-0.088,0.155668,159606.4844,330.197174,1.575438463,1.145921131
14.8665,0.134983,-0.088,0.212183,159052.2813,330.079971,1.569968053,1.145514388
14.8665,0.138929,-0.088,0.268698,158641.0156,329.980637,1.565908545,1.145169658
14.8665,0.142876,-0.088,0.325213,158417.6094,329.829926,1.563703355,1.144646628
14.8665,0.146823,-0.088,0.381729,158356.1563,329.65007,1.563096765,1.144022454
14.8665,0.15077,-0.088,0.438244,158413.5469,329.48053,1.563663255,1.143434079
14.8665,0.154716,-0.088,0.494759,158513.0547,329.387161,1.564645473,1.14311005
14.8665,0.158663,-0.088,0.551273,158545.1563,329.523651,1.564962341,1.143583727
14.8665,0.16261,-0.088,0.607788,158395.5234,330.109283,1.563485349,1.145616113
14.8665,0.166557,-0.088,0.664303,158077.4375,331.373566,1.560345597,1.150003699
14.8665,0.170503,-0.088,0.720817,157762.5625,333.478973,1.557237539,1.157310335
14.8665,0.17445,-0.088,0.777332,157583.6875,336.43158,1.555471906,1.167557106
14.8665,0.178397,-0.088,0.833847,157530.8125,340.095825,1.554949989,1.180273555
14.8665,0.182343,-0.088,0.890361,157440.2188,344.111694,1.55405576,1.194210286
14.8665,0.184858,-0.088,0.926373,157088.9219,347.837677,1.55058819,1.207140993
14.8665,0.186461,-0.088,0.949321,156485.4219,350.728455,1.544631182,1.217173191
14.8665,0.187482,-0.088,0.963944,155821.4688,352.662933,1.538077455,1.223886632
14.8665,0.188133,-0.088,0.973262,155195.5547,353.866425,1.531899203,1.228063248
14.8665,0.188547,-0.088,0.979199,154619.0859,354.673309,1.526209013,1.23086347
14.8665,0.188812,-0.088,0.982983,154088.8125,355.285614,1.520974808,1.232988423
14.8665,0.18898,-0.088,0.985394,153610.2344,355.733459,1.516250875,1.234542631
