Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
10.8125,0.113909,-0.165526,0,86.8874295,1.768357235,116783.8438,1.152632905
10.8125,0.113914,-0.165527,0.000066,86.41318961,1.741094687,116698.6445,1.151792005
10.8125,0.113922,-0.165527,0.000168,83.32089739,1.639814386,115867.2188,1.143586001
10.8125,0.113934,-0.165528,0.00033,79.55025396,1.559491765,115116.2617,1.136174207
10.8125,0.113954,-0.165529,0.000583,75.87738786,1.414494223,114771.4805,1.132771286
10.8125,0.113984,-0.165532,0.000981,72.33528387,1.136411888,114807.0859,1.133122704
10.8125,0.114031,-0.165535,0.001604,68.31860315,0.676036931,115104.4375,1.136057504
10.8125,0.114106,-0.16554,0.002583,63.32477489,0.042641069,115724.1328,1.142173772
10.8125,0.114223,-0.165549,0.00412,57.40315522,0.721618726,116789.0391,1.152684181
10.8125,0.114406,-0.165562,0.006531,51.17744086,1.606983327,118268.7617,1.167288744
10.8125,0.114694,-0.165583,0.010314,45.50895021,2.605988592,119850.1602,1.182896827
10.8125,0.115146,-0.165615,0.016252,41.05149772,3.626356196,121045.0547,1.194690194
10.8125,0.115855,-0.165666,0.02557,38.08079551,4.537811372,121552.0938,1.199694567
10.8125,0.116967,-0.165746,0.040193,36.47939361,5.302350102,121463.0586,1.198815808
10.8125,0.118714,-0.165872,0.063141,35.75554052,5.94577347,121109.8398,1.19532961
10.8125,0.121454,-0.166069,0.099153,35.22919478,6.411419879,120764.5938,1.191922102
10.8125,0.125754,-0.166378,0.155668,34.47336581,6.590490491,120481.0195,1.189123281
10.8125,0.130054,-0.166688,0.212183,33.50355858,6.476590041,120198.1289,1.186331208
10.8125,0.134355,-0.166997,0.268698,32.45860629,6.155920426,119897.9766,1.183368765
10.8125,0.138655,-0.167306,0.325212,31.39989342,5.705612555,119600.1875,1.180429647
10.8125,0.142955,-0.167616,0.381727,30.35767096,5.166399012,119300.5938,1.177472718
10.8125,0.147255,-0.167925,0.438242,29.39038525,4.559091486,118987.1719,1.174379307
10.8125,0.151556,-0.168234,0.494757,28.56556867,3.923707087,118662.6016,1.171175864
10.8125,0.155856,-0.168544,0.551271,27.8442211,3.313219213,118333.8828,1.167931476
10.8125,0.160156,-0.168853,0.607786,27.10612803,2.7433087,118023.3984,1.164867058
10.8125,0.164456,-0.169162,0.664301,26.3261394,2.218102258,117791.9141,1.162582355
10.8125,0.168757,-0.169472,0.720816,25.63102919,1.766746651,117679.8906,1.161476705
10.8125,0.173057,-0.169781,0.77733,25.25709553,1.422154947,117617.4102,1.160860036
10.8125,0.177357,-0.170091,0.833845,25.49862524,1.210957392,117420.9805,1.158921315
10.8125,0.181657,-0.1704,0.89036,26.62854146,1.148237133,116873.1445,1.153514285
10.8125,0.184398,-0.170597,0.926373,28.85184309,1.204660711,115872.5977,1.14363909
10.8125,0.186144,-0.170723,0.94932,32.29942336,1.299866076,114553.8281,1.130623101
10.8125,0.187256,-0.170803,0.963943,36.85269767,1.350852491,113238.4609,1.117640693
10.8125,0.187965,-0.170854,0.973261,41.71012014,1.319725593,112217.5078,1.107564092
10.8125,0.188417,-0.170886,0.979199,45.71141492,1.229155398,111563.4023,1.101108204
10.8125,0.188705,-0.170907,0.982982,48.37126441,1.125850573,111176.7383,1.097291908
10.8125,0.188889,-0.17092,0.985394,49.94414186,1.035302632,110940.9063,1.094964294
10.8125,0.189005,-0.170928,0.98693,50.86412818,0.968820505,110784.59,1.093421484
10.8125,0.18908,-0.170934,0.987909,51.4437766,0.927511754,110674.646,1.092336359
10.8125,0.189127,-0.170937,0.988533,51.82131576,0.902869321,110598.9756,1.091589507
10.8125,0.189158,-0.170939,0.98893,52.05969446,0.884890733,110550.0719,1.091106838
10.8125,0.189177,-0.170941,0.989183,52.21096639,0.868524435,110518.9102,1.090799278
10.8125,0.189189,-0.170942,0.989345,52.31058668,0.852973005,110498.5938,1.090598759
10.8125,0.189197,-0.170942,0.989448,52.37647261,0.838066506,110485.6016,1.090470529
10.8125,0.189202,-0.170943,0.989513,52.42359961,0.823725461,110477.0156,1.090385787
