Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20044.68,16.32415,101315.39,101367,288.15,288.15,142363.86,142905,323.669,323.69,1.405155327,1.12326566,1.123338539,0.82751383
20044.68,16.3122,101315.39,101368,288.15,288.15,143833.02,144368,324.41,324.418,1.419656185,1.125837238,1.125865001,0.836625575
20044.68,16.29575,101315.39,101368,288.15,288.15,145468.54,145932,325.23,325.24,1.435799043,1.128682978,1.128717682,0.845869381
20044.68,16.27,101315.39,101368,288.15,288.15,147199.11,147578,326.116,326.12,1.452880061,1.131757765,1.131771647,0.854747799
20044.68,16.22635,101315.39,101368,288.15,288.15,148888.297,149225,327.0535,327.038,1.469552622,1.135011279,1.134957487,0.861491147
20044.68,16.11895,101315.39,101369,288.15,288.15,150267.745,150643,327.8859,327.91,1.483168006,1.137900052,1.137983689,0.863941691
20044.68,16.00245,101315.39,101370,288.15,288.15,151717.35,152081,328.85,328.865,1.497475852,1.141245879,1.141297935,0.865434406
20044.68,15.85025,101315.39,101371,288.15,288.15,153175.6,153397,329.797,329.73,1.511869026,1.144532362,1.144299844,0.868715871
20044.68,15.70075,101315.39,101372,288.15,288.15,154574.4,154810,330.848,330.82,1.525675418,1.148179767,1.148082596,0.866288516
20044.68,15.50495,101315.39,101374,288.15,288.15,155769.46,155997,331.68,331.718,1.537470862,1.151067153,1.151199028,0.864871365
20044.68,15.26325,101315.39,101377,288.15,288.15,156817.42,156952,332.74,332.66,1.547814404,1.154745792,1.154468159,0.860604856
20044.68,14.997115,101315.39,101379,288.15,288.15,157611.03,157758,333.73,333.67,1.555647469,1.158181503,1.157973278,0.851860733
20044.68,14.84235,101315.39,101381,288.15,288.15,157731.94,157960,334.45,334.2,1.556840871,1.160680201,1.159812598,0.843612115
20044.68,14.6392,101315.39,101383,288.15,288.15,157742.46,157875,334.55,334.5,1.556944705,1.161027243,1.160853722,0.838286277
20044.68,14.56155,101315.39,101384,288.15,288.15,157882.19,157988,334.99,334.91,1.558323864,1.162554225,1.162276592,0.83270539
