Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.11895,0.113909,-0.165526,0,87.44166849,2.018157905,146295.925,1.443965473
16.11895,0.113914,-0.165527,0.000066,87.16788134,1.967616672,146202.4274,1.443042635
16.11895,0.11392,-0.165527,0.000147,84.9351313,1.871001605,144406.9719,1.425321187
16.11895,0.113928,-0.165528,0.000248,82.43368946,1.797482466,142848.9039,1.409942793
16.11895,0.113938,-0.165528,0.000373,80.25799657,1.717130063,141977.8047,1.401344896
16.11895,0.113949,-0.165529,0.000528,78.50704929,1.612243206,141604.3359,1.397658696
16.11895,0.113964,-0.16553,0.00072,76.97319506,1.472552531,141420.4219,1.395843434
16.11895,0.113982,-0.165532,0.000959,75.45533189,1.291734384,141358.8594,1.395235802
16.11895,0.114005,-0.165533,0.001255,73.83582187,1.059954421,141453.4222,1.396169153
16.11895,0.114033,-0.165535,0.001622,72.03900049,0.768548585,141703.6878,1.398639316
16.11895,0.114067,-0.165538,0.002077,70.014553,0.416048044,142108.3438,1.402633339
16.11895,0.11411,-0.165541,0.002642,67.74000016,0.007019327,142688.7969,1.408362509
16.11895,0.114164,-0.165545,0.003342,65.22654066,0.450137985,143472.1719,1.416094553
16.11895,0.11423,-0.165549,0.004211,62.52425041,0.941235426,144481.75,1.426059259
16.11895,0.114312,-0.165555,0.005289,59.71649688,1.446345878,145720.3984,1.438284928
16.11895,0.114413,-0.165563,0.006626,56.89857504,1.947167617,147145.375,1.452349687
16.11895,0.114539,-0.165572,0.008283,54.15211402,2.43422578,148687.6563,1.467572264
16.11895,0.114696,-0.165583,0.01034,51.52887536,2.905191676,150296.1172,1.483448045
16.11895,0.11489,-0.165597,0.01289,49.04655269,3.358338699,151926.7389,1.499542556
16.11895,0.115131,-0.165614,0.016053,46.69354649,3.790460594,153518.0559,1.515249124
16.11895,0.115429,-0.165636,0.019977,44.48784349,4.201145693,155019.4186,1.530067827
16.11895,0.1158,-0.165662,0.024843,42.58565985,4.600222663,156354.3743,1.543244065
16.11895,0.116259,-0.165695,0.030879,41.25912279,4.990811012,157321.358,1.552788357
16.11895,0.116828,-0.165736,0.038366,40.65373372,5.350907676,157710.1868,1.556626163
16.11895,0.117535,-0.165787,0.047651,40.59324224,5.669346277,157566.3672,1.555206639
16.11895,0.118411,-0.16585,0.059169,40.7086913,5.957846632,157124.2435,1.550842804
16.11895,0.119498,-0.165928,0.073454,40.73856714,6.218693835,156536.3998,1.545040687
16.11895,0.120847,-0.166025,0.091172,40.62001512,6.450186149,155867.5938,1.538439459
16.11895,0.122519,-0.166146,0.113149,40.36500107,6.641922258,155202.6719,1.531876568
16.11895,0.124593,-0.166295,0.140406,40.00866794,6.770821706,154653.2656,1.526453835
16.11895,0.126667,-0.166444,0.167664,39.60311056,6.83733176,154291.5781,1.522883918
16.11895,0.128741,-0.166593,0.194922,39.17076345,6.849994049,154088.4219,1.520878732
16.11895,0.130815,-0.166742,0.22218,38.71752128,6.800351166,153964.3984,1.519654599
16.11895,0.132889,-0.166892,0.249437,38.2534455,6.699663744,153865.4766,1.518678225
16.11895,0.134963,-0.167041,0.276695,37.78306684,6.575001561,153757.8594,1.517616025
16.11895,0.137037,-0.16719,0.303953,37.31431241,6.430227603,153621.0626,1.516265817
16.11895,0.139111,-0.167339,0.33121,36.8580719,6.261514741,153464.1957,1.514717514
16.11895,0.141185,-0.167488,0.358468,36.41199326,6.076075687,153305.4299,1.513150469
16.11895,0.143259,-0.167638,0.385726,35.97208697,5.876633562,153153.125,1.511647194
16.11895,0.145333,-0.167787,0.412984,35.54444394,5.663021025,152997.3812,1.510109976
16.11895,0.147408,-0.167936,0.440241,35.13453904,5.444075971,152826.6843,1.508425169
16.11895,0.149482,-0.168085,0.467499,34.74757971,5.228110059,152668.1781,1.506860686
16.11895,0.151556,-0.168234,0.494757,34.38127124,5.015826776,152547.0313,1.505664947
16.11895,0.15363,-0.168384,0.522014,34.02687877,4.807027903,152443.0384,1.504638519
16.11895,0.155704,-0.168533,0.549272,33.68252553,4.60108407,152332.9759,1.503552184
16.11895,0.157778,-0.168682,0.57653,33.34704395,4.391240291,152214.1563,1.502379414
16.11895,0.159852,-0.168831,0.603788,33.03801946,4.176142099,152086.4219,1.501118654
