Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.11895,0.120166,-0.088,0,129875.8594,336.173645,1.281775074,1.166661964
16.11895,0.12017,-0.088,0.000066,130042.5156,336.154327,1.283419843,1.166594923
16.11895,0.120176,-0.088,0.000147,130620.8281,336.014099,1.289127344,1.166108273
16.11895,0.120183,-0.088,0.000248,131470.0234,335.866882,1.29750825,1.165597369
16.11895,0.120192,-0.088,0.000373,132438.1328,335.757065,1.307062747,1.165216259
16.11895,0.120202,-0.088,0.000528,133383.9141,335.689316,1.316396882,1.164981142
16.11895,0.120216,-0.088,0.00072,134258.5469,335.646149,1.325028837,1.164831334
16.11895,0.120233,-0.088,0.000959,135083.8984,335.613861,1.333174423,1.164719282
16.11895,0.120253,-0.088,0.001255,135890.375,335.584534,1.341133728,1.164617505
16.11895,0.120279,-0.088,0.001622,136697.0625,335.551331,1.349095115,1.164502277
16.11895,0.120311,-0.088,0.002077,137516.4844,335.50972,1.35718218,1.164357869
16.11895,0.12035,-0.088,0.002642,138355.5547,335.458298,1.36546316,1.164179413
16.11895,0.120399,-0.088,0.003343,139219.4531,335.39418,1.373989175,1.163956897
16.11895,0.12046,-0.088,0.004211,140116.0313,335.309128,1.382837713,1.163661732
16.11895,0.120535,-0.088,0.005289,141050.3047,335.195038,1.392058275,1.163265792
16.11895,0.120628,-0.088,0.006626,142017.7969,335.050812,1.40160668,1.162765268
16.11895,0.120744,-0.088,0.008283,143018.8594,334.866821,1.411486399,1.162126743
16.11895,0.120888,-0.088,0.01034,144080.4375,334.606827,1.42196336,1.161224456
16.11895,0.121066,-0.088,0.01289,145241.7031,334.231644,1.433424161,1.159922415
16.11895,0.121287,-0.088,0.016053,146530.0156,333.722534,1.446138817,1.158155593
16.11895,0.121561,-0.088,0.019977,147962.6641,333.057556,1.460277958,1.155847843
16.11895,0.121901,-0.088,0.024843,149536.6172,332.205719,1.475811667,1.152891615
16.11895,0.122322,-0.088,0.030879,151175.875,331.176117,1.491989884,1.14931847
16.11895,0.122845,-0.088,0.038366,152661.1094,330.055817,1.506648008,1.145430564
16.11895,0.123493,-0.088,0.047651,153689.1719,328.977325,1.516794196,1.141687749
16.11895,0.124298,-0.088,0.059169,154107.1172,328.061295,1.520918995,1.138508745
16.11895,0.125295,-0.088,0.073454,154031.7266,327.40654,1.520174948,1.136236474
16.11895,0.126533,-0.088,0.091172,153714.2031,327.044556,1.517041235,1.134980239
16.11895,0.128067,-0.088,0.113148,153367.4375,326.88092,1.513618924,1.134412355
16.11895,0.129971,-0.088,0.140406,153095.3906,326.768768,1.51093403,1.134023141
16.11895,0.131874,-0.088,0.167664,152908.1094,326.620148,1.509085708,1.133507368
16.11895,0.133778,-0.088,0.194922,152775.8906,326.427216,1.507780811,1.132837814
16.11895,0.135681,-0.088,0.22218,152667.3516,326.221863,1.506709613,1.132125154
16.11895,0.137585,-0.088,0.249438,152562.8828,326.035645,1.505678587,1.1314789
16.11895,0.139488,-0.088,0.276695,152455.7188,325.881668,1.50462096,1.130944536
16.11895,0.141392,-0.088,0.303953,152341.3906,325.751648,1.503492629,1.130493313
16.11895,0.143296,-0.088,0.331211,152213.4688,325.630173,1.502230138,1.130071744
16.11895,0.145199,-0.088,0.358469,152075.8125,325.514587,1.500871577,1.129670613
16.11895,0.147103,-0.088,0.385726,151944.125,325.412537,1.499571922,1.129316457
16.11895,0.149006,-0.088,0.412984,151829.6563,325.320557,1.498442203,1.128997248
16.11895,0.15091,-0.088,0.440242,151730.7813,325.229721,1.497466383,1.128682009
16.11895,0.152813,-0.088,0.4675,151638.4922,325.148956,1.496555561,1.128401721
16.11895,0.154717,-0.088,0.494758,151542.8359,325.091904,1.495611507,1.128203727
16.11895,0.15662,-0.088,0.522015,151432.0078,325.060654,1.494517718,1.128095277
16.11895,0.158524,-0.088,0.549273,151298.5625,325.059128,1.493200716,1.128089981
16.11895,0.160427,-0.088,0.576531,151148.4453,325.093323,1.491719174,1.128208652
16.11895,0.162331,-0.088,0.603788,150992.9063,325.166229,1.490184123,1.128461666
16.11895,0.164234,-0.088,0.631046,150837.2266,325.288071,1.488647684,1.128884508
16.11895,0.166138,-0.088,0.658304,150675.1016,325.449692,1.487047634,1.1294454
16.11895,0.168041,-0.088,0.685561,150507.3203,325.608948,1.485391762,1.129998084
16.11895,0.169945,-0.088,0.712819,150362.9219,325.767578,1.48396666,1.130548596
16.11895,0.171848,-0.088,0.740077,150268.1563,326.00647,1.483031396,1.131377651
16.11895,0.173752,-0.088,0.767335,150218.5859,326.450531,1.482542176,1.132918726
16.11895,0.175655,-0.088,0.794592,150171.3125,327.242889,1.482075623,1.135668537
16.11895,0.177559,-0.088,0.82185,150022.1797,328.471359,1.480603797,1.139931838
16.11895,0.179463,-0.088,0.849108,149644.5391,330.075455,1.476876773,1.145498716
16.11895,0.181366,-0.088,0.876365,148975.8438,331.837524,1.470277264,1.151613826
16.11895,0.182901,-0.088,0.898342,148042.1953,333.477692,1.46106287,1.157305889
16.11895,0.184138,-0.088,0.91606,146942.7578,334.795944,1.450212266,1.16188077
16.11895,0.185136,-0.088,0.930345,145808.8984,335.75618,1.439021944,1.165213188
16.11895,0.18594,-0.088,0.941862,144728.9766,336.42778,1.428363943,1.167543918
16.11895,0.186588,-0.088,0.951148,143735.1406,336.883148,1.418555545,1.169124234
16.11895,0.187111,-0.088,0.958634,142843.9063,337.188034,1.409759746,1.170182315
16.11895,0.187533,-0.088,0.96467,142064.5,337.409363,1.402067604,1.170950418
16.11895,0.187873,-0.088,0.969537,141390.5,337.589935,1.395415741,1.171577078
16.11895,0.188147,-0.088,0.97346,140801.9844,337.745682,1.389607544,1.172117585
16.11895,0.188368,-0.088,0.976623,140282.4766,337.878342,1.3844804,1.17257797
16.11895,0.188546,-0.088,0.979174,139829.3672,337.983917,1.380008558,1.172944359
16.11895,0.188689,-0.088,0.98123,139440.5938,338.06221,1.376171663,1.173216068
16.11895,0.188805,-0.088,0.982888,139105.875,338.11937,1.372868246,1.173414437
16.11895,0.188898,-0.088,0.984224,138815.1094,338.161285,1.369998612,1.173559899
16.11895,0.188974,-0.088,0.985302,138564.0781,338.190796,1.367521126,1.173662315
16.11895,0.189034,-0.088,0.986171,138349.8125,338.210663,1.365406489,1.173731261
16.11895,0.189083,-0.088,0.986871,138167.6016,338.22406,1.363608207,1.173777755
