Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.1027,0.113909,-0.165526,0,87.19902234,2.431865217,145961.331,1.440689849
16.1027,0.113914,-0.165527,0.000066,86.89351806,2.339376923,145893.976,1.440025031
16.1027,0.113921,-0.165527,0.000153,84.40549735,2.179396066,144115.6937,1.422472757
16.1027,0.11393,-0.165528,0.00027,81.61940076,2.058160001,142638.2266,1.407889636
16.1027,0.113942,-0.165529,0.000426,79.18493136,1.92709901,141906.1641,1.40066392
16.1027,0.113957,-0.16553,0.000635,77.15851295,1.751115255,141694.5478,1.398575193
16.1027,0.113979,-0.165531,0.000913,75.24126029,1.508363499,141682.3134,1.398454435
16.1027,0.114007,-0.165533,0.001285,73.15829768,1.182395925,141832.5703,1.399937524
16.1027,0.114045,-0.165536,0.001782,70.74205216,0.756778911,142232.4453,1.403884431
16.1027,0.114095,-0.16554,0.002446,67.89604764,0.22952035,142944.6094,1.410913742
16.1027,0.114163,-0.165545,0.003332,64.61663255,0.377788434,144023.0781,1.421558609
16.1027,0.114253,-0.165551,0.004516,61.01302909,1.030309421,145513.0542,1.436265199
16.1027,0.114373,-0.16556,0.006096,57.26518122,1.693769335,147411.1314,1.45499989
16.1027,0.114534,-0.165571,0.008208,53.55074866,2.340698318,149632.9756,1.476930277
16.1027,0.114748,-0.165587,0.011028,50.00470923,2.954775446,152023.0391,1.500521047
16.1027,0.115035,-0.165607,0.014794,46.73669567,3.538834795,154385.3594,1.523837982
16.1027,0.115418,-0.165635,0.019824,43.92855513,4.109503337,156460.9947,1.544325235
16.1027,0.115929,-0.165672,0.026543,41.89397983,4.656797905,157876.5951,1.558297711
16.1027,0.116612,-0.165721,0.035516,40.87509057,5.136702717,158317.6473,1.562651051
16.1027,0.117523,-0.165786,0.0475,40.71051087,5.538871404,157850.4375,1.558039526
16.1027,0.118741,-0.165874,0.063506,40.86612215,5.90850527,156895.2031,1.548611025
16.1027,0.120368,-0.165991,0.084883,40.86606037,6.272157137,155904.8281,1.538835674
16.1027,0.12254,-0.166147,0.113434,40.53894816,6.590175253,155133.1798,1.531219233
16.1027,0.125442,-0.166356,0.151566,39.96026532,6.787452538,154598.6608,1.525943342
16.1027,0.128343,-0.166565,0.189698,39.2993549,6.826204933,154214.4698,1.522151241
16.1027,0.131245,-0.166773,0.227831,38.63613274,6.740601342,153922.9656,1.519273992
16.1027,0.134147,-0.166982,0.265963,37.97503705,6.582284307,153709.8987,1.517170947
16.1027,0.137048,-0.167191,0.304095,37.33101909,6.374837054,153539.9219,1.515493216
16.1027,0.13995,-0.1674,0.342228,36.70357514,6.123455028,153359.2734,1.513710151
16.1027,0.142851,-0.167608,0.38036,36.07257321,5.831909396,153160.7734,1.511750886
16.1027,0.145753,-0.167817,0.418492,35.42502714,5.511033121,152968.1875,1.509849995
16.1027,0.148654,-0.168026,0.456625,34.77239872,5.184278944,152792.1563,1.508112505
16.1027,0.151556,-0.168234,0.494757,34.15595661,4.873979859,152632.5625,1.506537258
16.1027,0.154457,-0.168443,0.532889,33.64320931,4.580472093,152479.3594,1.505025089
16.1027,0.157359,-0.168652,0.571021,33.33096475,4.297908548,152309.8125,1.503351602
16.1027,0.16026,-0.168861,0.609153,33.29443258,4.036021906,152088.4688,1.501166861
16.1027,0.163162,-0.169069,0.647286,33.46578813,3.794546143,151816.1484,1.498478963
16.1027,0.166063,-0.169278,0.685418,33.61410194,3.529292591,151602.8828,1.496373956
16.1027,0.168965,-0.169487,0.72355,33.56665514,3.208500222,151587.4531,1.49622166
16.1027,0.171866,-0.169696,0.761683,33.52570038,2.904699557,151778,1.498102425
16.1027,0.174768,-0.169904,0.799815,34.07321524,2.736555267,152007.0156,1.500362889
16.1027,0.177669,-0.170113,0.837947,35.68769763,2.710712072,151977.1972,1.500068571
16.1027,0.180571,-0.170322,0.876079,38.27599367,2.706077573,151377.416,1.494148519
16.1027,0.182743,-0.170478,0.90463,41.251471,2.630780906,150043.0625,1.480977979
16.1027,0.18437,-0.170595,0.926008,44.02124365,2.52521543,148055.1563,1.461356643
16.1027,0.185588,-0.170683,0.942013,46.39863171,2.465251022,145732.828,1.438434444
16.1027,0.1865,-0.170748,0.953997,48.59953788,2.446444407,143487.4349,1.416271621
16.1027,0.187182,-0.170797,0.962971,50.87477502,2.412096358,141644.0756,1.398077014
16.1027,0.187694,-0.170834,0.969689,53.18543905,2.322635999,140327.9531,1.385086421
16.1027,0.188076,-0.170862,0.974719,55.29896394,2.18357934,139436.4531,1.376287001
16.1027,0.188363,-0.170882,0.978485,57.05621009,2.015512477,138794.7656,1.369953319
16.1027,0.188578,-0.170898,0.981306,58.42376353,1.836186338,138300.0781,1.365070579
16.1027,0.188738,-0.170909,0.983417,59.44932664,1.674587166,137901.7813,1.361139249
16.1027,0.188858,-0.170918,0.984998,60.22351228,1.55248089,137568.4688,1.357849337
16.1027,0.188949,-0.170924,0.986181,60.82634083,1.472951529,137283.0859,1.355032507
16.1027,0.189016,-0.170929,0.987068,61.30146206,1.425620132,137040.8047,1.352641106
16.1027,0.189066,-0.170933,0.987731,61.67281106,1.395832693,136841.5703,1.350674592
16.1027,0.189104,-0.170936,0.988228,61.96201925,1.372957973,136680.3672,1.349083461
16.1027,0.189133,-0.170938,0.9886,62.18685215,1.351271961,136550.6563,1.347803168
16.1027,0.189154,-0.170939,0.988879,62.35893179,1.328970969,136449.2578,1.346802329
16.1027,0.18917,-0.17094,0.989087,62.48819211,1.306354242,136372.4297,1.346044009
16.1027,0.189182,-0.170941,0.989243,62.58439908,1.284125086,136315.0625,1.345477774
16.1027,0.18919,-0.170942,0.98936,62.65553462,1.263197675,136273.0859,1.345063451
16.1027,0.189197,-0.170942,0.989448,62.70769288,1.244222698,136243.1172,1.344767649
16.1027,0.189202,-0.170943,0.989513,62.74778544,1.226343676,136221.7891,1.344557133
16.1027,0.189207,-0.170943,0.989579,62.78891581,1.207507712,136204.2422,1.344383939
16.1027,0.189215,-0.170944,0.98969,62.8493287,1.185936117,136183.3047,1.344177278
