Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.1027,0.120165,-0.088,0,129964.6172,336.608307,1.282651046,1.168170422
16.1027,0.12017,-0.088,0.000066,130162.2617,336.589325,1.284601645,1.168104546
16.1027,0.120176,-0.088,0.000153,130856.4766,336.441132,1.291453013,1.167590255
16.1027,0.120184,-0.088,0.00027,131857.7656,336.289886,1.301334968,1.167065369
16.1027,0.120195,-0.088,0.000426,132968.75,336.180679,1.312299531,1.166686375
16.1027,0.12021,-0.088,0.000635,134042.9844,336.112473,1.3229014,1.166449672
16.1027,0.120229,-0.088,0.000913,135065.7188,336.063629,1.332995004,1.166280163
16.1027,0.120255,-0.088,0.001285,136081.1875,336.021179,1.343016901,1.166132844
16.1027,0.12029,-0.088,0.001782,137123.2188,335.975189,1.35330095,1.16597324
16.1027,0.120336,-0.088,0.002446,138212.2031,335.907715,1.36404839,1.165739077
16.1027,0.120398,-0.088,0.003332,139362.3125,335.806854,1.375399087,1.165389047
16.1027,0.120481,-0.088,0.004515,140581.6094,335.673264,1.387432612,1.164925435
16.1027,0.120591,-0.088,0.006096,141876.7344,335.489731,1.400214502,1.164288499
16.1027,0.120738,-0.088,0.008208,143267.0859,335.202789,1.413936205,1.163292691
16.1027,0.120935,-0.088,0.011028,144789.2422,334.764633,1.428958719,1.161772108
16.1027,0.121198,-0.088,0.014794,146493.8125,334.162643,1.44578152,1.159682953
16.1027,0.12155,-0.088,0.019824,148416.6875,333.341263,1.464758821,1.156832424
16.1027,0.122019,-0.088,0.026542,150482.1641,332.176559,1.485143489,1.152790418
16.1027,0.122645,-0.088,0.035515,152404.375,330.697876,1.504114236,1.147658775
16.1027,0.123482,-0.088,0.047499,153746.9219,329.221924,1.517364144,1.142536609
16.1027,0.1246,-0.088,0.063505,154228.9609,328.105072,1.5221215,1.13866067
16.1027,0.126093,-0.088,0.084882,153993.4531,327.452393,1.519797218,1.136395603
16.1027,0.128087,-0.088,0.113433,153466.2578,327.114777,1.514594205,1.135223935
16.1027,0.13075,-0.088,0.151566,153016.7266,326.879333,1.510157676,1.134406847
16.1027,0.133413,-0.088,0.189699,152772.3203,326.612183,1.507745574,1.133479726
16.1027,0.136076,-0.088,0.227831,152643.0234,326.289886,1.506469513,1.132361222
16.1027,0.138739,-0.088,0.265963,152506.0938,325.968506,1.505118122,1.1312459
16.1027,0.141402,-0.088,0.304096,152337.6016,325.711075,1.503455234,1.130352507
16.1027,0.144065,-0.088,0.342228,152168.5391,325.531906,1.501786717,1.129730717
16.1027,0.146728,-0.088,0.380361,152014.6172,325.410431,1.500267626,1.129309148
16.1027,0.149391,-0.088,0.418493,151873.0703,325.333008,1.498870667,1.129040458
16.1027,0.152054,-0.088,0.456626,151733.6563,325.304932,1.497494757,1.128943023
