Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
13033.53668,10.996,101320.7,101339,288.15,288.15,116322.669,116582,301.91,302.17,1.148064206,1.047752906,1.048655214,0.827026404
13033.53668,10.9405,101320.7,101339.5,288.15,288.15,116656.155,116918,302.0667,302.362,1.151355597,1.04829672,1.049321534,0.833111803
13033.53668,10.8825,101320.7,101340,288.15,288.15,117039.44,117270,302.3189,302.566,1.155138486,1.049171959,1.050029499,0.840834379
13033.53668,10.8176,101320.7,101340,288.15,288.15,117373.83,117622,302.5197,302.788,1.158438799,1.049868818,1.050799931,0.844810228
13033.53668,10.74725,101320.7,101341,288.15,288.15,117728.65,117972,302.7847,303.032,1.161940749,1.050788478,1.051646712,0.848381389
13033.53668,10.67,101320.7,101341,288.15,288.15,118063.06,118319,303.09,303.282,1.165241259,1.051847996,1.052514315,0.850480226
13033.53668,10.58675,101320.7,101341,288.15,288.15,118413.365,118675,303.2985,303.56,1.168698647,1.052571577,1.053479091,0.851679688
13033.53668,10.49775,101320.7,101342,288.15,288.15,118796.06,119035,303.6175,303.85,1.172475713,1.05367864,1.054485511,0.853646911
13033.53668,10.40265,101320.7,101342,288.15,288.15,119168.67,119395,303.922,304.16,1.176153244,1.054735381,1.05556134,0.853978307
13033.53668,10.30155,101320.7,101343,288.15,288.15,119556.96,119765,304.265,304.478,1.179985531,1.055925733,1.056664931,0.854535002
13033.53668,10.19565,101320.7,101343,288.15,288.15,119944.386,120135,304.5856,304.808,1.183809291,1.057038348,1.057810168,0.854378057
13033.53668,10.0831,101320.7,101343.5,288.15,288.15,120351.59,120508,304.968,305.145,1.187828252,1.058365435,1.058979698,0.854673747
13033.53668,9.96125,101320.7,101344,288.15,288.15,120722.22,120868,305.31,305.495,1.191486241,1.059552317,1.060194343,0.852764721
13033.53668,9.82875,101320.7,101344.5,288.15,288.15,121095.8,121208,305.72,305.855,1.195173346,1.060975187,1.061443693,0.850536884
13033.53668,9.682,101320.7,101345,288.15,288.15,121394.68,121512,306.06,306.22,1.198123187,1.062155128,1.062710394,0.845178968
13033.53668,9.5225,101320.7,101346,288.15,288.15,121720.48,121780,306.38,306.62,1.20133872,1.06326566,1.06409856,0.839460003
13033.53668,9.3,101320.7,101348,288.15,288.15,121646.58,121772,306.84,306.93,1.200609352,1.064862051,1.065174388,0.822797723
13033.53668,9.235,101320.7,101348,288.15,288.15,121559.76,121740,306.667,306.98,1.199752469,1.064261669,1.065347909,0.817324272
