Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20300,15.52962762,98789.98,98839.16,297.33,297.33,119383.69,123371.28,327.18,327.25,1.208459502,1.100393502,1.100628931,0.552416413
20300,15.51451173,98789.08,98838.23,297.33,297.33,128907.32,130821,329.5,329.41,1.304874182,1.10819628,1.107893586,0.732160706
20300,15.49334233,98792.8,98841.88,297.33,297.33,135811.68,136982.36,332.37,332.14,1.374712327,1.117848855,1.117075304,0.813058334
20300,15.45280057,98791.24,98840.66,297.33,297.33,143029.72,143703.82,336.02,335.74,1.447797598,1.130124777,1.129183063,0.863256158
20300,15.38005534,98792.16,98841.83,297.33,297.33,146633.23,147225.16,337.95,337.68,1.484259783,1.136615881,1.135707799,0.880164514
20300,15.1304251,98791.28,98842.83,297.33,297.33,149900.21,150428.67,340.15,339.86,1.517342523,1.144015067,1.14303972,0.88449638
20300,14.73225626,98794.47,98849.72,297.33,297.34,152866,153320.21,342.57,342.26,1.547313326,1.152154172,1.151072846,0.879252946
20300,14.63896893,98795.28,98851.2,297.33,297.34,153440.9,153892.17,343.08,342.78,1.553119744,1.153869438,1.152821686,0.877128157
20300,14.53448552,98795.99,98853.07,297.34,297.34,154003.84,154461.77,343.63,343.33,1.558806587,1.155680366,1.15467142,0.874298868
20300,14.41046986,98795,98853.88,297.33,297.33,154539.37,155027.2,344.25,343.93,1.564242826,1.15780446,1.156728214,0.870033489
20300,14.32475747,98795.37,98854.84,297.33,297.34,155153.34,155661.6,344.84,344.51,1.57045153,1.159788787,1.158639941,0.86766075
20300,14.18515721,98792.95,98854.25,297.33,297.33,155663.12,156242.06,345.53,345.16,1.575650084,1.162109441,1.160865032,0.862339943
20300,14.12310781,98792.72,98854.49,297.33,297.33,156340.49,156950.57,346.18,345.81,1.582510229,1.164295564,1.163051155,0.859452144
20300,14.04993888,98793.68,98856.07,297.33,297.33,157041.86,157702.1,346.81,346.5,1.589594193,1.166414422,1.165371809,0.856195158
20300,13.95352427,98793.66,98856.49,297.33,297.33,157625.64,158358.91,347.47,347.19,1.595503598,1.168634178,1.167692463,0.851567708
20300,13.74621053,98791.12,98856.87,297.33,297.33,157922.66,158867.63,348.31,348.05,1.598551165,1.171459321,1.170584872,0.840782272
