Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16,0.1892316,-0.1709462,0.989899176,61.12723,1.221318,138468.4,1.378613963
16,0.1884632,-0.1708925,0.979798352,56.07489,1.771814,140741.8,1.401248304
16,0.1876948,-0.1708388,0.969697527,52.02685,2.031659,142860,1.422337448
16,0.1869263,-0.1707851,0.959595389,49.07195,2.171369,145075.8,1.444398314
16,0.1861579,-0.1707314,0.949494564,47.02287,2.270373,147104.6,1.464597378
16,0.1853895,-0.1706776,0.93939374,45.33568,2.347188,148930.4,1.48277534
16,0.1846211,-0.1706239,0.929292916,44.06461,2.395199,150470.7,1.498110818
16,0.1838527,-0.1705702,0.919192092,42.86699,2.445009,151867.1,1.512013604
16,0.1830843,-0.1705165,0.909091268,42.00506,2.49813,152591.5,1.519225849
16,0.1823159,-0.1704628,0.898990443,41.14269,2.552664,153314.1,1.526420172
16,0.1815474,-0.1704091,0.888888305,40.28013,2.608797,154035,1.53359757
16,0.180779,-0.1703554,0.87878748,39.51228,2.68295,153990.3,1.533152529
16,0.1800106,-0.1703017,0.868686656,38.7479,2.759678,153912.4,1.532376944
16,0.1792422,-0.170248,0.858585832,37.9834,2.838099,153834.7,1.53160335
16,0.1784738,-0.1701943,0.848485008,37.24338,2.894956,153621.7,1.529482688
16,0.1777054,-0.1701406,0.838384184,36.51365,2.944349,153361.9,1.526896077
16,0.176937,-0.1700869,0.828283359,35.78477,2.994462,153102.7,1.524315439
16,0.1761685,-0.1700331,0.818181221,35.21801,3.036585,152920.8,1.522504413
16,0.1754001,-0.1699794,0.808080396,34.79608,3.070957,152807.9,1.521380362
16,0.1746317,-0.1699257,0.797979572,34.37503,3.105348,152695,1.520256311
16,0.1738633,-0.169872,0.787878748,34.04471,3.143242,152612.9,1.51943891
16,0.1730949,-0.1698183,0.777777924,33.91022,3.188807,152598.6,1.519296537
16,0.1723265,-0.1697646,0.7676771,33.77568,3.234237,152584.3,1.519154164
16,0.1715581,-0.1697109,0.757576275,33.65284,3.281066,152570.6,1.519017765
16,0.1707896,-0.1696572,0.747474137,33.63148,3.340646,152562.3,1.518935129
16,0.1700212,-0.1696035,0.737373312,33.60957,3.399472,152554.4,1.518856475
16,0.1692528,-0.1695498,0.727272488,33.58629,3.45714,152546.8,1.518780808
16,0.1684844,-0.1694961,0.717171664,33.60788,3.523937,152546.9,1.518781804
16,0.167716,-0.1694423,0.70707084,33.63388,3.591357,152548.2,1.518794747
16,0.1669476,-0.1693886,0.696970016,33.65891,3.65845,152549.7,1.518809681
16,0.1661792,-0.1693349,0.686869191,33.69659,3.729066,152550,1.518812668
16,0.1654107,-0.1692812,0.676767053,33.74102,3.801637,152550.1,1.518813663
16,0.1646423,-0.1692275,0.666666228,33.78565,3.874141,152550.1,1.518813663
16,0.1638739,-0.1691738,0.656565404,33.83847,3.949384,152550.6,1.518818642
16,0.1631055,-0.1691201,0.64646458,33.90042,4.027615,152552.3,1.518835567
16,0.1623371,-0.1690664,0.636363756,33.96265,4.105702,152554.4,1.518856475
16,0.1615687,-0.1690127,0.626262932,34.03094,4.184677,152557,1.518882361
16,0.1608003,-0.168959,0.616162107,34.11571,4.266304,152560.7,1.518919199
16,0.1600319,-0.1689053,0.606061283,34.20041,4.347694,152564.9,1.518961015
16,0.1592634,-0.1688516,0.595959145,34.28614,4.429142,152569.5,1.519006813
16,0.158495,-0.1687978,0.58585832,34.39197,4.514226,152578.7,1.51909841
16,0.1577266,-0.1687441,0.575757496,34.49718,4.598854,152588.3,1.519193989
16,0.1569582,-0.1686904,0.565656672,34.60198,4.683096,152598.2,1.519292555
16,0.1561898,-0.1686367,0.555555848,34.72647,4.770592,152610.9,1.519418998
16,0.1554214,-0.168583,0.545455023,34.85281,4.857582,152624.6,1.519555398
16,0.154653,-0.1685293,0.535354199,34.97811,4.943628,152639,1.519698766
16,0.1538845,-0.1684756,0.525252061,35.11461,5.031076,152655.1,1.519859061
16,0.1531161,-0.1684219,0.515151236,35.25653,5.119366,152672.4,1.520031302
16,0.1523477,-0.1683682,0.505050412,35.39808,5.207517,152689.8,1.520204539
16,0.1515793,-0.1683145,0.494949588,35.54426,5.296705,152706.8,1.520373794
16,0.1508109,-0.1682608,0.484848764,35.69386,5.38499,152723.1,1.52053608
16,0.1500425,-0.168207,0.474747939,35.84351,5.473235,152739.9,1.520703343
16,0.1492741,-0.1681533,0.464647115,35.99398,5.561191,152756.8,1.520871602
16,0.1485056,-0.1680996,0.454544977,36.14721,5.648153,152773.2,1.521034883
16,0.1477372,-0.1680459,0.444444152,36.30051,5.73509,152790.2,1.521204138
16,0.1469688,-0.1679922,0.434343328,36.45389,5.821797,152807.4,1.521375384
16,0.1462004,-0.1679385,0.424242504,36.60775,5.90655,152823.9,1.521539661
16,0.145432,-0.1678848,0.41414168,36.76169,5.99132,152840.9,1.521708916
16,0.1446636,-0.1678311,0.404040855,36.91576,6.076036,152858.3,1.521882153
16,0.1438951,-0.1677774,0.393938717,37.07073,6.159653,152875.8,1.522056386
16,0.1431267,-0.1677237,0.383837893,37.2258,6.243291,152893.7,1.522234601
16,0.1423583,-0.16767,0.373737068,37.38123,6.326737,152912.3,1.522419786
16,0.1415899,-0.1676162,0.363636244,37.53957,6.407682,152934.4,1.522639817
16,0.1408215,-0.1675625,0.35353542,37.69801,6.488663,152956.9,1.522863831
16,0.1400531,-0.1675088,0.343434596,37.8577,6.56956,152981,1.523103774
16,0.1392847,-0.1674551,0.333333772,38.02314,6.650004,153011.1,1.523403455
16,0.1385162,-0.1674014,0.323231633,38.18869,6.730523,153041.7,1.523708113
16,0.1377478,-0.1673477,0.313130809,38.35641,6.809707,153074.5,1.524034675
16,0.1369794,-0.167294,0.303029984,38.52822,6.886297,153111.3,1.524401062
16,0.136211,-0.1672403,0.29292916,38.70014,6.963007,153148.4,1.524770436
16,0.1354426,-0.1671866,0.282828336,38.8744,7.036853,153185.9,1.525143792
16,0.1346742,-0.1671329,0.272727512,39.0504,7.108727,153223.8,1.52552113
16,0.1339058,-0.1670792,0.262626688,39.22656,7.180796,153261.9,1.52590046
16,0.1331374,-0.1670254,0.252525863,39.40346,7.244384,153298.2,1.526261869
16,0.1323689,-0.1669717,0.242423725,39.5806,7.307109,153334.3,1.526621286
16,0.1316005,-0.166918,0.2323229,39.75693,7.366329,153370.8,1.526984686
16,0.1308321,-0.1668643,0.222222076,39.93059,7.414768,153408.3,1.527358043
16,0.1300637,-0.1668106,0.212121252,40.10442,7.463542,153445.8,1.527731399
16,0.1292953,-0.1667569,0.202020428,40.26635,7.490013,153502,1.528290935
16,0.1285269,-0.1667032,0.191919604,40.42346,7.507601,153567.3,1.528941072
16,0.1277585,-0.1666495,0.181818779,40.57588,7.518152,153644.7,1.529711679
16,0.12699,-0.1665958,0.171716641,40.70525,7.490187,153773.6,1.530995029
16,0.1262216,-0.1665421,0.161615816,40.83117,7.460824,153904.3,1.532296299
16,0.1254532,-0.1664884,0.151514992,40.92597,7.383288,154090.7,1.534152128
16,0.1246848,-0.1664347,0.141414168,41.01014,7.291381,154300.2,1.536237944
16,0.1239164,-0.1663809,0.131313344,41.07326,7.176462,154533.6,1.538561713
16,0.123148,-0.1663272,0.12121252,41.09977,7.02336,154810.3,1.541316583
16,0.1223796,-0.1662735,0.111111695,41.12527,6.871379,155091.4,1.544115261
16,0.1216111,-0.1662198,0.101009557,41.10014,6.653407,155429.1,1.547477457
16,0.1208427,-0.1661661,0.090908732,41.07462,6.439038,155771.3,1.550884456
16,0.1200743,-0.1661124,0.080807908,41.11563,6.159408,156063.6,1.553794642
16,0.1193059,-0.1660587,0.070707084,41.17862,5.858266,156342,1.556566438
16,0.1185375,-0.166005,0.06060626,41.47156,5.49031,156582,1.558955917
16,0.1177691,-0.1659513,0.050505436,41.97445,5.058621,156784.9,1.560976023
16,0.1170007,-0.1658976,0.040404611,42.79368,4.577458,156979.8,1.562916479
16,0.1162322,-0.1658439,0.030302473,44.47523,3.954979,157154.8,1.564658807
16,0.1154638,-0.1657902,0.020201648,47.62437,3.091538,156952.3,1.562642684
16,0.1146954,-0.1657364,0.010100824,53.74129,1.60674,154592.9,1.539152113
14.788,0.1892316,-0.1709462,0.989899176,72.79623,1.277148,157698.8,1.57007496
14.788,0.1884632,-0.1708925,0.979798352,70.19155,2.089173,160782.9,1.600780762
14.788,0.1876948,-0.1708388,0.969697527,67.61941,2.638639,162065.8,1.613553524
14.788,0.1869264,-0.1707851,0.959596703,65.14166,3.015856,162895.9,1.621818135
14.788,0.186158,-0.1707314,0.949495879,62.83277,3.282861,163496.1,1.627793824
14.788,0.1853896,-0.1706776,0.939395055,60.62663,3.499879,163951.9,1.632331843
14.788,0.1846212,-0.1706239,0.929294231,58.56623,3.66416,164218.6,1.634987152
14.788,0.1838528,-0.1705702,0.919193406,56.54446,3.81794,164411.4,1.6369067
14.788,0.1830844,-0.1705165,0.909092582,54.69881,3.918395,164262.2,1.63542124
14.788,0.182316,-0.1704628,0.898991758,52.85271,4.019589,164111.7,1.633922838
14.788,0.1815476,-0.1704091,0.888890934,51.0062,4.121539,163960.1,1.632413483
14.788,0.1807791,-0.1703554,0.878788795,49.49145,4.173761,163542.3,1.628253799
14.788,0.1800108,-0.1703017,0.868689285,47.9913,4.224586,163112.9,1.623978622
14.788,0.1792423,-0.170248,0.858587147,46.49191,4.276311,162683.5,1.619703446
14.788,0.1784739,-0.1701943,0.848486322,45.38377,4.304838,162286.3,1.615748858
14.788,0.1777055,-0.1701406,0.838385498,44.41352,4.325289,161900.9,1.611911753
14.788,0.1769371,-0.1700869,0.828284674,43.44415,4.345869,161516.1,1.608080621
14.788,0.1761687,-0.1700332,0.81818385,42.78182,4.374788,161259.9,1.605529852
14.788,0.1754003,-0.1699794,0.808083026,42.39325,4.410716,161118.2,1.604119064
14.788,0.1746319,-0.1699257,0.797982201,42.00456,4.446322,160976.3,1.602706284
14.788,0.1738635,-0.169872,0.787881377,41.71629,4.48763,160877,1.601717637
14.788,0.1730951,-0.1698183,0.777780553,41.64727,4.542481,160871.8,1.601665865
14.788,0.1723267,-0.1697646,0.767679729,41.57769,4.597254,160866.5,1.601613098
14.788,0.1715583,-0.1697109,0.757578904,41.51206,4.653047,160859.5,1.601543404
14.788,0.1707899,-0.1696572,0.74747808,41.48541,4.717886,160840,1.601349259
14.788,0.1700215,-0.1696035,0.737377256,41.45786,4.781833,160820.6,1.60115611
14.788,0.1692531,-0.1695498,0.727276432,41.42859,4.844335,160801.3,1.600963956
14.788,0.1684847,-0.1694961,0.717175608,41.36528,4.913744,160755.4,1.600506968
14.788,0.1677163,-0.1694424,0.707074783,41.29741,4.983376,160706.3,1.60001812
14.788,0.1669479,-0.1693887,0.696973959,41.22903,5.052617,160657.2,1.599529273
14.788,0.1661795,-0.1693349,0.686873135,41.13635,5.123626,160600.9,1.598968741
14.788,0.1654111,-0.1692812,0.676772311,41.03325,5.19604,160541.7,1.598379336
14.788,0.1646427,-0.1692275,0.666671487,40.93046,5.268428,160482.3,1.59778794
14.788,0.1638743,-0.1691738,0.656570662,40.82767,5.340637,160425.1,1.597218447
14.788,0.1631059,-0.1691201,0.646469838,40.72488,5.412611,160370.7,1.596676832
14.788,0.1623375,-0.1690664,0.636369014,40.6224,5.484492,160316.5,1.596137208
14.788,0.161569,-0.1690127,0.626266875,40.52933,5.556699,160263.8,1.595612518
14.788,0.1608007,-0.168959,0.616167366,40.46206,5.630123,160215.2,1.595128649
14.788,0.1600322,-0.1689053,0.606065227,40.395,5.703342,160166.8,1.59464677
14.788,0.1592638,-0.1688516,0.595964403,40.33124,5.776379,160118.5,1.594165888
14.788,0.1584954,-0.1687979,0.585863578,40.32055,5.848724,160072.1,1.593703922
14.788,0.157727,-0.1687442,0.575762754,40.30966,5.920875,160025.8,1.593242951
14.788,0.1569586,-0.1686904,0.56566193,40.29869,5.992881,159979.7,1.592783972
14.788,0.1561902,-0.1686367,0.555561106,40.33933,6.065682,159941,1.592398669
14.788,0.1554218,-0.168583,0.545460282,40.38816,6.138092,159904,1.592030291
14.788,0.1546534,-0.1685293,0.535359457,40.4365,6.210126,159867.2,1.591663904
14.788,0.153885,-0.1684756,0.525258633,40.51885,6.282889,159835.8,1.59135128
14.788,0.1531166,-0.1684219,0.515157809,40.61998,6.356633,159807.8,1.591072508
14.788,0.1523482,-0.1683682,0.505056985,40.72161,6.43143,159780.2,1.590797718
14.788,0.1515798,-0.1683145,0.494956161,40.84157,6.506781,159753.9,1.590535871
14.788,0.1508114,-0.1682608,0.484855336,40.98334,6.581618,159729,1.590287962
14.788,0.150043,-0.1682071,0.474754512,41.12518,6.656503,159704.6,1.590045032
14.788,0.1492746,-0.1681534,0.464653688,41.27273,6.731851,159680.6,1.589806084
14.788,0.1485062,-0.1680997,0.454552864,41.43933,6.808542,159657.3,1.589574105
14.788,0.1477378,-0.168046,0.444452039,41.60597,6.885307,159634.4,1.589346109
14.788,0.1469694,-0.1679922,0.434351215,41.77393,6.961962,159612.4,1.589127073
14.788,0.146201,-0.1679385,0.424250391,41.95325,7.036995,159595.3,1.588956823
14.788,0.1454326,-0.1678848,0.414149567,42.13261,7.112127,159578.6,1.588790555
14.788,0.1446642,-0.1678311,0.404048743,42.31244,7.187178,159562.5,1.588630261
14.788,0.1438958,-0.1677774,0.393947918,42.50038,7.259168,159551.2,1.588517756
14.788,0.1431274,-0.1677237,0.383847094,42.68837,7.331274,159540.2,1.588408239
14.788,0.1423589,-0.16767,0.373744956,42.87686,7.403099,159529.8,1.588304694
14.788,0.1415906,-0.1676163,0.363645446,43.07081,7.470365,159521.3,1.588220067
14.788,0.1408221,-0.1675626,0.353543307,43.26483,7.537789,159513.2,1.588139422
14.788,0.1400537,-0.1675089,0.343442483,43.45997,7.603968,159504.8,1.58805579
14.788,0.1392853,-0.1674552,0.333341659,43.66019,7.663762,159493.8,1.587946273
14.788,0.1385169,-0.1674015,0.323240834,43.86053,7.723764,159483.2,1.587840737
14.788,0.1377485,-0.1673478,0.31314001,44.06189,7.780648,159470,1.587709316
14.788,0.1369801,-0.167294,0.303039186,44.26509,7.83138,159451.2,1.58752214
14.788,0.1362117,-0.1672403,0.292938362,44.46845,7.882339,159432.6,1.587336955
14.788,0.1354433,-0.1671866,0.282837538,44.66929,7.927054,159411.4,1.587125885
14.788,0.1346749,-0.1671329,0.272736713,44.86839,7.967332,159388.3,1.586895897
14.788,0.1339065,-0.1670792,0.262635889,45.06771,8.007871,159365.3,1.586666906
14.788,0.1331381,-0.1670255,0.252535065,45.25839,8.037113,159353.9,1.586553405
14.788,0.1323697,-0.1669718,0.242434241,45.44815,8.065117,159344.1,1.586455835
14.788,0.1316013,-0.1669181,0.232333417,45.63198,8.085844,159346.1,1.586475747
14.788,0.1308329,-0.1668644,0.222232592,45.79784,8.084533,159382.9,1.586842134
14.788,0.1300645,-0.1668107,0.212131768,45.9638,8.083416,159420,1.587211508
14.788,0.1292961,-0.166757,0.202030944,46.10768,8.052303,159515.2,1.588159334
14.788,0.1285277,-0.1667033,0.19193012,46.2414,8.009457,159638.2,1.589383943
14.788,0.1277593,-0.1666496,0.181829296,46.36793,7.958821,159777.7,1.590772827
14.788,0.1269909,-0.1665958,0.171728471,46.46226,7.867301,159986.9,1.592855657
14.788,0.1262225,-0.1665421,0.161627647,46.55172,7.769731,160197.6,1.59495342
14.788,0.1254541,-0.1664884,0.151526823,46.61042,7.634589,160442.1,1.597387702
14.788,0.1246857,-0.1664347,0.141425999,46.65637,7.488699,160703.1,1.59998626
14.788,0.1239173,-0.166381,0.131325175,46.68338,7.32414,160968.1,1.602624644
14.788,0.1231489,-0.1663273,0.12122435,46.67982,7.132515,161235.8,1.605289909
14.788,0.1223804,-0.1662736,0.111122212,46.67529,6.939433,161505.9,1.607979068
14.788,0.121612,-0.1662199,0.101021387,46.63883,6.699441,161746,1.610369543
14.788,0.1208436,-0.1661662,0.090920563,46.60171,6.460867,161989.2,1.612790882
14.788,0.1200752,-0.1661125,0.080819739,46.63471,6.161294,162170.9,1.614599917
14.788,0.1193068,-0.1660588,0.070718915,46.69182,5.840899,162332.9,1.616212815
14.788,0.1185384,-0.166005,0.060618091,46.94179,5.450973,162522.7,1.618102495
14.788,0.11777,-0.1659513,0.050517266,47.36869,4.995773,162737.3,1.620239087
14.788,0.1170016,-0.1658976,0.040416442,48.0195,4.487827,163013.8,1.622991966
14.788,0.1162332,-0.1658439,0.030315618,49.28432,3.831164,163462.2,1.62745631
