Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16,0.120787322,-0.088,0.010102,145441.3,331.6720001,1.448037292,1.153970069
16,0.121493504,-0.088,0.020202,149602.6,330.9724,1.489467873,1.151535985
16,0.122199825,-0.088,0.030304,152414,330.0385999,1.51745863,1.14828706
16,0.122906007,-0.088,0.040404,153987.2,329.0174001,1.533121665,1.14473405
16,0.123612329,-0.088,0.050506,154506.8,328.1736001,1.538294888,1.141798258
16,0.124318511,-0.088,0.060606,154617.2,327.6386001,1.539394048,1.139936859
16,0.125024833,-0.088,0.070708,154537.6,327.3204,1.538601537,1.138829761
16,0.125731015,-0.088,0.080808,154350.8,327.1095,1.536741726,1.138095987
16,0.126437266,-0.088,0.090909,154132.3,326.9598,1.534566305,1.137575143
16,0.127143518,-0.088,0.10101,153907.1,326.8430001,1.532324177,1.137168767
16,0.12784977,-0.088,0.111111,153682,326.7418999,1.530083044,1.136817014
16,0.128556022,-0.088,0.121212,153462.9,326.6472999,1.527901649,1.136487877
16,0.129262274,-0.088,0.131313,153257.5,326.5541,1.525856653,1.136163611
16,0.129968525,-0.088,0.141414,153060.2,326.4619,1.523892302,1.135842824
16,0.130674777,-0.088,0.151515,152885.5,326.3736999,1.522152961,1.135535954
16,0.131381029,-0.088,0.161616,152723.3,326.2899,1.520538071,1.135244393
16,0.132087281,-0.088,0.171717,152585,326.2141001,1.519161134,1.134980666
16,0.132793533,-0.088,0.181818,152460.6,326.1439999,1.517922587,1.13473677
16,0.133499785,-0.088,0.191919,152366.1,326.0861001,1.516981729,1.134535322
16,0.134206106,-0.088,0.202021,152273.6,326.0289001,1.516060784,1.134336309
16,0.134912288,-0.088,0.212121,152206.5,325.9820001,1.515392726,1.134173132
16,0.13561861,-0.088,0.222223,152141.6,325.935,1.514746571,1.134009607
16,0.136324792,-0.088,0.232323,152086.6999,325.8941999,1.514199977,1.133867653
16,0.137031114,-0.088,0.242425,152038.9,325.859,1.513724073,1.133745184
16,0.137737295,-0.088,0.252525,151991.2,325.8236999,1.513249164,1.133622366
16,0.138443617,-0.088,0.262627,151951.1,325.7951001,1.512849922,1.13352286
16,0.139149799,-0.088,0.272727,151914,325.7690999,1.512480548,1.133432399
16,0.139856121,-0.088,0.282829,151876.8,325.7432001,1.512110179,1.133342287
16,0.140562303,-0.088,0.292929,151845.1,325.7226,1.511794569,1.133270614
16,0.141268624,-0.088,0.303031,151817.5,325.7061999,1.511519778,1.133213554
16,0.141974806,-0.088,0.313131,151790,325.6898001,1.511245984,1.133156495
16,0.142681128,-0.088,0.323233,151766.4,325.6778001,1.511011018,1.133114744
16,0.14338731,-0.088,0.333333,151748.1,325.6721,1.510828821,1.133094912
16,0.144093632,-0.088,0.343435,151730.5,325.6665,1.510653592,1.133075428
16,0.144799814,-0.088,0.353535,151714.4,325.6620999,1.510493298,1.133060119
16,0.145506065,-0.088,0.363636,151703.2,325.6611,1.510381789,1.13305664
16,0.146212317,-0.088,0.373737,151692,325.6602001,1.51027028,1.133053509
16,0.146918569,-0.088,0.383838,151681.1,325.6595999,1.510161758,1.133051421
16,0.147624891,-0.088,0.39394,151673.3,325.6618001,1.5100841,1.133059076
16,0.148331073,-0.088,0.40404,151665.5,325.6639,1.510006442,1.133066382
16,0.149037325,-0.088,0.414141,151657.6,325.6660999,1.509927788,1.133074036
16,0.149743576,-0.088,0.424242,151649.6,325.6695001,1.509848139,1.133085866
16,0.150449898,-0.088,0.434344,151641.5,325.6728999,1.509767494,1.133097695
16,0.15115608,-0.088,0.444444,151633.4,325.6763001,1.509686849,1.133109525
16,0.151862402,-0.088,0.454546,151623.3,325.6806001,1.509586292,1.133124486
16,0.152568584,-0.088,0.464646,151612.7,325.6849999,1.509480756,1.133139794
16,0.153274905,-0.088,0.474748,151602.2,325.6893,1.509376217,1.133154755
16,0.153981087,-0.088,0.484848,151590.8,325.6962001,1.509262716,1.133178762
16,0.154687409,-0.088,0.49495,151579,325.7043001,1.509145234,1.133206944
