Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,ptr_MA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20013.34483,14.06990095,100606.39,100859.3897,287.5561318,287.7658533,153476.5004,153876.3269,334.6071428,334.0805489,1.525514437,1.163623744,1.525651972,1.160945766,0.796841322
20013.67485,14.28721982,100606.3617,100847.961,287.5560815,287.7563629,154475.3168,154807.7565,334.5303889,334.1521562,1.53544283,1.16335703,1.535060847,1.161232901,0.80840416
20013.80895,14.38065255,100606.3352,100843.3139,287.5560823,287.7525068,154642.2153,154958.8944,334.3691628,334.0282496,1.537102162,1.16279635,1.536630327,1.160817862,0.812659892
20013.99541,14.51619983,100606.2928,100836.8447,287.5561024,287.7471451,154636.4376,154937.9516,334.0218999,333.7122802,1.537045381,1.161588633,1.536521219,1.159741412,0.81806146
20014.15571,14.63803373,100606.2518,100831.2808,287.5561243,287.7425358,154417.4223,154710.3288,333.6112219,333.3125619,1.534869052,1.160160378,1.534348543,1.158370837,0.822251434
20014.36002,14.80143284,100606.2103,100824.1763,287.5561564,287.7366614,153890.6943,154181.0482,332.9646677,332.6640532,1.529634143,1.157911804,1.529207119,1.156140659,0.826933452
20014.36665,14.80675428,100606.2104,100823.9512,287.5561534,287.7364707,153870.8493,154161.3171,332.9411599,332.6403344,1.529436888,1.157830065,1.529014835,1.156058993,0.8270996
20014.51893,14.93446753,100606.1813,100818.6534,287.5561531,287.7320921,153305.391,153599.944,332.3690922,332.0608255,1.523816818,1.155840655,1.523527034,1.154062528,0.830113407
20014.88377,15.26184153,100606.1595,100805.993,287.5561012,287.7216023,151437.8388,151764.2758,330.7017162,330.3769386,1.505254147,1.150042426,1.505508465,1.148252116,0.836052622
20015.08033,15.45158799,100606.1525,100799.1891,287.5560624,287.7159512,150163.7026,150520.318,329.639141,329.316868,1.492589657,1.146347388,1.493269136,1.144590235,0.838484
20015.31842,15.69653089,100606.118,100790.9191,287.5560559,287.7091062,148208.2125,148615.5324,328.098707,327.7986186,1.473153079,1.140990427,1.474493276,1.139340436,0.839995893
20015.44156,15.83024626,100606.0924,100786.6381,287.5560678,287.7055663,146860.4422,147302.9087,327.1090838,326.8289843,1.459756945,1.137548883,1.461532118,1.135984223,0.839315544
20015.5419,15.94257907,100606.0723,100783.161,287.5560707,287.7026817,145476.7191,145953.3583,326.1413657,325.8834992,1.446003364,1.134183552,1.448191908,1.132709286,0.837351594
20015.59642,16.0054751,100606.0604,100781.2566,287.5560829,287.7011144,144505.1053,145003.1429,325.4935435,325.2512429,1.43634593,1.131930649,1.438790781,1.130517842,0.835127241
20015.64721,16.06447039,100606.0546,100779.5041,287.5560802,287.6996543,143320.395,143841.5672,324.7518531,324.5268866,1.424570277,1.12935137,1.42728989,1.128005827,0.831162652
20015.75278,16.1899016,100606.0351,100775.8524,287.5560713,287.6966194,135635.5329,136449.2128,320.7546439,320.6060617,1.348184856,1.11545078,1.353987187,1.114389395,0.778995349
20015.77428,16.21600849,100606.0374,100775.1127,287.5560713,287.6960014,128160.4305,129913.7108,318.3426582,318.2532659,1.27388409,1.1070629,1.289144783,1.106213727,0.674215015
