Corrected_mass_flow(kg/s),x_21(m),r_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
14.80675428,-0.165682874,0.113929,1.31E-05,87.05030189,17.7485543,151369.2676,1.504571806
14.80675428,-0.165772992,0.115218322,0.016961852,54.64259614,3.1181328,160047.4023,1.590830245
14.80675428,-0.16586311,0.116507644,0.033910559,48.95635765,4.973040636,161712.1516,1.607377428
14.80675428,-0.165953228,0.117796966,0.050859266,47.16230331,5.82461761,160900.5495,1.599310311
14.80675428,-0.166043345,0.119086288,0.067807973,45.92844939,6.53176141,159879.2369,1.589158724
14.80675428,-0.166133463,0.12037561,0.08475668,45.90701316,7.01812914,158736.0705,1.577795943
14.80675428,-0.166223581,0.121664932,0.101705387,45.92280762,7.426773951,157722.3427,1.567719748
14.80675428,-0.166313699,0.122954254,0.118654094,46.01940206,7.734428532,156883.1714,1.559378599
14.80675428,-0.166403817,0.124243576,0.135602801,45.98647492,7.96612296,156239.5685,1.552981351
14.80675428,-0.166493935,0.125532898,0.152551508,45.83619157,8.119198212,155758.3982,1.548198642
14.80675428,-0.166584052,0.12682222,0.169500215,45.60500961,8.196197999,155425.5461,1.544890177
14.80675428,-0.16667417,0.128111542,0.186448922,45.31295574,8.221536097,155204.2878,1.542690926
14.80675428,-0.166764288,0.129400864,0.203397629,44.99590186,8.202840737,155062.0772,1.541277389
14.80675428,-0.166854406,0.130690186,0.220346336,44.64675788,8.136484403,155016.6419,1.540825773
14.80675428,-0.166944524,0.131979508,0.237295043,44.29110312,8.055377011,154984.805,1.540509323
14.80675428,-0.167034641,0.133268831,0.254243749,43.91768104,7.938603726,155021.1871,1.540870952
14.80675428,-0.167124759,0.134558153,0.271192456,43.54646163,7.825567048,155056.5924,1.541222872
14.80675428,-0.167214877,0.135847475,0.288141163,43.17454033,7.696146442,155106.4962,1.541718902
14.80675428,-0.167304995,0.137136797,0.30508987,42.80388873,7.56429101,155159.8782,1.542249506
14.80675428,-0.167395113,0.138426119,0.322038577,42.43727473,7.434026851,155213.1331,1.542778846
14.80675428,-0.167485231,0.139715441,0.338987284,42.0811823,7.300227054,155268.7083,1.543331249
14.80675428,-0.167575348,0.141004763,0.355935991,41.72814781,7.169558214,155324.126,1.543882087
14.80675428,-0.167665466,0.142294085,0.372884698,41.39012864,7.042326099,155381.5402,1.544452769
14.80675428,-0.167755584,0.143583407,0.389833405,41.06840614,6.917481624,155440.6468,1.545040274
