Corrected_mass_flow(kg/s),x_30(m),r_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),Ttr_AA_15_30,ptr_AA_15_30
14.80675428,-0.088,0.120082,1.43E-05,137504.674,333.2704602,1.158975234,1.366761292
14.80675428,-0.088,0.121267034,0.01696297,151480.6976,333.6733126,1.160376186,1.505679391
14.80675428,-0.088,0.122452068,0.033911638,154566.7608,332.8594405,1.157545879,1.53635407
14.80675428,-0.088,0.123637102,0.050860305,156092.7168,331.9385295,1.154343336,1.551521683
14.80675428,-0.088,0.124822136,0.067808973,156624.8201,331.064988,1.151305524,1.556810653
14.80675428,-0.088,0.126007169,0.084757641,156502.1942,330.3529336,1.148829297,1.555591784
14.80675428,-0.088,0.127192203,0.101706309,156095.2161,329.805038,1.146923945,1.551546525
14.80675428,-0.088,0.128377237,0.118654976,155585.1807,329.3905719,1.145482605,1.546476904
14.80675428,-0.088,0.129562271,0.135603644,155076.2381,329.0712549,1.144372155,1.541418145
14.80675428,-0.088,0.130747305,0.152552312,154632.2035,328.8267713,1.143521943,1.537004554
14.80675428,-0.088,0.131932339,0.169500979,154269.2951,328.6299083,1.142837336,1.533397338
14.80675428,-0.088,0.133117373,0.186449647,153968.8994,328.4633861,1.142258241,1.530411482
14.80675428,-0.088,0.134302407,0.203398315,153747.9036,328.3312749,1.141798814,1.52821484
14.80675428,-0.088,0.135487441,0.220346983,153615.7804,328.2365346,1.141469347,1.526901568
14.80675428,-0.088,0.136672475,0.23729565,153520.1237,328.1571712,1.141193354,1.525950766
14.80675428,-0.088,0.137857508,0.254244318,153511.2297,328.1203853,1.141065428,1.525862361
14.80675428,-0.088,0.139042542,0.271192986,153514.9503,328.0898566,1.140959262,1.525899343
14.80675428,-0.088,0.140227576,0.288141654,153565.1836,328.0851759,1.140942984,1.526398649
14.80675428,-0.088,0.14141261,0.305090321,153626.3858,328.0866834,1.140948227,1.527006983
14.80675428,-0.088,0.142597644,0.322038989,153695.2613,328.0965754,1.140982627,1.527691589
14.80675428,-0.088,0.143782678,0.338987657,153772.3174,328.1153809,1.141048025,1.528457506
14.80675428,-0.088,0.144967712,0.355936324,153848.5046,328.1363705,1.141121018,1.529214788
14.80675428,-0.088,0.146152746,0.372884992,153921.0174,328.1688659,1.141234023,1.529935546
14.80675428,-0.088,0.14733778,0.38983366,153993.3636,328.2013242,1.1413469,1.530654649
14.80675428,-0.088,0.148522814,0.406782328,154061.382,328.2512363,1.141520473,1.531330735
14.80675428,-0.088,0.149707847,0.423730995,154128.4536,328.3044589,1.141705559,1.531997409
14.80675428,-0.088,0.150892881,0.440679663,154194.5992,328.3730518,1.141944096,1.532654879
14.80675428,-0.088,0.152077915,0.457628331,154259.8406,328.4560255,1.142232644,1.533303362
14.80675428,-0.088,0.153262949,0.474576998,154323.791,328.5467991,1.142548317,1.533939013
14.80675428,-0.088,0.154447983,0.491525666,154382.6853,328.6699344,1.14297653,1.534524407
14.80675428,-0.088,0.155633017,0.508474334,154441.0473,328.7927067,1.14340348,1.535104511
14.80675428,-0.088,0.156818051,0.525423002,154482.7019,328.9604098,1.143986682,1.535518547
14.80675428,-0.088,0.158003085,0.542371669,154521.1824,329.1340927,1.144590678,1.535901033
14.80675428,-0.088,0.159188119,0.559320337,154544.4779,329.3389994,1.145303258,1.536132584
14.80675428,-0.088,0.160373153,0.576269005,154555.4382,329.5693019,1.146104154,1.536241527
14.80675428,-0.088,0.161558186,0.593217672,154562.6453,329.8108728,1.146944236,1.536313164
14.80675428,-0.088,0.16274322,0.61016634,154557.3062,330.0924833,1.14792356,1.536260095
14.80675428,-0.088,0.163928254,0.627115008,154551.2903,330.3735603,1.148901028,1.536200298
14.80675428,-0.088,0.165113288,0.644063676,154545.3928,330.7029233,1.150046415,1.536141678
14.80675428,-0.088,0.166298322,0.661012343,154538.7847,331.0373926,1.151209559,1.536075995
14.80675428,-0.088,0.167483356,0.677961011,154523.4414,331.4303105,1.152575963,1.535923487
14.80675428,-0.088,0.16866839,0.694909679,154502.1937,331.8647084,1.154086617,1.53571229
14.80675428,-0.088,0.169853424,0.711858346,154466.7599,332.3329947,1.155715121,1.535360088
14.80675428,-0.088,0.171038458,0.728807014,154391.3116,332.8980938,1.157680299,1.53461015
14.80675428,-0.088,0.172223492,0.745755682,154316.4471,333.4623353,1.159642495,1.533866016
14.80675428,-0.088,0.173408525,0.76270435,154192.9314,334.1214338,1.161934564,1.532638302
14.80675428,-0.088,0.174593559,0.779653017,154066.4725,334.7851057,1.164242537,1.531381333
14.80675428,-0.088,0.175778593,0.796601685,153942.0206,335.4427486,1.166529544,1.530144313
14.80675428,-0.088,0.176963627,0.813550353,153823.1071,336.103992,1.168829072,1.528962343
14.80675428,-0.088,0.178148661,0.830499021,153744.9235,336.8043235,1.171264532,1.528185219
14.80675428,-0.088,0.179333695,0.847447688,153695.5236,337.5991697,1.174028675,1.527694195
14.80675428,-0.088,0.180518729,0.864396356,153674.137,338.5131599,1.17720715,1.527481618
14.80675428,-0.088,0.181703763,0.881345024,153677.9769,339.6305062,1.181092813,1.527519786
14.80675428,-0.088,0.182888797,0.898293691,153679.2322,340.9814047,1.185790673,1.527532263
14.80675428,-0.088,0.184073831,0.915242359,153614.8311,342.5313978,1.1911809,1.526892133
14.80675428,-0.088,0.185258864,0.932191027,153335.8556,344.3052242,1.197349527,1.524119187
14.80675428,-0.088,0.186443898,0.949139695,152694.8573,346.2932238,1.204262957,1.517747828
14.80675428,-0.088,0.187628932,0.966088362,151456.7434,348.5561781,1.212132566,1.505441293
14.80675428,-0.088,0.188813966,0.98303703,149199.1454,350.9902708,1.220597322,1.483001347
14.80675428,-0.088,0.189999,0.999985698,137449.5324,352.0289784,1.224209512,1.366213198
16.0054751,-0.088,0.120082,1.43E-05,123688.142,330.0654965,1.147829992,1.22943033
16.0054751,-0.088,0.121267034,0.01696297,140339.7034,330.3856725,1.148943431,1.394942838
16.0054751,-0.088,0.122452068,0.033911638,144882.5644,329.1567392,1.144669714,1.440097782
16.0054751,-0.088,0.123637102,0.050860305,147422.0516,327.8230859,1.140031824,1.465339673
16.0054751,-0.088,0.124822136,0.067808973,148447.9722,326.6330705,1.135893448,1.475537077
16.0054751,-0.088,0.126007169,0.084757641,148411.2015,325.7513511,1.132827196,1.475171585
16.0054751,-0.088,0.127192203,0.101706309,147990.2247,325.1347124,1.130682784,1.470987177
16.0054751,-0.088,0.128377237,0.118654976,147502.2447,324.7128745,1.129215808,1.466136773
16.0054751,-0.088,0.129562271,0.135603644,147070.5279,324.4234591,1.128209342,1.461845613
16.0054751,-0.088,0.130747305,0.152552312,146758.3294,324.2290871,1.127533397,1.458742435
16.0054751,-0.088,0.131932339,0.169500979,146553.5205,324.080862,1.127017932,1.456706683
16.0054751,-0.088,0.133117373,0.186449647,146412.3806,323.9570956,1.126587524,1.455303787
16.0054751,-0.088,0.134302407,0.203398315,146339.5461,323.8571177,1.126239843,1.454579829
16.0054751,-0.088,0.135487441,0.220346983,146310.2286,323.7786939,1.125967118,1.45428842
16.0054751,-0.088,0.136672475,0.23729565,146298.6589,323.7091236,1.125725181,1.45417342
16.0054751,-0.088,0.137857508,0.254244318,146303.0097,323.6621736,1.125561909,1.454216666
16.0054751,-0.088,0.139042542,0.271192986,146309.5591,323.6185202,1.125410101,1.454281766
16.0054751,-0.088,0.140227576,0.288141654,146318.4302,323.5887697,1.125306641,1.454369943
16.0054751,-0.088,0.14141261,0.305090321,146327.7084,323.5623146,1.125214641,1.454462165
16.0054751,-0.088,0.142597644,0.322038989,146331.5637,323.5403654,1.125138311,1.454500486
16.0054751,-0.088,0.143782678,0.338987657,146329.6089,323.5232059,1.125078637,1.454481056
16.0054751,-0.088,0.144967712,0.355936324,146324.5149,323.5062808,1.125019779,1.454430422
16.0054751,-0.088,0.146152746,0.372884992,146303.8886,323.4907194,1.124965663,1.454225403
16.0054751,-0.088,0.14733778,0.38983366,146283.0618,323.4751179,1.124911407,1.454018389
16.0054751,-0.088,0.148522814,0.406782328,146249.3997,323.4606086,1.12486095,1.453683796
16.0054751,-0.088,0.149707847,0.423730995,146213.1356,323.4462768,1.12481111,1.453323339
16.0054751,-0.088,0.150892881,0.440679663,146173.8425,323.4345927,1.124770477,1.452932775
16.0054751,-0.088,0.152077915,0.457628331,146131.6961,323.4253921,1.124738482,1.45251385
16.0054751,-0.088,0.153262949,0.474576998,146088.9691,323.4181198,1.124713192,1.452089154
16.0054751,-0.088,0.154447983,0.491525666,146044.306,323.4188501,1.124715731,1.451645214
16.0054751,-0.088,0.155633017,0.508474334,145999.2416,323.4194131,1.124717689,1.451197285
16.0054751,-0.088,0.156818051,0.525423002,145940.7475,323.432068,1.124761698,1.450615867
16.0054751,-0.088,0.158003085,0.542371669,145879.7846,323.446185,1.12481079,1.450009911
16.0054751,-0.088,0.159188119,0.559320337,145805.419,323.4707838,1.124896335,1.449270735
16.0054751,-0.088,0.160373153,0.576269005,145720.1689,323.50397,1.125011743,1.448423369
16.0054751,-0.088,0.161558186,0.593217672,145633.1693,323.5433198,1.125148585,1.447558615
16.0054751,-0.088,0.16274322,0.61016634,145538.3421,323.6037253,1.12535865,1.446616055
16.0054751,-0.088,0.163928254,0.627115008,145439.7525,323.6634436,1.125566325,1.445636098
16.0054751,-0.088,0.165113288,0.644063676,145358.4048,323.7540121,1.125881285,1.444827521
16.0054751,-0.088,0.166298322,0.661012343,145278.2961,323.8476771,1.126207013,1.44403126
16.0054751,-0.088,0.167483356,0.677961011,145217.6163,323.9654089,1.126616435,1.443428118
16.0054751,-0.088,0.16866839,0.694909679,145170.9672,324.1004357,1.127086001,1.442964437
16.0054751,-0.088,0.169853424,0.711858346,145122.0594,324.246929,1.127595444,1.442478305
16.0054751,-0.088,0.171038458,0.728807014,145067.2581,324.4261032,1.128218537,1.441933593
16.0054751,-0.088,0.172223492,0.745755682,145012.9718,324.6053486,1.128841878,1.441394001
16.0054751,-0.088,0.173408525,0.76270435,144919.5134,324.8246021,1.12960435,1.440465047
16.0054751,-0.088,0.174593559,0.779653017,144823.6244,325.0464948,1.130376,1.439511933
16.0054751,-0.088,0.175778593,0.796601685,144666.0845,325.3223393,1.131335272,1.437946024
16.0054751,-0.088,0.176963627,0.813550353,144490.4106,325.6156544,1.132355299,1.436199868
16.0054751,-0.088,0.178148661,0.830499021,144226.8799,325.9981623,1.133685502,1.433580437
16.0054751,-0.088,0.179333695,0.847447688,143889.7757,326.4706183,1.135328507,1.430229702
