Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,ptr_MA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20012.3829,14.10525511,100636.6959,100892.8127,287.5810833,287.7935178,160142.9425,160642.5132,337.2869492,337.1386357,1.591297697,1.172841222,1.592209681,1.171460144,0.827830581
20012.56153,14.21905164,100636.698,100886.6324,287.5810683,287.7883802,160066.5293,160515.1097,336.8787218,336.7642261,1.590538367,1.171421762,1.591044382,1.170180067,0.83314244
20012.72176,14.32520479,100636.6942,100881.0868,287.5810587,287.7837719,159916.4408,160327.4008,336.4852057,336.386821,1.589047038,1.170053435,1.58927115,1.168887386,0.837707664
20012.88963,14.4408382,100636.6905,100875.2836,287.5810485,287.778944,159683.4829,160063.1629,336.0507708,335.9552824,1.586732256,1.168542825,1.586743126,1.167407447,0.842273901
20013.04074,14.54934718,100636.682,100870.0456,287.5810516,287.7745982,159417.8926,159775.2808,335.6373742,335.5369471,1.584093289,1.167105316,1.583971533,1.165971386,0.846292955
20013.17852,14.65163801,100636.6685,100865.2787,287.5810446,287.7706361,159127.964,159469.394,335.2370624,335.1277828,1.581212558,1.165713348,1.581013764,1.164565597,0.849919235
20013.23546,14.69510998,100636.664,100863.3045,287.5810474,287.7689985,158996.2243,159332.1549,335.058491,334.9452698,1.579903566,1.165092394,1.579684064,1.16393799,0.851527939
20013.37354,14.80173276,100636.5357,100858.5257,287.5809473,287.7650277,158452.5138,158772.7046,334.5159237,334.3868896,1.574502865,1.16320614,1.574212031,1.162013648,0.854763774
20013.6155,15.00156843,100636.6364,100850.1566,287.5810441,287.7580697,157863.7974,158178.1504,333.786128,333.6332815,1.568651367,1.160668044,1.568447246,1.159422851,0.861061705
20013.89357,15.24607886,100636.6102,100840.5292,287.5810376,287.7500737,156633.4601,156954.871,332.6535692,332.4662863,1.556426233,1.156729846,1.556466158,1.155399483,0.867013702
20014.20113,15.53844163,100636.5807,100829.8841,287.5810146,287.7412298,154677.3596,155026.6764,331.0874581,330.8721957,1.536989418,1.151284129,1.537507236,1.14989498,0.871720521
20014.43994,15.78329529,100636.5453,100821.5947,287.5810045,287.7343634,152667.282,153054.3817,329.5789921,329.3611694,1.517016324,1.14603881,1.518071423,1.144670958,0.874044916
20014.58075,15.93535063,100636.5192,100816.7147,287.580995,287.7303147,151328.9067,151742.5847,328.5735737,328.3686424,1.503717615,1.142542725,1.505133203,1.14123756,0.875253368
20014.64523,16.00716451,100636.5035,100814.4776,287.5809927,287.7284606,150610.0672,151034.6191,328.0552093,327.8596193,1.496574921,1.140740235,1.498144143,1.139475805,0.875357111
20014.79506,16.18000993,100636.4727,100809.2794,287.5809942,287.7241528,147728.161,148170.7589,326.283251,326.1140521,1.467938581,1.134578632,1.469812697,1.133426057,0.868752733
20014.85179,16.24749877,100636.4566,100807.3017,287.5809989,287.7225219,143771.2221,144330.6811,324.225538,324.0335565,1.428619677,1.127423367,1.431748282,1.126201572,0.850158307
20014.88897,16.29200878,100636.4443,100806.0106,287.5809956,287.721453,135924.8881,137055.3138,320.4635696,320.4111079,1.350652729,1.114341957,1.35959466,1.113615633,0.789310778
