Corrected_mass_flow(kg/s),x_21(m),r_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
14.80173276,-0.165682874,0.113929,1.31E-05,88.11951743,-2.053774357,156720.618,1.557293451
14.80173276,-0.165772992,0.115218322,0.016961852,54.74717666,2.573884501,163542.3471,1.625079261
14.80173276,-0.16586311,0.116507644,0.033910559,50.23442854,4.329225014,165633.851,1.645862011
14.80173276,-0.165953228,0.117796966,0.050859266,48.7255683,5.351561529,164973.2393,1.639297678
14.80173276,-0.166043345,0.119086288,0.067807973,48.40964702,6.080423197,163852.9948,1.62816609
14.80173276,-0.166133463,0.12037561,0.08475668,48.53123936,6.655945783,162711.3201,1.616821555
14.80173276,-0.166223581,0.121664932,0.101705387,48.64440242,7.148235129,161630.4722,1.60608144
14.80173276,-0.166313699,0.122954254,0.118654094,48.66231512,7.562730012,160643.6195,1.596275333
14.80173276,-0.166403817,0.124243576,0.135602801,48.56993451,7.880177576,159797.353,1.587866195
14.80173276,-0.166493935,0.125532898,0.152551508,48.39150534,8.108975389,159112.1578,1.581057582
14.80173276,-0.166584052,0.12682222,0.169500215,48.14732696,8.254465682,158614.4568,1.576112052
14.80173276,-0.16667417,0.128111542,0.186448922,47.85705242,8.328402107,158309.367,1.573080451
14.80173276,-0.166764288,0.129400864,0.203397629,47.53166522,8.344891733,158175.5799,1.571751042
14.80173276,-0.166854406,0.130690186,0.220346336,47.17475747,8.318244773,158172.9719,1.571725127
14.80173276,-0.166944524,0.131979508,0.237295043,46.7876984,8.260412143,158257.1305,1.57256139
14.80173276,-0.167034641,0.133268831,0.254243749,46.37378911,8.181071369,158391.0966,1.573892578
14.80173276,-0.167124759,0.134558153,0.271192456,45.93970269,8.088180661,158549.2541,1.57546415
14.80173276,-0.167214877,0.135847475,0.288141163,45.49404308,7.987938827,158715.2146,1.577113257
14.80173276,-0.167304995,0.137136797,0.30508987,45.04626446,7.884209873,158878.2107,1.578732909
14.80173276,-0.167395113,0.138426119,0.322038577,44.60731859,7.778196616,159030.6485,1.580247645
14.80173276,-0.167485231,0.139715441,0.338987284,44.18095942,7.669538944,159173.3764,1.581665896
14.80173276,-0.167575348,0.141004763,0.355935991,43.7675734,7.557795906,159309.0735,1.583014284
14.80173276,-0.167665466,0.142294085,0.372884698,43.3663706,7.442920558,159440.2602,1.584317853
14.80173276,-0.167755584,0.143583407,0.389833405,42.97814713,7.324330536,159569.1411,1.585598511
