Corrected_mass_flow(kg/s),x_30(m),r_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),Ttr_AA_15_30,ptr_AA_15_30
14.80173276,-0.088,0.120082,1.43E-05,142602.7649,333.7959731,1.160702669,1.417007888
14.80173276,-0.088,0.121267034,0.01696297,156245.0392,334.3618794,1.162670485,1.552567744
14.80173276,-0.088,0.122452068,0.033911638,158651.7912,333.8402482,1.160856626,1.576483034
14.80173276,-0.088,0.123637102,0.050860305,159759.1563,333.2305782,1.158736632,1.587486644
14.80173276,-0.088,0.124822136,0.067808973,160101.726,332.5988655,1.156539989,1.590890673
14.80173276,-0.088,0.126007169,0.084757641,159982.6256,332.0122404,1.154500128,1.589707202
14.80173276,-0.088,0.127192203,0.101706309,159624.7191,331.4921017,1.152691459,1.586150776
14.80173276,-0.088,0.128377237,0.118654976,159121.0981,331.0351729,1.151102589,1.58114642
14.80173276,-0.088,0.129562271,0.135603644,158560.7894,330.6461405,1.149749813,1.575578773
14.80173276,-0.088,0.130747305,0.152552312,158034.1517,330.3131155,1.148591792,1.570345706
14.80173276,-0.088,0.131932339,0.169500979,157580.0393,330.0392338,1.147639428,1.565833305
14.80173276,-0.088,0.133117373,0.186449647,157212.0685,329.8243488,1.146892212,1.562176872
14.80173276,-0.088,0.134302407,0.203398315,156938.0035,329.6662999,1.146342632,1.559453556
14.80173276,-0.088,0.135487441,0.220346983,156760.3601,329.5591519,1.145970048,1.557688359
14.80173276,-0.088,0.136672475,0.23729565,156685.8296,329.4977441,1.145756515,1.556947768
14.80173276,-0.088,0.137857508,0.254244318,156706.0178,329.4728626,1.145669995,1.557148372
14.80173276,-0.088,0.139042542,0.271192986,156805.5199,329.4750124,1.145677471,1.5581371
14.80173276,-0.088,0.140227576,0.288141654,156951.1905,329.4906477,1.145731839,1.559584592
14.80173276,-0.088,0.14141261,0.305090321,157116.3953,329.5098699,1.14579868,1.56122619
14.80173276,-0.088,0.142597644,0.322038989,157283.3743,329.5274876,1.145859942,1.56288542
14.80173276,-0.088,0.143782678,0.338987657,157444.9783,329.5431136,1.145914278,1.564491237
14.80173276,-0.088,0.144967712,0.355936324,157600.2574,329.5585313,1.14596789,1.566034207
14.80173276,-0.088,0.146152746,0.372884992,157749.584,329.5754993,1.146026893,1.567518028
14.80173276,-0.088,0.14733778,0.38983366,157894.0052,329.5953044,1.14609576,1.568953105
14.80173276,-0.088,0.148522814,0.406782328,158033.2199,329.6186103,1.146176801,1.570336447
14.80173276,-0.088,0.149707847,0.423730995,158167.2248,329.6456805,1.146270932,1.57166802
14.80173276,-0.088,0.150892881,0.440679663,158293.4984,329.6771553,1.146380379,1.572922769
14.80173276,-0.088,0.152077915,0.457628331,158409.954,329.7148931,1.146511604,1.574079959
14.80173276,-0.088,0.153262949,0.474576998,158514.9233,329.7622701,1.146676347,1.575123013
14.80173276,-0.088,0.154447983,0.491525666,158608.5298,329.8244459,1.14689255,1.576053157
14.80173276,-0.088,0.155633017,0.508474334,158692.2562,329.9080163,1.147183148,1.576885126
14.80173276,-0.088,0.156818051,0.525423002,158768.2357,330.0206758,1.147574897,1.577640115
14.80173276,-0.088,0.158003085,0.542371669,158840.0898,330.1712306,1.148098418,1.578354111
14.80173276,-0.088,0.159188119,0.559320337,158913.3489,330.3695871,1.14878816,1.579082068
14.80173276,-0.088,0.160373153,0.576269005,158985.7338,330.6236055,1.149671453,1.579801339
14.80173276,-0.088,0.161558186,0.593217672,159055.9269,330.937045,1.15076137,1.58049883
14.80173276,-0.088,0.16274322,0.61016634,159124.4743,331.3078225,1.152050668,1.581179968
14.80173276,-0.088,0.163928254,0.627115008,159192.008,331.7288278,1.153514622,1.581851033
14.80173276,-0.088,0.165113288,0.644063676,159260.0513,332.1885276,1.155113128,1.582527162
14.80173276,-0.088,0.166298322,0.661012343,159336.2585,332.676662,1.156810509,1.583284414
14.80173276,-0.088,0.167483356,0.677961011,159419.523,333.1886081,1.15859069,1.584111792
14.80173276,-0.088,0.16866839,0.694909679,159499.8402,333.7261694,1.160459942,1.584909884
14.80173276,-0.088,0.169853424,0.711858346,159572.8759,334.3007364,1.162457873,1.585635622
