Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,ptr_MA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20012.49925,14.04952273,100630.1741,100888.969,287.5754841,287.7901715,158230.2215,158669.9785,336.542403,336.2410824,1.5723934,1.170275012,1.572718802,1.168354988,0.819978009
20012.68795,14.16774184,100630.1616,100882.4233,287.5754724,287.7847442,158572.0992,158973.473,336.3340852,336.1111752,1.575790963,1.169550666,1.575829246,1.167925618,0.826255297
20013.13645,14.47061181,100630.1094,100866.8722,287.5754575,287.7718457,158511.0854,158850.6384,335.4493809,335.2980693,1.575185462,1.166474302,1.57485441,1.165152444,0.839372351
20013.42608,14.68471847,100630.0597,100856.8276,287.5754561,287.7635168,158064.4518,158380.415,334.6934164,334.5396704,1.570747868,1.163845555,1.570348967,1.162550674,0.847163389
20013.58108,14.80552386,100630.0152,100851.4492,287.5754465,287.7590594,157683.0834,157990.0825,334.2148474,334.0509206,1.566958756,1.162181443,1.566562343,1.160870213,0.851134347
20013.63767,14.85144751,100630.0184,100849.4852,287.5754579,287.7574321,157527.9118,157833.4645,334.0367898,333.868215,1.565416705,1.161562229,1.565039863,1.160241849,0.852476312
20013.95187,15.11667469,100629.958,100838.5748,287.5754602,287.7483971,156335.3882,156642.3035,332.8633193,332.6616091,1.553567063,1.157481654,1.553396642,1.156085012,0.859387535
20014.29651,15.43464383,100629.8882,100826.5765,287.5754714,287.7384874,154427.4354,154761.4243,331.2455775,331.0138624,1.534608039,1.151856158,1.534926897,1.150398285,0.865473498
20014.57043,15.70941223,100629.8232,100817.0454,287.5754764,287.7306113,152481.0294,152859.1457,329.6888613,329.4564343,1.515266792,1.146442893,1.516203387,1.145016975,0.869398842
20014.72322,15.87205977,100629.7891,100811.7417,287.5754787,287.7262185,151165.6114,151574.4484,328.6758155,328.4566391,1.50219545,1.142920171,1.503539626,1.141559642,0.870965471
20014.84478,16.00739404,100629.7569,100807.4994,287.5754979,287.7227234,149864.872,150299.2265,327.7218841,327.5219936,1.48926994,1.139602944,1.490952831,1.138325085,0.871306336
20014.97087,16.15258211,100629.7269,100803.1236,287.5754986,287.7190981,147652.8999,148103.335,326.3188332,326.1494966,1.467289085,1.134724045,1.469233588,1.133569161,0.866765654
20015.03388,16.22743939,100629.7103,100800.928,287.5755049,287.7172866,143695.3326,144231.3608,324.2558302,324.0702276,1.427961306,1.127550242,1.430853501,1.12634952,0.84800872
20015.06949,16.27023861,100629.7016,100799.6884,287.5755072,287.7162629,135852.4838,136928.4276,320.4112625,320.3546658,1.350023716,1.114181335,1.35842114,1.113439548,0.789257608
20015.07916,16.28207037,100629.6965,100799.3451,287.5755111,287.7159849,128773.1772,131229.0962,318.6371018,318.7172802,1.279673712,1.108011947,1.301884413,1.107749645,0.677497883
