Corrected_mass_flow(kg/s),x_21(m),r_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
9.539775182,-0.165682874,0.113929,1.31E-05,88.00759764,6.672920997,121060.1801,1.201671095
9.539775182,-0.165772992,0.115218322,0.016961852,51.86216703,2.662784,124369.3885,1.234519055
9.539775182,-0.16586311,0.116507644,0.033910559,47.39187937,4.347146557,124824.4698,1.239036297
9.539775182,-0.165953228,0.117796966,0.050859266,45.54134506,5.281093282,124507.5089,1.235890071
9.539775182,-0.166043345,0.119086288,0.067807973,44.52507685,5.944099706,124117.5269,1.23201902
9.539775182,-0.166133463,0.12037561,0.08475668,44.29975779,6.404058958,123759.9855,1.228469981
9.539775182,-0.166223581,0.121664932,0.101705387,44.25894915,6.74768553,123454.7591,1.225440235
9.539775182,-0.166313699,0.122954254,0.118654094,44.22017181,7.019101257,123191.1086,1.222823179
9.539775182,-0.166403817,0.124243576,0.135602801,44.11404371,7.230748912,122966.1755,1.220590442
9.539775182,-0.166493935,0.125532898,0.152551508,43.91215253,7.370307703,122786.767,1.218809592
9.539775182,-0.166584052,0.12682222,0.169500215,43.68439324,7.465813357,122641.1272,1.217363938
9.539775182,-0.16667417,0.128111542,0.186448922,43.43502116,7.518920315,122522.3992,1.216185417
9.539775182,-0.166764288,0.129400864,0.203397629,43.16639945,7.521451099,122442.5647,1.215392961
9.539775182,-0.166854406,0.130690186,0.220346336,42.88394794,7.491786492,122385.1145,1.214822697
9.539775182,-0.166944524,0.131979508,0.237295043,42.59249932,7.44087766,122340.9676,1.214384485
9.539775182,-0.167034641,0.133268831,0.254243749,42.28820488,7.359085748,122312.4128,1.214101044
9.539775182,-0.167124759,0.134558153,0.271192456,41.97848611,7.261141334,122288.3543,1.213862233
9.539775182,-0.167214877,0.135847475,0.288141163,41.664897,7.151401365,122267.7245,1.213657457
9.539775182,-0.167304995,0.137136797,0.30508987,41.34653772,7.018580819,122248.9974,1.213471567
9.539775182,-0.167395113,0.138426119,0.322038577,41.02763039,6.879015094,122230.1736,1.213284718
9.539775182,-0.167485231,0.139715441,0.338987284,40.70758402,6.726366589,122210.8394,1.213092803
9.539775182,-0.167575348,0.141004763,0.355935991,40.38778759,6.564937993,122190.6685,1.212892582
9.539775182,-0.167665466,0.142294085,0.372884698,40.06824762,6.39855514,122170.1968,1.212689375
9.539775182,-0.167755584,0.143583407,0.389833405,39.74982687,6.224460255,122148.7902,1.212476888
9.539775182,-0.167845702,0.144872729,0.406782112,39.43209218,6.04930183,122127.43,1.212264862
9.539775182,-0.16793582,0.146162051,0.423730819,39.11658346,5.8709714,122104.9069,1.212041292
9.539775182,-0.168025938,0.147451373,0.440679526,38.80303149,5.692789058,122082.5126,1.211819001
9.539775182,-0.168116055,0.148740695,0.457628233,38.49334675,5.514605983,122059.8401,1.211593949
9.539775182,-0.168206173,0.150030017,0.47457694,38.18875121,5.337439615,122037.9246,1.21137641
9.539775182,-0.168296291,0.151319339,0.491525647,37.89027074,5.161483606,122016.7865,1.211166589
9.539775182,-0.168386409,0.152608661,0.508474353,37.59808079,4.986840583,121996.4344,1.210964569
9.539775182,-0.168476527,0.153897983,0.52542306,37.31298738,4.814235942,121976.7881,1.210769556
9.539775182,-0.168566644,0.155187305,0.542371767,37.03430013,4.643787297,121957.9782,1.210582844
9.539775182,-0.168656762,0.156476627,0.559320474,36.75913949,4.474125414,121940.0083,1.210404471
9.539775182,-0.16874688,0.157765949,0.576269181,36.48814007,4.306056938,121923.3505,1.210239122
9.539775182,-0.168836998,0.159055271,0.593217888,36.21929286,4.138924936,121907.4584,1.210081374
9.539775182,-0.168927116,0.160344593,0.610166595,35.95837991,3.974749613,121894.3725,1.209951479
9.539775182,-0.169017234,0.161633915,0.627115302,35.69951475,3.811232523,121882.148,1.209830136
9.539775182,-0.169107351,0.162923237,0.644064009,35.4568811,3.653077864,121873.0451,1.209739779
9.539775182,-0.169197469,0.164212559,0.661012716,35.21617575,3.495141431,121864.4506,1.209654468
9.539775182,-0.169287587,0.165501881,0.677961423,35.01202387,3.346096898,121857.1011,1.209581515
9.539775182,-0.169377705,0.166791203,0.69491013,34.81260877,3.19741077,121849.5166,1.20950623
9.539775182,-0.169467823,0.168080525,0.711858837,34.6712272,3.058202976,121832.545,1.209337766
9.539775182,-0.16955794,0.169369847,0.728807544,34.54314929,2.920071001,121814.2607,1.209156272
9.539775182,-0.169648058,0.170659169,0.745756251,34.49239354,2.789679417,121786.3048,1.208878775
9.539775182,-0.169738176,0.171948492,0.762704957,34.46257735,2.656287113,121753.8421,1.208556543
9.539775182,-0.169828294,0.173237814,0.779653664,34.52369272,2.53118517,121708.1868,1.208103357
9.539775182,-0.169918412,0.174527136,0.796602371,34.6372594,2.408063812,121652.2725,1.207548339
9.539775182,-0.17000853,0.175816458,0.813551078,34.861491,2.290503003,121574.5888,1.206777233
9.539775182,-0.170098647,0.17710578,0.830499785,35.22144422,2.173724188,121476.4205,1.205802792
9.539775182,-0.170188765,0.178395102,0.847448492,35.77571795,2.059649619,121349.7883,1.204545812
9.539775182,-0.170278883,0.179684424,0.864397199,36.72788433,1.956141068,121212.0167,1.20317826
9.539775182,-0.170369001,0.180973746,0.881345906,38.08993751,1.870218673,121062.9992,1.201699077
9.539775182,-0.170459119,0.182263068,0.898294613,40.2691812,1.8182857,120926.4678,1.200343836
9.539775182,-0.170549237,0.18355239,0.91524332,43.04158153,1.790022738,120799.0436,1.199078994
9.539775182,-0.170639354,0.184841712,0.932192027,46.63271363,1.766978942,120591.7588,1.197021438
9.539775182,-0.170729472,0.186131034,0.949140734,50.87454852,1.715404968,120306.2094,1.194187009
9.539775182,-0.17081959,0.187420356,0.966089441,55.77178581,1.557304254,119905.939,1.190213833
9.539775182,-0.170909708,0.188709678,0.983038148,61.39268618,1.130200025,119270.5643,1.183906958
9.539775182,-0.170999826,0.189999,0.999986855,67.43023334,0.316606869,111004.1329,1.101852466
10.43901352,-0.165682874,0.113929,1.31E-05,87.71441191,6.084121635,117804.2994,1.169775428
10.43901352,-0.165772992,0.115218322,0.016961852,47.7733611,2.767817243,121530.4653,1.206775584
10.43901352,-0.16586311,0.116507644,0.033910559,42.40461331,4.432748336,122092.7161,1.212358632
10.43901352,-0.165953228,0.117796966,0.050859266,40.11386247,5.331771652,121719.002,1.208647719
10.43901352,-0.166043345,0.119086288,0.067807973,38.85323933,5.94991424,121260.723,1.204097091
10.43901352,-0.166133463,0.12037561,0.08475668,38.49339867,6.343479851,120843.2133,1.199951295
10.43901352,-0.166223581,0.121664932,0.101705387,38.31344995,6.603489809,120528.0719,1.196821998
10.43901352,-0.166313699,0.122954254,0.118654094,38.13046408,6.780388298,120297.1874,1.194529356
10.43901352,-0.166403817,0.124243576,0.135602801,37.87778131,6.88862799,120143.7294,1.193005546
10.43901352,-0.166493935,0.125532898,0.152551508,37.54746886,6.918147322,120067.9762,1.192253331
10.43901352,-0.166584052,0.12682222,0.169500215,37.20872646,6.90619522,120022.3378,1.19180015
10.43901352,-0.16667417,0.128111542,0.186448922,36.86353045,6.861089449,119997.7773,1.191556268
10.43901352,-0.166764288,0.129400864,0.203397629,36.51371224,6.770626994,119991.9261,1.191498167
10.43901352,-0.166854406,0.130690186,0.220346336,36.15981182,6.656257289,119991.2859,1.191491809
10.43901352,-0.166944524,0.131979508,0.237295043,35.80326684,6.528602292,119992.9427,1.191508262
10.43901352,-0.167034641,0.133268831,0.254243749,35.44364995,6.387068553,119994.3522,1.191522258
10.43901352,-0.167124759,0.134558153,0.271192456,35.08705329,6.244350762,119990.6953,1.191485945
10.43901352,-0.167214877,0.135847475,0.288141163,34.73285481,6.100782296,119983.4161,1.191413664
10.43901352,-0.167304995,0.137136797,0.30508987,34.39492893,5.956979214,119961.6389,1.191197421
10.43901352,-0.167395113,0.138426119,0.322038577,34.06531302,5.811865256,119934.4036,1.190926979
10.43901352,-0.167485231,0.139715441,0.338987284,33.75137177,5.663598096,119896.601,1.190551606
10.43901352,-0.167575348,0.141004763,0.355935991,33.44913251,5.509873026,119850.9883,1.19009868
10.43901352,-0.167665466,0.142294085,0.372884698,33.15362505,5.353019291,119801.0437,1.189602739
10.43901352,-0.167755584,0.143583407,0.389833405,32.86832914,5.188249291,119743.4528,1.189030872
10.43901352,-0.167845702,0.144872729,0.406782112,32.58504872,5.021954172,119684.5207,1.188445687
10.43901352,-0.16793582,0.146162051,0.423730819,32.3078943,4.850583885,119620.1995,1.187806989
10.43901352,-0.168025938,0.147451373,0.440679526,32.03318561,4.678474153,119555.2299,1.187161852
10.43901352,-0.168116055,0.148740695,0.457628233,31.76380862,4.504664666,119488.3757,1.186498002
10.43901352,-0.168206173,0.150030017,0.47457694,31.50007466,4.331035551,119421.9224,1.185838133
10.43901352,-0.168296291,0.151319339,0.491525647,31.24320015,4.157592895,119355.8548,1.185182093
10.43901352,-0.168386409,0.152608661,0.508474353,30.99262702,3.984824059,119290.1871,1.184530025
10.43901352,-0.168476527,0.153897983,0.52542306,30.75004176,3.814189874,119224.9269,1.183882003
10.43901352,-0.168566644,0.155187305,0.542371767,30.5155176,3.646155468,119160.4999,1.183242254
10.43901352,-0.168656762,0.156476627,0.559320474,30.28481832,3.478559781,119096.7041,1.182608774
10.43901352,-0.16874688,0.157765949,0.576269181,30.05998513,3.314083467,119035.8896,1.182004897
10.43901352,-0.168836998,0.159055271,0.593217888,29.83777363,3.150767122,118976.4495,1.181414667
10.43901352,-0.168927116,0.160344593,0.610166595,29.62301364,2.992039535,118923.2578,1.180886483
10.43901352,-0.169017234,0.161633915,0.627115302,29.41005168,2.834254765,118871.7587,1.180375107
10.43901352,-0.169107351,0.162923237,0.644064009,29.20160711,2.682756722,118829.0902,1.179951416
10.43901352,-0.169197469,0.164212559,0.661012716,28.99366052,2.53175751,118787.6141,1.179539566
10.43901352,-0.169287587,0.165501881,0.677961423,28.79400306,2.389855099,118755.3463,1.179219152
10.43901352,-0.169377705,0.166791203,0.69491013,28.59561021,2.248608659,118723.4397,1.178902326
10.43901352,-0.169467823,0.168080525,0.711858837,28.4085576,2.116913812,118690.4958,1.178575199
10.43901352,-0.16955794,0.169369847,0.728807544,28.22763812,1.986726998,118657.4293,1.178246854
10.43901352,-0.169648058,0.170659169,0.745756251,28.08157802,1.866499021,118623.051,1.177905484
10.43901352,-0.169738176,0.171948492,0.762704957,27.95017298,1.748114493,118586.3406,1.177540956
10.43901352,-0.169828294,0.173237814,0.779653664,27.87868022,1.641220934,118540.292,1.177083702
10.43901352,-0.169918412,0.174527136,0.796602371,27.84613873,1.539341839,118486.1117,1.176545702
10.43901352,-0.17000853,0.175816458,0.813551078,27.89321245,1.447870731,118414.5963,1.175835566
10.43901352,-0.170098647,0.17710578,0.830499785,28.00753643,1.359612091,118324.0544,1.174936502
10.43901352,-0.170188765,0.178395102,0.847448492,28.21977016,1.277233908,118206.5573,1.173769776
10.43901352,-0.170278883,0.179684424,0.864397199,28.58145011,1.203320674,118051.5937,1.172231017
10.43901352,-0.170369001,0.180973746,0.881345906,29.09653179,1.14046688,117857.7335,1.17030602
10.43901352,-0.170459119,0.182263068,0.898294613,30.05399381,1.113733092,117586.6445,1.167614155
10.43901352,-0.170549237,0.18355239,0.91524332,31.33322849,1.113245489,117259.5758,1.164366422
10.43901352,-0.170639354,0.184841712,0.932192027,33.62095271,1.160235555,116687.7377,1.158688172
10.43901352,-0.170729472,0.186131034,0.949140734,36.94269022,1.2303288,115869.3164,1.150561397
10.43901352,-0.17081959,0.187420356,0.966089441,41.82665862,1.258431882,114757.0284,1.139516578
10.43901352,-0.170909708,0.188709678,0.983038148,48.85793478,1.037096744,113496.8329,1.127003064
10.43901352,-0.170999826,0.189999,0.999986855,58.61601177,0.243475741,107543.4576,1.067887121
