Corrected_mass_flow(kg/s),x_30(m),r_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),Ttr_AA_15_30,ptr_AA_15_30
9.539775182,-0.088,0.120082,1.43E-05,113767.4937,307.085019,1.067234823,1.129282218
9.539775182,-0.088,0.121267034,0.01696297,120529.5371,307.4290324,1.068430398,1.19640381
9.539775182,-0.088,0.122452068,0.033911638,122025.9137,307.1280803,1.067384477,1.211257187
9.539775182,-0.088,0.123637102,0.050860305,122697.2783,306.7348676,1.066017916,1.217921306
9.539775182,-0.088,0.124822136,0.067808973,122953.2709,306.35724,1.06470552,1.220462347
9.539775182,-0.088,0.126007169,0.084757641,122976.5913,306.0521161,1.063645101,1.220693832
9.539775182,-0.088,0.127192203,0.101706309,122844.2696,305.8327627,1.062882766,1.219380376
9.539775182,-0.088,0.128377237,0.118654976,122661.0533,305.667471,1.062308316,1.217561728
9.539775182,-0.088,0.129562271,0.135603644,122477.9568,305.5398435,1.061864763,1.215744271
9.539775182,-0.088,0.130747305,0.152552312,122311.7945,305.4373361,1.061508511,1.214094906
9.539775182,-0.088,0.131932339,0.169500979,122167.5923,305.3528304,1.061214822,1.212663522
9.539775182,-0.088,0.133117373,0.186449647,122045.5361,305.2820583,1.060968863,1.211451965
9.539775182,-0.088,0.134302407,0.203398315,121942.5972,305.2219105,1.060759827,1.210430169
9.539775182,-0.088,0.135487441,0.220346983,121867.0759,305.1761224,1.060600696,1.209680527
9.539775182,-0.088,0.136672475,0.23729565,121809.4401,305.1391592,1.060472235,1.209108421
9.539775182,-0.088,0.137857508,0.254244318,121762.3991,305.1077351,1.060363025,1.208641481
9.539775182,-0.088,0.139042542,0.271192986,121733.1717,305.0855598,1.060285957,1.208351363
9.539775182,-0.088,0.140227576,0.288141654,121705.7739,305.0643753,1.060212334,1.208079406
9.539775182,-0.088,0.14141261,0.305090321,121687.3356,305.0476332,1.060154149,1.207896384
9.539775182,-0.088,0.142597644,0.322038989,121669.4303,305.0311051,1.060096707,1.207718652
9.539775182,-0.088,0.143782678,0.338987657,121654.0744,305.0154219,1.060042202,1.207566226
9.539775182,-0.088,0.144967712,0.355936324,121638.7838,304.9995881,1.059987174,1.207414447
9.539775182,-0.088,0.146152746,0.372884992,121623.5394,304.9834748,1.059931174,1.207263128
9.539775182,-0.088,0.14733778,0.38983366,121608.0825,304.9671751,1.059874527,1.207109699
9.539775182,-0.088,0.148522814,0.406782328,121592.3916,304.9506339,1.05981704,1.206953948
9.539775182,-0.088,0.149707847,0.423730995,121577.287,304.9342389,1.059760061,1.206804017
9.539775182,-0.088,0.150892881,0.440679663,121562.6411,304.917948,1.059703444,1.206658638
9.539775182,-0.088,0.152077915,0.457628331,121549.3023,304.9026077,1.059650131,1.206526234
9.539775182,-0.088,0.153262949,0.474576998,121536.545,304.8877003,1.059598322,1.206399602
9.539775182,-0.088,0.154447983,0.491525666,121525.4789,304.8749313,1.059553945,1.206289758
9.539775182,-0.088,0.155633017,0.508474334,121514.7754,304.8626703,1.059511334,1.206183512
9.539775182,-0.088,0.156818051,0.525423002,121504.789,304.8535196,1.059479531,1.206084384
9.539775182,-0.088,0.158003085,0.542371669,121494.5822,304.8447361,1.059449006,1.205983069
9.539775182,-0.088,0.159188119,0.559320337,121479.8259,304.8386258,1.05942777,1.205836595
9.539775182,-0.088,0.160373153,0.576269005,121464.0066,304.8332245,1.059408998,1.205679569
9.539775182,-0.088,0.161558186,0.593217672,121443.2445,304.8313253,1.059402398,1.20547348
9.539775182,-0.088,0.16274322,0.61016634,121421.3569,304.8313668,1.059402542,1.205256218
9.539775182,-0.088,0.163928254,0.627115008,121396.8404,304.8359672,1.05941853,1.205012862
9.539775182,-0.088,0.165113288,0.644063676,121373.6252,304.8444447,1.059447993,1.204782423
9.539775182,-0.088,0.166298322,0.661012343,121352.1086,304.858127,1.059495544,1.204568844
9.539775182,-0.088,0.167483356,0.677961011,121334.0761,304.8781592,1.059565163,1.204389849
9.539775182,-0.088,0.16866839,0.694909679,121318.77,304.9032536,1.059652376,1.204237917
9.539775182,-0.088,0.169853424,0.711858346,121299.3436,304.9392785,1.059777576,1.204045087
9.539775182,-0.088,0.171038458,0.728807014,121278.1331,304.9804634,1.059920708,1.203834546
9.539775182,-0.088,0.172223492,0.745755682,121232.4525,305.0455379,1.060146866,1.20338111
9.539775182,-0.088,0.173408525,0.76270435,121181.3152,305.1162583,1.060392646,1.202873509
9.539775182,-0.088,0.174593559,0.779653017,121102.5442,305.2382902,1.060816753,1.20209161
9.539775182,-0.088,0.175778593,0.796601685,121015.8138,305.3828907,1.061319293,1.201230704
9.539775182,-0.088,0.176963627,0.813550353,120913.1669,305.578126,1.061997808,1.200211808
9.539775182,-0.088,0.178148661,0.830499021,120799.1487,305.8295239,1.06287151,1.199080037
9.539775182,-0.088,0.179333695,0.847447688,120678.815,306.1296926,1.063914708,1.197885577
9.539775182,-0.088,0.180518729,0.864396356,120553.5621,306.4885572,1.065161896,1.196642288
9.539775182,-0.088,0.181703763,0.881345024,120422.8768,306.9137292,1.066639527,1.195345076
9.539775182,-0.088,0.182888797,0.898293691,120276.6268,307.4112293,1.068368525,1.193893364
9.539775182,-0.088,0.184073831,0.915242359,120090.6294,307.9864083,1.070367486,1.192047113
9.539775182,-0.088,0.185258864,0.932191027,119816.4704,308.646431,1.072661311,1.189325747
9.539775182,-0.088,0.186443898,0.949139695,119408.7332,309.3638759,1.075154699,1.185278454
9.539775182,-0.088,0.187628932,0.966088362,118792.3527,310.0985302,1.077707897,1.17916012
9.539775182,-0.088,0.188813966,0.98303703,117805.7451,310.7903902,1.080112368,1.169366827
9.539775182,-0.088,0.189999,0.999985698,113484.6731,310.8806788,1.080426155,1.126474875
10.43901352,-0.088,0.120082,1.43E-05,108935.7332,305.7810288,1.062993821,1.081712167
10.43901352,-0.088,0.121267034,0.01696297,116922.9845,306.1219285,1.064178899,1.161024131
10.43901352,-0.088,0.122452068,0.033911638,118997.3861,305.6704891,1.062609549,1.181622564
10.43901352,-0.088,0.123637102,0.050860305,120019.585,305.1123933,1.060669428,1.191772815
10.43901352,-0.088,0.124822136,0.067808973,120342.4945,304.6046442,1.058904327,1.194979247
10.43901352,-0.088,0.126007169,0.084757641,120262.5092,304.2116451,1.057538135,1.194185008
10.43901352,-0.088,0.127192203,0.101706309,120048.4567,303.9386103,1.056588978,1.192059505
10.43901352,-0.088,0.128377237,0.118654976,119838.6354,303.744269,1.055913385,1.189976017
10.43901352,-0.088,0.129562271,0.135603644,119671.1282,303.6081338,1.055440135,1.188312702
10.43901352,-0.088,0.130747305,0.152552312,119552.7494,303.5101883,1.055099645,1.187137222
10.43901352,-0.088,0.131932339,0.169500979,119477.2373,303.4368674,1.054844757,1.1863874
10.43901352,-0.088,0.133117373,0.186449647,119433.1442,303.3794017,1.054644988,1.185949563
10.43901352,-0.088,0.134302407,0.203398315,119409.989,303.3322918,1.054481219,1.185719637
10.43901352,-0.088,0.135487441,0.220346983,119405.2418,303.2957151,1.054354067,1.185672497
10.43901352,-0.088,0.136672475,0.23729565,119405.2311,303.262743,1.054239445,1.185672391
10.43901352,-0.088,0.137857508,0.254244318,119407.318,303.2320034,1.054132584,1.185693114
10.43901352,-0.088,0.139042542,0.271192986,119403.7734,303.201492,1.054026516,1.185657917
10.43901352,-0.088,0.140227576,0.288141654,119399.0415,303.1708598,1.053920029,1.185610929
