Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,ptr_MA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20016.38724,14.33902478,100515.9555,100753.2038,287.4836412,287.6783814,153005.9705,153401.0983,334.1444069,333.6467599,1.522205801,1.162307551,1.522543131,1.159790869,0.798221745
20016.54741,14.45619534,100516.0052,100747.665,287.4834666,287.6737775,153342.8931,153708.7414,334.0003171,333.5640201,1.525556977,1.161807046,1.525680436,1.159521813,0.80401058
20016.70955,14.58014717,100516.0077,100742.0568,287.4833447,287.6691171,153426.2667,153774.9575,333.7308783,333.3351937,1.526386396,1.160870306,1.526422652,1.158745148,0.809048052
20016.99131,14.80981263,100515.9463,100732.2959,287.4832683,287.6610186,153055.2843,153392.1423,332.988056,332.624014,1.522696547,1.158286734,1.522770239,1.156305486,0.816685312
20016.9936,14.81153927,100515.9438,100732.223,287.483261,287.6609527,153049.9605,153386.8791,332.9807226,332.6165597,1.52264362,1.158261255,1.522719091,1.156279837,0.816747687
20017.16764,14.96465071,100515.9065,100726.1595,287.4833024,287.6559507,152525.7654,152864.3461,332.3616305,332.0020512,1.517429139,1.156107599,1.517623097,1.154163682,0.820793108
20017.29443,15.07949674,100515.8416,100721.7416,287.4832962,287.6523068,151915.8319,152263.7537,331.7805424,331.4142576,1.511362085,1.154086331,1.511726776,1.152134886,0.823267717
20017.60635,15.38119002,100515.7795,100710.8752,287.4832288,287.6433421,150028.9333,150416.6352,330.1195896,329.7469945,1.492590855,1.148309037,1.493549082,1.146374507,0.828264824
20017.98116,15.77573122,100515.7292,100697.86,287.4829638,287.6325708,146754.6931,147221.1089,327.5166629,327.1800438,1.460017197,1.139255901,1.462008318,1.137493028,0.830517902
20018.18622,16.00900922,100515.7018,100690.7864,287.4828311,287.6266779,143567.8932,144104.3883,325.3282954,325.0469594,1.428313095,1.131644259,1.431157641,1.130100176,0.82416043
20018.19654,16.02102113,100515.6938,100690.427,287.482823,287.6263813,143229.538,143775.3446,325.119167,324.8430947,1.424947017,1.130916844,1.427894875,1.129392559,0.822900906
20018.31191,16.1597094,100515.6763,100686.425,287.4827829,287.6230662,135547.4829,136394.7778,321.1014335,320.9082084,1.348520826,1.11694144,1.354649127,1.115724871,0.770675693
20018.33954,16.19321513,100515.6757,100685.4819,287.4827645,287.622272,128376.5338,130021.174,318.5215706,318.4413647,1.277179236,1.107967537,1.291359704,1.107151273,0.675700213
