Corrected_mass_flow(kg/s),x_21(m),r_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
14.81153927,-0.165682874,0.113929,1.31E-05,88.39760739,48.91806937,151745.1494,1.509662484
14.81153927,-0.165772992,0.115218322,0.016961852,54.45967697,3.411219506,158383.3081,1.575703338
14.81153927,-0.16586311,0.116507644,0.033910559,49.69338487,5.078615018,159676.11,1.588564998
14.81153927,-0.165953228,0.117796966,0.050859266,47.53910924,5.942197208,159238.2829,1.5842092
14.81153927,-0.166043345,0.119086288,0.067807973,45.61326866,6.752407808,158772.4128,1.579574412
14.81153927,-0.166133463,0.12037561,0.08475668,45.41165027,7.108137681,158074.8727,1.572634816
14.81153927,-0.166223581,0.121664932,0.101705387,45.21001355,7.457333705,157388.2297,1.565803631
14.81153927,-0.166313699,0.122954254,0.118654094,45.12872223,7.666400671,156818.9955,1.560140507
14.81153927,-0.166403817,0.124243576,0.135602801,45.09939061,7.815961473,156301.4145,1.554991265
14.81153927,-0.166493935,0.125532898,0.152551508,45.06113055,7.955130966,155804.8368,1.550050976
14.81153927,-0.166584052,0.12682222,0.169500215,44.8342849,7.95116242,155626.7851,1.548279599
14.81153927,-0.16667417,0.128111542,0.186448922,44.63063253,7.992944257,155449.8723,1.546519551
14.81153927,-0.166764288,0.129400864,0.203397629,44.42399362,8.047794993,155292.1489,1.544950413
14.81153927,-0.166854406,0.130690186,0.220346336,44.11641846,7.983841814,155212.4728,1.544157742
14.81153927,-0.166944524,0.131979508,0.237295043,43.80886205,7.921033847,155135.1764,1.543388746
14.81153927,-0.167034641,0.133268831,0.254243749,43.50132463,7.859337762,155060.2054,1.542642884
14.81153927,-0.167124759,0.134558153,0.271192456,43.19558249,7.737638665,155026.9433,1.54231197
14.81153927,-0.167214877,0.135847475,0.288141163,42.90141889,7.646490334,155001.1467,1.542055328
14.81153927,-0.167304995,0.137136797,0.30508987,42.5984857,7.546451796,154981.5208,1.541860076
14.81153927,-0.167395113,0.138426119,0.322038577,42.30195087,7.444174724,154972.8524,1.541773837
14.81153927,-0.167485231,0.139715441,0.338987284,42.02033974,7.330401274,154977.3592,1.541818674
14.81153927,-0.167575348,0.141004763,0.355935991,41.73785297,7.215312787,154983.5236,1.541880002
14.81153927,-0.167665466,0.142294085,0.372884698,41.45451448,7.098944996,154991.2986,1.541957353
14.81153927,-0.167755584,0.143583407,0.389833405,41.18988208,6.980111714,155022.2049,1.542264829
14.81153927,-0.167845702,0.144872729,0.406782112,40.94870163,6.859588123,155080.7568,1.542847343
14.81153927,-0.16793582,0.146162051,0.423730819,40.70716489,6.739110427,155140.2128,1.543438851
14.81153927,-0.168025938,0.147451373,0.440679526,40.46530282,6.618671273,155200.5261,1.544038889
14.81153927,-0.168116055,0.148740695,0.457628233,40.23186566,6.497604785,155267.624,1.544706424
14.81153927,-0.168206173,0.150030017,0.47457694,40.05102699,6.371684131,155368.3877,1.545708889
14.81153927,-0.168296291,0.151319339,0.491525647,39.87085989,6.246348948,155469.8935,1.546718736
14.81153927,-0.168386409,0.152608661,0.508474353,39.69134734,6.121584407,155572.1188,1.547735742
14.81153927,-0.168476527,0.153897983,0.52542306,39.51247287,5.997376161,155675.0413,1.548759684
14.81153927,-0.168566644,0.155187305,0.542371767,39.3597931,5.871095276,155763.0994,1.549635744
14.81153927,-0.168656762,0.156476627,0.559320474,39.24888048,5.740457261,155826.0839,1.550262357
14.81153927,-0.16874688,0.157765949,0.576269181,39.13898469,5.610072308,155889.2059,1.550890337
14.81153927,-0.168836998,0.159055271,0.593217888,39.03005772,5.479863667,155952.3558,1.551518594
14.81153927,-0.168927116,0.160344593,0.610166595,38.92207619,5.349827085,156015.5349,1.552147142
14.81153927,-0.169017234,0.161633915,0.627115302,38.83472401,5.19332996,156025.0581,1.552241886
14.81153927,-0.169107351,0.162923237,0.644064009,38.77223656,5.03496545,156001.667,1.552009175
14.81153927,-0.169197469,0.164212559,0.661012716,38.72569233,4.893648706,155977.0455,1.551764224
14.81153927,-0.169287587,0.165501881,0.677961423,38.68955161,4.760600985,155955.3021,1.551547906
14.81153927,-0.169377705,0.166791203,0.69491013,38.6573079,4.630839766,155935.0079,1.551346006
14.81153927,-0.169467823,0.168080525,0.711858837,38.71843002,4.478746637,155770.3056,1.549707436
14.81153927,-0.16955794,0.169369847,0.728807544,38.79236811,4.322110037,155583.6049,1.547850013
14.81153927,-0.169648058,0.170659169,0.745756251,38.86571734,4.16503125,155396.7914,1.545991467
14.81153927,-0.169738176,0.171948492,0.762704957,38.93849098,4.007520255,155209.8629,1.544131777
14.81153927,-0.169828294,0.173237814,0.779653664,39.07922413,3.856497405,155022.1994,1.542264775
14.81153927,-0.169918412,0.174527136,0.796602371,39.78955784,3.762039345,154829.8423,1.540351077
14.81153927,-0.17000853,0.175816458,0.813551078,40.49870589,3.667042266,154636.6468,1.538429039
14.81153927,-0.170098647,0.17710578,0.830499785,41.20669422,3.571517956,154442.6294,1.536498824
14.81153927,-0.170188765,0.178395102,0.847448492,41.91354797,3.47547786,154247.8046,1.534560576
14.81153927,-0.170278883,0.179684424,0.864397199,43.41954676,3.407768769,154429.7592,1.536370782
14.81153927,-0.170369001,0.180973746,0.881345906,46.46864938,3.396960528,155334.17,1.545368468
14.81153927,-0.170459119,0.182263068,0.898294613,49.5180104,3.38809801,156230.8674,1.554289415
14.81153927,-0.170549237,0.18355239,0.91524332,52.5710217,3.379190415,157131.6955,1.563251456
14.81153927,-0.170639354,0.184841712,0.932192027,55.62692059,3.370958892,158032.6819,1.572215073
14.81153927,-0.170729472,0.186131034,0.949140734,59.45932856,3.104462564,158444.0576,1.576307714
14.81153927,-0.17081959,0.187420356,0.966089441,63.87827779,2.643502295,158481.4972,1.576680189
14.81153927,-0.170909708,0.188709678,0.983038148,68.95253051,1.623034769,157314.6711,1.56507182
14.81153927,-0.170999826,0.189999,0.999986855,73.15930596,1.207238936,128615.0712,1.279548959
16.00900922,-0.165682874,0.113929,1.31E-05,88.40033563,48.88804259,140940.7515,1.402176465
16.00900922,-0.165772992,0.115218322,0.016961852,50.85715655,3.82640255,147609.0678,1.468517506
16.00900922,-0.16586311,0.116507644,0.033910559,44.71972173,5.449174957,149804.6105,1.49036029
16.00900922,-0.165953228,0.117796966,0.050859266,41.88394009,6.191225972,149943.6619,1.49174367
16.00900922,-0.166043345,0.119086288,0.067807973,39.33293004,6.869040178,150020.0924,1.492504054
16.00900922,-0.166133463,0.12037561,0.08475668,38.91333245,7.004977452,149603.291,1.488357423
16.00900922,-0.166223581,0.121664932,0.101705387,38.49779381,7.141638768,149189.9619,1.484245338
16.00900922,-0.166313699,0.122954254,0.118654094,38.24949168,7.170905552,148830.8042,1.480672189
16.00900922,-0.166403817,0.124243576,0.135602801,38.07315797,7.15516742,148494.5576,1.477326974
16.00900922,-0.166493935,0.125532898,0.152551508,37.8950812,7.138273976,148171.0871,1.474108865
16.00900922,-0.166584052,0.12682222,0.169500215,37.64274706,7.092019831,148082.2926,1.473225475
16.00900922,-0.16667417,0.128111542,0.186448922,37.41080358,7.066800722,147986.1595,1.472269076
16.00900922,-0.166764288,0.129400864,0.203397629,37.18384426,7.054594679,147893.9754,1.471351964
16.00900922,-0.166854406,0.130690186,0.220346336,36.90618468,6.984036364,147808.6978,1.470503564
16.00900922,-0.166944524,0.131979508,0.237295043,36.6291401,6.914367227,147725.5376,1.469676229
16.00900922,-0.167034641,0.133268831,0.254243749,36.35269335,6.84556156,147644.4331,1.468869345
16.00900922,-0.167124759,0.134558153,0.271192456,36.0941761,6.738647959,147560.333,1.468032659
16.00900922,-0.167214877,0.135847475,0.288141163,35.84630894,6.64013687,147477.8845,1.467212404
16.00900922,-0.167304995,0.137136797,0.30508987,35.58532013,6.532040714,147403.3401,1.466470785
16.00900922,-0.167395113,0.138426119,0.322038577,35.32651017,6.415140372,147333.2529,1.465773509
16.00900922,-0.167485231,0.139715441,0.338987284,35.08028182,6.286006867,147263.8965,1.465083502
16.00900922,-0.167575348,0.141004763,0.355935991,34.83266669,6.155476342,147196.8055,1.464416035
16.00900922,-0.167665466,0.142294085,0.372884698,34.58370259,6.023586777,147131.9238,1.463770547
16.00900922,-0.167755584,0.143583407,0.389833405,34.34261179,5.885963831,147085.3755,1.463307451
16.00900922,-0.167845702,0.144872729,0.406782112,34.11133115,5.741961728,147060.2889,1.463057872
16.00900922,-0.16793582,0.146162051,0.423730819,33.87850706,5.596998965,147036.3925,1.462820135
16.00900922,-0.168025938,0.147451373,0.440679526,33.64419421,5.451102173,147013.6234,1.462593612
16.00900922,-0.168116055,0.148740695,0.457628233,33.41388558,5.303885554,146997.7227,1.462435421
16.00900922,-0.168206173,0.150030017,0.47457694,33.21380033,5.154420146,147014.0912,1.462598266
16.00900922,-0.168296291,0.151319339,0.491525647,33.01341243,5.004739887,147031.7407,1.462773856
16.00900922,-0.168386409,0.152608661,0.508474353,32.81272955,4.854850221,147050.6449,1.462961928
16.00900922,-0.168476527,0.153897983,0.52542306,32.61175913,4.704756408,147070.7638,1.463162084
16.00900922,-0.168566644,0.155187305,0.542371767,32.42412621,4.555952878,147073.8612,1.463192899
16.00900922,-0.168656762,0.156476627,0.559320474,32.25820622,4.409771888,147048.3555,1.462939151
16.00900922,-0.16874688,0.157765949,0.576269181,32.09250902,4.263609873,147024.0007,1.462696853
16.00900922,-0.168836998,0.159055271,0.593217888,31.92700541,4.117518328,147000.6216,1.462464261
16.00900922,-0.168927116,0.160344593,0.610166595,31.76169071,3.97149555,146978.1985,1.46224118
16.00900922,-0.169017234,0.161633915,0.627115302,31.61842999,3.818459901,146933.5355,1.461796842
16.00900922,-0.169107351,0.162923237,0.644064009,31.49876372,3.669279662,146873.0369,1.46119496
16.00900922,-0.169197469,0.164212559,0.661012716,31.39214744,3.529864018,146809.751,1.460565347
16.00900922,-0.169287587,0.165501881,0.677961423,31.2986397,3.398567822,146749.987,1.459970774
16.00900922,-0.169377705,0.166791203,0.69491013,31.21446856,3.273875736,146691.5602,1.459389504
16.00900922,-0.169467823,0.168080525,0.711858837,31.19219674,3.141071303,146538.8571,1.457870307
16.00900922,-0.16955794,0.169369847,0.728807544,31.17798262,3.006321867,146372.4326,1.4562146
16.00900922,-0.169648058,0.170659169,0.745756251,31.16344037,2.87148131,146206.5984,1.454564767
16.00900922,-0.169738176,0.171948492,0.762704957,31.14857738,2.73655173,146041.3387,1.452920649
16.00900922,-0.169828294,0.173237814,0.779653664,31.16089445,2.604776279,145856.0424,1.451077192
16.00900922,-0.169918412,0.174527136,0.796602371,31.39954554,2.499086414,145499.4471,1.447529534
16.00900922,-0.17000853,0.175816458,0.813551078,31.63633032,2.39313912,145142.5022,1.443978399
16.00900922,-0.170098647,0.17710578,0.830499785,31.87128956,2.286940052,144785.2112,1.44042382
16.00900922,-0.170188765,0.178395102,0.847448492,32.10446283,2.180494704,144427.5874,1.43686593
16.00900922,-0.170278883,0.179684424,0.864397199,32.78747979,2.114032368,144063.9569,1.433248281
16.00900922,-0.170369001,0.180973746,0.881345906,34.32453324,2.125462707,143683.812,1.429466336
16.00900922,-0.170459119,0.182263068,0.898294613,35.83795917,2.137788149,143295.5298,1.425603435
16.00900922,-0.170549237,0.18355239,0.91524332,37.36356342,2.150815335,142909.5385,1.421763325
16.00900922,-0.170639354,0.184841712,0.932192027,38.8897897,2.164546008,142522.2211,1.417910023
16.00900922,-0.170729472,0.186131034,0.949140734,43.21316433,2.21882025,140775.0437,1.400527889
16.00900922,-0.17081959,0.187420356,0.966089441,49.65684051,2.305018927,137994.9349,1.372869436
16.00900922,-0.170909708,0.188709678,0.983038148,57.88863663,1.678629704,135137.4592,1.344441284
16.00900922,-0.170999826,0.189999,0.999986855,66.57272676,0.888093505,118523.5476,1.179154554
