Corrected_mass_flow(kg/s),x_30(m),r_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),Ttr_AA_15_30,ptr_AA_15_30
14.81153927,-0.088,0.120082,1.43E-05,136270.5477,332.4832281,1.156530738,1.355710771
14.81153927,-0.088,0.121267034,0.01696297,149899.037,332.8502381,1.157807369,1.491296121
14.81153927,-0.088,0.122452068,0.033911638,152898.9552,332.0773328,1.155118846,1.521141318
14.81153927,-0.088,0.123637102,0.050860305,154328.6139,331.1955493,1.152051595,1.535364521
14.81153927,-0.088,0.124822136,0.067808973,154908.7969,330.3970053,1.149273889,1.541136571
14.81153927,-0.088,0.126007169,0.084757641,155041.5784,329.7301559,1.146954277,1.54245757
14.81153927,-0.088,0.127192203,0.101706309,154873.6619,329.2832157,1.145399612,1.540787024
14.81153927,-0.088,0.128377237,0.118654976,154653.4974,328.9329548,1.144181242,1.53859668
14.81153927,-0.088,0.129562271,0.135603644,154365.7342,328.6991214,1.143367862,1.535733819
14.81153927,-0.088,0.130747305,0.152552312,154089.8426,328.5234847,1.142756916,1.532989065
14.81153927,-0.088,0.131932339,0.169500979,153829.7498,328.4219229,1.142403637,1.530401487
14.81153927,-0.088,0.133117373,0.186449647,153569.1527,328.3200511,1.14204928,1.527808892
14.81153927,-0.088,0.134302407,0.203398315,153427.8114,328.2719247,1.141881874,1.526402734
14.81153927,-0.088,0.135487441,0.220346983,153296.9191,328.2285372,1.141730952,1.52510053
14.81153927,-0.088,0.136672475,0.23729565,153166.0419,328.1851884,1.141580164,1.523798476
14.81153927,-0.088,0.137857508,0.254244318,153129.0677,328.1700546,1.141527522,1.523430631
14.81153927,-0.088,0.139042542,0.271192986,153121.3364,328.1638084,1.141505795,1.523353716
14.81153927,-0.088,0.140227576,0.288141654,153113.2797,328.1575496,1.141484024,1.523273562
14.81153927,-0.088,0.14141261,0.305090321,153105.1278,328.1513473,1.141462449,1.523192461
14.81153927,-0.088,0.142597644,0.322038989,153124.8998,328.1824915,1.141570783,1.523389167
14.81153927,-0.088,0.143782678,0.338987657,153158.686,328.2221862,1.14170886,1.523725294
14.81153927,-0.088,0.144967712,0.355936324,153198.4925,328.2612601,1.141844777,1.524121315
14.81153927,-0.088,0.146152746,0.372884992,153249.1416,328.2994425,1.141977593,1.524625207
14.81153927,-0.088,0.14733778,0.38983366,153305.5996,328.3816326,1.142263488,1.525186889
14.81153927,-0.088,0.148522814,0.406782328,153359.8863,328.4720649,1.142578054,1.525726969
14.81153927,-0.088,0.149707847,0.423730995,153415.1505,328.5627408,1.142893467,1.526276775
14.81153927,-0.088,0.150892881,0.440679663,153471.1235,328.6536305,1.143209623,1.526833631
14.81153927,-0.088,0.152077915,0.457628331,153542.8521,328.7906235,1.143686148,1.527547236
14.81153927,-0.088,0.153262949,0.474576998,153616.4173,328.9331307,1.144181854,1.528279112
14.81153927,-0.088,0.154447983,0.491525666,153689.9171,329.0755675,1.144677316,1.529010337
14.81153927,-0.088,0.155633017,0.508474334,153763.3511,329.217923,1.145172494,1.529740908
14.81153927,-0.088,0.156818051,0.525423002,153808.1872,329.3981946,1.145799562,1.530186967
14.81153927,-0.088,0.158003085,0.542371669,153851.1757,329.5809512,1.146435274,1.530614646
14.81153927,-0.088,0.159188119,0.559320337,153894.2709,329.763614,1.14707066,1.531043386
