Corrected_mass_flow(kg/s),x_21(m),r_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.0070672,-0.165682874,0.113929,1.31E-05,88.27054836,-2.542268108,147896.1688,1.469530589
16.0070672,-0.165772992,0.115218322,0.016961852,51.30633165,2.716418433,154716.2934,1.537296927
16.0070672,-0.16586311,0.116507644,0.033910559,45.147719,4.47018671,157798.6691,1.567924126
16.0070672,-0.165953228,0.117796966,0.050859266,42.78996543,5.473840614,157397.3674,1.5639367
16.0070672,-0.166043345,0.119086288,0.067807973,42.46644111,6.140934801,156077.5253,1.550822443
16.0070672,-0.166133463,0.12037561,0.08475668,42.50824499,6.650033277,154828.1508,1.538408368
16.0070672,-0.166223581,0.121664932,0.101705387,42.46561748,7.042770965,153808.66,1.528278472
16.0070672,-0.166313699,0.122954254,0.118654094,42.299936,7.316629187,153027.8804,1.520520465
16.0070672,-0.166403817,0.124243576,0.135602801,42.04606492,7.479311599,152486.8466,1.515144628
16.0070672,-0.166493935,0.125532898,0.152551508,41.74983926,7.547997663,152175.9653,1.512055639
16.0070672,-0.166584052,0.12682222,0.169500215,41.43122367,7.54060637,152070.1229,1.511003964
16.0070672,-0.16667417,0.128111542,0.186448922,41.08888028,7.479494211,152103.5593,1.511336196
16.0070672,-0.166764288,0.129400864,0.203397629,40.72197759,7.384812502,152209.4142,1.512387995
16.0070672,-0.166854406,0.130690186,0.220346336,40.33114829,7.267198204,152347.5186,1.513760232
16.0070672,-0.166944524,0.131979508,0.237295043,39.93290305,7.141228207,152483.8737,1.515115088
16.0070672,-0.167034641,0.133268831,0.254243749,39.54026183,7.012219557,152600.8909,1.516277798
16.0070672,-0.167124759,0.134558153,0.271192456,39.16153974,6.88345162,152693.5494,1.517198475
16.0070672,-0.167214877,0.135847475,0.288141163,38.79772988,6.755840162,152766.1417,1.517919768
16.0070672,-0.167304995,0.137136797,0.30508987,38.44904854,6.630374773,152827.5485,1.518529921
16.0070672,-0.167395113,0.138426119,0.322038577,38.11684068,6.508312865,152889.0533,1.519141046
16.0070672,-0.167485231,0.139715441,0.338987284,37.80019701,6.39000991,152951.86,1.519765109
16.0070672,-0.167575348,0.141004763,0.355935991,37.49856621,6.274971442,153007.0316,1.520313307
16.0070672,-0.167665466,0.142294085,0.372884698,37.21316267,6.161220013,153047.2017,1.520712446
16.0070672,-0.167755584,0.143583407,0.389833405,36.94438623,6.045681612,153073.5711,1.520974458
16.0070672,-0.167845702,0.144872729,0.406782112,36.68766612,5.925406243,153090.7569,1.52114522
16.0070672,-0.16793582,0.146162051,0.423730819,36.43442426,5.798681429,153100.8856,1.521245862
16.0070672,-0.168025938,0.147451373,0.440679526,36.17821574,5.665757559,153103.418,1.521271024
16.0070672,-0.168116055,0.148740695,0.457628233,35.91730857,5.52789904,153097.6798,1.521214008
16.0070672,-0.168206173,0.150030017,0.47457694,35.65444702,5.38694441,153083.9474,1.521077559
16.0070672,-0.168296291,0.151319339,0.491525647,35.39464958,5.244359953,153063.8372,1.52087774
16.0070672,-0.168386409,0.152608661,0.508474353,35.14273413,5.101232003,153039.3162,1.520634093
16.0070672,-0.168476527,0.153897983,0.52542306,34.90253847,4.95810954,153012.0167,1.520362839
16.0070672,-0.168566644,0.155187305,0.542371767,34.6770653,4.815229558,152983.6521,1.520081002
16.0070672,-0.168656762,0.156476627,0.559320474,34.46984856,4.67334885,152955.9042,1.519805292
16.0070672,-0.16874688,0.157765949,0.576269181,34.28335534,4.532617245,152929.8817,1.519546727
16.0070672,-0.168836998,0.159055271,0.593217888,34.11979633,4.39340642,152906.6279,1.519315672
16.0070672,-0.168927116,0.160344593,0.610166595,33.97940306,4.256021404,152887.2718,1.519123345
16.0070672,-0.169017234,0.161633915,0.627115302,33.86054496,4.120870181,152873.5022,1.518986528
16.0070672,-0.169107351,0.162923237,0.644064009,33.76001622,3.988464177,152866.8633,1.518920562
16.0070672,-0.169197469,0.164212559,0.661012716,33.67261752,3.859231667,152868.0196,1.518932051
16.0070672,-0.169287587,0.165501881,0.677961423,33.59862074,3.733667997,152878.3188,1.519034386
16.0070672,-0.169377705,0.166791203,0.69491013,33.53714355,3.612300122,152897.002,1.519220027
16.0070672,-0.169467823,0.168080525,0.711858837,33.48235961,3.495165397,152920.4827,1.519453337
16.0070672,-0.16955794,0.169369847,0.728807544,33.46085909,3.383923879,152949.9965,1.519746592
16.0070672,-0.169648058,0.170659169,0.745756251,33.47558855,3.277159883,152990.6879,1.520150912
16.0070672,-0.169738176,0.171948492,0.762704957,33.5476411,3.175639891,153044.3066,1.520683679
16.0070672,-0.169828294,0.173237814,0.779653664,33.70563246,3.079039138,153116.3124,1.521399145
16.0070672,-0.169918412,0.174527136,0.796602371,33.98641414,2.986741066,153218.3912,1.522413424
16.0070672,-0.17000853,0.175816458,0.813551078,34.43031828,2.897160715,153371.5244,1.523934991
16.0070672,-0.170098647,0.17710578,0.830499785,35.06845944,2.810325882,153602.5136,1.526230153
16.0070672,-0.170188765,0.178395102,0.847448492,35.91317332,2.728737076,153919.0625,1.529375457
16.0070672,-0.170278883,0.179684424,0.864397199,36.9686934,2.650494969,154259.1995,1.532755137
16.0070672,-0.170369001,0.180973746,0.881345906,38.26710088,2.582062756,154417.1205,1.534324276
16.0070672,-0.170459119,0.182263068,0.898294613,39.9494454,2.571014173,153949.6464,1.529679346
16.0070672,-0.170549237,0.18355239,0.91524332,42.05867923,2.633767823,152267.5296,1.512965443
16.0070672,-0.170639354,0.184841712,0.932192027,44.55613872,2.679681972,149634.8647,1.486806675
16.0070672,-0.170729472,0.186131034,0.949140734,47.50696643,2.613586426,146490.1996,1.455560554
16.0070672,-0.17081959,0.187420356,0.966089441,51.60702289,2.373687911,143198.4141,1.422852611
16.0070672,-0.170909708,0.188709678,0.983038148,57.65423163,1.743701136,140090.6478,1.391973125
16.0070672,-0.170999826,0.189999,0.999986855,66.91864591,0.262568811,124215.5034,1.234234013
14.80649226,-0.165682874,0.113929,1.31E-05,88.26391394,-2.078122916,156982.6598,1.559814488
14.80649226,-0.165772992,0.115218322,0.016961852,54.4169557,2.513923742,163623.5528,1.625799873
14.80649226,-0.16586311,0.116507644,0.033910559,50.06886548,4.266147779,165626.2624,1.645699239
14.80649226,-0.165953228,0.117796966,0.050859266,48.60695036,5.285856188,165064.336,1.640115813
14.80649226,-0.166043345,0.119086288,0.067807973,48.39518392,6.002501889,164040.3934,1.629941693
14.80649226,-0.166133463,0.12037561,0.08475668,48.50476856,6.578016137,162973.7142,1.619342932
14.80649226,-0.166223581,0.121664932,0.101705387,48.61611505,7.067593332,161951.9947,1.609190901
14.80649226,-0.166313699,0.122954254,0.118654094,48.65348517,7.478137241,161010.4614,1.599835617
14.80649226,-0.166403817,0.124243576,0.135602801,48.5965613,7.80745678,160180.4707,1.591588646
14.80649226,-0.166493935,0.125532898,0.152551508,48.44993045,8.053758109,159493.6428,1.584764172
14.80649226,-0.166584052,0.12682222,0.169500215,48.22712171,8.214378564,158986.8901,1.579728965
14.80649226,-0.16667417,0.128111542,0.186448922,47.94838951,8.29839469,158672.5531,1.576605643
14.80649226,-0.166764288,0.129400864,0.203397629,47.6314609,8.324180661,158521.8402,1.575108126
14.80649226,-0.166854406,0.130690186,0.220346336,47.27684597,8.299575167,158523.9798,1.575129385
14.80649226,-0.166944524,0.131979508,0.237295043,46.89287776,8.24562045,158609.7395,1.575981513
14.80649226,-0.167034641,0.133268831,0.254243749,46.47774363,8.167811042,158750.619,1.577381323
14.80649226,-0.167124759,0.134558153,0.271192456,46.04089799,8.076447584,158914.9134,1.579013789
14.80649226,-0.167214877,0.135847475,0.288141163,45.59269289,7.97816454,159086.035,1.580714091
14.80649226,-0.167304995,0.137136797,0.30508987,45.1432739,7.876761923,159252.6132,1.582369248
14.80649226,-0.167395113,0.138426119,0.322038577,44.70305694,7.773771784,159404.7984,1.583881395
14.80649226,-0.167485231,0.139715441,0.338987284,44.27766028,7.66873582,159540.2144,1.585226917
14.80649226,-0.167575348,0.141004763,0.355935991,43.8687887,7.559949917,159661.8543,1.586435559
14.80649226,-0.167665466,0.142294085,0.372884698,43.47507256,7.44613009,159776.8718,1.587578398
14.80649226,-0.167755584,0.143583407,0.389833405,43.09210637,7.327349984,159891.5438,1.588717805
14.80649226,-0.167845702,0.144872729,0.406782112,42.71483572,7.20514653,160005.3594,1.589848701
14.80649226,-0.16793582,0.146162051,0.423730819,42.34126919,7.08165134,160112.0163,1.590908468
14.80649226,-0.168025938,0.147451373,0.440679526,41.97498789,6.958452123,160206.8125,1.591850384
14.80649226,-0.168116055,0.148740695,0.457628233,41.62287972,6.835824051,160289.9969,1.592676923
14.80649226,-0.168206173,0.150030017,0.47457694,41.2916717,6.713244764,160364.4378,1.593416584
14.80649226,-0.168296291,0.151319339,0.491525647,40.98569175,6.589687002,160433.1955,1.594099775
14.80649226,-0.168386409,0.152608661,0.508474353,40.70683087,6.464350212,160498.1959,1.594745634
14.80649226,-0.168476527,0.153897983,0.52542306,40.45621062,6.336738233,160560.0092,1.595359825
14.80649226,-0.168566644,0.155187305,0.542371767,40.23662978,6.206850204,160619.4519,1.595950461
14.80649226,-0.168656762,0.156476627,0.559320474,40.05494246,6.075614163,160678.067,1.596532873
14.80649226,-0.16874688,0.157765949,0.576269181,39.92121346,5.943204728,160737.9747,1.597128129
14.80649226,-0.168836998,0.159055271,0.593217888,39.84944996,5.809810147,160802.047,1.597764766
14.80649226,-0.168927116,0.160344593,0.610166595,39.85432101,5.675648839,160873.5909,1.598475642
14.80649226,-0.169017234,0.161633915,0.627115302,39.9464735,5.541024059,160956.2975,1.599297433
14.80649226,-0.169107351,0.162923237,0.644064009,40.12689006,5.406099277,161053.2052,1.600260329
14.80649226,-0.169197469,0.164212559,0.661012716,40.38322132,5.270720998,161166.0408,1.601381489
14.80649226,-0.169287587,0.165501881,0.677961423,40.69587492,5.134951275,161296.6658,1.602679408
14.80649226,-0.169377705,0.166791203,0.69491013,41.03713035,4.999093465,161444.2101,1.604145441
14.80649226,-0.169467823,0.168080525,0.711858837,41.37577598,4.863134764,161603.8,1.605731161
14.80649226,-0.16955794,0.169369847,0.728807544,41.71221069,4.729228659,161777.343,1.607455523
14.80649226,-0.169648058,0.170659169,0.745756251,42.03336539,4.596101859,161968.7687,1.609357571
14.80649226,-0.169738176,0.171948492,0.762704957,42.33889014,4.464743256,162178.8581,1.611445066
14.80649226,-0.169828294,0.173237814,0.779653664,42.63442245,4.335524189,162409.6644,1.613738408
14.80649226,-0.169918412,0.174527136,0.796602371,42.93210225,4.208868984,162666.9435,1.61629479
14.80649226,-0.17000853,0.175816458,0.813551078,43.26366564,4.085338552,162956.5235,1.619172122
14.80649226,-0.170098647,0.17710578,0.830499785,43.72081358,3.972035012,163276.0066,1.622346576
14.80649226,-0.170188765,0.178395102,0.847448492,44.50753063,3.88807119,163628.4572,1.625848604
14.80649226,-0.170278883,0.179684424,0.864397199,45.91855014,3.849582273,164059.6473,1.630133004
14.80649226,-0.170369001,0.180973746,0.881345906,48.10097727,3.83141016,164523.6964,1.634743899
14.80649226,-0.170459119,0.182263068,0.898294613,50.83222257,3.781700551,164648.7152,1.635986113
14.80649226,-0.170549237,0.18355239,0.91524332,53.8231893,3.662415721,164163.2605,1.631162528
14.80649226,-0.170639354,0.184841712,0.932192027,57.00831603,3.480703462,163205.3969,1.621644983
14.80649226,-0.170729472,0.186131034,0.949140734,60.454834,3.196285986,162011.314,1.60978031
14.80649226,-0.17081959,0.187420356,0.966089441,64.29697359,2.716288443,160727.4212,1.597023267
14.80649226,-0.170909708,0.188709678,0.983038148,68.70003645,1.838311406,158970.6912,1.579568008
14.80649226,-0.170999826,0.189999,0.999986855,73.92059292,0.473797987,132847.9107,1.320006274
