Corrected_mass_flow(kg/s),x_30(m),r_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),Ttr_AA_15_30,ptr_AA_15_30
16.0070672,-0.088,0.120082,1.43E-05,130801.8069,330.6556902,1.149765341,1.29967705
16.0070672,-0.088,0.121267034,0.01696297,147286.1786,331.3590898,1.152211222,1.463469585
16.0070672,-0.088,0.122452068,0.033911638,150766.6426,330.5242589,1.149308325,1.498052282
16.0070672,-0.088,0.123637102,0.050860305,152701.5245,329.5171696,1.145806445,1.517277717
16.0070672,-0.088,0.124822136,0.067808973,153511.9056,328.5480949,1.142436751,1.525329852
16.0070672,-0.088,0.126007169,0.084757641,153408.0965,327.7561431,1.139682954,1.52429838
16.0070672,-0.088,0.127192203,0.101706309,152833.0783,327.1405616,1.137542436,1.518584866
16.0070672,-0.088,0.128377237,0.118654976,152218.6316,326.6740608,1.135920306,1.512479581
16.0070672,-0.088,0.129562271,0.135603644,151709.9387,326.32776,1.13471614,1.507425091
16.0070672,-0.088,0.130747305,0.152552312,151339.339,326.0820988,1.133861919,1.503742727
16.0070672,-0.088,0.131932339,0.169500979,151099.9785,325.9143939,1.133278771,1.501364385
16.0070672,-0.088,0.133117373,0.186449647,151005.4425,325.820579,1.132952555,1.500425053
16.0070672,-0.088,0.134302407,0.203398315,151017.9961,325.7736953,1.13278953,1.500549789
16.0070672,-0.088,0.135487441,0.220346983,151105.5361,325.7557804,1.132727236,1.501419606
16.0070672,-0.088,0.136672475,0.23729565,151229.8874,325.7507772,1.132709839,1.502655189
16.0070672,-0.088,0.137857508,0.254244318,151358.0821,325.747558,1.132698645,1.503928962
16.0070672,-0.088,0.139042542,0.271192986,151472.9738,325.7427847,1.132682047,1.505070553
16.0070672,-0.088,0.140227576,0.288141654,151573.5982,325.7382772,1.132666373,1.50607038
16.0070672,-0.088,0.14141261,0.305090321,151662.088,325.7366152,1.132660594,1.506949635
16.0070672,-0.088,0.142597644,0.322038989,151740.843,325.7407319,1.132674909,1.507732163
16.0070672,-0.088,0.143782678,0.338987657,151811.3547,325.7499154,1.132706842,1.508432784
16.0070672,-0.088,0.144967712,0.355936324,151873.1083,325.7627628,1.132751515,1.509046382
16.0070672,-0.088,0.146152746,0.372884992,151924.3989,325.7769759,1.132800937,1.509556017
16.0070672,-0.088,0.14733778,0.38983366,151963.8166,325.7902242,1.132847005,1.509947681
16.0070672,-0.088,0.148522814,0.406782328,151992.1815,325.8004453,1.132882546,1.510229521
16.0070672,-0.088,0.149707847,0.423730995,152011.1008,325.8063753,1.132903166,1.510417507
16.0070672,-0.088,0.150892881,0.440679663,152021.1915,325.8065561,1.132903795,1.51051777
16.0070672,-0.088,0.152077915,0.457628331,152022.865,325.8008649,1.132884005,1.510534399
16.0070672,-0.088,0.153262949,0.474576998,152017.1086,325.7914706,1.132851339,1.510477202
16.0070672,-0.088,0.154447983,0.491525666,152004.2462,325.7809507,1.132814759,1.510349398
16.0070672,-0.088,0.155633017,0.508474334,151984.685,325.7733973,1.132788494,1.510155033
