Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.2915316,101325,101325,288.15,288.15,143054.5,143410.2,324.4,324.2,1.4118,1.1258,1.1251,0.827744337
20000,16.1628809,101325,101325,288.15,288.15,149027.9,149314.2,327.5,327.28,1.4708,1.1365,1.1358,0.858139271
20000,16.1372642,101325,101325,288.15,288.15,149395.4,149677.2,327.74,327.52,1.4744,1.1374,1.1366,0.858824712
20000,16.0116959,101325,101325,288.15,288.15,150819,151074.7,328.72,328.48,1.4885,1.1408,1.14,0.859699844
20000,15.8582264,101325,101325,288.15,288.15,152199.4,152423.6,329.76,329.51,1.5021,1.1444,1.1435,0.859046462
20000,15.5775949,101325,101325,288.15,288.15,154200.2,154375.8,331.37,331.11,1.5218,1.15,1.1491,0.854880316
20000,15.5236253,101325,101325,288.15,288.15,154526.1,154693.4,331.66,331.4,1.5251,1.151,1.1501,0.853835133
20000,15.4658722,101325,101325,288.15,288.15,154846.4,155004.9,331.94,331.68,1.5282,1.152,1.1511,0.852517319
20000,15.4052179,101325,101325,288.15,288.15,155164.2,155314.5,332.25,332,1.5314,1.153,1.1522,0.850789789
20000,15.3923737,101325,101325,288.15,288.15,155226.5,155375.2,332.29,332.04,1.532,1.1532,1.1523,0.851061234
20000,15.3399765,101325,101325,288.15,288.15,155475,155617.1,332.55,332.3,1.5344,1.1541,1.1532,0.849360008
20000,15.1051507,101325,101325,288.15,288.15,156069.1,156193.2,333.18,332.94,1.5403,1.1563,1.1554,0.84531416
20000,15.065758,101325,101325,288.15,288.15,156351.1,156466.1,333.52,333.29,1.5431,1.1574,1.1566,0.842586496
20000,15.0447428,101325,101325,288.15,288.15,156455.3,156566.6,333.66,333.43,1.5441,1.1579,1.1571,0.841238599
20000,15.0217776,101325,101325,288.15,288.15,156505,156614.4,333.74,333.51,1.5446,1.1582,1.1574,0.840300616
20000,14.9983634,101325,101325,288.15,288.15,156551.5,156659,333.81,333.58,1.545,1.1584,1.1577,0.839233265
20000,14.948793,101325,101325,288.15,288.15,156597.4,156703,333.88,333.66,1.5455,1.1587,1.1579,0.838833283
20000,14.8965555,101325,101325,288.15,288.15,156685.2,156787.2,334.05,333.83,1.5464,1.1593,1.1585,0.836846406
20000,14.8271315,101325,101325,288.15,288.15,156768.9,156867.1,334.22,334,1.5472,1.1599,1.1591,0.834742543
20000,14.7689232,101325,101325,288.15,288.15,156822,156916.6,334.42,334.19,1.5477,1.1606,1.1598,0.831740436
20000,14.7343888,101325,101325,288.15,288.15,156806.8,156899.3,334.54,334.32,1.5476,1.161,1.1602,0.829533127
