Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.0116959,0.19,-0.170999896,0.99987,70.84,0.07,128668.6,1.2699
16.0116959,0.1899,-0.170992906,0.99919,70.51,0.16,133504.8,1.3176
16.0116959,0.1898,-0.170985916,0.99743,69.32,0.37,137730.5,1.3593
16.0116959,0.1897,-0.170978927,0.99656,68.71,0.46,138787.2,1.3697
16.0116959,0.1896,-0.170971937,0.99423,67.06,0.65,140589,1.3875
16.0116959,0.1894,-0.170957958,0.99271,65.99,0.74,141365,1.3952
16.0116959,0.1893,-0.170950969,0.99091,64.74,0.84,142083.1,1.4023
16.0116959,0.1889,-0.17092301,0.98612,60.65,1.03,143730,1.4185
16.0116959,0.1882,-0.170874084,0.97638,54.76,1.12,145757.5,1.4385
16.0116959,0.1875,-0.170825157,0.96691,49.99,1.17,147784.4,1.4585
16.0116959,0.1867,-0.17076924,0.95634,46.31,1.26,149643.2,1.4769
16.0116959,0.1858,-0.170706334,0.94451,43.25,1.35,150965.9,1.4899
16.0116959,0.1848,-0.170636439,0.93107,40.59,1.39,151760.2,1.4978
16.0116959,0.1836,-0.170552564,0.91539,38.49,1.39,152256.2,1.5027
16.0116959,0.1821,-0.170447721,0.89668,37.19,1.4,152633.3,1.5064
16.0116959,0.1804,-0.170328899,0.87424,36.44,1.49,152879.8,1.5088
16.0116959,0.1784,-0.170189108,0.84742,35.8,1.63,152914.8,1.5092
16.0116959,0.176,-0.170021358,0.81552,35.2,1.84,152878,1.5088
16.0116959,0.1731,-0.169818661,0.77785,34.69,2.12,152966,1.5097
16.0116959,0.1698,-0.169588006,0.73385,34.31,2.47,153054,1.5105
16.0116959,0.1659,-0.169315414,0.68316,34.17,2.91,153141,1.5114
16.0116959,0.1616,-0.169014863,0.62607,34.32,3.44,153115,1.5111
16.0116959,0.1568,-0.168679365,0.56376,34.76,4,152992.3,1.5099
16.0116959,0.1519,-0.168336877,0.49843,35.45,4.56,152841.4,1.5084
16.0116959,0.1469,-0.167987399,0.43298,36.3,5.09,152729.9,1.5073
16.0116959,0.1422,-0.16765889,0.3705,37.16,5.56,152813.4,1.5082
16.0116959,0.1378,-0.16735135,0.3134,37.97,5.93,152986.3,1.5099
16.0116959,0.134,-0.167085747,0.26299,38.69,6.2,153309,1.513
16.0116959,0.1307,-0.166855092,0.21955,39.33,6.36,153723.6,1.5171
16.0116959,0.1279,-0.166659384,0.18265,39.84,6.45,154269.5,1.5225
16.0116959,0.1255,-0.166491635,0.15157,40.28,6.49,154990.9,1.5296
16.0116959,0.1235,-0.166351844,0.12565,40.57,6.51,155713.3,1.5368
16.0116959,0.1219,-0.166240011,0.10421,40.72,6.45,156287.8,1.5424
16.0116959,0.1206,-0.166149147,0.08653,40.77,6.29,156627.3,1.5458
16.0116959,0.1195,-0.166072262,0.07198,40.77,6.07,156681.7,1.5463
16.0116959,0.1186,-0.166009356,0.06002,40.74,5.81,156541.7,1.5449
16.0116959,0.1178,-0.16595344,0.05018,40.73,5.55,156295.6,1.5425
16.0116959,0.1172,-0.165911502,0.04205,40.84,5.3,155986.2,1.5395
16.0116959,0.1167,-0.165876555,0.03529,41.17,5.06,155593.5,1.5356
16.0116959,0.1162,-0.165841607,0.0296,41.72,4.82,155070.8,1.5304
16.0116959,0.1159,-0.165820638,0.02475,42.42,4.58,154447.4,1.5243
16.0116959,0.1156,-0.16579967,0.02056,43.15,4.33,153798.8,1.5179
16.0116959,0.1153,-0.165778701,0.01691,43.97,4.05,153127,1.5112
16.0116959,0.115,-0.165757732,0.01374,44.95,3.75,152381.6,1.5039
16.0116959,0.1148,-0.165743753,0.01102,46.09,3.46,151511.9,1.4953
16.0116959,0.1147,-0.165736764,0.00872,47.41,3.18,150492.4,1.4852
16.0116959,0.1145,-0.165722785,0.00667,48.99,2.88,149192.4,1.4724
16.0116959,0.1144,-0.165715795,0.005,50.79,2.6,147708.3,1.4578
16.0116959,0.1143,-0.165708805,0.00363,52.85,2.33,146015.9,1.4411
16.0116959,0.1142,-0.165701816,0.00248,55.24,2.04,144024.7,1.4214
16.0116959,0.1141,-0.165694826,0.00151,58.09,1.73,141468.1,1.3962
16.0116959,0.114,-0.165687837,0,65.43,0.96,131323.7,1.2961
14.7689232,0.19,-0.170999896,1,78.85,0.05,134682.8,1.3292
14.7689232,0.1899,-0.170992906,0.99901,78.79,0.23,148211.2,1.4627
14.7689232,0.1898,-0.170985916,0.99793,78.61,0.43,152977.4,1.5098
14.7689232,0.1897,-0.170978927,0.99628,78.28,0.71,157127.5,1.5507
14.7689232,0.1896,-0.170971937,0.99518,78.03,0.88,159036.4,1.5696
14.7689232,0.1895,-0.170964948,0.99383,77.7,1.06,160819.3,1.5872
14.7689232,0.1894,-0.170957958,0.99219,77.27,1.26,162444.9,1.6032
14.7689232,0.1891,-0.17093699,0.98768,75.51,1.75,165395.9,1.6323
14.7689232,0.1882,-0.170874084,0.97659,71.92,2.16,166645.9,1.6447
14.7689232,0.1874,-0.170818167,0.96631,68.15,2.38,166185.7,1.6401
14.7689232,0.1866,-0.170762251,0.95461,64.1,2.63,164917.9,1.6276
14.7689232,0.1856,-0.170692355,0.94165,59.15,2.76,162864.1,1.6073
14.7689232,0.1845,-0.17061547,0.92765,53.33,2.67,160720.3,1.5862
14.7689232,0.1833,-0.170531596,0.91238,48,2.54,159393.5,1.5731
14.7689232,0.182,-0.170440731,0.89493,44.22,2.49,158968.5,1.5689
14.7689232,0.1804,-0.170328899,0.8743,42.46,2.55,159149.1,1.5707
14.7689232,0.1786,-0.170203087,0.84939,42.18,2.74,159427.1,1.5734
14.7689232,0.1763,-0.170042327,0.81924,42.39,3,159636.2,1.5755
14.7689232,0.1735,-0.16984662,0.78298,42.36,3.34,159599.6,1.5751
