Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.0116959,0.12,-0.088,0,134706.7,329,1.3295,1.1418
16.0116959,0.1201,-0.088,0.0016,137858.9,329.2,1.3606,1.1425
16.0116959,0.1202,-0.088,0.0029,139079.9,329.3,1.3726,1.1428
16.0116959,0.1203,-0.088,0.0045,140139,329.3,1.3831,1.1428
16.0116959,0.1204,-0.088,0.0064,141148.2,329.4,1.393,1.1432
16.0116959,0.1206,-0.088,0.0088,142149.3,329.4,1.4029,1.1432
16.0116959,0.1208,-0.088,0.0117,143159.6,329.4,1.4129,1.1432
16.0116959,0.1211,-0.088,0.0152,144181.5,329.4,1.423,1.1432
16.0116959,0.1213,-0.088,0.0192,145208.2,329.3,1.4331,1.1428
16.0116959,0.1217,-0.088,0.0238,146245.3,329.2,1.4433,1.1425
16.0116959,0.122,-0.088,0.0289,147334.4,329,1.4541,1.1418
16.0116959,0.1224,-0.088,0.0345,148528.1,328.9,1.4659,1.1414
16.0116959,0.1229,-0.088,0.041,149850.2,328.7,1.4789,1.1407
16.0116959,0.1234,-0.088,0.0487,151390.1,328.4,1.4941,1.1397
16.0116959,0.124,-0.088,0.0564,152714.2,328.1,1.5072,1.1386
16.0116959,0.1246,-0.088,0.0652,153745.9,327.8,1.5174,1.1376
16.0116959,0.1253,-0.088,0.0752,154357.3,327.6,1.5234,1.1369
16.0116959,0.1261,-0.088,0.0868,154650.6,327.5,1.5263,1.1366
16.0116959,0.127,-0.088,0.1004,154672.8,327.5,1.5265,1.1366
16.0116959,0.1282,-0.088,0.1168,154398.8,327.4,1.5238,1.1362
16.0116959,0.1296,-0.088,0.1366,153828.7,327.2,1.5182,1.1355
16.0116959,0.1312,-0.088,0.1606,153108.5,326.9,1.5111,1.1345
16.0116959,0.1333,-0.088,0.1896,152452.6,326.6,1.5046,1.1334
16.0116959,0.1357,-0.088,0.2245,151965.7,326.3,1.4998,1.1324
16.0116959,0.1386,-0.088,0.2657,151650.9,326.2,1.4967,1.132
16.0116959,0.1422,-0.088,0.317,151423.3,326.1,1.4944,1.1317
16.0116959,0.1463,-0.088,0.3763,151344.9,326.1,1.4937,1.1317
16.0116959,0.1506,-0.088,0.437,151355.1,326.1,1.4938,1.1317
16.0116959,0.1551,-0.088,0.5007,151529.5,326.2,1.4955,1.132
16.0116959,0.1595,-0.088,0.5646,151709.3,326.5,1.4973,1.1331
16.0116959,0.1641,-0.088,0.6299,151796.6,327,1.4981,1.1348
16.0116959,0.1683,-0.088,0.6893,151753.5,327.7,1.4977,1.1373
16.0116959,0.1717,-0.088,0.7379,151637,328.5,1.4965,1.14
16.0116959,0.1746,-0.088,0.7802,151502.1,329.3,1.4952,1.1428
16.0116959,0.1771,-0.088,0.8164,151367.8,330.1,1.4939,1.1456
16.0116959,0.1795,-0.088,0.8494,151234.2,331,1.4926,1.1487
16.0116959,0.1813,-0.088,0.876,150926.4,331.7,1.4895,1.1511
16.0116959,0.1828,-0.088,0.8972,150369.8,332.7,1.484,1.1546
16.0116959,0.184,-0.088,0.915,149488.8,334,1.4753,1.1591
16.0116959,0.1851,-0.088,0.9306,148325.4,335.3,1.4639,1.1636
16.0116959,0.1862,-0.088,0.9457,146816.1,336.7,1.449,1.1685
16.0116959,0.187,-0.088,0.9569,145436.2,337.7,1.4353,1.172
16.0116959,0.1878,-0.088,0.9686,143734.3,338.7,1.4185,1.1754
16.0116959,0.1885,-0.088,0.9781,142149.3,339.5,1.4029,1.1782
16.0116959,0.1891,-0.088,0.9873,140265.5,340.1,1.3843,1.1803
16.0116959,0.1895,-0.088,0.9923,138847.4,340.3,1.3703,1.181
16.0116959,0.1896,-0.088,0.9939,138259.2,340.4,1.3645,1.1813
16.0116959,0.1897,-0.088,0.9957,137499.3,340.5,1.357,1.1817
16.0116959,0.1898,-0.088,0.9975,136438.2,340.5,1.3465,1.1817
16.0116959,0.1899,-0.088,0.9992,134685.9,340.4,1.3292,1.1813
16.0116959,0.19,-0.088,1,132981.7,340.3,1.3124,1.181
14.7689232,0.12,-0.088,0,143786.7,331.1,1.4191,1.1491
14.7689232,0.1201,-0.088,0.0015,146655.6,331.3,1.4474,1.1497
14.7689232,0.1202,-0.088,0.0028,147782,331.4,1.4585,1.1501
14.7689232,0.1203,-0.088,0.0043,148748.6,331.4,1.468,1.1501
14.7689232,0.1204,-0.088,0.0063,149657.3,331.5,1.477,1.1504
14.7689232,0.1206,-0.088,0.0086,150538.1,331.5,1.4857,1.1504
14.7689232,0.1208,-0.088,0.0114,151393.4,331.5,1.4941,1.1504
14.7689232,0.121,-0.088,0.0149,152210.7,331.4,1.5022,1.1501
14.7689232,0.1213,-0.088,0.0189,152975.1,331.4,1.5097,1.1501
14.7689232,0.1216,-0.088,0.0235,153695.8,331.3,1.5169,1.1497
14.7689232,0.122,-0.088,0.0286,154433.6,331.2,1.5241,1.1494
14.7689232,0.1224,-0.088,0.0344,155262.4,331.1,1.5323,1.1491
14.7689232,0.1229,-0.088,0.041,156231.2,330.9,1.5419,1.1484
14.7689232,0.1234,-0.088,0.0486,157338,330.8,1.5528,1.148
14.7689232,0.124,-0.088,0.0565,158256.2,330.5,1.5619,1.147
14.7689232,0.1246,-0.088,0.0655,158845.1,330.3,1.5677,1.1463
14.7689232,0.1253,-0.088,0.0759,159132,330.3,1.5705,1.1463
14.7689232,0.1262,-0.088,0.0879,159255.6,330.2,1.5717,1.1459
14.7689232,0.1271,-0.088,0.1021,159272.7,330.2,1.5719,1.1459
14.7689232,0.1283,-0.088,0.119,159164.4,330.2,1.5708,1.1459
14.7689232,0.1298,-0.088,0.1394,158824.3,330.1,1.5675,1.1456
14.7689232,0.1315,-0.088,0.1641,158264.7,329.9,1.562,1.1449
14.7689232,0.1336,-0.088,0.1939,157626,329.7,1.5556,1.1442
14.7689232,0.1361,-0.088,0.2298,157064.6,329.5,1.5501,1.1435
14.7689232,0.1393,-0.088,0.2762,156647,329.4,1.546,1.1432
14.7689232,0.1431,-0.088,0.3298,156437,329.3,1.5439,1.1428
14.7689232,0.1471,-0.088,0.3875,156405.1,329.3,1.5436,1.1428
14.7689232,0.1515,-0.088,0.4506,156505.7,329.4,1.5446,1.1432
14.7689232,0.1564,-0.088,0.5196,156753.8,330,1.547,1.1452
14.7689232,0.1615,-0.088,0.5924,157121.1,331.3,1.5507,1.1497
14.7689232,0.1657,-0.088,0.6528,157399.8,332.9,1.5534,1.1553
14.7689232,0.1695,-0.088,0.7073,157477.7,334.7,1.5542,1.1615
14.7689232,0.1732,-0.088,0.7594,157236.9,336.8,1.5518,1.1688
