Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.2925556,101325,101325,288.15,288.15,143131.1,143614.6,324.03,323.84,1.4126,1.1245,1.1239,0.837202955
20000,16.1559578,101325,101325,288.15,288.15,151238.1,151542.7,328.2,328,1.4926,1.139,1.1383,0.876636429
20000,16.0294825,101325,101325,288.15,288.15,152687.1,152964.5,329.19,328.97,1.5069,1.1424,1.1417,0.877188115
20000,15.8737576,101325,101325,288.15,288.15,154089.5,154333.4,330.22,330,1.5207,1.146,1.1452,0.876237938
20000,15.6920303,101325,101325,288.15,288.15,155465.8,155673,331.29,331.07,1.5343,1.1497,1.1489,0.873746871
20000,15.4494694,101325,101325,288.15,288.15,156851.7,157015.5,332.6,332.4,1.548,1.1542,1.1536,0.865721745
20000,15.303497,101325,101325,288.15,288.15,157516.8,157658.9,333.31,333.13,1.5546,1.1567,1.1561,0.860684882
20000,15.1395206,101325,101325,288.15,288.15,158154.2,158276.7,334.06,333.9,1.5609,1.1593,1.1588,0.854310005
20000,15.0498304,101325,101325,288.15,288.15,158459.2,158573.4,334.43,334.28,1.5639,1.1606,1.1601,0.851265664
20000,14.9895506,101325,101325,288.15,288.15,158641.2,158750.1,334.68,334.54,1.5657,1.1615,1.161,0.84882699
20000,14.9383435,101325,101325,288.15,288.15,158771.7,158876.6,334.89,334.77,1.567,1.1622,1.1618,0.84629613
20000,14.8834143,101325,101325,288.15,288.15,158900.8,159001.8,335.12,335.01,1.5682,1.163,1.1626,0.843661774
20000,14.8214973,101325,101325,288.15,288.15,159029.1,159126.5,335.36,335.27,1.5695,1.1638,1.1635,0.840664624
20000,14.7578334,101325,101325,288.15,288.15,159145.3,159239.7,335.6,335.52,1.5706,1.1647,1.1644,0.837447557
20000,14.6891098,101325,101325,288.15,288.15,159251.5,159343.2,335.87,335.8,1.5717,1.1656,1.1654,0.83376044
20000,14.5894366,101325,101325,288.15,288.15,159316.8,159405.4,336.18,336.13,1.5723,1.1667,1.1665,0.828997438
