Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.0294825,0.19,-0.170999896,0.99998,70.88,0.01,126291.5,1.2464
16.0294825,0.1899,-0.170992906,0.99927,70.37,0.11,133724.3,1.3198
16.0294825,0.1898,-0.170985916,0.99801,69.19,0.29,137479.4,1.3568
16.0294825,0.1897,-0.170978927,0.99656,67.91,0.47,139279.8,1.3746
16.0294825,0.1896,-0.170971937,0.995,66.6,0.65,140402,1.3857
16.0294825,0.1895,-0.170964948,0.99367,65.53,0.78,141066.3,1.3922
16.0294825,0.1894,-0.170957958,0.99206,64.29,0.93,141685.1,1.3983
16.0294825,0.1893,-0.170950969,0.99114,63.6,1,141984.7,1.4013
16.0294825,0.189,-0.17093,0.98732,60.18,1.29,143283.8,1.4141
16.0294825,0.1885,-0.170895052,0.98031,56,1.49,144749.1,1.4286
16.0294825,0.188,-0.170860104,0.97425,52.5,1.55,146193.1,1.4428
16.0294825,0.1876,-0.170832146,0.96813,49.75,1.59,147673.8,1.4574
16.0294825,0.1871,-0.170797199,0.96163,47.67,1.64,149134.4,1.4718
16.0294825,0.1866,-0.170762251,0.95472,46.07,1.72,150476.4,1.4851
16.0294825,0.186,-0.170720313,0.94736,44.63,1.8,151657.5,1.4967
16.0294825,0.1854,-0.170678376,0.93953,43.2,1.83,152674.2,1.5068
16.0294825,0.1848,-0.170636439,0.93118,41.84,1.81,153462.8,1.5146
16.0294825,0.1841,-0.170587512,0.9222,40.65,1.74,154024.5,1.5201
16.0294825,0.1833,-0.170531596,0.91247,39.66,1.64,154384.4,1.5237
16.0294825,0.1825,-0.170475679,0.90187,38.83,1.54,154582.1,1.5256
16.0294825,0.1817,-0.170419763,0.89028,38.13,1.49,154669.1,1.5265
16.0294825,0.1807,-0.170349867,0.87762,37.54,1.48,154682.3,1.5266
16.0294825,0.1797,-0.170279972,0.86383,37.02,1.52,154635.3,1.5261
16.0294825,0.1785,-0.170196097,0.84887,36.54,1.58,154562.3,1.5254
16.0294825,0.1773,-0.170112223,0.83268,36.12,1.66,154485.5,1.5247
16.0294825,0.176,-0.170021358,0.81522,35.75,1.77,154410,1.5239
16.0294825,0.1745,-0.169916515,0.79644,35.4,1.9,154407.9,1.5239
16.0294825,0.173,-0.169811672,0.77634,35.06,2.04,154453.5,1.5243
16.0294825,0.1714,-0.169699839,0.75491,34.74,2.21,154463.9,1.5244
16.0294825,0.1696,-0.169574027,0.73218,34.47,2.39,154483.1,1.5246
16.0294825,0.1678,-0.169448215,0.70819,34.3,2.6,154453.5,1.5243
16.0294825,0.1659,-0.169315414,0.68298,34.23,2.82,154488.9,1.5247
16.0294825,0.1639,-0.169175623,0.65666,34.26,3.06,154544.8,1.5252
16.0294825,0.1618,-0.169028842,0.62934,34.36,3.31,154565.7,1.5254
16.0294825,0.1597,-0.168882062,0.60114,34.54,3.58,154521,1.525
16.0294825,0.1575,-0.168728291,0.57223,34.82,3.85,154563.2,1.5254
16.0294825,0.1553,-0.168574521,0.5428,35.13,4.12,154591.8,1.5257
16.0294825,0.153,-0.168413762,0.51304,35.47,4.39,154602.9,1.5258
16.0294825,0.1507,-0.168253002,0.4832,35.83,4.66,154581.7,1.5256
16.0294825,0.1485,-0.168099232,0.45349,36.19,4.91,154570.4,1.5255
16.0294825,0.1462,-0.167938472,0.42387,36.57,5.15,154578.8,1.5256
16.0294825,0.1439,-0.167777713,0.3938,36.97,5.38,154575.2,1.5255
16.0294825,0.1418,-0.167630932,0.3657,37.33,5.57,154593.4,1.5257
16.0294825,0.1397,-0.167484151,0.33855,37.68,5.74,154602.4,1.5258
16.0294825,0.1378,-0.16735135,0.31252,38.02,5.89,154632.8,1.5261
16.0294825,0.1359,-0.167218548,0.2877,38.35,6,154674.6,1.5265
16.0294825,0.1341,-0.167092737,0.26416,38.67,6.08,154718.2,1.5269
16.0294825,0.1324,-0.166973914,0.24194,38.98,6.13,154745.8,1.5272
16.0294825,0.1308,-0.166862081,0.22107,39.27,6.18,154817.1,1.5279
16.0294825,0.1293,-0.166757238,0.20154,39.56,6.21,154953.5,1.5293
16.0294825,0.1279,-0.166659384,0.18336,39.83,6.25,155169.9,1.5314
16.0294825,0.1267,-0.16657551,0.1665,40.1,6.31,155439.3,1.5341
16.0294825,0.1255,-0.166491635,0.15098,40.37,6.38,155858.7,1.5382
16.0294825,0.1244,-0.16641475,0.13677,40.61,6.45,156315.1,1.5427
16.0294825,0.1234,-0.166344855,0.12384,40.79,6.53,156739.9,1.5469
16.0294825,0.1225,-0.166281949,0.11211,40.9,6.58,157115.7,1.5506
16.0294825,0.1217,-0.166226032,0.10149,40.97,6.6,157439.9,1.5538
16.0294825,0.121,-0.166177105,0.09187,40.98,6.58,157664.3,1.556
16.0294825,0.1203,-0.166128178,0.0832,41,6.53,157865.1,1.558
16.0294825,0.1197,-0.166086241,0.07539,40.97,6.45,157925.6,1.5586
16.0294825,0.1192,-0.166051293,0.06836,40.95,6.36,157913.6,1.5585
16.0294825,0.1187,-0.166016346,0.06203,40.93,6.26,157852.1,1.5579
16.0294825,0.1183,-0.165988387,0.05633,40.92,6.15,157739.6,1.5568
16.0294825,0.1179,-0.165960429,0.05119,40.92,6.05,157572,1.5551
16.0294825,0.1175,-0.165932471,0.04654,40.92,5.95,157357.7,1.553
16.0294825,0.1172,-0.165911502,0.04234,40.98,5.85,157116.3,1.5506
16.0294825,0.1169,-0.165890534,0.03852,41.11,5.75,156845.7,1.5479
16.0294825,0.1167,-0.165876555,0.03502,41.31,5.65,156541.2,1.5449
16.0294825,0.1164,-0.165855586,0.03181,41.53,5.55,156242.7,1.542
16.0294825,0.1162,-0.165841607,0.02883,41.78,5.45,155982.9,1.5394
16.0294825,0.116,-0.165827628,0.02594,42.12,5.33,155752.9,1.5372
16.0294825,0.1158,-0.165813649,0.02345,42.46,5.21,155586.2,1.5355
16.0294825,0.1156,-0.16579967,0.02116,42.81,5.08,155437.9,1.5341
16.0294825,0.1154,-0.16578569,0.01905,43.16,4.94,155296.3,1.5327
16.0294825,0.1153,-0.165778701,0.01712,43.52,4.78,155146.2,1.5312
16.0294825,0.1152,-0.165771711,0.01535,43.9,4.61,154976.2,1.5295
16.0294825,0.115,-0.165757732,0.01373,44.32,4.43,154767,1.5274
16.0294825,0.1149,-0.165750743,0.01226,44.79,4.25,154504.1,1.5248
16.0294825,0.1148,-0.165743753,0.01091,45.32,4.07,154185.7,1.5217
16.0294825,0.1147,-0.165736764,0.00859,46.53,3.7,153387.2,1.5138
16.0294825,0.1146,-0.165729774,0.00759,47.19,3.52,152914.6,1.5091
16.0294825,0.1145,-0.165722785,0.00669,47.91,3.35,152392,1.504
16.0294825,0.1144,-0.165715795,0.00517,49.5,3.03,151209.3,1.4923
16.0294825,0.1143,-0.165708805,0.0034,52.3,2.58,149163.8,1.4721
16.0294825,0.1142,-0.165701816,0.0021,55.77,2.12,146844,1.4492
16.0294825,0.1141,-0.165694826,0.00086,62.24,1.47,142675.7,1.4081
16.0294825,0.114,-0.165687837,0,80.78,0.88,130496.9,1.2879
14.7578334,0.19,-0.170999896,0.99993,79.37,0.01,135095.6,1.3333
14.7578334,0.1899,-0.170992906,0.99932,79.29,0.11,147675.5,1.4574
14.7578334,0.1897,-0.170978927,0.99629,78.57,0.65,159308.3,1.5723
14.7578334,0.1896,-0.170971937,0.99522,78.27,0.82,161108.4,1.59
14.7578334,0.1895,-0.170964948,0.9939,77.9,1,162800.5,1.6067
14.7578334,0.1894,-0.170957958,0.99227,77.43,1.21,164355.6,1.6221
14.7578334,0.1893,-0.170950969,0.99131,77.15,1.32,165076.9,1.6292
14.7578334,0.1891,-0.17093699,0.98829,75.87,1.73,166930.7,1.6475
14.7578334,0.1886,-0.170902042,0.98115,73.72,2.19,168085.2,1.6589
14.7578334,0.188,-0.170860104,0.97417,71.16,2.48,168206.1,1.6601
14.7578334,0.1875,-0.170825157,0.9676,68.64,2.63,167843,1.6565
14.7578334,0.187,-0.170790209,0.96056,65.99,2.71,167323.6,1.6514
14.7578334,0.1864,-0.170748272,0.95292,63.35,2.79,166754.1,1.6457
14.7578334,0.1858,-0.170706334,0.94497,60.97,2.9,166135,1.6396
14.7578334,0.1852,-0.170664397,0.93694,58.76,3,165432.6,1.6327
14.7578334,0.1846,-0.17062246,0.92839,56.26,3.05,164550.6,1.624
14.7578334,0.1838,-0.170566543,0.91887,53.1,2.97,163534.7,1.614
