Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.0294825,0.12,-0.088,0,133120.8,328.7,1.3138,1.1407
16.0294825,0.1201,-0.088,0.0008,137159.3,329.3,1.3537,1.1428
16.0294825,0.1202,-0.088,0.0024,139876.3,329.5,1.3805,1.1435
16.0294825,0.1203,-0.088,0.0042,141452.3,329.6,1.396,1.1438
16.0294825,0.1204,-0.088,0.0058,142473.1,329.7,1.4061,1.1442
16.0294825,0.1205,-0.088,0.0067,142990.7,329.7,1.4112,1.1442
16.0294825,0.1205,-0.088,0.0077,143512.7,329.7,1.4164,1.1442
16.0294825,0.1206,-0.088,0.0089,144035.3,329.7,1.4215,1.1442
16.0294825,0.1207,-0.088,0.0102,144551.7,329.7,1.4266,1.1442
16.0294825,0.1208,-0.088,0.0117,145051.3,329.7,1.4315,1.1442
16.0294825,0.1209,-0.088,0.0133,145524.3,329.7,1.4362,1.1442
16.0294825,0.1211,-0.088,0.0151,145967.1,329.7,1.4406,1.1442
16.0294825,0.1212,-0.088,0.0171,146365.4,329.6,1.4445,1.1438
16.0294825,0.1213,-0.088,0.0192,146742.5,329.6,1.4482,1.1438
16.0294825,0.1215,-0.088,0.0215,147119,329.6,1.452,1.1438
16.0294825,0.1217,-0.088,0.0239,147514,329.5,1.4558,1.1435
16.0294825,0.1219,-0.088,0.0266,147945.8,329.5,1.4601,1.1435
16.0294825,0.1221,-0.088,0.0294,148426.8,329.4,1.4649,1.1432
16.0294825,0.1223,-0.088,0.0324,148969.1,329.4,1.4702,1.1432
16.0294825,0.1225,-0.088,0.0356,149577.5,329.3,1.4762,1.1428
16.0294825,0.1227,-0.088,0.0389,150255.8,329.2,1.4829,1.1425
16.0294825,0.123,-0.088,0.0425,150996.3,329.1,1.4902,1.1421
16.0294825,0.1233,-0.088,0.0466,151867.5,329,1.4988,1.1418
16.0294825,0.1235,-0.088,0.0505,152688.3,328.9,1.5069,1.1414
16.0294825,0.1238,-0.088,0.0546,153496.5,328.8,1.5149,1.1411
16.0294825,0.1241,-0.088,0.059,154277,328.6,1.5226,1.1404
16.0294825,0.1245,-0.088,0.0637,155011.3,328.5,1.5298,1.14
16.0294825,0.1248,-0.088,0.0687,155673.8,328.3,1.5364,1.1393
16.0294825,0.1252,-0.088,0.0742,156227.9,328.2,1.5418,1.139
16.0294825,0.1256,-0.088,0.08,156623.4,328,1.5458,1.1383
16.0294825,0.126,-0.088,0.0862,156820.4,328,1.5477,1.1383
16.0294825,0.1265,-0.088,0.0933,156881.8,327.9,1.5483,1.1379
16.0294825,0.1271,-0.088,0.101,156808.1,327.9,1.5476,1.1379
16.0294825,0.1276,-0.088,0.109,156675,327.9,1.5463,1.1379
16.0294825,0.1282,-0.088,0.1177,156438,327.8,1.5439,1.1376
16.0294825,0.1289,-0.088,0.1274,156077.9,327.7,1.5404,1.1373
16.0294825,0.1297,-0.088,0.1381,155615.5,327.6,1.5358,1.1369
16.0294825,0.1305,-0.088,0.1499,155088.4,327.3,1.5306,1.1359
16.0294825,0.1314,-0.088,0.1629,154557.1,327.1,1.5254,1.1352
16.0294825,0.1324,-0.088,0.1772,154100.4,326.9,1.5209,1.1345
16.0294825,0.1335,-0.088,0.1929,153769.3,326.7,1.5176,1.1338
16.0294825,0.1347,-0.088,0.21,153559.8,326.6,1.5155,1.1334
16.0294825,0.136,-0.088,0.2292,153449.9,326.6,1.5144,1.1334
16.0294825,0.1375,-0.088,0.2499,153438.8,326.6,1.5143,1.1334
16.0294825,0.139,-0.088,0.2713,153448.8,326.6,1.5144,1.1334
16.0294825,0.1406,-0.088,0.294,153454.2,326.6,1.5145,1.1334
16.0294825,0.1423,-0.088,0.3181,153456.5,326.6,1.5145,1.1334
16.0294825,0.144,-0.088,0.3434,153466.3,326.6,1.5146,1.1334
16.0294825,0.1459,-0.088,0.3698,153490.5,326.6,1.5148,1.1334
16.0294825,0.1478,-0.088,0.3972,153523.4,326.6,1.5152,1.1334
16.0294825,0.1498,-0.088,0.4255,153562.2,326.6,1.5155,1.1334
16.0294825,0.152,-0.088,0.4568,153608,326.7,1.516,1.1338
16.0294825,0.1541,-0.088,0.4867,153652.3,326.7,1.5164,1.1338
16.0294825,0.1561,-0.088,0.516,153684.5,326.8,1.5167,1.1341
16.0294825,0.1582,-0.088,0.5453,153688.4,326.9,1.5168,1.1345
16.0294825,0.1602,-0.088,0.5743,153662.6,326.9,1.5165,1.1345
16.0294825,0.1622,-0.088,0.6028,153658.7,327,1.5165,1.1348
16.0294825,0.1641,-0.088,0.6306,153648,327.3,1.5164,1.1359
16.0294825,0.1662,-0.088,0.6605,153610.6,327.6,1.516,1.1369
16.0294825,0.168,-0.088,0.6864,153557.9,327.9,1.5155,1.1379
16.0294825,0.1698,-0.088,0.711,153538.2,328.4,1.5153,1.1397
16.0294825,0.1714,-0.088,0.7344,153524.8,328.8,1.5152,1.1411
16.0294825,0.173,-0.088,0.7565,153499.6,329.4,1.5149,1.1432
16.0294825,0.1744,-0.088,0.7773,153446.9,329.9,1.5144,1.1449
16.0294825,0.1759,-0.088,0.7988,153400.3,330.5,1.5139,1.147
16.0294825,0.1772,-0.088,0.8172,153387.5,331.1,1.5138,1.1491
16.0294825,0.1784,-0.088,0.8338,153402.2,331.6,1.514,1.1508
16.0294825,0.1794,-0.088,0.8492,153371.7,332.2,1.5137,1.1529
16.0294825,0.1804,-0.088,0.8634,153288.9,332.8,1.5128,1.155
16.0294825,0.1815,-0.088,0.8782,153065,333.5,1.5106,1.1574
16.0294825,0.1823,-0.088,0.8902,152692.7,334.1,1.507,1.1595
16.0294825,0.1831,-0.088,0.901,152193.7,334.7,1.502,1.1615
16.0294825,0.1838,-0.088,0.9113,151534.9,335.3,1.4955,1.1636
16.0294825,0.1845,-0.088,0.9217,150672.7,335.8,1.487,1.1654
16.0294825,0.1851,-0.088,0.9302,149861.1,336.3,1.479,1.1671
16.0294825,0.1858,-0.088,0.9394,148850.4,336.7,1.469,1.1685
16.0294825,0.1863,-0.088,0.947,147926.2,337,1.4599,1.1695
16.0294825,0.1869,-0.088,0.9551,146885.5,337.4,1.4496,1.1709
16.0294825,0.1873,-0.088,0.9621,145967.2,337.6,1.4406,1.1716
16.0294825,0.1878,-0.088,0.9688,145051.7,337.9,1.4315,1.1727
16.0294825,0.1883,-0.088,0.9755,144104.9,338.1,1.4222,1.1733
16.0294825,0.1887,-0.088,0.9817,143143,338.3,1.4127,1.174
16.0294825,0.1892,-0.088,0.9879,141989.3,338.4,1.4013,1.1744
16.0294825,0.1894,-0.088,0.9913,141105.9,338.5,1.3926,1.1747
