Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.2925425,101325,101325,288.15,288.15,143171.7,143607.6,324.18,323.99,1.413,1.1251,1.1244,0.834555737
20000,16.0943351,101325,101325,288.15,288.15,151125,151416.7,328.42,328.2,1.4915,1.1398,1.139,0.87052277
20000,15.9552209,101325,101325,288.15,288.15,152529.3,152789.4,329.44,329.2,1.5053,1.1433,1.1425,0.869869139
20000,15.8761751,101325,101325,288.15,288.15,153217.6,153460.8,329.94,329.7,1.5121,1.145,1.1442,0.869657998
20000,15.7906339,101325,101325,288.15,288.15,153898.7,154124.3,330.47,330.22,1.5189,1.1469,1.146,0.868824448
20000,15.6979797,101325,101325,288.15,288.15,154571.1,154778.3,331.01,330.76,1.5255,1.1487,1.1479,0.86710741
20000,15.5978782,101325,101325,288.15,288.15,155236.6,155425.4,331.56,331.32,1.5321,1.1507,1.1498,0.865405157
20000,15.488584,101325,101325,288.15,288.15,155893.1,156063.4,332.13,331.88,1.5385,1.1526,1.1518,0.862871647
20000,15.3658648,101325,101325,288.15,288.15,156533.9,156685.6,332.71,332.48,1.5449,1.1547,1.1538,0.860378057
20000,15.2247315,101325,101325,288.15,288.15,157157.2,157289.6,333.35,333.13,1.551,1.1569,1.1561,0.855872938
20000,15.0493216,101325,101325,288.15,288.15,157740.2,157852.8,334.05,333.85,1.5568,1.1593,1.1586,0.850008395
20000,15.0293688,101325,101325,288.15,288.15,157797.1,157907.7,334.13,333.93,1.5573,1.1596,1.1589,0.849058864
20000,14.986787,101325,101325,288.15,288.15,157905.7,158012.2,334.28,334.09,1.5584,1.1601,1.1594,0.847832109
20000,14.9414948,101325,101325,288.15,288.15,158011.3,158113.9,334.45,334.26,1.5595,1.1607,1.16,0.846083171
20000,14.8905793,101325,101325,288.15,288.15,158114.7,158213.1,334.65,334.46,1.5605,1.1614,1.1607,0.843691787
20000,14.8174322,101325,101325,288.15,288.15,158208,158300.8,334.91,334.74,1.5614,1.1623,1.1617,0.839631141
20000,14.7252943,101325,101325,288.15,288.15,158221.7,158309.5,335.22,335.06,1.5615,1.1634,1.1628,0.834085614
