Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.9552209,0.19,-0.170999896,0.99996,72.08,0.03,127379.5,1.2571
15.9552209,0.1899,-0.170992906,0.99912,71.48,0.15,135123.1,1.3336
15.9552209,0.1898,-0.170985916,0.99767,70.26,0.37,138865.3,1.3705
15.9552209,0.1897,-0.170978927,0.99652,69.31,0.52,140273.1,1.3844
15.9552209,0.1896,-0.170971937,0.99497,68.06,0.69,141467.3,1.3962
15.9552209,0.1895,-0.170964948,0.994,67.31,0.78,141996.6,1.4014
15.9552209,0.1895,-0.170964948,0.99289,66.46,0.88,142489.3,1.4063
15.9552209,0.1894,-0.170957958,0.99162,65.52,0.97,142955.4,1.4109
15.9552209,0.1893,-0.170950969,0.99017,64.48,1.07,143402.7,1.4153
15.9552209,0.1889,-0.17092301,0.98618,60.79,1.31,144717.8,1.4283
15.9552209,0.1882,-0.170874084,0.9761,55.23,1.46,146658.1,1.4474
15.9552209,0.1875,-0.170825157,0.9675,51.12,1.49,148557,1.4661
15.9552209,0.1868,-0.17077623,0.95814,47.95,1.54,150394.8,1.4843
15.9552209,0.186,-0.170720313,0.94799,45.29,1.6,151847.4,1.4986
15.9552209,0.1852,-0.170664397,0.93693,42.87,1.62,152851.5,1.5085
15.9552209,0.1843,-0.170601491,0.92476,40.79,1.57,153515,1.5151
15.9552209,0.1832,-0.170524606,0.9111,39.22,1.48,153948.6,1.5194
15.9552209,0.1821,-0.170447721,0.89554,38.2,1.43,154242.8,1.5223
15.9552209,0.1807,-0.170349867,0.87776,37.54,1.45,154418.7,1.524
15.9552209,0.1792,-0.170245024,0.85751,36.96,1.52,154440.8,1.5242
15.9552209,0.1774,-0.170119212,0.83458,36.42,1.64,154334.4,1.5232
15.9552209,0.1755,-0.169986411,0.8087,35.94,1.83,154257.4,1.5224
15.9552209,0.1733,-0.16983264,0.77971,35.5,2.03,154395.1,1.5238
15.9552209,0.1708,-0.169657902,0.74746,35.09,2.27,154433.5,1.5241
15.9552209,0.1681,-0.169469184,0.71188,34.77,2.57,154459.3,1.5244
15.9552209,0.1652,-0.169266487,0.67306,34.61,2.92,154483.7,1.5246
15.9552209,0.162,-0.169042821,0.63124,34.69,3.31,154529.9,1.5251
15.9552209,0.1586,-0.168805177,0.58691,34.96,3.72,154500.5,1.5248
15.9552209,0.1551,-0.168560542,0.54074,35.39,4.14,154454.4,1.5243
15.9552209,0.1515,-0.168308918,0.49369,35.93,4.55,154399.2,1.5238
15.9552209,0.148,-0.168064284,0.44681,36.5,4.94,154335.9,1.5232
15.9552209,0.1445,-0.16781965,0.40118,37.09,5.28,154307.8,1.5229
15.9552209,0.1412,-0.167588995,0.35772,37.67,5.57,154364,1.5235
15.9552209,0.1381,-0.167372319,0.31709,38.21,5.8,154412.7,1.5239
15.9552209,0.1353,-0.167176611,0.27965,38.72,5.98,154523.3,1.525
15.9552209,0.1326,-0.166987893,0.24511,39.21,6.09,154641.9,1.5262
15.9552209,0.1302,-0.166820144,0.21301,39.65,6.19,154881.9,1.5286
15.9552209,0.1281,-0.166673363,0.1855,40.06,6.25,155287.8,1.5326
15.9552209,0.1262,-0.166540562,0.16113,40.43,6.34,155773.3,1.5374
15.9552209,0.1246,-0.166428729,0.13975,40.77,6.45,156369.1,1.5432
15.9552209,0.1232,-0.166330875,0.12115,41,6.54,156939.2,1.5489
15.9552209,0.122,-0.166247001,0.10505,41.12,6.59,157422.2,1.5536
15.9552209,0.1209,-0.166170116,0.09113,41.18,6.57,157795,1.5573
15.9552209,0.12,-0.16610721,0.07915,41.19,6.49,158004.1,1.5594
15.9552209,0.1192,-0.166051293,0.06886,41.15,6.36,158004.4,1.5594
15.9552209,0.1186,-0.166009356,0.06002,41.1,6.22,157897.9,1.5583
15.9552209,0.118,-0.165967419,0.05243,41.07,6.07,157720.9,1.5566
15.9552209,0.1175,-0.165932471,0.04573,41.08,5.93,157473.1,1.5541
15.9552209,0.117,-0.165897523,0.03953,41.21,5.77,157140.3,1.5509
15.9552209,0.1166,-0.165869565,0.03447,41.49,5.63,156743.2,1.5469
15.9552209,0.1163,-0.165848596,0.03001,41.81,5.48,156332.5,1.5429
15.9552209,0.116,-0.165827628,0.02607,42.19,5.3,155939.2,1.539
15.9552209,0.1157,-0.165806659,0.02257,42.62,5.09,155558.3,1.5352
15.9552209,0.1155,-0.16579268,0.01946,43.13,4.86,155178.2,1.5315
15.9552209,0.1153,-0.165778701,0.01669,43.69,4.6,154775.1,1.5275
15.9552209,0.1151,-0.165764722,0.01422,44.33,4.33,154315,1.523
15.9552209,0.1149,-0.165750743,0.01203,45.07,4.06,153764.7,1.5175
15.9552209,0.1148,-0.165743753,0.01012,45.91,3.79,153106.5,1.511
15.9552209,0.1146,-0.165729774,0.00845,46.87,3.53,152337.8,1.5035
15.9552209,0.1145,-0.165722785,0.00701,47.94,3.29,151471,1.4949
15.9552209,0.1144,-0.165715795,0.00471,50.39,2.84,149499.8,1.4754
15.9552209,0.1143,-0.165708805,0.00379,51.81,2.63,148405.2,1.4646
15.9552209,0.1142,-0.165701816,0.00232,55.2,2.2,146010.6,1.441
15.9552209,0.1141,-0.165694826,0.00074,62.53,1.5,141103.9,1.3926
15.9552209,0.114,-0.165687837,0,74.52,1.06,132878.6,1.3114
14.8174322,0.19,-0.170999896,1,79.67,0.02,132997.8,1.3126
14.8174322,0.1899,-0.170992906,0.9993,79.56,0.14,146836.6,1.4492
14.8174322,0.1898,-0.170985916,0.99802,79.25,0.4,153766.5,1.5176
14.8174322,0.1897,-0.170978927,0.99633,78.82,0.71,158136.6,1.5607
14.8174322,0.1896,-0.170971937,0.99469,78.37,0.98,160808,1.5871
14.8174322,0.1895,-0.170964948,0.99367,78.08,1.13,162051.2,1.5993
14.8174322,0.1894,-0.170957958,0.99247,77.74,1.29,163221.6,1.6109
14.8174322,0.1893,-0.170950969,0.99107,77.34,1.46,164310.5,1.6216
