Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.9552209,0.12,-0.088,0,134603.2,329.1,1.3284,1.1421
15.9552209,0.1201,-0.088,0.0008,137898.5,329.5,1.361,1.1435
15.9552209,0.1202,-0.088,0.0029,140872.9,329.7,1.3903,1.1442
15.9552209,0.1203,-0.088,0.0039,141678.4,329.8,1.3983,1.1445
15.9552209,0.1204,-0.088,0.0051,142469.4,329.8,1.4061,1.1445
15.9552209,0.1205,-0.088,0.0064,143253.6,329.9,1.4138,1.1449
15.9552209,0.1206,-0.088,0.008,144026.1,329.9,1.4214,1.1449
15.9552209,0.1207,-0.088,0.0099,144771.6,329.9,1.4288,1.1449
15.9552209,0.1208,-0.088,0.0121,145468.4,329.9,1.4357,1.1449
15.9552209,0.121,-0.088,0.0146,146101.6,329.8,1.4419,1.1445
15.9552209,0.1212,-0.088,0.0175,146687.8,329.8,1.4477,1.1445
15.9552209,0.1215,-0.088,0.0208,147264.6,329.7,1.4534,1.1442
15.9552209,0.1217,-0.088,0.0244,147881.4,329.7,1.4595,1.1442
15.9552209,0.122,-0.088,0.0283,148581.6,329.6,1.4664,1.1438
15.9552209,0.1223,-0.088,0.0326,149398.1,329.5,1.4744,1.1435
15.9552209,0.1226,-0.088,0.0372,150346.7,329.4,1.4838,1.1432
15.9552209,0.123,-0.088,0.0423,151414.2,329.2,1.4943,1.1425
15.9552209,0.1234,-0.088,0.0481,152634.6,329.1,1.5064,1.1421
15.9552209,0.1238,-0.088,0.0542,153845.4,328.9,1.5183,1.1414
15.9552209,0.1242,-0.088,0.0606,154887,328.6,1.5286,1.1404
15.9552209,0.1247,-0.088,0.0677,155726.4,328.4,1.5369,1.1397
15.9552209,0.1253,-0.088,0.0755,156274.1,328.2,1.5423,1.139
15.9552209,0.1259,-0.088,0.0842,156554.7,328.1,1.5451,1.1386
15.9552209,0.1266,-0.088,0.0941,156623,328.1,1.5457,1.1386
15.9552209,0.1274,-0.088,0.1054,156492.4,328.1,1.5445,1.1386
15.9552209,0.1283,-0.088,0.1184,156152.4,328,1.5411,1.1383
15.9552209,0.1293,-0.088,0.1335,155588.2,327.8,1.5355,1.1376
15.9552209,0.1306,-0.088,0.151,154901.2,327.5,1.5288,1.1366
15.9552209,0.132,-0.088,0.1711,154249.4,327.2,1.5223,1.1355
15.9552209,0.1336,-0.088,0.1942,153730.3,327,1.5172,1.1348
15.9552209,0.1354,-0.088,0.2204,153383.6,326.8,1.5138,1.1341
15.9552209,0.1375,-0.088,0.2498,153207.2,326.7,1.512,1.1338
15.9552209,0.1398,-0.088,0.2827,153145.6,326.7,1.5114,1.1338
15.9552209,0.1423,-0.088,0.3188,153127.4,326.7,1.5112,1.1338
15.9552209,0.1452,-0.088,0.3596,153135.1,326.7,1.5113,1.1338
15.9552209,0.1484,-0.088,0.4061,153171.1,326.7,1.5117,1.1338
15.9552209,0.1516,-0.088,0.4507,153260.9,326.8,1.5126,1.1341
15.9552209,0.1548,-0.088,0.4966,153373.9,326.8,1.5137,1.1341
15.9552209,0.158,-0.088,0.5427,153455.7,327,1.5145,1.1348
15.9552209,0.1613,-0.088,0.59,153501.6,327.2,1.5149,1.1355
15.9552209,0.1646,-0.088,0.6378,153481.7,327.7,1.5147,1.1373
15.9552209,0.1675,-0.088,0.6783,153424.7,328.2,1.5142,1.139
15.9552209,0.1701,-0.088,0.716,153374.5,328.8,1.5137,1.1411
15.9552209,0.1725,-0.088,0.7504,153328.8,329.6,1.5132,1.1438
15.9552209,0.1748,-0.088,0.7834,153219.5,330.4,1.5122,1.1466
15.9552209,0.1769,-0.088,0.8134,153134.1,331.1,1.5113,1.1491
15.9552209,0.1786,-0.088,0.8378,153083.1,331.8,1.5108,1.1515
15.9552209,0.1802,-0.088,0.8595,152970.5,332.5,1.5097,1.1539
15.9552209,0.1815,-0.088,0.8786,152713.3,333.2,1.5072,1.1563
15.9552209,0.1828,-0.088,0.8978,152137.1,334.2,1.5015,1.1598
15.9552209,0.1839,-0.088,0.9125,151383.4,335.2,1.494,1.1633
15.9552209,0.1848,-0.088,0.9253,150457.5,336.1,1.4849,1.1664
15.9552209,0.1857,-0.088,0.9388,149195,337.2,1.4724,1.1702
15.9552209,0.1864,-0.088,0.9493,147998.3,337.9,1.4606,1.1727
15.9552209,0.1872,-0.088,0.9604,146548.3,338.7,1.4463,1.1754
15.9552209,0.1879,-0.088,0.9697,145216.8,339.3,1.4332,1.1775
15.9552209,0.1885,-0.088,0.9788,143757.8,339.9,1.4188,1.1796
15.9552209,0.1891,-0.088,0.9873,142130.9,340.3,1.4027,1.181
15.9552209,0.1894,-0.088,0.9918,140858.2,340.5,1.3902,1.1817
15.9552209,0.1895,-0.088,0.9934,140303.6,340.6,1.3847,1.182
15.9552209,0.1896,-0.088,0.9944,139902,340.6,1.3807,1.182
15.9552209,0.1897,-0.088,0.9952,139527.8,340.6,1.377,1.182
15.9552209,0.1898,-0.088,0.9969,138562.6,340.7,1.3675,1.1824
15.9552209,0.1899,-0.088,0.9988,136748.8,340.6,1.3496,1.182
15.9552209,0.19,-0.088,1,133442.1,340.2,1.317,1.1806
14.8174322,0.12,-0.088,0,143059.5,331.1,1.4119,1.1491
14.8174322,0.1201,-0.088,0.0008,146126.9,331.4,1.4422,1.1501
14.8174322,0.1202,-0.088,0.0028,148989.6,331.7,1.4704,1.1511
14.8174322,0.1203,-0.088,0.0038,149797.2,331.7,1.4784,1.1511
14.8174322,0.1203,-0.088,0.0049,150517.6,331.7,1.4855,1.1511
14.8174322,0.1204,-0.088,0.0062,151236.5,331.8,1.4926,1.1515
14.8174322,0.1205,-0.088,0.0077,151940.9,331.8,1.4995,1.1515
14.8174322,0.1207,-0.088,0.0095,152609.4,331.8,1.5061,1.1515
14.8174322,0.1208,-0.088,0.0116,153215.7,331.8,1.5121,1.1515
14.8174322,0.121,-0.088,0.014,153740.4,331.7,1.5173,1.1511
14.8174322,0.1212,-0.088,0.0169,154192.6,331.7,1.5218,1.1511
14.8174322,0.1214,-0.088,0.0202,154613.1,331.6,1.5259,1.1508
14.8174322,0.1217,-0.088,0.0239,155021.1,331.6,1.5299,1.1508
14.8174322,0.1219,-0.088,0.0278,155457.3,331.5,1.5342,1.1504
14.8174322,0.1223,-0.088,0.0322,155962.7,331.5,1.5392,1.1504
14.8174322,0.1226,-0.088,0.037,156572.3,331.4,1.5452,1.1501
14.8174322,0.123,-0.088,0.0422,157302.9,331.3,1.5525,1.1497
14.8174322,0.1234,-0.088,0.0481,158212.7,331.2,1.5614,1.1494
14.8174322,0.1238,-0.088,0.0542,159126,331.1,1.5705,1.1491
14.8174322,0.1243,-0.088,0.0608,159889.6,331,1.578,1.1487
14.8174322,0.1248,-0.088,0.0681,160406.9,330.9,1.5831,1.1484
14.8174322,0.1253,-0.088,0.0761,160703.5,330.8,1.586,1.148
14.8174322,0.126,-0.088,0.0851,160827.4,330.8,1.5872,1.148
14.8174322,0.1267,-0.088,0.0953,160850.6,330.7,1.5875,1.1477
