Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.2275454,101325,101325,288.15,288.15,142887.2,143174.6,325.13,324.91,1.4102,1.1283,1.1276,0.808725239
20000,16.033164,101325,101325,288.15,288.15,148733.3,148956.9,328.35,328.09,1.4679,1.1395,1.1386,0.836261705
20000,16.0013733,101325,101325,288.15,288.15,149085.3,149304.4,328.6,328.34,1.4714,1.1404,1.1395,0.836311337
20000,15.8621932,101325,101325,288.15,288.15,150483.2,150680.2,329.61,329.33,1.4852,1.1439,1.1429,0.837283063
20000,15.7012066,101325,101325,288.15,288.15,151858.1,152029.9,330.65,330.37,1.4987,1.1475,1.1465,0.836492445
20000,15.4071412,101325,101325,288.15,288.15,153857.9,153992.9,332.36,332.08,1.5185,1.1534,1.1525,0.831236555
20000,15.3496719,101325,101325,288.15,288.15,154180.9,154309.7,332.67,332.39,1.5216,1.1545,1.1535,0.830099787
20000,15.3309671,101325,101325,288.15,288.15,154274.5,154401.8,332.74,332.46,1.5226,1.1548,1.1538,0.829856736
20000,15.3120948,101325,101325,288.15,288.15,154368.4,154494,332.85,332.57,1.5235,1.1551,1.1542,0.828938812
20000,15.3056218,101325,101325,288.15,288.15,154399.5,154524.6,332.86,332.58,1.5238,1.1552,1.1542,0.829350281
20000,15.2991296,101325,101325,288.15,288.15,154430.6,154555,332.91,332.63,1.5241,1.1553,1.1544,0.82868687
20000,15.2925247,101325,101325,288.15,288.15,154461.5,154585.2,332.93,332.65,1.5244,1.1554,1.1544,0.82909769
20000,15.285953,101325,101325,288.15,288.15,154492.4,154615.5,332.96,332.68,1.5247,1.1555,1.1545,0.828971554
20000,15.2725634,101325,101325,288.15,288.15,154553.8,154675.7,333.03,332.75,1.5253,1.1558,1.1548,0.828184249
20000,15.2588203,101325,101325,288.15,288.15,154614.2,154735,333.09,332.81,1.5259,1.156,1.155,0.827933566
20000,15.251909,101325,101325,288.15,288.15,154644.4,154764.6,333.12,332.84,1.5262,1.1561,1.1551,0.827808381
20000,15.2448102,101325,101325,288.15,288.15,154674.2,154793.9,333.14,332.86,1.5265,1.1561,1.1552,0.827683299
20000,15.2304816,101325,101325,288.15,288.15,154733.9,154852.4,333.24,332.96,1.5271,1.1565,1.1555,0.826901337
20000,15.2158494,101325,101325,288.15,288.15,154793.1,154910.4,333.27,332.99,1.5277,1.1566,1.1556,0.827184011
20000,15.2008515,101325,101325,288.15,288.15,154851.7,154967.7,333.34,333.06,1.5283,1.1568,1.1558,0.826934986
20000,15.1857083,101325,101325,288.15,288.15,154910.3,155025.2,333.43,333.15,1.5288,1.1571,1.1562,0.825492804
20000,15.169067,101325,101325,288.15,288.15,154965.6,155079.2,333.49,333.21,1.5294,1.1573,1.1564,0.825246481
20000,15.1517082,101325,101325,288.15,288.15,155019.3,155131.7,333.55,333.27,1.5299,1.1576,1.1566,0.824865904
20000,14.9505363,101325,101325,288.15,288.15,155334.7,155439.9,334.01,333.73,1.533,1.1591,1.1582,0.82065264
20000,14.8458639,101325,101325,288.15,288.15,155615.6,155714.5,334.38,334.1,1.5358,1.1604,1.1595,0.817658098
20000,14.770067,101325,101325,288.15,288.15,155874.5,155967,334.79,334.51,1.5384,1.1619,1.1609,0.813939789
20000,14.6932234,101325,101325,288.15,288.15,155914,156003.8,335.01,334.73,1.5388,1.1626,1.1616,0.810933923
20000,14.618352,101325,101325,288.15,288.15,155864.9,155953.5,335.19,334.89,1.5383,1.1633,1.1622,0.807286727
