Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.0013733,0.19,-0.170999896,0.99967,66.61,0.09,131259.4,1.2954
16.0013733,0.1899,-0.170992906,0.99852,66.36,0.23,137144.9,1.3535
16.0013733,0.1898,-0.170985916,0.99734,65.87,0.34,139800,1.3797
16.0013733,0.1897,-0.170978927,0.9955,64.91,0.49,142298.3,1.4044
16.0013733,0.1894,-0.170957958,0.99268,63.23,0.65,144529.4,1.4264
16.0013733,0.1886,-0.170902042,0.98181,54.89,1.08,147727.3,1.458
16.0013733,0.186,-0.170720313,0.94769,42.37,0.96,148636.9,1.4669
16.0013733,0.1828,-0.170496648,0.90569,36.85,0.99,150312.6,1.4835
16.0013733,0.178,-0.170161149,0.84261,35.31,1.43,151362.9,1.4938
16.0013733,0.1709,-0.169664891,0.74881,34.46,2.26,152017.8,1.5003
16.0013733,0.1611,-0.168979915,0.61943,34.52,3.51,152091.7,1.501
16.0013733,0.1495,-0.168169127,0.46775,35.87,4.94,151750.6,1.4977
16.0013733,0.1385,-0.167400277,0.32234,37.71,5.93,151729.7,1.4975
16.0013733,0.1301,-0.166813154,0.21139,39.25,6.51,152471.5,1.5048
16.0013733,0.1245,-0.16642174,0.1378,40.19,6.48,153860,1.5185
16.0013733,0.1209,-0.166170116,0.0907,40.75,6.1,155068.9,1.5304
16.0013733,0.1186,-0.166009356,0.06052,41.08,5.44,155544,1.5351
16.0013733,0.1171,-0.165904513,0.04104,41.58,4.73,155432.6,1.534
16.0013733,0.1161,-0.165834617,0.02824,42.67,4.09,155028.8,1.53
16.0013733,0.1155,-0.16579268,0.01936,44.79,3.59,153866.7,1.5185
16.0013733,0.1149,-0.165750743,0.01245,47.6,3.13,152349.1,1.5036
16.0013733,0.1146,-0.165729774,0.00763,50.86,2.81,150417.1,1.4845
16.0013733,0.1143,-0.165708805,0.00447,54.54,2.47,147983.3,1.4605
16.0013733,0.1142,-0.165701816,0.00237,58.77,2.06,145097.2,1.432
16.0013733,0.1141,-0.165694826,0.00096,63.77,1.55,141221.2,1.3937
16.0013733,0.114,-0.165687837,0,68.21,0.95,135635.4,1.3386
14.770067,0.19,-0.170999896,0.99976,76.99,0.09,141811.1,1.3996
14.770067,0.1899,-0.170992906,0.99868,77,0.24,151061.8,1.4909
14.770067,0.1898,-0.170985916,0.99758,76.89,0.36,155499.9,1.5347
14.770067,0.1897,-0.170978927,0.99586,76.63,0.52,159960.5,1.5787
14.770067,0.1895,-0.170964948,0.9932,76.1,0.73,164209.1,1.6206
14.770067,0.1886,-0.170902042,0.98202,71.05,2.21,168153.1,1.6595
14.770067,0.1858,-0.170706334,0.94451,56.06,2.35,160842.2,1.5874
14.770067,0.1827,-0.170489658,0.90419,45.34,2.08,158448.3,1.5638
14.770067,0.1783,-0.170182118,0.84547,42.63,2.45,159072.3,1.5699
14.770067,0.1714,-0.169699839,0.75495,41.77,3.42,159616.6,1.5753
14.770067,0.1617,-0.169021853,0.6273,40.87,4.62,159005.9,1.5693
14.770067,0.15,-0.168204075,0.47432,41.37,5.75,158020.9,1.5595
14.770067,0.1388,-0.167421245,0.32619,43.05,6.41,157987.2,1.5592
14.770067,0.1302,-0.166820144,0.2133,44.72,6.77,158570.4,1.565
14.770067,0.1245,-0.16642174,0.13876,45.47,6.65,159745.6,1.5766
14.770067,0.1209,-0.166170116,0.0911,45.92,6.2,160605.4,1.5851
14.770067,0.1186,-0.166009356,0.06047,46.2,5.43,160912.7,1.5881
14.770067,0.1171,-0.165904513,0.04058,46.66,4.61,160939.6,1.5884
14.770067,0.1161,-0.165834617,0.02744,47.63,3.89,160872.1,1.5877
14.770067,0.1154,-0.16578569,0.01841,49.24,3.35,160315.1,1.5822
14.770067,0.1149,-0.165750743,0.01204,51.18,2.92,159396,1.5731
14.770067,0.1146,-0.165729774,0.00753,53.8,2.61,157906.1,1.5584
14.770067,0.1143,-0.165708805,0.00432,57.31,2.27,155539.2,1.5351
14.770067,0.1142,-0.165701816,0.00228,61.31,1.88,152639.6,1.5064
14.770067,0.1141,-0.165694826,0.00092,66,1.39,148545.1,1.466
14.770067,0.114,-0.165687837,0,69.82,0.88,142640.3,1.4078
