Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.0013733,0.12,-0.088,0,133506.8,329.4,1.3176,1.1432
16.0013733,0.1202,-0.088,0.0026,137262.3,329.7,1.3547,1.1442
16.0013733,0.1204,-0.088,0.0055,139108.9,329.8,1.3729,1.1445
16.0013733,0.1207,-0.088,0.01,141071.9,329.8,1.3923,1.1445
16.0013733,0.1212,-0.088,0.0167,143309.8,329.6,1.4144,1.1438
16.0013733,0.1218,-0.088,0.0256,145875.7,329.3,1.4397,1.1428
16.0013733,0.1226,-0.088,0.0372,148573,328.6,1.4663,1.1404
16.0013733,0.1237,-0.088,0.0525,150772.5,327.9,1.488,1.1379
16.0013733,0.1251,-0.088,0.0734,151998.2,327.3,1.5001,1.1359
16.0013733,0.1272,-0.088,0.1031,152170.4,326.9,1.5018,1.1345
16.0013733,0.1304,-0.088,0.1483,151347.9,326.4,1.4937,1.1327
16.0013733,0.1354,-0.088,0.2193,150147.6,326,1.4818,1.1314
16.0013733,0.1428,-0.088,0.3255,149610.5,325.9,1.4765,1.131
16.0013733,0.1526,-0.088,0.4657,149849.9,326.1,1.4789,1.1317
16.0013733,0.164,-0.088,0.6285,150140,327.2,1.4818,1.1355
16.0013733,0.1731,-0.088,0.7582,149981.3,328.6,1.4802,1.1404
16.0013733,0.179,-0.088,0.8429,149174.6,329.8,1.4722,1.1445
16.0013733,0.1833,-0.088,0.9048,147876.5,331.9,1.4594,1.1518
16.0013733,0.1862,-0.088,0.9456,145855.1,336.1,1.4395,1.1664
16.0013733,0.1885,-0.088,0.9792,141492.7,341.6,1.3964,1.1855
16.0013733,0.1895,-0.088,0.9924,137389.6,344,1.3559,1.1938
16.0013733,0.1897,-0.088,0.996,135888,344.3,1.3411,1.1949
16.0013733,0.1899,-0.088,0.9979,134747.1,344.4,1.3299,1.1952
16.0013733,0.1899,-0.088,0.9987,133984.5,344.4,1.3223,1.1952
16.0013733,0.19,-0.088,1,131795.4,344.3,1.3007,1.1949
14.770067,0.12,-0.088,0,143412.7,331.8,1.4154,1.1515
14.770067,0.1202,-0.088,0.0024,146771.8,332.1,1.4485,1.1525
14.770067,0.1204,-0.088,0.0052,148432.4,332.1,1.4649,1.1525
14.770067,0.1207,-0.088,0.0095,150118.4,332.1,1.4816,1.1525
14.770067,0.1211,-0.088,0.016,151905.4,332,1.4992,1.1522
14.770067,0.1217,-0.088,0.0249,153798.3,331.7,1.5179,1.1511
14.770067,0.1226,-0.088,0.0365,155645.5,331.2,1.5361,1.1494
14.770067,0.1237,-0.088,0.0522,157003.3,330.7,1.5495,1.1477
14.770067,0.1252,-0.088,0.0736,157625.1,330.3,1.5556,1.1463
14.770067,0.1273,-0.088,0.1041,157647,330,1.5559,1.1452
14.770067,0.1305,-0.088,0.1505,157001.3,329.7,1.5495,1.1442
14.770067,0.1356,-0.088,0.2234,155991.9,329.5,1.5395,1.1435
14.770067,0.1433,-0.088,0.333,155548.3,329.6,1.5351,1.1438
14.770067,0.1539,-0.088,0.4844,155855.1,330.5,1.5382,1.147
14.770067,0.1658,-0.088,0.654,156578.3,333.4,1.5453,1.157
14.770067,0.1741,-0.088,0.7727,156635,336.4,1.5459,1.1674
14.770067,0.1803,-0.088,0.861,156201.8,339.5,1.5416,1.1782
14.770067,0.1844,-0.088,0.9195,155936.2,343.9,1.539,1.1935
14.770067,0.187,-0.088,0.9577,154987.4,350.6,1.5296,1.2167
14.770067,0.1889,-0.088,0.9849,151633,359,1.4965,1.2459
14.770067,0.1897,-0.088,0.9959,147312.2,363.5,1.4539,1.2615
14.770067,0.1898,-0.088,0.9977,146183.6,363.8,1.4427,1.2625
14.770067,0.1899,-0.088,0.9984,145421,364,1.4352,1.2632
14.770067,0.19,-0.088,1,142650.7,364.1,1.4079,1.2636
