Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.2843093,101325,101325,288.15,288.15,143136.7,143620.3,323.99,323.81,1.4126,1.1244,1.1237,0.838556557
20000,16.1559183,101325,101325,288.15,288.15,151177.2,151476.5,328.12,327.92,1.492,1.1387,1.138,0.87760886
20000,16.0232466,101325,101325,288.15,288.15,152629.6,152898.2,329.15,328.93,1.5063,1.1423,1.1415,0.877523921
20000,15.8756645,101325,101325,288.15,288.15,154133.8,154373.7,330.17,329.95,1.5212,1.1458,1.1451,0.877571538
20000,15.7906425,101325,101325,288.15,288.15,154856,155079.1,330.71,330.5,1.5283,1.1477,1.147,0.876438577
20000,15.6922808,101325,101325,288.15,288.15,155569.1,155773.1,331.3,331.1,1.5353,1.1498,1.149,0.874572519
20000,15.5798906,101325,101325,288.15,288.15,156235.9,156419.4,331.9,331.7,1.5419,1.1518,1.1511,0.871591467
20000,15.4517757,101325,101325,288.15,288.15,156957,157120,332.58,332.39,1.549,1.1542,1.1535,0.867647719
20000,15.3110823,101325,101325,288.15,288.15,157626.8,157770.4,333.27,333.11,1.5557,1.1566,1.156,0.862706273
20000,15.1586023,101325,101325,288.15,288.15,158266.2,158391.9,333.96,333.81,1.562,1.159,1.1585,0.857369313
20000,14.9635444,101325,101325,288.15,288.15,158893.9,159001.4,334.78,334.67,1.5682,1.1618,1.1615,0.849408078
20000,14.8598274,101325,101325,288.15,288.15,159158.6,159258.6,335.22,335.13,1.5708,1.1634,1.163,0.844894284
20000,14.8029848,101325,101325,288.15,288.15,159294.3,159391.3,335.47,335.39,1.5721,1.1642,1.1639,0.841895739
20000,14.743097,101325,101325,288.15,288.15,159425.2,159519.4,335.71,335.65,1.5734,1.165,1.1648,0.838928981
20000,14.6784895,101325,101325,288.15,288.15,159551.3,159642.6,335.96,335.91,1.5746,1.1659,1.1658,0.83536468
