Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.0232466,0.19,-0.170999896,0.99994,72.34,-0.11,125921.4,1.2427
16.0232466,0.1899,-0.170992906,0.99927,71.7,0.07,133535.5,1.3179
16.0232466,0.1898,-0.170985916,0.99792,70.34,0.3,137614.4,1.3581
16.0232466,0.1897,-0.170978927,0.99653,69.05,0.5,139346.1,1.3752
16.0232466,0.1896,-0.170971937,0.99526,67.95,0.67,140296.8,1.3846
16.0232466,0.1895,-0.170964948,0.99364,66.67,0.87,141127.2,1.3928
16.0232466,0.1894,-0.170957958,0.99268,65.95,0.98,141510.1,1.3966
16.0232466,0.1893,-0.170950969,0.99103,64.76,1.15,142060.9,1.402
16.0232466,0.1892,-0.170943979,0.98978,63.9,1.27,142420.7,1.4056
16.0232466,0.1891,-0.17093699,0.98839,62.97,1.38,142781.3,1.4091
16.0232466,0.1888,-0.170916021,0.98469,60.3,1.64,143739.3,1.4186
16.0232466,0.1883,-0.170881073,0.97723,55.88,1.9,145273.4,1.4337
16.0232466,0.1878,-0.170846125,0.97133,52.66,2.01,146524.2,1.4461
16.0232466,0.1873,-0.170811178,0.96424,49.59,2.07,148085.8,1.4615
16.0232466,0.1868,-0.17077623,0.95804,47.55,2.11,149381.5,1.4743
16.0232466,0.1863,-0.170741282,0.95174,45.9,2.15,150537.1,1.4857
16.0232466,0.1858,-0.170706334,0.94524,44.42,2.16,151537.9,1.4956
16.0232466,0.1853,-0.170671387,0.93853,43.02,2.11,152356.8,1.5036
16.0232466,0.1848,-0.170636439,0.93161,41.68,2.02,152988.5,1.5099
16.0232466,0.1843,-0.170601491,0.92445,40.48,1.89,153472.4,1.5147
16.0232466,0.1837,-0.170559554,0.91701,39.54,1.74,153833.6,1.5182
16.0232466,0.1831,-0.170517616,0.90926,38.86,1.62,154115,1.521
16.0232466,0.1825,-0.170475679,0.90112,38.41,1.52,154365.8,1.5235
16.0232466,0.1818,-0.170426752,0.89256,38.1,1.47,154564.6,1.5254
16.0232466,0.1811,-0.170377825,0.88354,37.78,1.46,154693,1.5267
16.0232466,0.1804,-0.170328899,0.87405,37.4,1.45,154748.9,1.5273
16.0232466,0.1797,-0.170279972,0.86409,36.97,1.46,154739.1,1.5272
16.0232466,0.1789,-0.170224055,0.8537,36.53,1.47,154688.8,1.5267
16.0232466,0.1781,-0.170168139,0.84284,36.16,1.51,154607.5,1.5259
16.0232466,0.1772,-0.170105233,0.83151,35.87,1.56,154533.4,1.5251
16.0232466,0.1763,-0.170042327,0.81969,35.66,1.62,154478.2,1.5246
16.0232466,0.1754,-0.169979421,0.80737,35.49,1.69,154464.9,1.5245
16.0232466,0.1744,-0.169909526,0.79456,35.3,1.78,154489,1.5247
16.0232466,0.1734,-0.16983963,0.78099,35.03,1.87,154526.9,1.5251
16.0232466,0.1723,-0.169762745,0.76715,34.75,1.96,154531.2,1.5251
16.0232466,0.1712,-0.16968586,0.75289,34.51,2.07,154527.2,1.5251
16.0232466,0.1701,-0.169608975,0.73818,34.32,2.19,154544.5,1.5252
16.0232466,0.169,-0.16953209,0.72303,34.17,2.32,154558.7,1.5254
16.0232466,0.1678,-0.169448215,0.70748,34.05,2.45,154603.4,1.5258
16.0232466,0.1666,-0.169364341,0.69153,33.97,2.59,154617.2,1.526
16.0232466,0.1653,-0.169273476,0.67522,33.94,2.73,154612.2,1.5259
16.0232466,0.1641,-0.169189602,0.65856,33.95,2.88,154604.1,1.5258
16.0232466,0.1628,-0.169098738,0.64157,34.01,3.03,154657.6,1.5264
16.0232466,0.1614,-0.169000884,0.6243,34.1,3.19,154661.7,1.5264
16.0232466,0.1601,-0.16891002,0.60677,34.22,3.35,154668.1,1.5265
16.0232466,0.1588,-0.168819156,0.58901,34.38,3.53,154638.9,1.5262
16.0232466,0.1574,-0.168721302,0.57105,34.56,3.71,154578.2,1.5256
16.0232466,0.156,-0.168623448,0.55298,34.74,3.87,154601.7,1.5258
16.0232466,0.1546,-0.168525594,0.53481,34.95,4.03,154647.2,1.5262
16.0232466,0.1533,-0.16843473,0.51657,35.16,4.2,154684.9,1.5266
16.0232466,0.1519,-0.168336877,0.49834,35.38,4.36,154684.4,1.5266
16.0232466,0.1505,-0.168239023,0.48015,35.6,4.53,154680.3,1.5266
16.0232466,0.1491,-0.168141169,0.46204,35.82,4.69,154687,1.5266
16.0232466,0.1477,-0.168043315,0.44405,36.05,4.84,154682.3,1.5266
