Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.0232466,0.12,-0.088,0,133118.4,328.9,1.3138,1.1414
16.0232466,0.1201,-0.088,0.0007,137144.6,329.4,1.3535,1.1432
16.0232466,0.1202,-0.088,0.0025,140019.6,329.6,1.3819,1.1438
16.0232466,0.1203,-0.088,0.0038,141161.9,329.7,1.3932,1.1442
16.0232466,0.1204,-0.088,0.0055,142241.8,329.7,1.4038,1.1442
16.0232466,0.1205,-0.088,0.0068,142949.2,329.8,1.4108,1.1445
16.0232466,0.1206,-0.088,0.0083,143650.2,329.8,1.4177,1.1445
16.0232466,0.1207,-0.088,0.0101,144338.2,329.8,1.4245,1.1445
16.0232466,0.1208,-0.088,0.011,144672.1,329.8,1.4278,1.1445
16.0232466,0.1209,-0.088,0.0132,145304.9,329.8,1.434,1.1445
16.0232466,0.121,-0.088,0.0144,145599.2,329.8,1.437,1.1445
16.0232466,0.1211,-0.088,0.0156,145879,329.7,1.4397,1.1442
16.0232466,0.1212,-0.088,0.0169,146145.2,329.7,1.4423,1.1442
16.0232466,0.1213,-0.088,0.0183,146400.5,329.7,1.4449,1.1442
16.0232466,0.1214,-0.088,0.0198,146650.2,329.7,1.4473,1.1442
16.0232466,0.1215,-0.088,0.0213,146900.8,329.6,1.4498,1.1438
16.0232466,0.1216,-0.088,0.0228,147158.2,329.6,1.4523,1.1438
16.0232466,0.1217,-0.088,0.0245,147427,329.6,1.455,1.1438
16.0232466,0.1218,-0.088,0.0262,147713.5,329.5,1.4578,1.1435
16.0232466,0.122,-0.088,0.028,148020.1,329.5,1.4608,1.1435
16.0232466,0.1221,-0.088,0.0298,148351.3,329.5,1.4641,1.1435
16.0232466,0.1222,-0.088,0.0318,148709.6,329.4,1.4676,1.1432
16.0232466,0.1224,-0.088,0.0338,149097.5,329.4,1.4715,1.1432
16.0232466,0.1225,-0.088,0.0358,149514.2,329.3,1.4756,1.1428
