Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.3513164,101325,101325,288.15,288.15,142278.1,142677.7,324.06,323.88,1.4042,1.1246,1.124,0.821372737
20000,16.0975352,101325,101325,288.15,288.15,150217,150484.9,328.4,328.18,1.4825,1.1397,1.1389,0.857205291
20000,15.982563,101325,101325,288.15,288.15,151219.8,151460.1,329.14,328.91,1.4924,1.1423,1.1415,0.85650806
20000,15.9424976,101325,101325,288.15,288.15,151568.8,151800.9,329.41,329.18,1.4959,1.1432,1.1424,0.856366098
20000,15.9004475,101325,101325,288.15,288.15,151915.1,152139.4,329.67,329.44,1.4993,1.1441,1.1433,0.85606788
20000,15.8569652,101325,101325,288.15,288.15,152259.7,152475.8,329.94,329.71,1.5027,1.145,1.1442,0.855765212
20000,15.7635013,101325,101325,288.15,288.15,152940.4,153140.2,330.48,330.24,1.5094,1.1469,1.1461,0.854415939
20000,15.663174,101325,101325,288.15,288.15,153614.7,153798.2,331.03,330.79,1.5161,1.1488,1.148,0.853070748
20000,15.5530033,101325,101325,288.15,288.15,154278.3,154445.4,331.61,331.38,1.5226,1.1508,1.15,0.850879773
20000,15.4286238,101325,101325,288.15,288.15,154924.3,155075.4,332.2,331.97,1.529,1.1529,1.1521,0.848022164
20000,15.2880045,101325,101325,288.15,288.15,155550.5,155686.3,332.84,332.62,1.5352,1.1551,1.1543,0.844395788
20000,15.2063104,101325,101325,288.15,288.15,155846.4,155974.5,333.17,332.95,1.5381,1.1562,1.1555,0.841799963
20000,15.1709045,101325,101325,288.15,288.15,155961.4,156086.5,333.29,333.08,1.5392,1.1567,1.1559,0.841121977
20000,15.1529138,101325,101325,288.15,288.15,156018.7,156142.5,333.37,333.16,1.5398,1.1569,1.1562,0.840312923
20000,15.1346512,101325,101325,288.15,288.15,156075.6,156198.1,333.44,333.23,1.5403,1.1572,1.1564,0.839909338
20000,15.1159818,101325,101325,288.15,288.15,156132,156253,333.51,333.3,1.5409,1.1574,1.1567,0.839104776
20000,15.077321,101325,101325,288.15,288.15,156242.9,156361,333.64,333.43,1.542,1.1579,1.1572,0.837903566
20000,15.0340476,101325,101325,288.15,288.15,156346.2,156461.3,333.81,333.61,1.543,1.1585,1.1578,0.836046173
20000,14.9880425,101325,101325,288.15,288.15,156446.5,156559.1,333.97,333.77,1.544,1.159,1.1583,0.834729213
20000,14.9372795,101325,101325,288.15,288.15,156540.4,156650.3,334.13,333.93,1.5449,1.1596,1.1589,0.832763657
20000,14.8714034,101325,101325,288.15,288.15,156606.5,156713.9,334.33,334.12,1.5456,1.1603,1.1595,0.830549908
20000,14.7850128,101325,101325,288.15,288.15,156641.7,156746.5,334.56,334.35,1.5459,1.1611,1.1603,0.826796691
20000,14.7290023,101325,101325,288.15,288.15,156640.9,156744.8,334.72,334.51,1.5459,1.1616,1.1609,0.823713546
