Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.982563,0.19,-0.170999896,0.99992,71.36,0.1,129126.5,1.2744
15.982563,0.1899,-0.170992906,0.99932,70.97,0.1,134719.9,1.3296
15.982563,0.1898,-0.170985916,0.99775,69.88,0.27,139848.1,1.3802
15.982563,0.1897,-0.170978927,0.99599,68.85,0.45,141904.7,1.4005
15.982563,0.1896,-0.170971937,0.99479,68.2,0.57,142700.6,1.4083
15.982563,0.1895,-0.170964948,0.99332,67.42,0.69,143385.9,1.4151
15.982563,0.1894,-0.170957958,0.99156,66.47,0.82,143981,1.421
15.982563,0.189,-0.17093,0.98699,62.94,1.11,145162.6,1.4326
15.982563,0.1882,-0.170874084,0.97676,56.7,1.24,146490.3,1.4457
15.982563,0.1875,-0.170825157,0.96723,51.66,1.29,148012.4,1.4608
15.982563,0.1867,-0.17076924,0.95648,48.11,1.4,149722.4,1.4776
15.982563,0.1858,-0.170706334,0.94437,45.2,1.52,151152.2,1.4918
15.982563,0.1847,-0.170629449,0.93067,42.29,1.57,152083.5,1.5009
15.982563,0.1835,-0.170545575,0.9149,39.62,1.56,152646.2,1.5065
15.982563,0.1821,-0.170447721,0.89633,37.79,1.54,153079.5,1.5108
15.982563,0.1804,-0.170328899,0.87413,37,1.61,153423.7,1.5142
15.982563,0.1784,-0.170189108,0.84755,36.51,1.77,153544.7,1.5154
15.982563,0.176,-0.170021358,0.81589,35.99,1.99,153527.1,1.5152
15.982563,0.1732,-0.169825651,0.77846,35.47,2.28,153557.3,1.5155
15.982563,0.1698,-0.169588006,0.73464,35.02,2.65,153536.3,1.5153
15.982563,0.166,-0.169322403,0.68414,34.83,3.09,153684.2,1.5167
15.982563,0.1617,-0.169021853,0.62723,34.91,3.61,153618.7,1.5161
15.982563,0.1569,-0.168686354,0.56504,35.32,4.14,153368,1.5136
15.982563,0.152,-0.168343866,0.49961,36.03,4.65,152995.4,1.5099
15.982563,0.147,-0.167994389,0.43383,36.91,5.1,152732.2,1.5073
15.982563,0.1422,-0.16765889,0.37089,37.8,5.48,152771.8,1.5077
15.982563,0.1378,-0.16735135,0.31331,38.64,5.79,153031.4,1.5103
15.982563,0.134,-0.167085747,0.2625,39.36,6.03,153520.8,1.5151
15.982563,0.1306,-0.166848102,0.21878,39.98,6.21,154180.9,1.5216
15.982563,0.1278,-0.166652395,0.18179,40.45,6.37,155067.4,1.5304
15.982563,0.1255,-0.166491635,0.15081,40.83,6.49,155952.7,1.5391
15.982563,0.1235,-0.166351844,0.12508,41.05,6.52,156559.1,1.5451
15.982563,0.1219,-0.166240011,0.10378,41.18,6.45,156918.5,1.5487
15.982563,0.1205,-0.166142158,0.08617,41.25,6.3,157132.2,1.5508
15.982563,0.1194,-0.166065273,0.07164,41.29,6.09,157179.2,1.5512
15.982563,0.1185,-0.166002367,0.05967,41.27,5.85,157040.1,1.5499
15.982563,0.1178,-0.16595344,0.04981,41.26,5.61,156824.7,1.5477
15.982563,0.1172,-0.165911502,0.04165,41.31,5.42,156524.3,1.5448
15.982563,0.1167,-0.165876555,0.03487,41.43,5.25,156119.9,1.5408
15.982563,0.1162,-0.165841607,0.0292,41.69,5.1,155645.5,1.5361
15.982563,0.1159,-0.165820638,0.0244,42.15,4.95,155097.4,1.5307
15.982563,0.1155,-0.16579268,0.02031,42.82,4.78,154437.5,1.5242
15.982563,0.1153,-0.165778701,0.01677,43.7,4.59,153625.1,1.5162
15.982563,0.115,-0.165757732,0.01371,44.83,4.37,152602,1.5061
15.982563,0.1148,-0.165743753,0.01113,46.16,4.14,151358.4,1.4938
15.982563,0.1147,-0.165736764,0.00866,47.99,3.88,149682.8,1.4773
15.982563,0.1145,-0.165722785,0.00674,49.97,3.63,147860,1.4593
15.982563,0.1144,-0.165715795,0.00514,52.31,3.36,145823.9,1.4392
15.982563,0.1143,-0.165708805,0.00379,55.15,3.06,143517.5,1.4164
15.982563,0.1142,-0.165701816,0.00265,58.53,2.72,140782.9,1.3894
15.982563,0.1141,-0.165694826,0.00077,66.67,1.63,131019.7,1.2931
14.7850128,0.19,-0.170999896,0.99999,79.54,0.47,135199.2,1.3343
14.7850128,0.1899,-0.170992906,0.99918,79.38,0.18,149095.7,1.4715
14.7850128,0.1898,-0.170985916,0.99765,79.01,0.46,157676.7,1.5561
14.7850128,0.1897,-0.170978927,0.99593,78.59,0.75,161989.4,1.5987
