Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.982563,0.12,-0.088,0,134259.3,327.5,1.325,1.1366
15.982563,0.1201,-0.088,0.0014,137344.7,328.2,1.3555,1.139
15.982563,0.1202,-0.088,0.0027,139047.2,328.4,1.3723,1.1397
15.982563,0.1203,-0.088,0.0042,140593.9,328.6,1.3876,1.1404
15.982563,0.1204,-0.088,0.0061,142073.3,328.7,1.4022,1.1407
15.982563,0.1206,-0.088,0.0084,143466.5,328.8,1.4159,1.1411
15.982563,0.1208,-0.088,0.0112,144696.6,328.8,1.428,1.1411
15.982563,0.121,-0.088,0.0146,145760.2,328.8,1.4385,1.1411
15.982563,0.1213,-0.088,0.0186,146742.9,328.7,1.4482,1.1407
15.982563,0.1216,-0.088,0.0231,147730.6,328.7,1.458,1.1407
15.982563,0.122,-0.088,0.0282,148808.8,328.5,1.4686,1.14
15.982563,0.1224,-0.088,0.0341,150086.9,328.4,1.4812,1.1397
15.982563,0.1229,-0.088,0.0408,151545.8,328.3,1.4956,1.1393
15.982563,0.1233,-0.088,0.0478,152877.1,328.2,1.5088,1.139
15.982563,0.1239,-0.088,0.0556,153797.8,328,1.5179,1.1383
15.982563,0.1245,-0.088,0.0644,154359.1,328,1.5234,1.1383
15.982563,0.1252,-0.088,0.0745,154666.2,327.9,1.5264,1.1379
15.982563,0.126,-0.088,0.0862,154799.9,327.9,1.5278,1.1379
15.982563,0.127,-0.088,0.1,154780.4,327.8,1.5276,1.1376
15.982563,0.1282,-0.088,0.1164,154591.5,327.8,1.5257,1.1376
15.982563,0.1295,-0.088,0.1363,154202.2,327.6,1.5219,1.1369
15.982563,0.1312,-0.088,0.1603,153616.5,327.3,1.5161,1.1359
15.982563,0.1333,-0.088,0.1894,152927.3,327,1.5093,1.1348
15.982563,0.1357,-0.088,0.2242,152257.2,326.7,1.5027,1.1338
15.982563,0.1386,-0.088,0.2656,151735.4,326.5,1.4975,1.1331
15.982563,0.1422,-0.088,0.3176,151378.6,326.4,1.494,1.1327
15.982563,0.1464,-0.088,0.3773,151261.3,326.3,1.4928,1.1324
15.982563,0.1507,-0.088,0.4385,151351.5,326.3,1.4937,1.1324
15.982563,0.1552,-0.088,0.5026,151704.1,326.5,1.4972,1.1331
15.982563,0.1597,-0.088,0.5667,152090.8,326.9,1.501,1.1345
15.982563,0.1644,-0.088,0.634,152310,327.6,1.5032,1.1369
15.982563,0.1684,-0.088,0.6911,152299,328.3,1.5031,1.1393
15.982563,0.1718,-0.088,0.7396,152172,329.1,1.5018,1.1421
15.982563,0.1747,-0.088,0.7817,152046.1,330,1.5006,1.1452
15.982563,0.1772,-0.088,0.8177,151870.2,330.8,1.4988,1.148
15.982563,0.1796,-0.088,0.8518,151597.9,331.6,1.4962,1.1508
15.982563,0.1814,-0.088,0.8773,151210.6,332.5,1.4923,1.1539
15.982563,0.1829,-0.088,0.8984,150649.5,333.5,1.4868,1.1574
15.982563,0.1841,-0.088,0.9161,149851.7,334.7,1.4789,1.1615
15.982563,0.1853,-0.088,0.9327,148743.3,336.2,1.468,1.1668
15.982563,0.1863,-0.088,0.9466,147504.8,337.4,1.4558,1.1709
15.982563,0.1871,-0.088,0.958,146204.7,338.5,1.4429,1.1747
15.982563,0.1878,-0.088,0.9692,144579.4,339.5,1.4269,1.1782
15.982563,0.1885,-0.088,0.9787,142916.5,340.3,1.4105,1.181
15.982563,0.1891,-0.088,0.9878,140960.3,340.9,1.3912,1.1831
15.982563,0.1895,-0.088,0.9926,139474.8,341.1,1.3765,1.1838
15.982563,0.1896,-0.088,0.994,138919.3,341.2,1.371,1.1841
15.982563,0.1897,-0.088,0.9959,137976.8,341.2,1.3617,1.1841
15.982563,0.1898,-0.088,0.9975,136843.4,341.1,1.3505,1.1838
15.982563,0.1899,-0.088,0.9989,135381.7,341,1.3361,1.1834
15.982563,0.19,-0.088,1,133509.6,340.6,1.3176,1.182
14.7850128,0.12,-0.088,0,142839.1,329.6,1.4097,1.1438
14.7850128,0.1201,-0.088,0.0013,145383.5,330.2,1.4348,1.1459
14.7850128,0.1202,-0.088,0.0025,146886.9,330.3,1.4497,1.1463
14.7850128,0.1203,-0.088,0.004,148263.3,330.5,1.4632,1.147
14.7850128,0.1204,-0.088,0.0059,149738.4,330.6,1.4778,1.1473
14.7850128,0.1206,-0.088,0.008,151044.4,330.7,1.4907,1.1477
14.7850128,0.1207,-0.088,0.0105,152280.2,330.8,1.5029,1.148
14.7850128,0.121,-0.088,0.0136,153373.9,330.8,1.5137,1.148
14.7850128,0.1212,-0.088,0.0173,154360.6,330.8,1.5234,1.148
14.7850128,0.1215,-0.088,0.0217,155309.3,330.7,1.5328,1.1477
14.7850128,0.1219,-0.088,0.0266,156274.8,330.7,1.5423,1.1477
14.7850128,0.1222,-0.088,0.0321,157256.9,330.6,1.552,1.1473
14.7850128,0.1227,-0.088,0.0383,158140.6,330.6,1.5607,1.1473
14.7850128,0.1232,-0.088,0.0453,158820.5,330.5,1.5674,1.147
14.7850128,0.1237,-0.088,0.0533,159272.1,330.5,1.5719,1.147
14.7850128,0.1244,-0.088,0.0624,159536.5,330.5,1.5745,1.147
14.7850128,0.1251,-0.088,0.0729,159654,330.5,1.5757,1.147
14.7850128,0.1259,-0.088,0.085,159647.5,330.6,1.5756,1.1473
14.7850128,0.1269,-0.088,0.0992,159554.9,330.5,1.5747,1.147
14.7850128,0.1281,-0.088,0.1161,159387.1,330.5,1.573,1.147
14.7850128,0.1296,-0.088,0.1365,159113.6,330.5,1.5703,1.147
14.7850128,0.1313,-0.088,0.1611,158729.4,330.4,1.5665,1.1466
14.7850128,0.1334,-0.088,0.1908,158146.1,330.2,1.5608,1.1459
14.7850128,0.1359,-0.088,0.2266,157359.1,329.9,1.553,1.1449
14.7850128,0.1389,-0.088,0.2705,156568.1,329.6,1.5452,1.1438
14.7850128,0.1429,-0.088,0.3277,155978.6,329.4,1.5394,1.1432
14.7850128,0.147,-0.088,0.386,155793.2,329.3,1.5376,1.1428
14.7850128,0.1515,-0.088,0.4497,155879.7,329.5,1.5384,1.1435
14.7850128,0.1564,-0.088,0.5193,156216.9,330,1.5417,1.1452
14.7850128,0.1615,-0.088,0.5926,156747.4,331.4,1.547,1.1501
14.7850128,0.1657,-0.088,0.653,157146.2,333.1,1.5509,1.156
14.7850128,0.1695,-0.088,0.7075,157255.2,334.9,1.552,1.1622
14.7850128,0.1732,-0.088,0.7596,156935.5,337.1,1.5488,1.1699
14.7850128,0.1763,-0.088,0.8041,156744.9,339,1.547,1.1765
14.7850128,0.1787,-0.088,0.8386,156611.5,340,1.5456,1.1799
14.7850128,0.1809,-0.088,0.8699,156570.4,340.9,1.5452,1.1831
14.7850128,0.1827,-0.088,0.8961,156702.3,342.1,1.5465,1.1872
14.7850128,0.1841,-0.088,0.9152,156855.6,343.6,1.548,1.1924
14.7850128,0.1853,-0.088,0.9334,156827,345.7,1.5478,1.1997
14.7850128,0.1863,-0.088,0.9474,156502.6,347.8,1.5446,1.207
14.7850128,0.1872,-0.088,0.9594,155884.1,349.8,1.5385,1.214
14.7850128,0.1879,-0.088,0.9695,154986.6,351.7,1.5296,1.2205
14.7850128,0.1885,-0.088,0.9787,153753.5,353.4,1.5174,1.2264
14.7850128,0.189,-0.088,0.9863,152228.9,354.7,1.5024,1.231
14.7850128,0.1895,-0.088,0.993,150021.3,355.7,1.4806,1.2344
14.7850128,0.1897,-0.088,0.9959,148296.7,356,1.4636,1.2355
14.7850128,0.1898,-0.088,0.9975,146820.3,356,1.449,1.2355
14.7850128,0.1899,-0.088,0.9991,144631.5,355.9,1.4274,1.2351
14.7850128,0.19,-0.088,1,142526.8,355.4,1.4066,1.2334
