Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.2750498,101325,101325,288.15,288.15,143015.6,143491.6,323.79,323.63,1.4115,1.1237,1.1231,0.84064835
20000,16.0967422,101325,101325,288.15,288.15,151062,151357.1,328.09,327.9,1.4909,1.1386,1.1379,0.876532283
20000,15.9671677,101325,101325,288.15,288.15,152497.4,152760.1,329.09,328.89,1.505,1.1421,1.1414,0.876183506
20000,15.8126818,101325,101325,288.15,288.15,153897.6,154124.3,330.12,329.9,1.5189,1.1457,1.1449,0.875420079
20000,15.72652,101325,101325,288.15,288.15,154590.3,154798.1,330.66,330.44,1.5257,1.1475,1.1468,0.873892686
20000,15.6332903,101325,101325,288.15,288.15,155276.7,155465.3,331.19,330.98,1.5325,1.1494,1.1486,0.872960626
20000,15.5320129,101325,101325,288.15,288.15,155956.5,156126.2,331.75,331.54,1.5392,1.1513,1.1506,0.870723216
20000,15.393763,101325,101325,288.15,288.15,156572.1,156719.4,332.36,332.16,1.5452,1.1534,1.1527,0.866987326
20000,15.2674138,101325,101325,288.15,288.15,157231.6,157362.5,332.97,332.79,1.5518,1.1555,1.1549,0.863581628
20000,15.1237817,101325,101325,288.15,288.15,157883.7,157999.8,333.61,333.46,1.5582,1.1578,1.1572,0.859432654
20000,15.0407555,101325,101325,288.15,288.15,158206.6,158315.3,333.98,333.84,1.5614,1.159,1.1586,0.856042594
20000,15.0042035,101325,101325,288.15,288.15,158335.5,158441.2,334.13,334.01,1.5626,1.1596,1.1591,0.854919438
20000,14.9633734,101325,101325,288.15,288.15,158462.1,158564.5,334.29,334.18,1.5639,1.1601,1.1597,0.853397826
20000,14.9192216,101325,101325,288.15,288.15,158583.8,158683.2,334.48,334.37,1.5651,1.1608,1.1604,0.851226155
20000,14.8957651,101325,101325,288.15,288.15,158644,158741.8,334.56,334.46,1.5657,1.1611,1.1607,0.850411608
20000,14.8700776,101325,101325,288.15,288.15,158703,158799,334.67,334.57,1.5663,1.1615,1.1611,0.849072511
20000,14.8411405,101325,101325,288.15,288.15,158759,158853.4,334.78,334.69,1.5668,1.1618,1.1615,0.847611469
20000,14.7675958,101325,101325,288.15,288.15,158863.6,158954.3,335.06,334.98,1.5679,1.1628,1.1625,0.843798428
20000,14.6456414,101325,101325,288.15,288.15,158949.3,159035.4,335.47,335.42,1.5687,1.1642,1.164,0.837091375
20000,14.2011445,101325,101325,288.15,288.15,158733,158816.2,336.61,336.58,1.5666,1.1682,1.1681,0.814085585
