Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.9671677,0.19,-0.170999896,0.99999,72.13,0.01,126223.1,1.2457
15.9671677,0.1899,-0.170992906,0.99924,71.39,0.1,135205.7,1.3344
15.9671677,0.1898,-0.170985916,0.99798,70.23,0.25,139203.1,1.3738
15.9671677,0.1897,-0.170978927,0.99651,69.15,0.43,140892,1.3905
15.9671677,0.1896,-0.170971937,0.99487,68.09,0.61,141838.7,1.3998
15.9671677,0.1895,-0.170964948,0.99343,67.2,0.75,142364.5,1.405
15.9671677,0.1894,-0.170957958,0.99259,66.68,0.83,142603.6,1.4074
15.9671677,0.1893,-0.170950969,0.99064,65.4,0.99,143036.8,1.4117
15.9671677,0.1891,-0.17093699,0.98779,62.65,1.25,143681.2,1.418
15.9671677,0.1885,-0.170895052,0.98083,57.71,1.47,144519,1.4263
15.9671677,0.1881,-0.170867094,0.97456,52.54,1.5,145494.8,1.4359
15.9671677,0.1876,-0.170832146,0.96856,48.7,1.5,146691,1.4477
15.9671677,0.1871,-0.170797199,0.96221,46.2,1.54,148024.3,1.4609
15.9671677,0.1866,-0.170762251,0.95544,44.74,1.63,149351.7,1.474
15.9671677,0.1861,-0.170727303,0.94821,43.69,1.72,150632.5,1.4866
15.9671677,0.1855,-0.170685366,0.94046,42.72,1.79,151848.2,1.4986
15.9671677,0.1848,-0.170636439,0.93212,41.76,1.83,152948.9,1.5095
15.9671677,0.1842,-0.170594502,0.92312,40.89,1.82,153864.3,1.5185
15.9671677,0.1834,-0.170538585,0.91333,40.12,1.79,154475.9,1.5246
15.9671677,0.1826,-0.170482669,0.90263,39.4,1.75,154796.7,1.5277
15.9671677,0.1817,-0.170419763,0.89095,38.66,1.69,154884.9,1.5286
15.9671677,0.1807,-0.170349867,0.87825,37.88,1.64,154780.7,1.5276
15.9671677,0.1797,-0.170279972,0.86448,37.19,1.64,154603.6,1.5258
15.9671677,0.1786,-0.170203087,0.84959,36.63,1.69,154453.8,1.5243
15.9671677,0.1773,-0.170112223,0.83349,36.16,1.77,154350.9,1.5233
15.9671677,0.176,-0.170021358,0.81612,35.77,1.88,154267.5,1.5225
15.9671677,0.1746,-0.169923505,0.79743,35.41,2,154252,1.5223
15.9671677,0.1731,-0.169818661,0.77743,35.06,2.14,154305.7,1.5229
15.9671677,0.1715,-0.169706829,0.7561,34.74,2.3,154317,1.523
15.9671677,0.1697,-0.169581017,0.73344,34.46,2.48,154254.8,1.5224
15.9671677,0.1679,-0.169455205,0.70949,34.28,2.69,154252,1.5223
15.9671677,0.166,-0.169322403,0.68433,34.2,2.9,154320.2,1.523
15.9671677,0.164,-0.169182612,0.65804,34.2,3.13,154323.9,1.5231
15.9671677,0.1619,-0.169035832,0.63073,34.28,3.37,154298.9,1.5228
15.9671677,0.1598,-0.168889051,0.60253,34.47,3.62,154228.8,1.5221
15.9671677,0.1576,-0.168735281,0.57359,34.73,3.88,154203.1,1.5219
15.9671677,0.1554,-0.168581511,0.5441,35.05,4.13,154172.9,1.5216
15.9671677,0.1531,-0.168420751,0.51426,35.39,4.38,154126.7,1.5211
15.9671677,0.1508,-0.168259992,0.4843,35.74,4.61,154056.4,1.5204
15.9671677,0.1485,-0.168099232,0.45443,36.1,4.82,153995.1,1.5198
15.9671677,0.1463,-0.167945462,0.4249,36.46,5.01,153938.7,1.5193
15.9671677,0.144,-0.167784702,0.39455,36.84,5.19,153914,1.519
15.9671677,0.1418,-0.167630932,0.36587,37.2,5.34,153928.9,1.5192
15.9671677,0.1397,-0.167484151,0.33849,37.56,5.46,153953.4,1.5194
15.9671677,0.1377,-0.16734436,0.3122,37.9,5.54,153968.1,1.5195
15.9671677,0.1358,-0.167211559,0.2871,38.23,5.6,153998.9,1.5199
15.9671677,0.134,-0.167085747,0.26329,38.56,5.66,154082.2,1.5207
15.9671677,0.1323,-0.166966925,0.24082,38.9,5.73,154229.5,1.5221
15.9671677,0.1307,-0.166855092,0.21974,39.23,5.81,154507.6,1.5249
15.9671677,0.1292,-0.166750249,0.2001,39.58,5.91,154949.7,1.5292
15.9671677,0.1278,-0.166652395,0.18188,39.91,6.03,155474.1,1.5344
15.9671677,0.1265,-0.166561531,0.16508,40.19,6.16,155967.3,1.5393
15.9671677,0.1254,-0.166484646,0.14965,40.42,6.27,156463.2,1.5442
15.9671677,0.1243,-0.166407761,0.13555,40.59,6.36,156844.2,1.5479
15.9671677,0.1233,-0.166337865,0.12269,40.73,6.42,157161.2,1.5511
15.9671677,0.1224,-0.166274959,0.11099,40.85,6.45,157432.8,1.5537
15.9671677,0.1216,-0.166219043,0.10037,40.96,6.44,157702.8,1.5564
15.9671677,0.1209,-0.166170116,0.09073,41.04,6.41,157929.9,1.5586
15.9671677,0.1202,-0.166121189,0.08201,41.14,6.37,158201,1.5613
15.9671677,0.1196,-0.166079252,0.07416,41.19,6.29,158354.9,1.5628
15.9671677,0.1191,-0.166044304,0.06709,41.21,6.21,158446.4,1.5637
15.9671677,0.1186,-0.166009356,0.06073,41.23,6.11,158478.2,1.5641
15.9671677,0.1182,-0.165981398,0.05499,41.22,6.01,158443.7,1.5637
15.9671677,0.1178,-0.16595344,0.0498,41.2,5.91,158331.3,1.5626
15.9671677,0.1174,-0.165925482,0.04512,41.14,5.83,158146.2,1.5608
15.9671677,0.1171,-0.165904513,0.04088,41.06,5.77,157922.3,1.5586
15.9671677,0.1168,-0.165883544,0.03704,40.97,5.71,157688,1.5563
15.9671677,0.1165,-0.165862576,0.03355,40.88,5.66,157454.6,1.554
15.9671677,0.1163,-0.165848596,0.03038,40.84,5.6,157243.2,1.5519
15.9671677,0.1161,-0.165834617,0.02749,40.86,5.54,157069,1.5502
15.9671677,0.1159,-0.165820638,0.02486,40.96,5.47,156937.3,1.5489
15.9671677,0.1157,-0.165806659,0.02245,41.17,5.38,156839.9,1.5479
15.9671677,0.1155,-0.16579268,0.02025,41.51,5.27,156737.9,1.5469
15.9671677,0.1154,-0.16578569,0.01823,41.96,5.14,156604.4,1.5456
15.9671677,0.1152,-0.165771711,0.01639,42.48,5.01,156421.5,1.5438
15.9671677,0.1151,-0.165764722,0.01471,43.04,4.86,156186.9,1.5414
15.9671677,0.115,-0.165757732,0.01318,43.64,4.71,155897.7,1.5386
15.9671677,0.1149,-0.165750743,0.01179,44.28,4.55,155540.9,1.5351
15.9671677,0.1148,-0.165743753,0.01052,44.96,4.39,155120.2,1.5309
15.9671677,0.1147,-0.165736764,0.00933,45.69,4.23,154613.2,1.5259
15.9671677,0.1146,-0.165729774,0.00731,47.22,3.91,153452.4,1.5145
15.9671677,0.1145,-0.165722785,0.00646,48,3.75,152830.1,1.5083
15.9671677,0.1144,-0.165715795,0.005,49.65,3.46,151470.3,1.4949
15.9671677,0.1143,-0.165708805,0.00332,52.62,3.02,149153.1,1.472
15.9671677,0.1142,-0.165701816,0.00209,56.43,2.56,146589.7,1.4467
15.9671677,0.1141,-0.165694826,0.00087,64.19,1.83,142211.5,1.4035
15.9671677,0.114,-0.165687837,0.00019,75.8,1.26,135583.1,1.3381
14.7675958,0.19,-0.170999896,0.99993,80.48,0,134500.5,1.3274
14.7675958,0.1899,-0.170992906,0.99925,80.27,0.11,149340.4,1.4739
14.7675958,0.1898,-0.170985916,0.99802,79.87,0.3,157376.2,1.5532
14.7675958,0.1897,-0.170978927,0.99658,79.43,0.52,161669.3,1.5956
14.7675958,0.1896,-0.170971937,0.995,79,0.74,164261.5,1.6211
14.7675958,0.1895,-0.170964948,0.99362,78.64,0.93,165682.6,1.6352
14.7675958,0.1894,-0.170957958,0.99185,78.21,1.16,166868.4,1.6469
14.7675958,0.1891,-0.17093699,0.98876,77.24,1.66,168206.3,1.6601
14.7675958,0.1886,-0.170902042,0.98123,75.5,2.32,168850,1.6664
14.7675958,0.188,-0.170860104,0.9738,73.2,2.81,168431.8,1.6623
14.7675958,0.1875,-0.170825157,0.96672,70.52,3.09,167510.4,1.6532
14.7675958,0.1868,-0.17077623,0.95836,66.99,3.23,166288.9,1.6411
14.7675958,0.1863,-0.170741282,0.9509,63.83,3.28,165367.1,1.632
14.7675958,0.1857,-0.170699345,0.9431,60.85,3.32,164608.3,1.6246
14.7675958,0.1851,-0.170657408,0.93499,58.1,3.34,163941.5,1.618
14.7675958,0.1844,-0.170608481,0.92654,55.44,3.33,163280.4,1.6115
