Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.9671677,0.12,-0.088,0,132849.8,328.6,1.3111,1.1404
15.9671677,0.1201,-0.088,0.001,138163.8,329.2,1.3636,1.1425
15.9671677,0.1202,-0.088,0.0026,141289.8,329.4,1.3944,1.1432
15.9671677,0.1203,-0.088,0.0038,142687.4,329.5,1.4082,1.1435
15.9671677,0.1204,-0.088,0.0052,144026.9,329.6,1.4214,1.1438
15.9671677,0.1205,-0.088,0.0071,145200,329.6,1.433,1.1438
15.9671677,0.1206,-0.088,0.0081,145714.6,329.6,1.4381,1.1438
15.9671677,0.1207,-0.088,0.0094,146198.4,329.6,1.4429,1.1438
15.9671677,0.1208,-0.088,0.0108,146666,329.6,1.4475,1.1438
15.9671677,0.1209,-0.088,0.0123,147124.7,329.6,1.452,1.1438
15.9671677,0.121,-0.088,0.0141,147578.2,329.6,1.4565,1.1438
15.9671677,0.1211,-0.088,0.016,148031.8,329.5,1.461,1.1435
15.9671677,0.1213,-0.088,0.0181,148492.6,329.5,1.4655,1.1435
15.9671677,0.1214,-0.088,0.0204,148965.2,329.4,1.4702,1.1432
15.9671677,0.1216,-0.088,0.023,149454.7,329.4,1.475,1.1432
15.9671677,0.1218,-0.088,0.0256,149971.5,329.3,1.4801,1.1428
15.9671677,0.122,-0.088,0.0286,150513.6,329.2,1.4855,1.1425
15.9671677,0.1222,-0.088,0.0317,151075.3,329.1,1.491,1.1421
15.9671677,0.1224,-0.088,0.035,151638.6,329,1.4966,1.1418
15.9671677,0.1227,-0.088,0.0385,152220.6,328.9,1.5023,1.1414
15.9671677,0.123,-0.088,0.0422,152854.8,328.8,1.5086,1.1411
15.9671677,0.1232,-0.088,0.0461,153588.3,328.7,1.5158,1.1407
15.9671677,0.1235,-0.088,0.05,154410.5,328.6,1.5239,1.1404
15.9671677,0.1238,-0.088,0.054,155239.3,328.5,1.5321,1.14
15.9671677,0.1241,-0.088,0.0583,155957.7,328.5,1.5392,1.14
15.9671677,0.1244,-0.088,0.0629,156496.1,328.4,1.5445,1.1397
15.9671677,0.1247,-0.088,0.0678,156844.5,328.4,1.5479,1.1397
15.9671677,0.1251,-0.088,0.0731,157041,328.4,1.5499,1.1397
15.9671677,0.1255,-0.088,0.079,157096.1,328.4,1.5504,1.1397
15.9671677,0.126,-0.088,0.0857,157025.2,328.4,1.5497,1.1397
15.9671677,0.1265,-0.088,0.0922,156876.2,328.3,1.5482,1.1393
15.9671677,0.127,-0.088,0.0994,156685,328.2,1.5464,1.139
15.9671677,0.1275,-0.088,0.1075,156480.7,328,1.5443,1.1383
15.9671677,0.1281,-0.088,0.1163,156256.4,327.9,1.5421,1.1379
15.9671677,0.1288,-0.088,0.126,155990.5,327.8,1.5395,1.1376
15.9671677,0.1296,-0.088,0.1367,155680.7,327.6,1.5364,1.1369
15.9671677,0.1304,-0.088,0.1485,155333.6,327.5,1.533,1.1366
15.9671677,0.1313,-0.088,0.1615,154929.6,327.3,1.529,1.1359
15.9671677,0.1323,-0.088,0.1757,154464.7,327.1,1.5244,1.1352
15.9671677,0.1334,-0.088,0.1912,153967,326.9,1.5195,1.1345
15.9671677,0.1346,-0.088,0.2082,153477.1,326.7,1.5147,1.1338
15.9671677,0.1359,-0.088,0.2266,153063.6,326.5,1.5106,1.1331
15.9671677,0.1373,-0.088,0.2474,152778.3,326.3,1.5078,1.1324
15.9671677,0.1389,-0.088,0.27,152635.8,326.3,1.5064,1.1324
15.9671677,0.1405,-0.088,0.293,152602.7,326.3,1.5061,1.1324
15.9671677,0.1422,-0.088,0.3173,152628,326.3,1.5063,1.1324
15.9671677,0.144,-0.088,0.3429,152671.6,326.3,1.5068,1.1324
15.9671677,0.1459,-0.088,0.3696,152721.6,326.3,1.5072,1.1324
15.9671677,0.1478,-0.088,0.3973,152781.1,326.4,1.5078,1.1327
15.9671677,0.1498,-0.088,0.4258,152863.2,326.4,1.5086,1.1327
15.9671677,0.1521,-0.088,0.4582,152984.1,326.5,1.5098,1.1331
15.9671677,0.1541,-0.088,0.4877,153100,326.5,1.511,1.1331
15.9671677,0.1562,-0.088,0.5172,153204.1,326.6,1.512,1.1334
15.9671677,0.1583,-0.088,0.5466,153280.2,326.7,1.5128,1.1338
15.9671677,0.1603,-0.088,0.5758,153329.3,326.8,1.5132,1.1341
