Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.2778132,101325,101325,288.15,288.15,143009.8,143450.5,323.96,323.78,1.4114,1.1243,1.1237,0.836390256
20000,16.0425089,101325,101325,288.15,288.15,150929.2,151213.6,328.34,328.12,1.4896,1.1395,1.1387,0.86946266
20000,15.902717,101325,101325,288.15,288.15,152337.3,152586.5,329.36,329.13,1.5035,1.143,1.1422,0.869002732
20000,15.8239832,101325,101325,288.15,288.15,153029.8,153260.1,329.87,329.64,1.5103,1.1448,1.144,0.868206632
20000,15.7392007,101325,101325,288.15,288.15,153715.6,153926.4,330.4,330.17,1.5171,1.1466,1.1458,0.867398266
20000,15.6472846,101325,101325,288.15,288.15,154393,154584.4,330.93,330.69,1.5237,1.1485,1.1476,0.866291767
20000,15.5467506,101325,101325,288.15,288.15,155060,155232,331.48,331.25,1.5303,1.1504,1.1496,0.864026361
20000,15.4355511,101325,101325,288.15,288.15,155714.2,155867.6,332.04,331.82,1.5368,1.1523,1.1515,0.862222548
20000,15.3123783,101325,101325,288.15,288.15,156348.4,156490.5,332.63,332.42,1.543,1.1544,1.1536,0.85890681
20000,15.173561,101325,101325,288.15,288.15,156975.8,157101.5,333.25,333.05,1.5492,1.1565,1.1558,0.855107357
20000,15.0104645,101325,101325,288.15,288.15,157574.9,157686.2,333.9,333.73,1.5551,1.1588,1.1582,0.849918694
20000,14.9734557,101325,101325,288.15,288.15,157689,157797.7,334.05,333.88,1.5563,1.1593,1.1587,0.848816543
20000,14.9435234,101325,101325,288.15,288.15,157771.3,157878.1,334.16,333.99,1.5571,1.1597,1.1591,0.847729777
20000,14.9124771,101325,101325,288.15,288.15,157852.9,157957.7,334.28,334.11,1.5579,1.1601,1.1595,0.846648079
20000,14.8793017,101325,101325,288.15,288.15,157931.7,158034.4,334.38,334.22,1.5587,1.1604,1.1599,0.84557141
20000,14.8438147,101325,101325,288.15,288.15,158007.2,158108.1,334.51,334.36,1.5594,1.1609,1.1604,0.843843553
20000,14.8057305,101325,101325,288.15,288.15,158079.4,158178.4,334.63,334.48,1.5601,1.1613,1.1608,0.842649854
20000,14.7774153,101325,101325,288.15,288.15,158123.3,158221.1,334.74,334.59,1.5606,1.1617,1.1612,0.841203854
20000,14.7468917,101325,101325,288.15,288.15,158164.2,158260.8,334.83,334.68,1.561,1.162,1.1615,0.840156136
20000,14.7132772,101325,101325,288.15,288.15,158200.9,158296.5,334.92,334.78,1.5613,1.1623,1.1618,0.838983758
20000,14.6736655,101325,101325,288.15,288.15,158229.6,158324,335.04,334.9,1.5616,1.1627,1.1622,0.837299134
20000,14.6145382,101325,101325,288.15,288.15,158232.4,158325.7,335.2,335.06,1.5616,1.1633,1.1628,0.834213265
