Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.0425089,0.19,-0.170999896,0.99987,71.05,0.01,126687.2,1.2503
16.0425089,0.1899,-0.170992906,0.99922,70.24,0.11,133684,1.3194
16.0425089,0.1898,-0.170985916,0.9979,69,0.28,137520.1,1.3572
16.0425089,0.1897,-0.170978927,0.99613,67.73,0.49,139273.3,1.3745
16.0425089,0.1896,-0.170971937,0.99532,67.2,0.59,139731.6,1.379
16.0425089,0.1895,-0.170964948,0.99327,65.92,0.8,140525.7,1.3869
16.0425089,0.1894,-0.170957958,0.99199,65.13,0.91,140878.8,1.3904
16.0425089,0.1893,-0.170950969,0.99052,64.18,1.03,141208.6,1.3936
16.0425089,0.189,-0.17093,0.98652,60.27,1.32,142159.9,1.403
16.0425089,0.1882,-0.170874084,0.97617,53.34,1.43,143632.3,1.4175
16.0425089,0.1875,-0.170825157,0.96759,48.45,1.43,145398.7,1.435
16.0425089,0.1868,-0.17077623,0.95824,45.49,1.49,147346.1,1.4542
16.0425089,0.1861,-0.170727303,0.94804,43.54,1.57,149119.5,1.4717
16.0425089,0.1852,-0.170664397,0.93684,41.7,1.61,150521.4,1.4855
16.0425089,0.1843,-0.170601491,0.92446,39.84,1.59,151490,1.4951
16.0425089,0.1832,-0.170524606,0.91063,38.18,1.51,152075,1.5009
16.0425089,0.182,-0.170440731,0.89496,36.95,1.44,152386,1.5039
16.0425089,0.1807,-0.170349867,0.87712,36.16,1.44,152558.9,1.5056
16.0425089,0.1791,-0.170238034,0.85685,35.55,1.51,152579.9,1.5058
16.0425089,0.1774,-0.170119212,0.83388,35.02,1.63,152508.5,1.5051
16.0425089,0.1754,-0.169979421,0.80798,34.56,1.81,152479.6,1.5049
16.0425089,0.1732,-0.169825651,0.77897,34.16,2,152646.6,1.5065
16.0425089,0.1708,-0.169657902,0.74673,33.83,2.24,152708.9,1.5071
16.0425089,0.168,-0.169462194,0.71117,33.62,2.54,152776.9,1.5078
16.0425089,0.1651,-0.169259497,0.67235,33.57,2.88,152817.2,1.5082
16.0425089,0.1619,-0.169035832,0.63054,33.71,3.25,152818.4,1.5082
16.0425089,0.1585,-0.168798187,0.58616,34.01,3.63,152728.5,1.5073
16.0425089,0.155,-0.168553553,0.53992,34.44,4.03,152631.6,1.5064
16.0425089,0.1514,-0.168301929,0.49274,34.98,4.4,152539.4,1.5054
16.0425089,0.1479,-0.168057295,0.4457,35.54,4.74,152471.8,1.5048
16.0425089,0.1444,-0.16781266,0.39989,36.11,5.05,152478.8,1.5048
16.0425089,0.1411,-0.167582005,0.35625,36.68,5.31,152613.4,1.5062
16.0425089,0.138,-0.167365329,0.31545,37.22,5.5,152765.9,1.5077
16.0425089,0.1351,-0.167162632,0.27713,37.74,5.68,152991,1.5099
16.0425089,0.1323,-0.166966925,0.24125,38.27,5.83,153322.5,1.5132
16.0425089,0.13,-0.166806165,0.21051,38.73,5.99,153848.8,1.5184
16.0425089,0.1279,-0.166659384,0.18315,39.19,6.14,154605.2,1.5258
16.0425089,0.1261,-0.166533572,0.15903,39.58,6.32,155359.6,1.5333
16.0425089,0.1245,-0.16642174,0.13791,39.87,6.47,156012.6,1.5397
16.0425089,0.1231,-0.166323886,0.1195,40.05,6.55,156482.2,1.5444
