Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.0425089,0.12,-0.088,0,132184.7,328.3,1.3046,1.1393
16.0425089,0.1201,-0.088,0.0007,135599.5,328.6,1.3383,1.1404
16.0425089,0.1202,-0.088,0.0028,139642.8,328.9,1.3782,1.1414
16.0425089,0.1203,-0.088,0.0038,140814.1,329,1.3897,1.1418
16.0425089,0.1204,-0.088,0.0061,142805,329.1,1.4094,1.1421
16.0425089,0.1205,-0.088,0.0076,143663.8,329.1,1.4179,1.1421
16.0425089,0.1207,-0.088,0.0094,144430.9,329.1,1.4254,1.1421
16.0425089,0.1208,-0.088,0.0114,145146,329.1,1.4325,1.1421
16.0425089,0.121,-0.088,0.0139,145844.1,329.1,1.4394,1.1421
16.0425089,0.1212,-0.088,0.0168,146566.6,329,1.4465,1.1418
16.0425089,0.1214,-0.088,0.02,147342.2,329,1.4542,1.1418
16.0425089,0.1217,-0.088,0.0237,148235.6,328.9,1.463,1.1414
16.0425089,0.1219,-0.088,0.0276,149178,328.7,1.4723,1.1407
16.0425089,0.1222,-0.088,0.0319,150184.8,328.6,1.4822,1.1404
16.0425089,0.1226,-0.088,0.0367,151250.1,328.5,1.4927,1.14
16.0425089,0.1229,-0.088,0.042,152387.6,328.3,1.5039,1.1393
16.0425089,0.1233,-0.088,0.0474,153494.9,328.2,1.5149,1.139
16.0425089,0.1237,-0.088,0.0531,154428.9,328.1,1.5241,1.1386
16.0425089,0.1242,-0.088,0.0594,155073.2,328,1.5305,1.1383
16.0425089,0.1246,-0.088,0.0664,155467.9,328,1.5343,1.1383
16.0425089,0.1252,-0.088,0.0741,155672,328,1.5364,1.1383
16.0425089,0.1258,-0.088,0.0828,155723.4,327.9,1.5369,1.1379
16.0425089,0.1265,-0.088,0.0927,155638.7,327.8,1.536,1.1376
16.0425089,0.1273,-0.088,0.104,155450.8,327.7,1.5342,1.1373
16.0425089,0.1282,-0.088,0.1169,155172.3,327.6,1.5314,1.1369
16.0425089,0.1292,-0.088,0.1319,154780,327.4,1.5276,1.1362
16.0425089,0.1304,-0.088,0.1491,154247.1,327.1,1.5223,1.1352
16.0425089,0.1318,-0.088,0.169,153591.6,326.9,1.5158,1.1345
16.0425089,0.1334,-0.088,0.1917,152866.9,326.5,1.5087,1.1331
16.0425089,0.1352,-0.088,0.2177,152214.1,326.2,1.5022,1.132
16.0425089,0.1373,-0.088,0.247,151753.3,326,1.4977,1.1314
16.0425089,0.1396,-0.088,0.2798,151487.5,325.9,1.4951,1.131
16.0425089,0.1421,-0.088,0.316,151355.5,325.8,1.4938,1.1307
16.0425089,0.1449,-0.088,0.3555,151293.3,325.8,1.4931,1.1307
16.0425089,0.1482,-0.088,0.4028,151271.1,325.8,1.4929,1.1307
16.0425089,0.1514,-0.088,0.4486,151346.5,325.8,1.4937,1.1307
16.0425089,0.1546,-0.088,0.4946,151486.8,325.9,1.4951,1.131
16.0425089,0.1579,-0.088,0.5408,151623.9,326,1.4964,1.1314
16.0425089,0.161,-0.088,0.5863,151741.3,326.3,1.4976,1.1324
16.0425089,0.1645,-0.088,0.636,151799.9,326.7,1.4981,1.1338
16.0425089,0.1674,-0.088,0.6764,151773.7,327.1,1.4979,1.1352
16.0425089,0.17,-0.088,0.7141,151697.2,327.6,1.4971,1.1369
16.0425089,0.1724,-0.088,0.7486,151615.4,328.3,1.4963,1.1393
16.0425089,0.1746,-0.088,0.7799,151480.1,328.9,1.495,1.1414
16.0425089,0.1768,-0.088,0.8118,151339.6,329.6,1.4936,1.1438
16.0425089,0.1785,-0.088,0.8364,151238,330.2,1.4926,1.1459
16.0425089,0.1801,-0.088,0.8582,151088,330.9,1.4911,1.1484
16.0425089,0.1814,-0.088,0.8775,150794.4,331.6,1.4882,1.1508
16.0425089,0.1827,-0.088,0.8959,150208.7,332.5,1.4824,1.1539
16.0425089,0.1838,-0.088,0.9117,149361.4,333.4,1.4741,1.157
16.0425089,0.1847,-0.088,0.9246,148379.6,334.2,1.4644,1.1598
16.0425089,0.1856,-0.088,0.9377,147159.9,335,1.4524,1.1626
16.0425089,0.1864,-0.088,0.9488,145937.5,335.8,1.4403,1.1654
16.0425089,0.1872,-0.088,0.9596,144536.1,336.5,1.4265,1.1678
16.0425089,0.1878,-0.088,0.9691,143053.3,337.1,1.4118,1.1699
16.0425089,0.1885,-0.088,0.9782,141368.5,337.6,1.3952,1.1716
16.0425089,0.1891,-0.088,0.9869,139587.4,338.1,1.3776,1.1733
16.0425089,0.1894,-0.088,0.9918,138304,338.3,1.365,1.174
16.0425089,0.1895,-0.088,0.9932,137863.7,338.3,1.3606,1.174
16.0425089,0.1896,-0.088,0.9943,137471.7,338.4,1.3567,1.1744
16.0425089,0.1897,-0.088,0.996,136613.6,338.4,1.3483,1.1744
16.0425089,0.1898,-0.088,0.9972,135864.9,338.4,1.3409,1.1744
16.0425089,0.1899,-0.088,0.9988,134273.5,338.4,1.3252,1.1744
16.0425089,0.19,-0.088,1,131253.2,338.1,1.2954,1.1733
14.7774153,0.12,-0.088,0,143024.9,330.6,1.4115,1.1473
14.7774153,0.1201,-0.088,0.0007,145695.6,330.9,1.4379,1.1484
14.7774153,0.1202,-0.088,0.0029,148907.3,331.1,1.4696,1.1491
14.7774153,0.1203,-0.088,0.0038,149810.2,331.1,1.4785,1.1491
14.7774153,0.1204,-0.088,0.0062,151441.3,331.2,1.4946,1.1494
14.7774153,0.1205,-0.088,0.0077,152216.3,331.2,1.5023,1.1494
14.7774153,0.1207,-0.088,0.0094,153014.7,331.2,1.5101,1.1494
14.7774153,0.1208,-0.088,0.0114,153858.3,331.2,1.5185,1.1494
14.7774153,0.121,-0.088,0.0136,154757.1,331.3,1.5273,1.1497
14.7774153,0.1211,-0.088,0.0162,155660.9,331.3,1.5363,1.1497
14.7774153,0.1213,-0.088,0.0191,156508.9,331.2,1.5446,1.1494
14.7774153,0.1216,-0.088,0.0224,157315.6,331.2,1.5526,1.1494
14.7774153,0.1218,-0.088,0.0259,158128.5,331.2,1.5606,1.1494
14.7774153,0.1221,-0.088,0.0298,158951.5,331.1,1.5687,1.1491
14.7774153,0.1224,-0.088,0.0341,159719.5,331.1,1.5763,1.1491
14.7774153,0.1227,-0.088,0.039,160358.9,331.1,1.5826,1.1491
14.7774153,0.1231,-0.088,0.0444,160837.5,331.1,1.5873,1.1491
14.7774153,0.1235,-0.088,0.0503,161168.3,331.1,1.5906,1.1491
14.7774153,0.124,-0.088,0.0568,161382.6,331.1,1.5927,1.1491
14.7774153,0.1245,-0.088,0.0643,161483,331.1,1.5937,1.1491
14.7774153,0.1251,-0.088,0.0726,161477.5,331.1,1.5937,1.1491
14.7774153,0.1257,-0.088,0.0818,161389.2,331.1,1.5928,1.1491
14.7774153,0.1265,-0.088,0.0922,161277.4,331.1,1.5917,1.1491
14.7774153,0.1273,-0.088,0.104,161137.7,331.1,1.5903,1.1491
14.7774153,0.1282,-0.088,0.1176,160950.7,331.1,1.5885,1.1491
14.7774153,0.1293,-0.088,0.1332,160691.7,331,1.5859,1.1487
14.7774153,0.1306,-0.088,0.1512,160344.2,330.9,1.5825,1.1484
14.7774153,0.132,-0.088,0.1719,159859.4,330.7,1.5777,1.1477
14.7774153,0.1337,-0.088,0.1956,159126.5,330.4,1.5705,1.1466
14.7774153,0.1356,-0.088,0.2227,158317.4,330,1.5625,1.1452
14.7774153,0.1377,-0.088,0.2534,157617.5,329.7,1.5556,1.1442
14.7774153,0.1401,-0.088,0.2878,157159.5,329.5,1.551,1.1435
14.7774153,0.1431,-0.088,0.3305,156966.4,329.4,1.5491,1.1432
14.7774153,0.1462,-0.088,0.3737,156985,329.4,1.5493,1.1432
14.7774153,0.1493,-0.088,0.4183,157102.2,329.4,1.5505,1.1432
14.7774153,0.1526,-0.088,0.465,157288.3,329.6,1.5523,1.1438
14.7774153,0.1563,-0.088,0.5184,157565.6,330,1.5551,1.1452
14.7774153,0.1598,-0.088,0.5683,157830.7,330.7,1.5577,1.1477
14.7774153,0.163,-0.088,0.614,158139.3,331.9,1.5607,1.1518
14.7774153,0.166,-0.088,0.6575,158450.5,333.2,1.5638,1.1563
14.7774153,0.1693,-0.088,0.7039,158690.6,334.8,1.5662,1.1619
14.7774153,0.1718,-0.088,0.7405,158683.7,336.4,1.5661,1.1674
14.7774153,0.1742,-0.088,0.7737,158535.8,338.1,1.5646,1.1733
14.7774153,0.1763,-0.088,0.805,158442.9,339.4,1.5637,1.1779
14.7774153,0.1785,-0.088,0.8357,158411.2,340.3,1.5634,1.181
14.7774153,0.1801,-0.088,0.859,158404.7,340.9,1.5633,1.1831
14.7774153,0.1817,-0.088,0.8811,158425.3,341.6,1.5635,1.1855
14.7774153,0.183,-0.088,0.9006,158570.8,342.7,1.565,1.1893
14.7774153,0.1841,-0.088,0.9154,158707.9,344,1.5663,1.1938
14.7774153,0.1852,-0.088,0.931,158748.8,345.8,1.5667,1.2001
14.7774153,0.186,-0.088,0.9422,158635.9,347.3,1.5656,1.2053
14.7774153,0.1868,-0.088,0.954,158297.6,349.1,1.5623,1.2115
14.7774153,0.1874,-0.088,0.9633,157784,350.6,1.5572,1.2167
14.7774153,0.188,-0.088,0.9718,157011.5,352.1,1.5496,1.2219
14.7774153,0.1886,-0.088,0.9796,156000.5,353.7,1.5396,1.2275
14.7774153,0.1891,-0.088,0.9867,154703.6,355.2,1.5268,1.2327
14.7774153,0.1895,-0.088,0.9929,152832.8,356.4,1.5083,1.2369
14.7774153,0.1897,-0.088,0.996,150940.8,356.9,1.4897,1.2386
14.7774153,0.1898,-0.088,0.9978,149106,357.1,1.4716,1.2393
14.7774153,0.1899,-0.088,0.9988,147331.6,357.1,1.454,1.2393
14.7774153,0.19,-0.088,1,142906.4,356.7,1.4104,1.2379
