Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.2676943,101325,101325,288.15,288.15,143078.5,143557.9,323.81,323.64,1.4121,1.1238,1.1232,0.841053661
20000,16.092521,101325,101325,288.15,288.15,151141,151428.3,328.11,327.92,1.4916,1.1387,1.138,0.876986512
20000,15.9625902,101325,101325,288.15,288.15,152505.9,152764.3,329.1,328.89,1.5051,1.1421,1.1414,0.876334396
20000,15.8041032,101325,101325,288.15,288.15,153918.8,154133.6,330.09,329.88,1.5191,1.1456,1.1448,0.876317409
20000,15.6256098,101325,101325,288.15,288.15,155312.8,155492.4,331.17,330.96,1.5328,1.1493,1.1486,0.873385808
20000,15.4148499,101325,101325,288.15,288.15,156706.2,156850.9,332.32,332.13,1.5466,1.1533,1.1526,0.8694758
20000,15.287474,101325,101325,288.15,288.15,157384,157512,332.95,332.79,1.5533,1.1555,1.1549,0.865602369
20000,15.1334526,101325,101325,288.15,288.15,158063.5,158174.6,333.67,333.54,1.56,1.158,1.1575,0.860173338
20000,15.0411533,101325,101325,288.15,288.15,158390.4,158493,334.07,333.96,1.5632,1.1594,1.159,0.856240849
20000,14.9735447,101325,101325,288.15,288.15,158586,158683,334.36,334.26,1.5651,1.1604,1.16,0.853354221
20000,14.914004,101325,101325,288.15,288.15,158719.6,158812.8,334.6,334.52,1.5664,1.1612,1.1609,0.85025679
20000,14.7932134,101325,101325,288.15,288.15,158941.7,159027.6,335.04,334.99,1.5686,1.1627,1.1625,0.8446909
20000,14.6783447,101325,101325,288.15,288.15,159030.2,159111.8,335.43,335.4,1.5695,1.1641,1.164,0.838101622
20000,14.5022403,101325,101325,288.15,288.15,159091.1,159169,335.98,335.98,1.5701,1.166,1.166,0.828752331
