Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.9625902,0.19,-0.170999896,0.99994,72.03,0.27,126469.9,1.2482
15.9625902,0.1899,-0.170992906,0.99931,71.18,0.03,134660.6,1.329
15.9625902,0.1898,-0.170985916,0.99793,69.73,0.09,139220.2,1.374
15.9625902,0.1897,-0.170978927,0.99655,68.62,0.2,140771.5,1.3893
15.9625902,0.1896,-0.170971937,0.99526,67.7,0.31,141564.2,1.3971
15.9625902,0.1895,-0.170964948,0.99404,66.87,0.4,142072.9,1.4022
15.9625902,0.1894,-0.170957958,0.99256,65.9,0.52,142524.6,1.4066
15.9625902,0.1893,-0.170950969,0.99141,65.11,0.61,142799,1.4093
15.9625902,0.1892,-0.170943979,0.99012,64.18,0.7,143058.6,1.4119
15.9625902,0.1889,-0.17092301,0.98578,60.64,0.98,143837,1.4196
15.9625902,0.1884,-0.170888063,0.97938,55.48,1.33,145007.8,1.4311
15.9625902,0.1879,-0.170853115,0.97243,50.93,1.53,145998.8,1.4409
15.9625902,0.1875,-0.170825157,0.96657,47.65,1.65,147047.6,1.4512
15.9625902,0.187,-0.170790209,0.96024,45.48,1.79,148169.4,1.4623
15.9625902,0.1865,-0.170755261,0.95358,44.17,1.93,149255.7,1.473
15.9625902,0.186,-0.170720313,0.9472,43.34,2.02,150209.4,1.4825
15.9625902,0.1855,-0.170685366,0.94054,42.68,2.1,151141,1.4916
15.9625902,0.185,-0.170650418,0.93359,42.1,2.14,152032.6,1.5004
15.9625902,0.1844,-0.170608481,0.92632,41.55,2.15,152857.1,1.5086
15.9625902,0.1838,-0.170566543,0.91871,41.01,2.14,153566.7,1.5156
15.9625902,0.1832,-0.170524606,0.91075,40.43,2.1,154117.3,1.521
15.9625902,0.1826,-0.170482669,0.90239,39.77,2.04,154499.7,1.5248
15.9625902,0.1819,-0.170433742,0.89364,39.04,1.94,154784.7,1.5276
15.9625902,0.1812,-0.170384815,0.8845,38.29,1.84,154968.9,1.5294
15.9625902,0.1805,-0.170335888,0.87499,37.6,1.77,155046.8,1.5302
15.9625902,0.1797,-0.170279972,0.86507,37.04,1.74,155020.7,1.5299
15.9625902,0.179,-0.170231045,0.85473,36.6,1.74,154919,1.5289
15.9625902,0.1781,-0.170168139,0.84395,36.27,1.76,154805.4,1.5278
15.9625902,0.1773,-0.170112223,0.83271,36.02,1.79,154730.7,1.5271
15.9625902,0.1764,-0.170049317,0.82098,35.79,1.84,154680.5,1.5266
15.9625902,0.1755,-0.169986411,0.80876,35.52,1.9,154641.8,1.5262
15.9625902,0.1745,-0.169916515,0.79607,35.24,1.96,154622.4,1.526
15.9625902,0.1735,-0.16984662,0.7829,34.99,2.03,154615.2,1.5259
15.9625902,0.1725,-0.169776724,0.76924,34.8,2.11,154611.1,1.5259
15.9625902,0.1714,-0.169699839,0.75509,34.62,2.21,154612.2,1.5259
15.9625902,0.1703,-0.169622954,0.74048,34.41,2.32,154597.5,1.5258
15.9625902,0.1691,-0.169539079,0.72543,34.2,2.43,154559.6,1.5254
15.9625902,0.1679,-0.169455205,0.70963,34.05,2.56,154534.8,1.5251
15.9625902,0.1667,-0.16937133,0.69364,33.96,2.7,154504,1.5248
15.9625902,0.1655,-0.169287456,0.67735,33.92,2.84,154469.2,1.5245
15.9625902,0.1642,-0.169196591,0.6607,33.92,3,154404.2,1.5239
15.9625902,0.1629,-0.169105727,0.64372,33.98,3.14,154448.1,1.5243
15.9625902,0.1616,-0.169014863,0.62644,34.06,3.3,154428.3,1.5241
15.9625902,0.1603,-0.168923999,0.6089,34.18,3.46,154420.3,1.524
15.9625902,0.1589,-0.168826145,0.59111,34.33,3.62,154388.1,1.5237
15.9625902,0.1576,-0.168735281,0.57312,34.53,3.8,154300.3,1.5228
15.9625902,0.1562,-0.168637427,0.55501,34.71,3.95,154302.3,1.5228
15.9625902,0.1548,-0.168539574,0.53676,34.93,4.11,154287,1.5227
15.9625902,0.1534,-0.16844172,0.51845,35.14,4.25,154291.2,1.5227
15.9625902,0.152,-0.168343866,0.50013,35.35,4.4,154249.4,1.5223
15.9625902,0.1506,-0.168246012,0.48183,35.56,4.54,154207.3,1.5219
15.9625902,0.1492,-0.168148159,0.4636,35.77,4.67,154176.4,1.5216
15.9625902,0.1479,-0.168057295,0.44549,35.98,4.79,154131.3,1.5212
15.9625902,0.1465,-0.167959441,0.42753,36.18,4.9,154093.6,1.5208
15.9625902,0.1451,-0.167861587,0.40978,36.38,5.01,154070.1,1.5206
15.9625902,0.1438,-0.167770723,0.39229,36.59,5.12,154079.7,1.5206
15.9625902,0.1425,-0.167679859,0.37509,36.8,5.22,154001.3,1.5199
15.9625902,0.1412,-0.167588995,0.35822,36.97,5.29,154058,1.5204
15.9625902,0.14,-0.16750512,0.34172,37.18,5.34,154076.3,1.5206
15.9625902,0.1387,-0.167414256,0.32561,37.38,5.4,154120.4,1.5211
15.9625902,0.1375,-0.167330381,0.30923,37.59,5.44,154138.3,1.5212
15.9625902,0.1363,-0.167246507,0.29373,37.78,5.47,154141.2,1.5213
15.9625902,0.1352,-0.167169622,0.27887,37.96,5.49,154145,1.5213
15.9625902,0.1341,-0.167092737,0.26449,38.13,5.51,154176.6,1.5216
15.9625902,0.133,-0.167015851,0.25058,38.32,5.54,154226.8,1.5221
15.9625902,0.132,-0.166945956,0.23717,38.52,5.58,154335.8,1.5232
15.9625902,0.131,-0.16687606,0.22427,38.73,5.64,154496.5,1.5248
15.9625902,0.1301,-0.166813154,0.21189,38.96,5.71,154730.3,1.5271
15.9625902,0.1292,-0.166750249,0.20004,39.18,5.79,155028.1,1.53
15.9625902,0.1283,-0.166687343,0.18872,39.4,5.87,155337.2,1.5331
15.9625902,0.1275,-0.166631426,0.17791,39.59,5.97,155599.3,1.5356
15.9625902,0.1267,-0.16657551,0.16761,39.75,6.03,156006.5,1.5397
15.9625902,0.126,-0.166526583,0.15782,39.94,6.12,156131.8,1.5409
15.9625902,0.1253,-0.166477656,0.14854,40.08,6.2,156421.2,1.5438
15.9625902,0.1246,-0.166428729,0.13975,40.18,6.27,156638.4,1.5459
15.9625902,0.124,-0.166386792,0.13143,40.26,6.33,156841.1,1.5479
15.9625902,0.1234,-0.166344855,0.12358,40.35,6.38,157020.9,1.5497
15.9625902,0.1228,-0.166302917,0.11602,40.45,6.41,157193.2,1.5514
15.9625902,0.1223,-0.16626797,0.109,40.53,6.43,157349.4,1.5529
15.9625902,0.1218,-0.166233022,0.10242,40.61,6.43,157505.6,1.5545
15.9625902,0.1213,-0.166198074,0.09622,40.67,6.42,157644.5,1.5558
15.9625902,0.1209,-0.166170116,0.09037,40.73,6.4,157773.9,1.5571
15.9625902,0.1205,-0.166142158,0.08488,40.8,6.38,157928.8,1.5586
15.9625902,0.1201,-0.166114199,0.07972,40.85,6.34,158063.1,1.56
15.9625902,0.1197,-0.166086241,0.07489,40.89,6.3,158135.5,1.5607
15.9625902,0.1193,-0.166058283,0.07036,40.92,6.25,158194,1.5613
15.9625902,0.119,-0.166037314,0.06611,40.94,6.2,158226.9,1.5616
15.9625902,0.1187,-0.166016346,0.06212,40.95,6.15,158235.5,1.5617
15.9625902,0.1184,-0.165995377,0.05838,40.96,6.09,158221.6,1.5615
15.9625902,0.1182,-0.165981398,0.05487,40.95,6.05,158179.7,1.5611
15.9625902,0.1179,-0.165960429,0.05154,40.94,6,158136.1,1.5607
15.9625902,0.1177,-0.16594645,0.04835,40.92,5.99,158044.6,1.5598
15.9625902,0.1175,-0.165932471,0.04542,40.88,5.95,158008.9,1.5594
15.9625902,0.1172,-0.165911502,0.04265,40.82,5.95,157853.3,1.5579
15.9625902,0.117,-0.165897523,0.04005,40.77,5.94,157790.1,1.5573
15.9625902,0.1169,-0.165890534,0.03761,40.72,5.93,157702.5,1.5564
15.9625902,0.1167,-0.165876555,0.0353,40.68,5.93,157626.3,1.5557
15.9625902,0.1165,-0.165862576,0.03312,40.65,5.91,157549,1.5549
15.9625902,0.1164,-0.165855586,0.03107,40.64,5.9,157476.5,1.5542
15.9625902,0.1162,-0.165841607,0.02914,40.63,5.88,157410.2,1.5535
15.9625902,0.1161,-0.165834617,0.02731,40.63,5.85,157350.3,1.5529
15.9625902,0.1159,-0.165820638,0.02559,40.64,5.81,157296.6,1.5524
15.9625902,0.1158,-0.165813649,0.02396,40.69,5.78,157260.9,1.552
15.9625902,0.1157,-0.165806659,0.02242,40.79,5.73,157236.9,1.5518
15.9625902,0.1156,-0.16579967,0.02098,40.98,5.68,157212.7,1.5516
15.9625902,0.1155,-0.16579268,0.01961,41.24,5.62,157180.3,1.5512
15.9625902,0.1154,-0.16578569,0.01832,41.56,5.56,157131.5,1.5508
15.9625902,0.1153,-0.165778701,0.01709,41.92,5.5,157064,1.5501
15.9625902,0.1152,-0.165771711,0.01594,42.3,5.43,156977,1.5492
15.9625902,0.1151,-0.165764722,0.01484,42.69,5.36,156866.5,1.5482
15.9625902,0.115,-0.165757732,0.01381,43.07,5.29,156730.2,1.5468
15.9625902,0.1149,-0.165750743,0.01191,43.85,5.15,156372.9,1.5433
15.9625902,0.1148,-0.165743753,0.01104,44.25,5.08,156151.4,1.5411
15.9625902,0.1147,-0.165736764,0.00944,45.07,4.94,155627.8,1.5359
15.9625902,0.1146,-0.165729774,0.00804,45.93,4.78,154987.5,1.5296
15.9625902,0.1145,-0.165722785,0.00676,46.89,4.63,154220.7,1.522
15.9625902,0.1144,-0.165715795,0.00566,47.9,4.47,153376.2,1.5137
15.9625902,0.1143,-0.165708805,0.00427,49.62,4.23,151919.1,1.4993
15.9625902,0.1142,-0.165701816,0.00314,51.74,3.98,150213.3,1.4825
15.9625902,0.1141,-0.165694826,0.0019,55.59,3.63,147436.9,1.4551
15.9625902,0.114,-0.165687837,0.00054,66.2,3.03,141025.8,1.3918
14.7932134,0.19,-0.170999896,0.99999,80.45,0.01,133454,1.3171
14.7932134,0.1899,-0.170992906,0.99932,80.22,0.09,148111.5,1.4617
14.7932134,0.1898,-0.170985916,0.99793,79.67,0.28,157109.7,1.5506
14.7932134,0.1897,-0.170978927,0.99657,79.18,0.46,160894.1,1.5879
14.7932134,0.1896,-0.170971937,0.99531,78.78,0.62,162913.1,1.6078
14.7932134,0.1895,-0.170964948,0.99367,78.31,0.83,164556.9,1.6241
14.7932134,0.1894,-0.170957958,0.99266,78.04,0.96,165247.9,1.6309
14.7932134,0.1893,-0.170950969,0.99081,77.58,1.18,166131.9,1.6396
14.7932134,0.1892,-0.170943979,0.9901,77.4,1.26,166383.1,1.6421
14.7932134,0.1889,-0.17092301,0.98602,76.32,1.76,167219.4,1.6503
14.7932134,0.1884,-0.170888063,0.97829,74.25,2.5,167553.2,1.6536
14.7932134,0.1877,-0.170839136,0.97012,71.83,2.92,166968.5,1.6479
14.7932134,0.1872,-0.170804188,0.96258,68.97,3.11,166047.5,1.6388
14.7932134,0.1866,-0.170762251,0.95571,66.03,3.17,165111,1.6295
14.7932134,0.186,-0.170720313,0.94788,62.57,3.17,164210.8,1.6206
14.7932134,0.1855,-0.170685366,0.94113,59.74,3.16,163638.6,1.615
14.7932134,0.185,-0.170650418,0.93426,57.13,3.15,163200.9,1.6107
14.7932134,0.1845,-0.17061547,0.92729,54.75,3.14,162845,1.6072
14.7932134,0.1839,-0.170573533,0.92021,52.48,3.11,162535.5,1.6041
14.7932134,0.1834,-0.170538585,0.91301,50.24,3.04,162261.4,1.6014
14.7932134,0.1828,-0.170496648,0.90569,48.05,2.94,162026.2,1.5991
14.7932134,0.1823,-0.1704617,0.89821,46.04,2.81,161847.1,1.5973
14.7932134,0.1817,-0.170419763,0.89051,44.39,2.7,161763.4,1.5965
14.7932134,0.181,-0.170370836,0.88191,43.23,2.64,161811.3,1.597
14.7932134,0.1804,-0.170328899,0.8731,42.74,2.63,161956.5,1.5984
14.7932134,0.1797,-0.170279972,0.86428,42.69,2.67,162134.4,1.6001
14.7932134,0.179,-0.170231045,0.85498,42.82,2.73,162265.7,1.6014
14.7932134,0.1782,-0.170175128,0.84515,42.94,2.81,162300.3,1.6018
14.7932134,0.1774,-0.170119212,0.83479,43.01,2.9,162284.8,1.6016
14.7932134,0.1766,-0.170063296,0.82389,43.02,2.99,162241.4,1.6012
14.7932134,0.1757,-0.17000039,0.81246,42.99,3.08,162174.9,1.6005
14.7932134,0.1748,-0.169937484,0.80049,42.93,3.18,162097.7,1.5998
14.7932134,0.1739,-0.169874578,0.78799,42.85,3.29,162001.3,1.5988
14.7932134,0.1729,-0.169804682,0.77496,42.78,3.4,161890.4,1.5977
14.7932134,0.1719,-0.169734787,0.76138,42.71,3.51,161783.2,1.5967
14.7932134,0.1708,-0.169657902,0.74726,42.65,3.63,161669,1.5955
14.7932134,0.1697,-0.169581017,0.73262,42.58,3.76,161541,1.5943
14.7932134,0.1685,-0.169497142,0.71747,42.47,3.89,161398.7,1.5929
14.7932134,0.1673,-0.169413267,0.70184,42.3,4.02,161243.3,1.5913
14.7932134,0.1661,-0.169329393,0.68576,42.05,4.15,161065.8,1.5896
14.7932134,0.1649,-0.169245518,0.66926,41.67,4.29,160861.6,1.5876
14.7932134,0.1636,-0.169154654,0.65239,41.11,4.42,160652.9,1.5855
14.7932134,0.1623,-0.16906379,0.63521,40.45,4.54,160456,1.5836
14.7932134,0.161,-0.168972926,0.61778,39.89,4.67,160257.8,1.5816
14.7932134,0.1596,-0.168875072,0.60011,39.55,4.8,160138,1.5804
14.7932134,0.1582,-0.168777218,0.58222,39.44,4.93,159988.5,1.579
14.7932134,0.1569,-0.168686354,0.56415,39.4,5.03,159917.6,1.5783
14.7932134,0.1555,-0.1685885,0.54597,39.47,5.13,159822.4,1.5773
14.7932134,0.1541,-0.168490647,0.52762,39.55,5.2,159754.5,1.5767
14.7932134,0.1527,-0.168392793,0.50926,39.68,5.27,159642.7,1.5756
14.7932134,0.1513,-0.168294939,0.49061,39.84,5.34,159516.6,1.5743
14.7932134,0.1498,-0.168190096,0.47156,40.06,5.4,159452,1.5737
14.7932134,0.1484,-0.168092242,0.45322,40.29,5.46,159394.3,1.5731
14.7932134,0.1471,-0.168001378,0.43502,40.54,5.52,159315.5,1.5723
14.7932134,0.1457,-0.167903524,0.41701,40.79,5.57,159286.7,1.572
14.7932134,0.1443,-0.167805671,0.39924,41.06,5.61,159274.3,1.5719
14.7932134,0.143,-0.167714807,0.38175,41.34,5.63,159227.9,1.5715
14.7932134,0.1417,-0.167623942,0.36457,41.57,5.61,159146.5,1.5707
14.7932134,0.1404,-0.167533078,0.34773,41.77,5.52,159125.7,1.5704
14.7932134,0.1392,-0.167449204,0.33126,42,5.44,159036,1.5696
14.7932134,0.138,-0.167365329,0.31516,42.21,5.37,158955.8,1.5688
14.7932134,0.1368,-0.167281454,0.29947,42.4,5.3,158879.1,1.568
14.7932134,0.1356,-0.16719758,0.28422,42.61,5.24,158835,1.5676
14.7932134,0.1345,-0.167120695,0.26943,42.81,5.21,158870.4,1.5679
14.7932134,0.1334,-0.16704381,0.25475,43.04,5.21,159004.8,1.5693
