Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.9625902,0.12,-0.088,0,133062.4,328.8,1.3132,1.1411
15.9625902,0.1201,-0.088,0.0009,138371.7,329.4,1.3656,1.1432
15.9625902,0.1202,-0.088,0.0025,141494.3,329.6,1.3964,1.1438
15.9625902,0.1203,-0.088,0.0039,143024.1,329.7,1.4115,1.1442
15.9625902,0.1204,-0.088,0.0055,144441.6,329.8,1.4255,1.1445
15.9625902,0.1205,-0.088,0.0068,145264.8,329.8,1.4337,1.1445
15.9625902,0.1206,-0.088,0.0083,145975.9,329.8,1.4407,1.1445
15.9625902,0.1207,-0.088,0.0101,146623.5,329.8,1.4471,1.1445
15.9625902,0.1208,-0.088,0.0111,146935.9,329.8,1.4501,1.1445
15.9625902,0.1209,-0.088,0.0122,147242.7,329.8,1.4532,1.1445
15.9625902,0.121,-0.088,0.0146,147837.1,329.8,1.459,1.1445
15.9625902,0.1211,-0.088,0.0159,148129.2,329.8,1.4619,1.1445
15.9625902,0.1212,-0.088,0.0174,148423.6,329.7,1.4648,1.1442
15.9625902,0.1213,-0.088,0.0189,148719.2,329.7,1.4677,1.1442
15.9625902,0.1214,-0.088,0.0204,148994.8,329.6,1.4705,1.1438
15.9625902,0.1215,-0.088,0.0221,149265.7,329.6,1.4731,1.1438
15.9625902,0.1217,-0.088,0.0237,149533.6,329.5,1.4758,1.1435
15.9625902,0.1218,-0.088,0.0255,149799.2,329.5,1.4784,1.1435
15.9625902,0.1219,-0.088,0.0274,150061.9,329.4,1.481,1.1432
15.9625902,0.122,-0.088,0.0293,150317.5,329.3,1.4835,1.1428
15.9625902,0.1222,-0.088,0.0313,150567.1,329.2,1.486,1.1425
15.9625902,0.1223,-0.088,0.0334,150819.1,329.2,1.4885,1.1425
15.9625902,0.1225,-0.088,0.0355,151086.9,329.1,1.4911,1.1421
15.9625902,0.1226,-0.088,0.0378,151385.3,329,1.4941,1.1418
15.9625902,0.1228,-0.088,0.0401,151732.6,328.9,1.4975,1.1414
15.9625902,0.123,-0.088,0.0425,152149.6,328.8,1.5016,1.1411
15.9625902,0.1231,-0.088,0.0449,152653.1,328.8,1.5066,1.1411
15.9625902,0.1233,-0.088,0.0473,153238.9,328.7,1.5124,1.1407
15.9625902,0.1235,-0.088,0.0498,153882.7,328.6,1.5187,1.1404
15.9625902,0.1237,-0.088,0.0522,154545.3,328.5,1.5252,1.14
15.9625902,0.1239,-0.088,0.0551,155256.3,328.4,1.5323,1.1397
15.9625902,0.1241,-0.088,0.0579,155849,328.4,1.5381,1.1397
15.9625902,0.1242,-0.088,0.0607,156252.5,328.4,1.5421,1.1397
15.9625902,0.1244,-0.088,0.0635,156534.2,328.3,1.5449,1.1393
15.9625902,0.1247,-0.088,0.0665,156712,328.3,1.5466,1.1393
15.9625902,0.1249,-0.088,0.0697,156809.2,328.3,1.5476,1.1393
15.9625902,0.1251,-0.088,0.0731,156848.2,328.3,1.548,1.1393
15.9625902,0.1254,-0.088,0.0766,156830.6,328.3,1.5478,1.1393
15.9625902,0.1256,-0.088,0.0807,156800.2,328.3,1.5475,1.1393
15.9625902,0.1259,-0.088,0.0845,156750.8,328.2,1.547,1.139
15.9625902,0.1262,-0.088,0.0885,156671.9,328.2,1.5462,1.139
15.9625902,0.1265,-0.088,0.0928,156593.7,328.2,1.5455,1.139
15.9625902,0.1268,-0.088,0.0973,156506.3,328.1,1.5446,1.1386
15.9625902,0.1272,-0.088,0.1022,156409,328,1.5436,1.1383
15.9625902,0.1275,-0.088,0.1073,156298.9,327.9,1.5426,1.1379
15.9625902,0.1279,-0.088,0.1128,156176.3,327.8,1.5413,1.1376
15.9625902,0.1283,-0.088,0.1185,156038.8,327.7,1.54,1.1373
15.9625902,0.1287,-0.088,0.1246,155874,327.6,1.5384,1.1369
15.9625902,0.1292,-0.088,0.131,155690.4,327.5,1.5365,1.1366
15.9625902,0.1297,-0.088,0.1379,155502.5,327.5,1.5347,1.1366
15.9625902,0.1302,-0.088,0.1451,155306.9,327.4,1.5328,1.1362
15.9625902,0.1307,-0.088,0.1527,155097.8,327.3,1.5307,1.1359
15.9625902,0.1313,-0.088,0.1608,154867,327.2,1.5284,1.1355
15.9625902,0.1319,-0.088,0.1694,154614.3,327.1,1.5259,1.1352
15.9625902,0.1325,-0.088,0.1784,154339.5,327,1.5232,1.1348
15.9625902,0.1332,-0.088,0.188,154042.9,326.8,1.5203,1.1341
15.9625902,0.1339,-0.088,0.198,153732.3,326.7,1.5172,1.1338
15.9625902,0.1346,-0.088,0.2086,153432.1,326.6,1.5143,1.1334
15.9625902,0.1354,-0.088,0.2197,153159.1,326.4,1.5116,1.1327
15.9625902,0.1362,-0.088,0.2314,152943,326.3,1.5094,1.1324
15.9625902,0.1371,-0.088,0.2446,152776.3,326.3,1.5078,1.1324
15.9625902,0.138,-0.088,0.2576,152679.2,326.2,1.5068,1.132
15.9625902,0.139,-0.088,0.271,152636.1,326.2,1.5064,1.132
15.9625902,0.1399,-0.088,0.2849,152637.1,326.2,1.5064,1.132
15.9625902,0.1409,-0.088,0.2992,152663.8,326.2,1.5067,1.132
15.9625902,0.142,-0.088,0.3141,152697.1,326.3,1.507,1.1324
15.9625902,0.1431,-0.088,0.3293,152723.9,326.3,1.5073,1.1324
15.9625902,0.1442,-0.088,0.3451,152743.5,326.3,1.5075,1.1324
15.9625902,0.1453,-0.088,0.362,152765.5,326.3,1.5077,1.1324
15.9625902,0.1466,-0.088,0.3794,152801.8,326.3,1.508,1.1324
15.9625902,0.1477,-0.088,0.3963,152856.7,326.3,1.5086,1.1324
15.9625902,0.1489,-0.088,0.4134,152914.9,326.4,1.5092,1.1327
15.9625902,0.1502,-0.088,0.4309,152980.1,326.4,1.5098,1.1327
15.9625902,0.1514,-0.088,0.4485,153051.6,326.4,1.5105,1.1327
15.9625902,0.1526,-0.088,0.4663,153126.6,326.5,1.5112,1.1331
15.9625902,0.154,-0.088,0.4851,153205.9,326.5,1.512,1.1331
15.9625902,0.1553,-0.088,0.5043,153275.8,326.6,1.5127,1.1334
15.9625902,0.1566,-0.088,0.5222,153323.8,326.6,1.5132,1.1334
15.9625902,0.1578,-0.088,0.5402,153351,326.7,1.5135,1.1338
15.9625902,0.1591,-0.088,0.5581,153375.3,326.7,1.5137,1.1338
15.9625902,0.1603,-0.088,0.5759,153422.1,326.8,1.5142,1.1341
15.9625902,0.1616,-0.088,0.5939,153477.6,326.9,1.5147,1.1345
15.9625902,0.1629,-0.088,0.6131,153509.3,327,1.515,1.1348
15.9625902,0.1641,-0.088,0.6303,153497.9,327.1,1.5149,1.1352
15.9625902,0.1653,-0.088,0.6471,153498.2,327.3,1.5149,1.1359
15.9625902,0.1665,-0.088,0.6636,153492.5,327.5,1.5149,1.1366
15.9625902,0.1676,-0.088,0.6798,153497.5,327.7,1.5149,1.1373
15.9625902,0.1688,-0.088,0.6975,153513.6,328,1.5151,1.1383
15.9625902,0.1699,-0.088,0.7133,153521,328.4,1.5151,1.1397
15.9625902,0.171,-0.088,0.7281,153516.6,328.7,1.5151,1.1407
