Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,ptr_MA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20045,16.32598759,98860,98909.5,295.48,295.48,135587.4,136486.9,330,329.87,1.371509205,1.116826858,1.379916995,1.116386896,0.81159782
20045,16.31560871,98860,98909.7,295.48,295.48,139727.9,140313.4,332.09,331.94,1.413391665,1.123900095,1.418601007,1.123392446,0.842078641
20045,16.23672917,98860,98910.2,295.48,295.48,143557.9,144020.8,333.94,333.78,1.45213332,1.130161094,1.45607632,1.129619602,0.867678223
20045,16.0249999,98860,98911.85,295.48,295.48,147206.5,147632.1,336.15,335.98,1.489040057,1.137640449,1.492562317,1.137065114,0.878955254
20045,15.94196881,98860,98912.54,295.48,295.48,148128,148538.8,336.79,336.62,1.498361319,1.139806417,1.501718589,1.139231082,0.879643086
20045,15.8070433,98860,98913.68,295.48,295.48,149374.6,149767.1,337.7,337.54,1.51097107,1.142886151,1.514119179,1.14234466,0.879306295
20045,15.46454006,98860,98916.55,295.48,295.48,151722.5,152093.2,339.64,339.52,1.534720817,1.14945174,1.53759103,1.149045621,0.873487318
20045,15.09090017,98860,98920.07,295.48,295.48,153639.9,154016.5,341.47,341.45,1.554115922,1.155645052,1.556979286,1.155577366,0.862927446
20045,14.78404106,98860,98922.95,295.48,295.48,154800.7,155223.4,342.7,342.81,1.565857779,1.15980777,1.569134362,1.160180046,0.8533764
20045,14.58856209,98860,98925.23,295.48,295.48,155513,156022.9,343.6,343.8,1.573062917,1.162853662,1.577180058,1.163530527,0.845015422
20045,14.38098437,98860,98927.6,295.48,295.48,155805,156471,344.32,344.65,1.576016589,1.165290375,1.581671849,1.166407202,0.834074563
20045,14.01149603,98860,98932.1,295.48,295.48,155600.7,156507.4,345.43,345.79,1.57395003,1.169046974,1.581967835,1.170265331,0.812667912
