Corrected_mass_flow(kg/s),x_21(m),r_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
14.784,-0.165684685,0.113977537,0.00000949,77.1588593,-2.19511437,150579.219,1.52315617
14.784,-0.165684909,0.113980532,0.0000489,76.9229279,-2.17131233,150595.328,1.523319118
14.784,-0.165685207,0.113985099,0.000109052,76.3268051,-2.11458683,150635.047,1.523720888
14.784,-0.165685713,0.113992095,0.000201164,75.4281158,-2.03607249,150698.938,1.524367166
14.784,-0.165686458,0.114002779,0.000341826,74.2631531,-1.91840672,150842.5,1.52581934
14.784,-0.165687591,0.114019088,0.000556544,72.7641525,-1.74971914,151119.125,1.528617489
14.784,-0.165689349,0.114044026,0.000884858,70.8801346,-1.52621222,151571.422,1.533192616
14.784,-0.165692002,0.114082098,0.001386099,68.6474457,-1.22796369,152258.688,1.540144528
14.784,-0.16569607,0.11414028,0.00215209,66.1233215,-0.853324056,153203.422,1.549700809
14.784,-0.165702283,0.114229158,0.003322214,63.5074959,-0.389670253,154371.125,1.561512492
14.784,-0.165711775,0.114364922,0.005109623,60.9189301,0.196323752,155680.297,1.574755179
14.784,-0.165726274,0.114572369,0.007840762,58.4113464,0.922554731,157017.703,1.588283461
14.784,-0.165748447,0.114889272,0.012012957,55.9841232,1.79289925,158215.906,1.600403662
14.784,-0.165782288,0.115373395,0.018386696,53.5749168,2.75432539,159023.063,1.608568309
14.784,-0.16583401,0.116113029,0.02812436,51.1685982,3.74865746,159185.469,1.610211097
14.784,-0.165913135,0.117244765,0.043015536,49.1433563,4.78278971,158711.469,1.605416437
14.784,-0.166033834,0.118971094,0.065748006,48.0314598,5.77970886,157904.297,1.597251639
14.784,-0.166154593,0.120698571,0.088489711,47.7292099,6.58237886,157071.625,1.588828899
14.784,-0.166275561,0.12242841,0.111268766,47.6709862,7.19134378,156381.609,1.581849171
14.784,-0.166396841,0.124163002,0.134103864,47.5422707,7.67064047,155909.25,1.577071111
14.784,-0.166518286,0.125899911,0.156974897,47.3010826,8.02172089,155664.563,1.574596025
14.784,-0.166640073,0.127641797,0.179903239,46.970089,8.24794674,155608.531,1.574029243
14.784,-0.166761994,0.129385799,0.202866122,46.5850487,8.36663532,155679.281,1.574744902
14.784,-0.166884303,0.131135136,0.225889295,46.170063,8.40453053,155804.25,1.576009003
14.784,-0.167006761,0.132886365,0.248945877,45.7368889,8.37587547,155928.406,1.57726488
14.784,-0.167129576,0.134643003,0.272061974,45.2964058,8.29489899,156028.375,1.578276098
14.784,-0.167252645,0.136403292,0.295224458,44.8553467,8.17882538,156105.469,1.579055928
14.784,-0.167375848,0.138165459,0.318422198,44.4157028,8.03760052,156171.688,1.579725754
14.784,-0.167499483,0.139933497,0.341683656,43.9750671,7.87930965,156236.203,1.580378343
14.784,-0.167623162,0.141702607,0.364971548,43.5287132,7.70678568,156299.938,1.581023043
14.784,-0.167747289,0.143478036,0.38832745,43.0718079,7.5212369,156361.078,1.581641493
14.784,-0.16787149,0.145254403,0.411709726,42.6199684,7.33436394,156417.844,1.582215699
14.784,-0.167996153,0.147037342,0.435161799,42.1807022,7.14444637,156465.922,1.582702023
14.784,-0.16812107,0.148823932,0.458660364,41.737812,6.9372797,156507.906,1.583126704
14.784,-0.168246046,0.150611356,0.482185811,41.3032875,6.72374249,156550.688,1.583559458
14.784,-0.168371499,0.15240562,0.505782545,40.8868942,6.51171112,156593.875,1.583996308
14.784,-0.168496966,0.154200241,0.52940166,40.4833183,6.29831791,156635.125,1.584413565
14.784,-0.168622687,0.155998379,0.553046644,40.1085434,6.0856967,156676.797,1.58483509
14.784,-0.16874817,0.157793045,0.576665223,39.8085556,5.87420177,156725.516,1.585327898
14.784,-0.168873906,0.159591436,0.600310504,39.6544609,5.66367674,156787.969,1.58595963
14.784,-0.168999448,0.161386937,0.623938978,39.7147713,5.45365191,156871.313,1.586802681
14.784,-0.169125155,0.163184792,0.647574008,40.0117836,5.24407387,156986.797,1.587970838
14.784,-0.16925092,0.164983675,0.671220541,40.4813347,5.03423119,157142.109,1.589541867
14.784,-0.169376403,0.166778445,0.694836974,41.0003815,4.82226276,157332.406,1.591466781
14.784,-0.169502214,0.168577626,0.718483865,41.4768219,4.61156702,157549.156,1.593659276
14.784,-0.169627696,0.170372471,0.7421,41.8799553,4.4032135,157789.594,1.596091382
14.784,-0.169753507,0.172171965,0.765746772,42.2329369,4.20003462,158078.594,1.599014708
14.784,-0.169879004,0.173966944,0.789363146,42.6873131,4.00468779,158531.156,1.603592515
14.784,-0.170004845,0.175766811,0.813010037,43.5577431,3.83124042,159341.094,1.611785292
14.784,-0.170130566,0.177564651,0.836677492,45.0375862,3.69779992,160447.656,1.622978515
14.784,-0.170256287,0.179363042,0.860272288,46.9453392,3.57660508,161248.219,1.631076462
14.784,-0.170381933,0.181160077,0.883922756,49.0514336,3.4487896,161058.969,1.629162138
14.784,-0.170507804,0.182960153,0.907534003,51.6559563,3.31645036,159808.719,1.616515466
14.784,-0.170633495,0.184758186,0.931185663,55.1185417,3.17718816,158136.594,1.599601396
14.784,-0.170723408,0.186043978,0.948046207,58.8976288,3.0289681,156785.297,1.585932602
14.784,-0.170787662,0.186962962,0.960161269,62.081768,2.83093023,155947.281,1.577455806
14.784,-0.170833394,0.187617004,0.968734682,64.352951,2.56932497,155425.781,1.57218067
14.784,-0.170866147,0.188085556,0.974876463,65.8887329,2.29199028,155052.063,1.568400394
14.784,-0.170889527,0.188420147,0.979262352,66.9282455,2.03496909,154748.313,1.565327868
14.784,-0.170906246,0.188659102,0.982394576,67.6372833,1.81442785,154487.938,1.562694093
14.784,-0.170918182,0.18882978,0.985,68.1259842,1.6368314,154263.938,1.560428262
14.784,-0.170926705,0.188951701,0.986230075,68.4663925,1.49866414,154075,1.558517095
