Corrected_mass_flow(kg/s),x_30(m),r_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),Ttr_AA_15_30,ptr_AA_15_30
14.784,-0.088,0.120081633,8.7408E-06,139536.609,332.533569,1.125401276,1.411456696
14.784,-0.088,0.120084614,5.13408E-05,139662.844,332.618683,1.125689329,1.412733603
14.784,-0.088,0.120088756,0.000110555,140086.719,332.905151,1.12665883,1.417021232
14.784,-0.088,0.120094508,0.000192773,140864.438,333.429321,1.128432791,1.424888104
14.784,-0.088,0.12010245,0.000306302,141926,334.140381,1.130839248,1.435626138
14.784,-0.088,0.120113462,0.000463709,143097.063,334.918854,1.133473853,1.447471809
14.784,-0.088,0.120128706,0.000681608,144245.891,335.674866,1.136032442,1.459092565
14.784,-0.088,0.120149814,0.000983323,145332.891,336.379974,1.138418756,1.470087912
14.784,-0.088,0.120179035,0.001401016,146362.188,337.034119,1.140632594,1.480499575
14.784,-0.088,0.120219484,0.001979204,147343.469,337.639832,1.142682523,1.490425541
14.784,-0.088,0.120275497,0.002779872,148284.063,338.196808,1.14456751,1.499939945
14.784,-0.088,0.120353073,0.00388875,149190.125,338.702881,1.146280225,1.509105048
14.784,-0.088,0.120460451,0.005423628,150070.063,339.155396,1.147811683,1.518005897
14.784,-0.088,0.120609149,0.007549156,150937.438,339.552582,1.149155889,1.526779668
14.784,-0.088,0.120815024,0.010491964,151815.75,339.894653,1.150313568,1.53566407
14.784,-0.088,0.121100068,0.014566442,152741.359,340.176147,1.151266235,1.545026897
14.784,-0.088,0.121494845,0.020209452,153675.563,340.362122,1.151895634,1.554476664
14.784,-0.088,0.121890388,0.025864791,154503.484,340.399414,1.152021842,1.562851345
14.784,-0.088,0.122315019,0.031936217,155175.844,340.262787,1.151559452,1.569652478
14.784,-0.088,0.122771926,0.038469125,155673.703,339.968445,1.150563304,1.574688479
14.784,-0.088,0.123263508,0.04549782,155961.594,339.577728,1.149240991,1.577600587
14.784,-0.088,0.123792604,0.05306517,156046,339.172607,1.14786993,1.57845438
14.784,-0.088,0.124361567,0.061201215,155974.125,338.798859,1.146605046,1.577727342
14.784,-0.088,0.124973774,0.069955617,155802.531,338.456421,1.145446125,1.575991614
14.784,-0.088,0.125632346,0.079374544,155582.406,338.135956,1.144361568,1.573764981
14.784,-0.088,0.126340941,0.089507178,155357.031,337.844604,1.143375538,1.571485242
14.784,-0.088,0.127103195,0.100407802,155153.844,337.597229,1.142538341,1.569429941
14.784,-0.088,0.127923474,0.112136632,154975.469,337.398224,1.141864844,1.567625622
14.784,-0.088,0.128806055,0.124754533,154804.438,337.243164,1.14134007,1.56589559
14.784,-0.088,0.129755378,0.138328895,154629.297,337.128876,1.140953283,1.564123983
14.784,-0.088,0.130776584,0.1529309,154463.516,337.050842,1.14068919,1.562447056
14.784,-0.088,0.131876156,0.168645754,154336.219,337.000732,1.140519602,1.561159407
14.784,-0.088,0.133058488,0.185547233,154272.656,336.974548,1.140430987,1.560516448
