Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.07956649,0.114159636,-0.165678352,6.58E-05,86.8753613,4.431699775,139383.8438,1.408573102
16.07956649,0.11416962,-0.165679127,0.000197938,80.39644987,4.411498873,136940.7813,1.383884214
16.07956649,0.114181668,-0.165680036,0.000357413,74.91384057,4.404584552,136031.6875,1.374697174
16.07956649,0.114196263,-0.165681139,0.000550617,71.42493461,4.401479927,135962.0313,1.373993248
16.07956649,0.114213839,-0.165682435,0.000783271,69.24142949,4.400569542,136190.2031,1.376299087
16.07956649,0.114235051,-0.165683925,0.001064054,67.54647776,4.403215371,136551.25,1.379947723
16.07956649,0.114260621,-0.165685803,0.001402531,66.01132995,4.40951666,137019.2344,1.384677039
16.07956649,0.114291489,-0.165688023,0.00181113,64.51430476,4.42201376,137592.5625,1.390470928
16.07956649,0.114328772,-0.165690675,0.002304644,63.00814719,4.442761623,138280.8438,1.397426501
16.07956649,0.114373691,-0.165693998,0.002899248,61.46481939,4.476109006,139085.5156,1.405558284
16.07956649,0.114427909,-0.165698022,0.003616934,59.87877568,4.519762744,140001.875,1.414818749
16.07956649,0.114493206,-0.165702775,0.004481275,58.26160617,4.576451407,141010.0156,1.425006728
16.07956649,0.114571907,-0.165708512,0.005523039,56.63845967,4.646421462,142068.2188,1.435700625
16.07956649,0.114666589,-0.165715531,0.006776352,55.03757673,4.724698992,143127.6875,1.446407312
16.07956649,0.114780717,-0.16572395,0.008287074,53.45733096,4.81004958,144135.875,1.456595766
16.07956649,0.114917934,-0.165734068,0.010103431,51.88695426,4.905393998,145076.8125,1.46610461
16.07956649,0.11508289,-0.165746406,0.012286965,50.28190155,5.008537618,145935.6719,1.474783996
16.07956649,0.115281023,-0.165761232,0.014909672,48.58277671,5.131668147,146728.1719,1.482792774
16.07956649,0.115518637,-0.165779069,0.018054986,46.77401804,5.272455131,147469.9375,1.490288844
16.07956649,0.115803368,-0.165800527,0.021823999,44.84108681,5.435720846,148189.8438,1.49756401
16.07956649,0.116144054,-0.165826276,0.026333677,42.87638855,5.619642695,148891.1406,1.504651115
16.07956649,0.116551064,-0.165857375,0.031721305,41.09988846,5.813553142,149518.5469,1.510991502
16.07956649,0.117035985,-0.165894419,0.038140245,39.88077095,6.003879891,149971.3594,1.515567495
16.07956649,0.117612541,-0.165938824,0.045772158,39.32930545,6.17689523,150160.2188,1.517476054
16.07956649,0.118295975,-0.165991515,0.054818835,39.19880359,6.345480906,150069.1094,1.516555329
16.07956649,0.119103715,-0.166053653,0.065510951,39.22826266,6.512166516,149691.6406,1.512740738
16.07956649,0.120055057,-0.166126773,0.078103945,39.30784882,6.675194523,149075.4844,1.50651404
16.07956649,0.121169992,-0.166211903,0.092862427,39.37985066,6.823330424,148321.5156,1.498894648
16.07956649,0.122469693,-0.166310936,0.110066682,39.37814983,6.950417739,147559.5938,1.491194884
16.07956649,0.123974703,-0.1664249,0.129988626,39.24230648,7.030758025,146932.8281,1.484860971
16.07956649,0.125704035,-0.166555092,0.152879924,38.99128133,7.065356616,146525.2656,1.480742261
16.07956649,0.127674237,-0.166702524,0.178959653,38.63872854,7.036594667,146315.6406,1.478623851
16.07956649,0.129896432,-0.166867614,0.208375022,38.20715108,6.945266641,146202.1875,1.477477327
16.07956649,0.132375479,-0.167050317,0.241190374,37.69034174,6.778712057,146094.375,1.476387804
16.07956649,0.135106742,-0.167249814,0.277344316,37.11387918,6.553099531,145975.8594,1.475190119
16.07956649,0.138074413,-0.167464823,0.316627622,36.49481932,6.272166704,145854.9531,1.473968276
16.07956649,0.141251445,-0.167693004,0.358682245,35.80828361,5.941011228,145736.1094,1.472767275
16.07956649,0.144598246,-0.167931423,0.402984113,35.0976454,5.579632405,145586.7188,1.471257576
16.07956649,0.148064941,-0.168176502,0.448873043,34.38798531,5.190414433,145418.4063,1.469556658
16.07956649,0.151593894,-0.168424219,0.495586097,33.74588038,4.805899684,145249.5469,1.467850214
16.07956649,0.155123547,-0.168670431,0.54230839,33.13400473,4.400609093,145100.4219,1.466343199
16.07956649,0.15859206,-0.168910354,0.588221371,32.65140931,4.020415512,144960.9375,1.46493361
16.07956649,0.161941916,-0.169140607,0.63256371,32.32315161,3.682137318,144822.9844,1.463539496
16.07956649,0.165123627,-0.169357985,0.674680233,32.03973073,3.362543424,144702.3438,1.462320336
16.07956649,0.168097556,-0.169559985,0.714046419,31.79779836,3.085513824,144603.6719,1.461323187
16.07956649,0.170836508,-0.169745058,0.750302136,31.62324029,2.860215462,144543.625,1.46071637
16.07956649,0.173324376,-0.169912368,0.783234239,31.58346383,2.679489959,144540.0156,1.460679895
16.07956649,0.175556302,-0.170061886,0.812778413,31.75006061,2.516158956,144625.5938,1.461544723
16.07956649,0.177536219,-0.170193925,0.838986754,32.36175121,2.40495326,144867.9844,1.463994253
16.07956649,0.179275081,-0.170309559,0.86200422,33.44040603,2.329611046,145341.625,1.468780729
16.07956649,0.180788934,-0.170410052,0.882043183,34.63923144,2.260358069,146039.5156,1.475833411
16.07956649,0.182096928,-0.170496657,0.8993572,35.58968431,2.214309468,146734.9688,1.482861461
16.07956649,0.183219597,-0.170570731,0.914218068,36.27030575,2.210042076,147048.0781,1.486025654
16.07956649,0.184177637,-0.170633942,0.926899731,37.00476227,2.254826594,146735.2813,1.482864619
16.07956649,0.184991404,-0.170687541,0.937671661,38.09727438,2.315660827,145742.1094,1.472827909
16.07956649,0.185679674,-0.170732886,0.946782351,39.59126106,2.367024686,144210.75,1.457352431
16.07956649,0.186259866,-0.170770913,0.954462349,41.36932321,2.404545716,142375.0469,1.438801342
16.07956649,0.186747372,-0.170802966,0.960915506,43.28709377,2.42075313,140437.4844,1.419220892
16.07956649,0.187156171,-0.170829773,0.966326833,45.21165383,2.396070223,138583.7656,1.400487743
16.07956649,0.187498063,-0.17085214,0.970852494,47.02122413,2.329323555,136944.4375,1.383921163
16.07956649,0.187783629,-0.170870885,0.974632561,48.6426189,2.230670352,135565.6406,1.369987438
16.07956649,0.188021824,-0.170886457,0.977785528,50.0612021,2.112098937,134435.875,1.358570351
16.07956649,0.188220233,-0.170899436,0.980411887,51.2849827,1.983413033,133516.5625,1.349280043
16.07956649,0.188385278,-0.170910344,0.982596636,52.335827,1.857751165,132768.9688,1.341725075
16.07956649,0.188522428,-0.170919195,0.984412074,53.23071302,1.738615396,132156.5938,1.335536589
16.07956649,0.188636571,-0.170926765,0.985922992,53.98922417,1.629858916,131650.8281,1.330425467
16.07956649,0.188731223,-0.170932978,0.987175941,54.63116563,1.532349586,131229.0469,1.326163067
16.07956649,0.188809797,-0.170938119,0.988216043,55.17415614,1.446178136,130874.6875,1.322582013
16.07956649,0.18887496,-0.170942381,0.989078581,55.632647,1.370883137,130575.6797,1.319560326
16.07956649,0.188929066,-0.170945987,0.989794791,56.01932775,1.306175184,130321.9609,1.316996317
16.07956649,0.188973919,-0.170948848,0.990388513,56.34435263,1.25054949,130106.8594,1.314822562
16.07956649,0.189010993,-0.170951292,0.990879238,56.61759033,1.203035385,129924.5547,1.312980243
16.07956649,0.189041868,-0.170953318,0.991287947,56.84650702,1.162787028,129770.2734,1.311421121
16.07956649,0.189067215,-0.170954928,0.991623461,57.0381795,1.128967291,129639.5703,1.310100273
16.07956649,0.189088315,-0.170956269,0.991902769,57.19900619,1.10068004,129528.8516,1.308981381
16.07956649,0.189106002,-0.170957521,0.992136896,57.332692,1.076592305,129436.3125,1.308046208
16.07956649,0.189120501,-0.170958459,0.992328823,57.44453302,1.056410118,129358.3984,1.307258831
16.07956649,0.189132452,-0.170959175,0.992487013,57.53705054,1.040236238,129292.4688,1.306592564
16.07956649,0.189142361,-0.17095983,0.992618203,57.61707738,1.026477501,129235.4063,1.306015907
16.07956649,0.189151376,-0.170960516,0.992737532,57.69111893,1.012208667,129183.75,1.305493884
16.07956649,0.189161822,-0.17096144,0.992875814,57.7753051,0.997765443,129121.5469,1.304865277
16.07956649,0.189175442,-0.170962572,0.993056059,57.8832774,0.977869051,129043.9766,1.304081374
16.07956649,0.189192861,-0.170963928,0.993286669,58.02258367,0.953014257,128941.2422,1.303043169
16.07956649,0.189214945,-0.170965686,0.99357897,58.19942453,0.921177327,128809.2891,1.301709689
16.07956649,0.189241961,-0.170967728,0.993936598,58.42003944,0.881593415,128640.5703,1.300004666
16.07956649,0.18927446,-0.170970261,0.994366825,58.68840291,0.833209325,128429.6641,1.297873308
16.07956649,0.189312264,-0.170973063,0.994867206,59.00625282,0.776182099,128169.5469,1.295244638
16.07956649,0.189354494,-0.170976207,0.995426238,59.36961878,0.710717734,127855.4063,1.292070023
16.07956649,0.18939957,-0.170979396,0.99602288,59.77060626,0.638015453,127482.4219,1.28830075
16.07956649,0.189445674,-0.170982555,0.996633172,60.1946871,0.560194961,127048.1563,1.283912187
16.07956649,0.189490944,-0.170985714,0.997232437,60.62393387,0.479934084,126551.5469,1.278893595
16.07956649,0.189533144,-0.17098847,0.997790992,61.03724754,0.400133267,125992.5469,1.273244501
16.07956649,0.189570799,-0.170990899,0.998289466,61.41432569,0.323442812,125370.7344,1.266960643
16.07956649,0.189603329,-0.17099297,0.99872005,61.74019859,0.25251103,124680.9531,1.259989911
16.07956649,0.189630479,-0.170994729,0.999079466,62.00937598,0.189454093,123892.875,1.25202582
16.07956649,0.189652428,-0.170996115,0.999369979,62.2259081,0.13829375,122898.9609,1.24198161
16.07956649,0.189669818,-0.170997262,0.999600172,62.41326442,0.10769473,121478.6094,1.227627945
16.07956649,0.189683422,-0.170997947,0.999780238,62.63883464,0.109747327,119799.6953,1.210661322
16.07956649,0.189693913,-0.17099826,0.999919116,62.85913827,0.218620268,118681.1094,1.199357213
,,,,,,,
14.77177168,0.114159636,-0.165678352,6.58E-05,87.0262658,4.43186215,151065.3906,1.526623461
14.77177168,0.11416962,-0.165679127,0.000197938,80.94264736,4.410522672,148865.6875,1.504393893
14.77177168,0.114181668,-0.165680036,0.000357413,75.82762384,4.40153697,148028.625,1.495934779
14.77177168,0.114196263,-0.165681139,0.000550617,72.57073705,4.396908293,147957.6563,1.49521759
14.77177168,0.114213839,-0.165682435,0.000783271,70.5439525,4.39337973,148162.9688,1.497292419
14.77177168,0.114235051,-0.165683925,0.001064054,68.97759617,4.392981676,148491,1.500607408
14.77177168,0.114260621,-0.165685803,0.001402531,67.55730384,4.395719178,148920.8906,1.50495176
14.77177168,0.114291489,-0.165688023,0.00181113,66.16638036,4.404300958,149452.4531,1.510323578
14.77177168,0.114328772,-0.165690675,0.002304644,64.75856518,4.420803217,150097.5313,1.516842552
14.77177168,0.114373691,-0.165693998,0.002899248,63.30905587,4.449215019,150860.9844,1.52455779
14.77177168,0.114427909,-0.165698022,0.003616934,61.82051722,4.486747082,151739.1719,1.533432501
14.77177168,0.114493206,-0.165702775,0.004481275,60.31557142,4.53590733,152706.1563,1.543204567
14.77177168,0.114571907,-0.165708512,0.005523039,58.83475725,4.595672684,153712.6406,1.553375809
14.77177168,0.114666589,-0.165715531,0.006776352,57.42338812,4.660721113,154702.6719,1.563380781
14.77177168,0.114780717,-0.16572395,0.008287074,56.09586728,4.728945497,155611.9219,1.5725694
14.77177168,0.114917934,-0.165734068,0.010103431,54.85887606,4.805167613,156415.6563,1.580691709
14.77177168,0.11508289,-0.165746406,0.012286965,53.67625266,4.888922279,157085.3125,1.587459063
14.77177168,0.115281023,-0.165761232,0.014909672,52.49219928,4.994537432,157619.4219,1.592856619
14.77177168,0.115518637,-0.165779069,0.018054986,51.29929016,5.120544461,158015.9063,1.596863376
14.77177168,0.115803368,-0.165800527,0.021823999,50.09959443,5.268559716,158286.5469,1.599598392
14.77177168,0.116144054,-0.165826276,0.026333677,48.9685144,5.43885824,158450.5625,1.601255887
14.77177168,0.116551064,-0.165857375,0.031721305,47.99878229,5.627618158,158549.5781,1.602256511
14.77177168,0.117035985,-0.165894419,0.038140245,47.30597712,5.837152931,158647.1094,1.603242134
14.77177168,0.117612541,-0.165938824,0.045772158,46.9151936,6.056842225,158757.5781,1.604358499
14.77177168,0.118295975,-0.165991515,0.054818835,46.73681838,6.284783541,158851.375,1.605306383
14.77177168,0.119103715,-0.166053653,0.065510951,46.65938052,6.511498324,158895.7031,1.605754351
14.77177168,0.120055057,-0.166126773,0.078103945,46.64141453,6.731510379,158836.8438,1.605159535
14.77177168,0.121169992,-0.166211903,0.092862427,46.69386429,6.917196256,158570.2969,1.602465888
14.77177168,0.122469693,-0.166310936,0.110066682,46.82054665,7.049877775,157988.2344,1.596583732
14.77177168,0.123974703,-0.1664249,0.129988626,46.9625898,7.115899555,157075.1094,1.587355953
14.77177168,0.125704035,-0.166555092,0.152879924,47.04388607,7.128423761,155955.625,1.576042765
14.77177168,0.127674237,-0.166702524,0.178959653,46.95973917,7.085104638,154913.0313,1.565506612
14.77177168,0.129896432,-0.166867614,0.208375022,46.70459924,7.040068453,154244.4531,1.558750154
14.77177168,0.132375479,-0.167050317,0.241190374,46.2488239,6.977230026,154028.9844,1.556572688
14.77177168,0.135106742,-0.167249814,0.277344316,45.59720981,6.892267157,154135.3125,1.55764721
14.77177168,0.138074413,-0.167464823,0.316627622,44.75380116,6.7736677,154357.8125,1.559895731
14.77177168,0.141251445,-0.167693004,0.358682245,43.79085983,6.601504086,154568.4063,1.562023931
14.77177168,0.144598246,-0.167931423,0.402984113,42.81022277,6.366294654,154735.9063,1.563716638
14.77177168,0.148064941,-0.168176502,0.448873043,41.87345501,6.073136714,154879.3438,1.565166176
14.77177168,0.151593894,-0.168424219,0.495586097,40.99567054,5.774172201,155028.9219,1.56667777
14.77177168,0.155123547,-0.168670431,0.54230839,40.16547163,5.428298493,155179.2031,1.568196469
14.77177168,0.15859206,-0.168910354,0.588221371,39.59175667,5.083519867,155314.9531,1.569568319
14.77177168,0.161941916,-0.169140607,0.63256371,39.51507336,4.777162972,155435.4375,1.5707859
14.77177168,0.165123627,-0.169357985,0.674680233,39.91323362,4.472599151,155578.1875,1.57222849
14.77177168,0.168097556,-0.169559985,0.714046419,40.57730077,4.188185558,155746.125,1.573925618
14.77177168,0.170836508,-0.169745058,0.750302136,41.23267235,3.942221782,155948.375,1.575969499
14.77177168,0.173324376,-0.169912368,0.783234239,41.80380317,3.746085489,156218.2656,1.578696936
14.77177168,0.175556302,-0.170061886,0.812778413,42.48959347,3.6000298,156622.3125,1.582780118
14.77177168,0.177536219,-0.170193925,0.838986754,43.81638503,3.524431532,157400.9219,1.590648521
14.77177168,0.179275081,-0.170309559,0.86200422,45.70475909,3.441493013,158762.9531,1.604412817
14.77177168,0.180788934,-0.170410052,0.882043183,47.30800478,3.294806373,160205.25,1.618988255
14.77177168,0.182096928,-0.170496657,0.8993572,48.48912617,3.118776691,160911.5781,1.626126205
14.77177168,0.183219597,-0.170570731,0.914218068,49.9676057,2.951639924,160802.1406,1.625020261
14.77177168,0.184177637,-0.170633942,0.926899731,52.04112718,2.798361497,160150.125,1.618431178
14.77177168,0.184991404,-0.170687541,0.937671661,54.39678493,2.665014675,159151.8438,1.608342834
14.77177168,0.185679674,-0.170732886,0.946782351,56.65508303,2.542792121,158010.5938,1.596809689
14.77177168,0.186259866,-0.170770913,0.954462349,58.66772254,2.404457045,156915.4844,1.585742829
14.77177168,0.186747372,-0.170802966,0.960915506,60.41286423,2.253499747,155944.9375,1.57593476
14.77177168,0.187156171,-0.170829773,0.966326833,61.90445941,2.100723203,155117.0469,1.567568336
14.77177168,0.187498063,-0.17085214,0.970852494,63.1685363,1.950391658,154413.2031,1.560455493
14.77177168,0.187783629,-0.170870885,0.974632561,64.23369525,1.80476001,153804.4063,1.554303166
14.77177168,0.188021824,-0.170886457,0.977785528,65.13022472,1.666603814,153264.9375,1.54885145
14.77177168,0.188220233,-0.170899436,0.980411887,65.88510551,1.536637337,152775.5313,1.543905651
14.77177168,0.188385278,-0.170910344,0.982596636,66.51982901,1.419254879,152322.7188,1.539329658
14.77177168,0.188522428,-0.170919195,0.984412074,67.05457617,1.312923331,151899.625,1.535053994
14.77177168,0.188636571,-0.170926765,0.985922992,67.50565252,1.217832155,151504.125,1.531057184
14.77177168,0.188731223,-0.170932978,0.987175941,67.88668815,1.133745977,151135.7031,1.527334019
14.77177168,0.188809797,-0.170938119,0.988216043,68.20819254,1.059984623,150795.0938,1.523891918
14.77177168,0.18887496,-0.170942381,0.989078581,68.47924781,0.99605912,150483.3125,1.520741146
14.77177168,0.188929066,-0.170945987,0.989794791,68.70737107,0.941422773,150200.625,1.517884388
14.77177168,0.188973919,-0.170948848,0.990388513,68.89920693,0.894994862,149947.0469,1.5153218
14.77177168,0.189010993,-0.170951292,0.990879238,69.0601424,0.855408921,149721.875,1.513046278
14.77177168,0.189041868,-0.170953318,0.991287947,69.19493489,0.82210543,149523.7813,1.511044399
14.77177168,0.189067215,-0.170954928,0.991623461,69.30766545,0.794079317,149350.7031,1.509295321
14.77177168,0.189088315,-0.170956269,0.991902769,69.40166976,0.770457217,149200.25,1.507774885
14.77177168,0.189106002,-0.170957521,0.992136896,69.48039892,0.750667574,149071.5469,1.506474248
14.77177168,0.189120501,-0.170958459,0.992328823,69.54597178,0.734065668,148961.2344,1.505359462
14.77177168,0.189132452,-0.170959175,0.992487013,69.60011576,0.720427303,148867.0156,1.504407314
14.77177168,0.189142361,-0.17095983,0.992618203,69.64605656,0.708541633,148784.7656,1.503576119
14.77177168,0.189151376,-0.170960516,0.992737532,69.68970772,0.697305757,148707.6875,1.50279719
14.77177168,0.189161822,-0.17096144,0.992875814,69.73869629,0.684981902,148616.9375,1.501880097
14.77177168,0.189175442,-0.170962572,0.993056059,69.80141905,0.669071581,148499.8594,1.500696939
14.77177168,0.189192861,-0.170963928,0.993286669,69.88187056,0.648875983,148343.625,1.499118079
14.77177168,0.189214945,-0.170965686,0.99357897,69.98368315,0.623441136,148138.0156,1.49704025
14.77177168,0.189241961,-0.170967728,0.993936598,70.10966792,0.591944702,147869.2813,1.494324497
14.77177168,0.18927446,-0.170970261,0.994366825,70.26174079,0.553923097,147522.9219,1.490824289
14.77177168,0.189312264,-0.170973063,0.994867206,70.43918805,0.509368782,147081.8281,1.486366722
14.77177168,0.189354494,-0.170976207,0.995426238,70.63846674,0.459502778,146530.5781,1.480795948
14.77177168,0.18939957,-0.170979396,0.99602288,70.85204562,0.405291797,145854.9219,1.47396796
14.77177168,0.189445674,-0.170982555,0.996633172,71.06913065,0.348641887,145046.1406,1.465794649
14.77177168,0.189490944,-0.170985714,0.997232437,71.27755898,0.291780046,144102.8594,1.456262119
14.77177168,0.189533144,-0.17098847,0.997790992,71.46583066,0.237228657,143030.6719,1.4454269
14.77177168,0.189570799,-0.170990899,0.998289466,71.62551029,0.187317481,141838.4375,1.433378522
14.77177168,0.189603329,-0.17099297,0.99872005,71.75326356,0.144040245,140530.3438,1.420159302
14.77177168,0.189630479,-0.170994729,0.999079466,71.84909201,0.10773921,139079.125,1.405493702
14.77177168,0.189652428,-0.170996115,0.999369979,71.91830138,0.08287907,137355.8594,1.388078875
14.77177168,0.189669818,-0.170997262,0.999600172,71.96697533,0.073402377,134970.4219,1.363972328
14.77177168,0.189683422,-0.170997947,0.999780238,72.00642734,0.097211942,131816.9531,1.332104278
14.77177168,0.189693913,-0.17099826,0.999919116,72.03711711,0.280849433,129365.7266,1.307332887
