Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.07956649,0.120304026,-0.088,6.45E-05,122441.9531,342.2623291,1.23736322,1.160953902
16.07956649,0.120313413,-0.088000007,0.00019979,123918.4766,342.5341492,1.252284542,1.161875916
16.07956649,0.120324723,-0.087999992,0.000362757,126010.6953,342.5714722,1.273427904,1.162002515
16.07956649,0.12033844,-0.087999985,0.0005604,127706.8281,342.2749939,1.290568535,1.160996861
16.07956649,0.120354921,-0.088,0.000797872,128885.3906,341.8584595,1.30247875,1.159583976
16.07956649,0.120374836,-0.088,0.001084836,129830.6953,341.4424133,1.312031727,1.158172748
16.07956649,0.120398797,-0.088000014,0.001430094,130684.8906,341.0348206,1.32066398,1.156790193
16.07956649,0.120427698,-0.087999985,0.001846529,131502.2031,340.6305237,1.328923505,1.155418818
16.07956649,0.120462544,-0.087999992,0.002348635,132305.4844,340.2268982,1.337041235,1.15404972
16.07956649,0.120504573,-0.088,0.002954232,133108.0625,339.8213501,1.345151859,1.152674101
16.07956649,0.120555237,-0.087999985,0.003684255,133919.8594,339.4134216,1.353355645,1.151290407
16.07956649,0.120616227,-0.087999955,0.004563074,134747.3281,339.0004272,1.361717807,1.14988953
16.07956649,0.120689988,-0.088000022,0.005625901,135592.4219,338.58078,1.370258082,1.148466087
16.07956649,0.12077862,-0.088,0.006903012,136456.2656,338.1474304,1.378987838,1.146996165
16.07956649,0.120885327,-0.087999992,0.00844057,137343.8906,337.690918,1.387957922,1.145447674
16.07956649,0.121013641,-0.088000029,0.01028946,138265.4688,337.1963196,1.397271126,1.143769997
16.07956649,0.121167712,-0.087999985,0.012509482,139237.6719,336.6521301,1.407095931,1.141924106
16.07956649,0.121352635,-0.088000014,0.015174067,140278.3906,336.0525513,1.417613136,1.139890334
16.07956649,0.121574424,-0.087999985,0.01836985,141400.1406,335.4071655,1.42894922,1.137701186
