Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000.5486,13.6879268,101324.99,101326.25,288.0158,288.0156,156382.05,159612.95,339.3058,339.1408,1.543370989,1.178080508,1.177508441,0.743659496
20000.45138,14.10014293,101320.87,101324.36,288.013,288.0188,157885.27,161632.44,338.0751,337.6879,1.558269979,1.17381889,1.172450896,0.783512185
20000.44097,14.18386324,101320.71,101326.13,288.0127,288.024,158110.5,161421.7,337.7025,337.2922,1.560495381,1.17252642,1.171055884,0.792608279
20000.44097,14.25992236,101320.68,101325.23,288.0127,288.0217,158224.78,161264.03,337.3975,336.9778,1.561623747,1.171467439,1.169973651,0.799034753
20000.45138,14.32062809,101320.72,101324.44,288.013,288.0194,158256.05,161123.08,337.1505,336.7215,1.561931755,1.170608618,1.169093124,0.803574111
20000.44444,14.80888059,101320.2,101323.55,288.0128,288.0182,158459.81,159596.91,334.8117,334.4985,1.563950821,1.162488959,1.161379732,0.844580548
20000.45486,15.11667182,101320.12,101323.7,288.0131,288.0186,157496.61,158335.11,333.4119,333.1097,1.554445553,1.157627552,1.156556209,0.857971149
20000.45138,15.35272074,101319.89,101321.09,288.013,288.0117,156302.61,157049.84,332.2512,331.9336,1.542664624,1.153597928,1.152500402,0.864638946
20000.44791,15.5527618,101319.7,101320.34,288.0129,288.01,155026.61,155741.3,331.1739,330.8471,1.530073717,1.149857871,1.148734766,0.868731874
20000.45138,15.72339745,101319.57,101319.18,288.013,288.007,153687.42,154402.98,330.1566,329.8176,1.516858194,1.146325339,1.145172166,0.87079617
20000.45486,15.87788861,101319.4,101319.26,288.0131,288.0076,152326.95,153048.41,329.1593,328.8169,1.503433202,1.142862252,1.141695219,0.871997847
20000.39583,16.13794805,101314.46,101320.95,288.0114,288.0132,148560.8,149421.81,326.6962,326.4879,1.466333631,1.134316906,1.133586586,0.865098274
20000.39583,16.21178959,101313.32,101319.71,288.0114,288.0097,144429.3,145467.16,324.5612,324.4059,1.425570695,1.126904004,1.126371438,0.843668489
20000.40972,16.26817341,101313.85,101320.75,288.0118,288.0128,127475.57,131251.64,318.9792,318.6632,1.258224517,1.107521289,1.10642027,0.637383397
