Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.87788861,0.114159673,-0.165678456,6.63E-05,86.3686799,4.430338982,149030.1406,1.470894448
15.87788861,0.114169724,-0.165679127,0.000199319,79.28660298,4.410938964,146685.4219,1.447752594
15.87788861,0.114181794,-0.165680304,0.00035909,73.97831108,4.39980428,146030.3438,1.441287118
15.87788861,0.11419639,-0.165681064,0.000552294,70.8812189,4.396275696,146105.2656,1.442026581
15.87788861,0.114213943,-0.165682435,0.000784652,68.91957188,4.395183523,146404.7031,1.444981962
15.87788861,0.114235029,-0.16568391,0.001063758,67.36438939,4.397155616,146815.625,1.44903767
15.87788861,0.114260755,-0.165685728,0.001404306,65.95046628,4.402082237,147322.5313,1.454040722
15.87788861,0.114291482,-0.165688097,0.001811031,64.58542565,4.412254343,147924.8438,1.459985413
15.87788861,0.114328861,-0.165690824,0.002305828,63.22358264,4.429558783,148629.1094,1.466936359
15.87788861,0.114373602,-0.165694013,0.002898064,61.84129112,4.458037856,149436.4063,1.4749042
15.87788861,0.114427902,-0.165697902,0.003616836,60.4326595,4.496442417,150343.0938,1.483853005
15.87788861,0.114493117,-0.165702596,0.004480091,59.00410884,4.547667406,151331.5156,1.493608509
15.87788861,0.114572003,-0.165708512,0.005524321,57.57312468,4.612051292,152367.1094,1.50382959
15.87788861,0.114666648,-0.165715709,0.006777141,56.16593048,4.686855592,153410.7188,1.514129783
15.87788861,0.114780702,-0.165724039,0.008286877,54.78114001,4.768991345,154406.4688,1.523957615
15.87788861,0.114917949,-0.165734366,0.010103628,53.42155979,4.861556014,155334.1563,1.533113685
15.87788861,0.115082853,-0.165746257,0.012286472,52.0597322,4.960941221,156163.3906,1.541298045
15.87788861,0.115280926,-0.165761128,0.014908389,50.66215086,5.078018704,156888.4219,1.548453942
15.87788861,0.115518548,-0.16577886,0.018053802,49.23020114,5.210642488,157503.9844,1.554529408
15.87788861,0.115803242,-0.165800378,0.021822322,47.7443441,5.362083908,158019.9219,1.559621596
15.87788861,0.116143949,-0.165826291,0.026332296,46.24537218,5.53281298,158448.7344,1.563853881
15.87788861,0.116551042,-0.16585733,0.031721011,44.81624345,5.71491501,158773.7813,1.567062021
15.87788861,0.117036104,-0.165894479,0.038141821,43.6492354,5.905491442,158958.2969,1.56888315
15.87788861,0.117612489,-0.165938541,0.045771468,42.90865648,6.087886649,158961.5156,1.568914918
15.87788861,0.118295982,-0.16599144,0.054818932,42.58036694,6.257957683,158784.4688,1.567167505
15.87788861,0.119103648,-0.166053653,0.065510064,42.50251023,6.410477591,158407.6406,1.563448294
15.87788861,0.120054819,-0.166126624,0.078100793,42.53166919,6.546465976,157820.8281,1.557656585
15.87788861,0.121170007,-0.166211993,0.092862628,42.59549426,6.65881726,157064.75,1.550194262
15.87788861,0.122469641,-0.166310802,0.110065997,42.6376829,6.752384346,156235.0625,1.54200543
15.87788861,0.123974457,-0.16642487,0.129985362,42.58979016,6.818195317,155463.9063,1.534394289
15.87788861,0.125703946,-0.166555211,0.152878746,42.42887659,6.863107285,154878.6094,1.528617538
15.87788861,0.127674028,-0.166702554,0.178956881,42.12777449,6.864179555,154553.4688,1.525408473
15.87788861,0.129896432,-0.166867688,0.208375022,41.70062924,6.820202112,154457.7656,1.524463904
15.87788861,0.132375285,-0.167050213,0.241187796,41.14888941,6.707223322,154474.3594,1.524627681
15.87788861,0.135106385,-0.167250067,0.277339578,40.49670021,6.531753914,154507.5469,1.524955234
15.87788861,0.138074055,-0.167464957,0.316622883,39.77597572,6.29452711,154517.4688,1.525053161
15.87788861,0.141251341,-0.16769284,0.358680874,38.99467929,5.992333934,154514.7188,1.525026019
15.87788861,0.144597754,-0.167931363,0.402977616,38.20841004,5.649904855,154490.5625,1.524787602
15.87788861,0.148064628,-0.168176636,0.448868901,37.42972435,5.270822793,154450.1406,1.524388647
15.87788861,0.151593268,-0.168424338,0.495577812,36.6951457,4.888453139,154413.9375,1.52403133
15.87788861,0.155122966,-0.168670222,0.542300701,35.97419902,4.479533791,154388.8125,1.523783352
15.87788861,0.158591732,-0.168910056,0.58821702,35.32598243,4.080847565,154359.6875,1.523495895
