Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.87788861,0.120304026,-0.090090007,6.02E-05,132777.0625,336.4204102,1.310480171,1.168073293
15.87788861,0.120313615,-0.090090133,0.000198395,134576.6719,336.6056213,1.328241916,1.168716358
15.87788861,0.120324969,-0.090089872,0.000362007,136684.5938,336.5067444,1.349046638,1.168373051
15.87788861,0.120338485,-0.09008994,0.000556752,138164.7969,336.1524658,1.363655914,1.167142973
15.87788861,0.120355017,-0.090089895,0.000794977,139211.0313,335.7562256,1.373982016,1.165767202
15.87788861,0.120374642,-0.09008991,0.001077755,140092.1406,335.371521,1.38267837,1.164431482
15.87788861,0.120398685,-0.090089954,0.001424195,140907.5156,334.9946289,1.39072594,1.163122889
15.87788861,0.120427452,-0.090090036,0.0018387,141699.0469,334.6192322,1.398538178,1.161819487
15.87788861,0.120462455,-0.090089805,0.002343062,142486.4688,334.2401733,1.406309858,1.160503371
15.87788861,0.120504349,-0.090089805,0.002946729,143281.8906,333.8565674,1.414160495,1.159171466
15.87788861,0.120555229,-0.090089984,0.003679869,144093.125,333.4683228,1.422167199,1.157823456
15.87788861,0.120616168,-0.090090051,0.00455794,144923.8281,333.0739136,1.430366054,1.156454042
15.87788861,0.120689787,-0.090089865,0.005618732,145776.8594,332.6733093,1.438785284,1.155063118
15.87788861,0.120777972,-0.090089865,0.006889408,146653.2656,332.2655029,1.447435219,1.153647188
15.87788861,0.12088456,-0.09008988,0.008425254,147555.625,331.8484192,1.456341306,1.152199046
15.87788861,0.121012397,-0.090089902,0.010267282,148485.7656,331.4151306,1.465521588,1.150694641
15.87788861,0.121166475,-0.090090036,0.012487421,149445.2813,330.9625549,1.474991794,1.149123269
15.87788861,0.121351019,-0.090090059,0.015146541,150434.2656,330.4885864,1.484752851,1.14747762
15.87788861,0.121572547,-0.090090096,0.01833858,151448.125,330.0063171,1.494759418,1.14580315
