Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.89907542,0.114159562,-0.165678322,6.48E-05,86.63357203,4.422745452,144765.3438,1.462956996
15.89907542,0.114169605,-0.165679112,0.000197741,79.77760417,4.407316853,142265.6406,1.437695714
15.89907542,0.114181586,-0.165679932,0.000356328,74.17936547,4.404080017,141436.1563,1.429313183
15.89907542,0.114196248,-0.165681109,0.00055042,70.75094589,4.403444837,141434.3281,1.429294709
15.89907542,0.114213787,-0.16568239,0.000782581,68.65039134,4.40221569,141673.625,1.431712974
15.89907542,0.114235058,-0.165683955,0.001064152,67.03323261,4.403367533,142007.9531,1.435091598
15.89907542,0.114260674,-0.165685788,0.001403221,65.58517679,4.407638921,142424.9219,1.439305365
15.89907542,0.114291556,-0.165688112,0.001812018,64.19722888,4.41702456,142921.8125,1.444326799
15.89907542,0.114328757,-0.165690675,0.002304447,62.82034632,4.432386477,143504.4688,1.450214955
15.89907542,0.114373691,-0.165693998,0.002899248,61.42807816,4.458295097,144175.3281,1.456994468
15.89907542,0.114427984,-0.165698066,0.003617921,60.01693449,4.491343616,144932.1719,1.464642913
15.89907542,0.114493243,-0.16570279,0.004481768,58.59239729,4.534636523,145762.5,1.473033971
15.89907542,0.114571869,-0.165708542,0.005522546,57.17525708,4.588663655,146636.1719,1.481863048
15.89907542,0.114666633,-0.165715516,0.006776944,55.79116382,4.650448883,147517.6875,1.490771392
15.89907542,0.114780694,-0.165723965,0.008286778,54.44018634,4.716568254,148355.0938,1.499233979
15.89907542,0.114917941,-0.165734127,0.010103529,53.11704953,4.793925518,149125.7031,1.507021536
15.89907542,0.115082882,-0.165746391,0.012286866,51.77857474,4.881146802,149802.6719,1.513862788
15.89907542,0.115280919,-0.165761232,0.01490829,50.35563145,4.989790572,150396.2813,1.519861634
15.89907542,0.115518607,-0.165779009,0.018054591,48.8107065,5.121187821,150926.1563,1.525216398
15.89907542,0.115803361,-0.165800452,0.0218239,47.11053337,5.276953606,151421.1563,1.530218726
15.89907542,0.116144069,-0.16582635,0.026333874,45.32499967,5.459744958,151906.5313,1.535123786
15.89907542,0.116551012,-0.1658573,0.031720616,43.637471,5.657053185,152352.125,1.539626829
15.89907542,0.117035955,-0.165894493,0.03813985,42.41253357,5.856091688,152653.9063,1.542676544
15.89907542,0.117612481,-0.16593875,0.045771372,41.82570207,6.039305842,152714.5,1.543288887
15.89907542,0.118295886,-0.165991381,0.05481765,41.65707819,6.216871284,152546.375,1.541589864
15.89907542,0.1191037,-0.166053638,0.065510757,41.62944839,6.391431907,152181.9375,1.537906963
15.89907542,0.120054871,-0.166126639,0.078101479,41.62474881,6.564357111,151679.5625,1.532830105
15.89907542,0.121170029,-0.166212052,0.092862919,41.60528587,6.720374974,151132.2656,1.52729928
15.89907542,0.122469738,-0.166310981,0.110067278,41.54325055,6.851363908,150632.3594,1.522247371
15.89907542,0.123974629,-0.166424915,0.129987627,41.39422249,6.933835902,150264.5313,1.518530206
15.89907542,0.12570402,-0.166555092,0.15287973,41.16311771,6.969455076,150053.7969,1.516400585
15.89907542,0.127674177,-0.166702598,0.178958863,40.83444816,6.942422632,149958.7813,1.515440384
15.89907542,0.129896358,-0.166867852,0.208374038,40.40852994,6.853727296,149909.1875,1.514939204
15.89907542,0.132375434,-0.167050466,0.241189778,39.87822373,6.702018954,149862.5156,1.514467552
15.89907542,0.135106534,-0.167249948,0.277341574,39.27148392,6.503959958,149806.3594,1.513900053
15.89907542,0.138074264,-0.167464852,0.316625655,38.60054452,6.248789282,149733.3281,1.51316202
15.89907542,0.141251281,-0.167693019,0.358680069,37.9032271,5.944288804,149639.7031,1.512215872
15.89907542,0.144598052,-0.167931512,0.40298155,37.21262313,5.5888904,149492.5156,1.510728438
15.89907542,0.148064718,-0.168176606,0.448870093,36.5121983,5.192391892,149325.7656,1.50904331
15.89907542,0.151593611,-0.168424189,0.495582342,35.84879745,4.795977218,149167.5625,1.507444555
15.89907542,0.155123264,-0.168670252,0.542304635,35.16218009,4.3722358,149036.0938,1.506115969
15.89907542,0.158591658,-0.168910235,0.588216066,34.57450144,3.97653006,148920.7813,1.504950654
15.89907542,0.161941603,-0.169140652,0.632559538,34.12397389,3.614050622,148799.1094,1.503721073
15.89907542,0.16512318,-0.16935803,0.674674332,33.79252428,3.263447697,148666.9688,1.502385698
15.89907542,0.168097317,-0.16956012,0.71404326,33.67230121,2.956473006,148526.9375,1.500970582
15.89907542,0.17083624,-0.169744998,0.75029856,33.77954298,2.700715622,148412.0156,1.499809215
15.89907542,0.173324347,-0.169912383,0.783233881,34.06033321,2.493405231,148352.2031,1.499204767
15.89907542,0.175556168,-0.170061871,0.812776625,34.40560259,2.30825065,148355.9531,1.499242663
15.89907542,0.177536026,-0.17019394,0.838984191,34.92766761,2.18091561,148465.7031,1.500351765
15.89907542,0.179274887,-0.170309633,0.862001657,35.818737,2.092733932,148735.1094,1.503074308
15.89907542,0.180788711,-0.170409992,0.882040262,37.08809769,2.006392529,149206.9219,1.507842309
15.89907542,0.182096779,-0.170496628,0.899355233,38.4543148,1.924078955,149669.4375,1.512516359
15.89907542,0.183219507,-0.170570761,0.914216876,39.62276819,1.855859008,149593.3125,1.511747062
15.89907542,0.184177652,-0.170633942,0.92689991,40.63413329,1.809890502,148725.1406,1.502973566
15.89907542,0.18499139,-0.170687497,0.937671423,41.66334472,1.784648099,147309.1875,1.488664351
15.89907542,0.185679659,-0.170732826,0.946782112,42.79086432,1.755015997,145689.3906,1.472295149
15.89907542,0.186259747,-0.170770943,0.9544608,44.07617132,1.710944851,144082.2031,1.456053373
15.89907542,0.186747298,-0.170802906,0.960914552,45.54469589,1.655542836,142593.875,1.441012756
15.89907542,0.187156126,-0.170829788,0.966326237,47.11241015,1.593661434,141284.8438,1.427784063
15.89907542,0.187498078,-0.170852184,0.970852673,48.66396427,1.528349878,140183.7656,1.416656883
15.89907542,0.187783614,-0.170870855,0.974632323,50.1165649,1.462004041,139277.1406,1.407494791
15.89907542,0.188021764,-0.170886487,0.977784753,51.42916016,1.398116155,138533.2188,1.39997693
15.89907542,0.188220173,-0.170899436,0.980411112,52.58458858,1.340071722,137918.2969,1.393762706
15.89907542,0.188385233,-0.170910299,0.98259604,53.58264855,1.287344463,137404.7188,1.388572633
15.89907542,0.188522503,-0.170919344,0.984413087,54.4381945,1.239032091,136971.0625,1.384190228
15.89907542,0.188636526,-0.170926705,0.985922396,55.16584167,1.192106686,136600.3906,1.380444324
15.89907542,0.188731194,-0.170932993,0.987175524,55.78213059,1.146327201,136280.9219,1.377215865
15.89907542,0.188809738,-0.17093806,0.988215208,56.30374998,1.102315293,136004.8125,1.374425583
15.89907542,0.18887496,-0.170942366,0.989078581,56.74515125,1.060669975,135765.375,1.372005896
15.89907542,0.188929051,-0.170945898,0.989794612,57.11821704,1.022291577,135556.9531,1.369899645
15.89907542,0.188973814,-0.170948818,0.990387142,57.43324423,0.987431834,135376.25,1.368073511
15.89907542,0.189010963,-0.170951188,0.99087888,57.69862841,0.956256017,135219.8281,1.366492756
15.89907542,0.189041793,-0.170953289,0.991286993,57.92178194,0.928875303,135084.6719,1.365126906
15.89907542,0.1890672,-0.170954794,0.991623282,58.10907319,0.90530523,134968.7969,1.363955906
15.89907542,0.189088449,-0.170956299,0.991904557,58.2660507,0.884843882,134870.1719,1.36295923
15.89907542,0.189105928,-0.170957461,0.992135942,58.39732948,0.867319527,134784.9531,1.362098034
15.89907542,0.189120412,-0.170958385,0.992327631,58.50685762,0.85248134,134713.1406,1.361372318
15.89907542,0.189132392,-0.170959115,0.992486238,58.5985353,0.839567517,134652.6094,1.360760606
15.89907542,0.189142436,-0.17095989,0.992619157,58.67603402,0.829294025,134600.2813,1.360231793
15.89907542,0.189151496,-0.170960575,0.992739081,58.74953392,0.818493373,134550.1563,1.359725244
15.89907542,0.189161822,-0.170961499,0.992875814,58.83300204,0.806836438,134492.9844,1.359147482
15.89907542,0.189175487,-0.170962572,0.993056655,58.9394412,0.791291644,134418.3281,1.358393027
15.89907542,0.189192906,-0.170963973,0.993287265,59.07706243,0.771470791,134319.5156,1.357394457
15.89907542,0.1892149,-0.170965657,0.993578374,59.25228366,0.745675591,134190.8438,1.356094135
15.89907542,0.189241946,-0.170967802,0.993936419,59.47056065,0.713251221,134023.375,1.354401744
15.89907542,0.189274475,-0.170970216,0.994367003,59.73593876,0.67309709,133808.9375,1.352234701
15.89907542,0.18931216,-0.170972958,0.994865835,60.04923933,0.624783996,133538.7813,1.349504579
15.89907542,0.18935445,-0.170976207,0.995425642,60.40585583,0.56831243,133202.3594,1.346104796
15.89907542,0.189399555,-0.170979336,0.996022701,60.79525986,0.504054569,132789.5781,1.341933347
15.89907542,0.189445764,-0.170982614,0.996634364,61.20110401,0.434835464,132293.3906,1.336919019
15.89907542,0.18949087,-0.170985639,0.997231424,61.60175769,0.363909683,131709.5781,1.331019178
15.89907542,0.189533144,-0.170988441,0.997790992,61.974462,0.294558419,131036.4766,1.324217006
15.89907542,0.189570829,-0.170990929,0.998289883,62.29938881,0.230029558,130275.5469,1.31652727
15.89907542,0.189603359,-0.17099303,0.998720467,62.56437143,0.172419789,129423.7656,1.307919413
15.89907542,0.189630508,-0.170994788,0.999079823,62.76781271,0.124405842,128454.9531,1.298128872
15.89907542,0.189652443,-0.170996085,0.999370217,62.91645342,0.087559587,127259.7344,1.286050334
15.89907542,0.189669892,-0.170997217,0.999601185,63.02279704,0.069416623,125559.6484,1.268869754
15.89907542,0.189683482,-0.170997918,0.999781072,63.1108938,0.083851338,123396.2344,1.247006913
15.89907542,0.189693883,-0.170998305,0.999918759,63.18386595,0.20523177,121810.7266,1.230984226
14.91911341,0.114159562,-0.165678322,6.48E-05,86.84207776,4.422023444,151807.4219,1.534122216
14.91911341,0.114169605,-0.165679112,0.000197741,80.40359463,4.407170193,149346.9688,1.509257583
14.91911341,0.114181586,-0.165679932,0.000356328,75.06594882,4.404216628,148432.0313,1.500011487
14.91911341,0.114196248,-0.165681109,0.00055042,71.74614626,4.404016623,148347.9844,1.499162134
14.91911341,0.114213787,-0.16568239,0.000782581,69.71763993,4.403754995,148526.6406,1.500967582
14.91911341,0.114235058,-0.165683955,0.001064152,68.16139799,4.405723302,148806.7188,1.503797971
14.91911341,0.114260674,-0.165685788,0.001403221,66.7634019,4.411115577,149174.1563,1.507511189
14.91911341,0.114291556,-0.165688112,0.001812018,65.41340303,4.422307794,149627.2031,1.512089551
14.91911341,0.114328757,-0.165690675,0.002304447,64.0614451,4.440351316,150174.3594,1.517618955
14.91911341,0.114373691,-0.165693998,0.002899248,62.68003484,4.470003567,150820.125,1.524144877
14.91911341,0.114427984,-0.165698066,0.003617921,61.26931799,4.507723024,151565.2656,1.531675054
14.91911341,0.114493243,-0.16570279,0.004481768,59.84044935,4.556904363,152397.9531,1.540089955
14.91911341,0.114571869,-0.165708542,0.005522546,58.42277815,4.617172779,153286.7969,1.549072355
14.91911341,0.114666633,-0.165715516,0.006776944,57.05708532,4.685750132,154193.1719,1.55823192
14.91911341,0.114780694,-0.165723965,0.008286778,55.75990592,4.758162071,155055.0313,1.566941623
14.91911341,0.114917941,-0.165734127,0.010103529,54.54286773,4.842320238,155840.8906,1.574883293
14.91911341,0.115082882,-0.165746391,0.012286866,53.36773417,4.936457435,156516.7813,1.581713649
14.91911341,0.115280919,-0.165761232,0.01490829,52.17348848,5.048489374,157078.0156,1.587385323
14.91911341,0.115518607,-0.165779009,0.018054591,50.94814102,5.178387869,157512.2031,1.591773097
14.91911341,0.115803361,-0.165800452,0.0218239,49.70523562,5.324769775,157803.8906,1.594720807
14.91911341,0.116144069,-0.16582635,0.026333874,48.53839838,5.490482598,157959.125,1.596289561
14.91911341,0.116551012,-0.1658573,0.031720616,47.58521549,5.667223422,158004.4688,1.596747792
14.91911341,0.117035955,-0.165894493,0.03813985,46.99220257,5.856151399,157994.3125,1.596645156
14.91911341,0.117612481,-0.16593875,0.045771372,46.730583,6.051900818,157964.7344,1.596346248
14.91911341,0.118295886,-0.165991381,0.05481765,46.63477898,6.261149261,157918.0156,1.595874121
14.91911341,0.1191037,-0.166053638,0.065510757,46.59902136,6.474964263,157799.4219,1.594675647
