Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.89907542,0.120304011,-0.088000029,5.95E-05,127538.4531,335.8988953,1.288866986,1.139369133
15.89907542,0.120313413,-0.088,0.00019496,128987.2969,336.2410278,1.303508585,1.140529647
15.89907542,0.120324641,-0.08799997,0.000356747,131016.125,336.5574341,1.324011339,1.141602897
15.89907542,0.120338298,-0.08799994,0.000553532,132633.6719,336.7296143,1.340357804,1.142186932
15.89907542,0.120354727,-0.088000007,0.000790254,133748.2188,336.8219604,1.351621094,1.14250017
15.89907542,0.120374441,-0.088000007,0.00107432,134642.5313,336.8853455,1.36065876,1.142715172
15.89907542,0.120398328,-0.087999962,0.001418506,135449.4375,336.9358521,1.368813123,1.142886491
15.89907542,0.120427161,-0.087999992,0.001833977,136220.2969,336.9781494,1.376603206,1.143029963
15.89907542,0.120461784,-0.087999985,0.002332864,136980.1094,337.0137329,1.384281653,1.143150663
15.89907542,0.120503664,-0.088000014,0.002936317,137744.2656,337.0433655,1.392003997,1.143251176
15.89907542,0.120554149,-0.088,0.003663767,138520.125,337.0656433,1.399844609,1.143326743
15.89907542,0.120614938,-0.087999992,0.004539692,139310.4219,337.0789795,1.407831122,1.143371979
15.89907542,0.120688297,-0.087999977,0.005596728,140118.8125,337.0809937,1.416000486,1.143378811
15.89907542,0.120776705,-0.088000022,0.006870624,140948.2969,337.0693359,1.424383016,1.143339268
15.89907542,0.120882943,-0.088000022,0.008401426,141802.3281,337.0407104,1.433013611,1.14324217
15.89907542,0.121010661,-0.088,0.010241737,142686.9375,336.9922791,1.441953219,1.143077891
15.89907542,0.121164136,-0.087999955,0.012453181,143608.5781,336.9199524,1.451267055,1.142832559
15.89907542,0.121348351,-0.087999955,0.015107579,144575.3438,336.8179932,1.461036911,1.142486713
15.89907542,0.121569432,-0.087999977,0.018293178,145588.8125,336.6802673,1.471278735,1.142019547
15.89907542,0.121834114,-0.088000014,0.022107031,146643.3125,336.4953613,1.481935209,1.141392346
15.89907542,0.122150846,-0.087999985,0.026670879,147706.7031,336.2533264,1.492681529,1.140571363
15.89907542,0.122528754,-0.087999955,0.032116231,148719.5156,335.9403992,1.502916722,1.139509914
15.89907542,0.122979112,-0.088000014,0.038605526,149567.6719,335.5503235,1.511487945,1.138186777
15.89907542,0.123514049,-0.088000007,0.046313532,150122.1406,335.1014099,1.517091247,1.136664062
15.89907542,0.124147758,-0.087999962,0.05544477,150330.3438,334.6661377,1.519195288,1.135187619
15.89907542,0.124895819,-0.088000037,0.066223718,150273.375,334.317688,1.518619578,1.134005677
15.89907542,0.125775293,-0.088,0.078896232,150056.1563,334.0473633,1.516424428,1.133088736
15.89907542,0.126804456,-0.088000022,0.093725644,149735.2188,333.8043213,1.513181126,1.132264338
15.89907542,0.128002226,-0.088,0.110984549,149356.5469,333.5795288,1.509354377,1.131501841
15.89907542,0.1293872,-0.087999977,0.130940899,149019.5,333.4003601,1.505948278,1.130894101
15.89907542,0.130976409,-0.087999992,0.15384011,148800.8906,333.2866821,1.503739074,1.130508505
15.89907542,0.132784039,-0.088000014,0.179886609,148694.8281,333.2246094,1.502667237,1.130297955
15.89907542,0.134819865,-0.087999985,0.209221229,148647.0469,333.1832886,1.502184373,1.130157794
15.89907542,0.137087017,-0.088000037,0.24188906,148611.5625,333.1482544,1.501825778,1.130038958
15.89907542,0.139580891,-0.087999977,0.277823746,148569.4375,333.1145325,1.501400075,1.129924574
15.89907542,0.142287374,-0.088000014,0.316821992,148517.25,333.0771484,1.500872683,1.129797767
15.89907542,0.145181388,-0.088000022,0.358522415,148445.2969,333.0391541,1.500145546,1.12966889
15.89907542,0.148227617,-0.087999992,0.40241611,148339.5625,332.9977417,1.499077025,1.129528419
15.89907542,0.15138185,-0.088000007,0.447866052,148203.6094,332.9466248,1.497703121,1.129355031
15.89907542,0.154592276,-0.088000014,0.494125694,148063.7031,332.9022522,1.496289269,1.129204519
15.89907542,0.157803953,-0.088000007,0.540403366,147935.5313,332.899353,1.494994001,1.129194685
15.89907542,0.160961241,-0.088000022,0.585897326,147804.4375,332.9632568,1.493669205,1.129411447
15.89907542,0.164012983,-0.087999985,0.629870474,147649.0781,333.1088867,1.492099188,1.129905423
15.89907542,0.166914895,-0.08799997,0.671684682,147468.5,333.3595886,1.490274317,1.130755804
15.89907542,0.169631466,-0.088000014,0.710828304,147295.4375,333.7523193,1.488525397,1.132087947
15.89907542,0.172137752,-0.087999955,0.746941864,147171.1719,334.3007813,1.487269604,1.13394833
15.89907542,0.174419269,-0.087999962,0.779816687,147095.125,334.9902039,1.486501096,1.136286851
15.89907542,0.176470354,-0.08799997,0.809371173,147065,335.835144,1.486196662,1.139152889
15.89907542,0.178294092,-0.088000014,0.835649729,147108.9531,336.9014587,1.48664084,1.142769828
15.89907542,0.179899514,-0.087999985,0.858782589,147194.1563,338.2346191,1.487501878,1.147291909
15.89907542,0.181301191,-0.088000044,0.878979623,147168.125,339.7177734,1.487238814,1.152322769
15.89907542,0.182515398,-0.088000022,0.896475375,146846.8594,341.0954895,1.483992195,1.156995982
15.89907542,0.183560789,-0.087999992,0.911538601,146178.8281,342.1972046,1.477241263,1.160733
15.89907542,0.18445541,-0.08799994,0.924429357,145268.5469,343.0101929,1.468042222,1.163490656
15.89907542,0.185217321,-0.088000014,0.935407877,144259.875,343.5898438,1.457848874,1.165456832
15.89907542,0.185863093,-0.087999992,0.944712937,143265.7188,343.9926453,1.447802216,1.166823135
15.89907542,0.18640849,-0.087999985,0.95257169,142348.0156,344.2653503,1.438528172,1.167748151
15.89907542,0.186867788,-0.088000052,0.959189773,141536.6875,344.4508667,1.430329123,1.168377422
15.89907542,0.187253371,-0.087999992,0.9647457,140826.6719,344.5766907,1.423153909,1.168804217
15.89907542,0.187576562,-0.088000022,0.969402671,140204.2969,344.6631165,1.416864366,1.169097373
15.89907542,0.187846854,-0.087999992,0.973297358,139661.3438,344.7229309,1.411377438,1.169300264
15.89907542,0.188072652,-0.087999977,0.976550877,139185.0469,344.7653809,1.406564118,1.169444254
15.89907542,0.188261017,-0.088000022,0.979265094,138767.75,344.7958069,1.402347036,1.169547459
15.89907542,0.18841809,-0.088000029,0.981528401,138399.9531,344.8173523,1.398630186,1.169620541
15.89907542,0.188548833,-0.088,0.983412266,138075.4375,344.8329163,1.395350725,1.169673334
15.89907542,0.188657612,-0.087999977,0.984979689,137788.875,344.8438721,1.392454806,1.169710496
15.89907542,0.188748032,-0.08799994,0.986282587,137536.0781,344.8516846,1.389900114,1.169736996
15.89907542,0.188823283,-0.087999992,0.987366915,137313.1406,344.8570251,1.387647171,1.169755112
15.89907542,0.188885733,-0.087999985,0.988266766,137116.9531,344.8605957,1.385664557,1.169767223
15.89907542,0.188937783,-0.088000007,0.989016771,136945.2656,344.8629761,1.383929532,1.169775297
15.89907542,0.188980758,-0.087999955,0.989636004,136795.5156,344.8643188,1.382416202,1.169779852
15.89907542,0.189016581,-0.087999955,0.99015218,136665.6094,344.8648376,1.381103406,1.169781612
15.89907542,0.189046308,-0.087999992,0.990580499,136553.4688,344.8651428,1.379970145,1.169782647
15.89907542,0.18907094,-0.088,0.990935445,136456.9844,344.8651123,1.378995102,1.169782543
15.89907542,0.189091474,-0.088000007,0.991231322,136374.7969,344.8648376,1.378164539,1.169781612
15.89907542,0.189108372,-0.088000007,0.991474807,136304.6406,344.8643188,1.37745556,1.169779852
15.89907542,0.189122543,-0.088000022,0.991679013,136244.9219,344.8642273,1.376852059,1.169779541
15.89907542,0.189134255,-0.088000007,0.991847754,136194.6719,344.8637695,1.376344247,1.169777989
15.89907542,0.189143866,-0.087999977,0.991986215,136151.2813,344.8633118,1.375905754,1.169776436
15.89907542,0.189152673,-0.08799997,0.992113113,136109.9063,344.862915,1.37548763,1.16977509
15.89907542,0.18916288,-0.087999977,0.992260218,136062.2031,344.8624878,1.375005556,1.169773641
15.89907542,0.189176187,-0.087999962,0.992451966,136000.6406,344.8616028,1.374383423,1.169770639
15.89907542,0.189193383,-0.087999903,0.992699742,135918.4219,344.8604126,1.373552544,1.169766602
15.89907542,0.189215198,-0.087999985,0.993014097,135811.625,344.8587952,1.372473285,1.169761116
15.89907542,0.189242214,-0.087999985,0.993403375,135673.5938,344.8562927,1.371078381,1.169752627
15.89907542,0.189274788,-0.087999977,0.993872702,135497.9531,344.8522949,1.369303408,1.169739067
15.89907542,0.189312696,-0.088,0.994418919,135278.0469,344.8464661,1.367081098,1.169719295
15.89907542,0.18935518,-0.088000007,0.995031118,135008.9844,344.8380432,1.36436203,1.169690725
15.89907542,0.189400673,-0.088000007,0.995686591,134686.6406,344.8259277,1.361104516,1.169649629
15.89907542,0.189447269,-0.088000007,0.996358037,134309.7813,344.8096619,1.357296084,1.169594455
15.89907542,0.189492777,-0.087999955,0.997013748,133879.1719,344.7883606,1.352944469,1.169522201
15.89907542,0.18953529,-0.088000014,0.997626364,133398.1094,344.761322,1.34808299,1.169430487
15.89907542,0.189573109,-0.08799997,0.99817127,132867.625,344.7276917,1.342722067,1.169316412
