Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.95736377,0.114159636,-0.165678352,6.58E-05,86.46189268,4.419746522,144630.9531,1.461598883
15.95736377,0.11416962,-0.165679127,0.000197938,79.36500819,4.404816545,142407.1094,1.439125357
15.95736377,0.114181668,-0.165680036,0.000357413,73.7168107,4.401233155,141775.9219,1.432746757
15.95736377,0.114196263,-0.165681139,0.000550617,70.30232944,4.398804973,141885.5781,1.433854912
15.95736377,0.114213839,-0.165682435,0.000783271,68.19319536,4.396436107,142207.7344,1.43711053
15.95736377,0.114235051,-0.165683925,0.001064054,66.5548314,4.396186469,142624,1.441317191
15.95736377,0.114260621,-0.165685803,0.001402531,65.0800756,4.399573799,143121.6719,1.44634652
15.95736377,0.114291489,-0.165688023,0.00181113,63.65908533,4.407763139,143701.9375,1.452210518
15.95736377,0.114328772,-0.165690675,0.002304644,62.24570554,4.423096808,144372.9844,1.458991925
15.95736377,0.114373691,-0.165693998,0.002899248,60.81253918,4.448172409,145134.9219,1.466691847
15.95736377,0.114427909,-0.165698022,0.003616934,59.35667277,4.481608601,145986.8438,1.475301124
15.95736377,0.114493206,-0.165702775,0.004481275,57.88493539,4.52605752,146910.2344,1.484632645
15.95736377,0.114571907,-0.165708512,0.005523039,56.41491819,4.58134844,147865.2813,1.494284074
15.95736377,0.114666589,-0.165715531,0.006776352,54.97675623,4.645642244,148809.5938,1.503827025
15.95736377,0.114780717,-0.16572395,0.008287074,53.56718963,4.713867718,149679.6875,1.512619943
15.95736377,0.114917934,-0.165734068,0.010103431,52.18337301,4.792513731,150450.3438,1.520407974
15.95736377,0.11508289,-0.165746406,0.012286965,50.8015027,4.879867169,151097.6875,1.526949844
15.95736377,0.115281023,-0.165761232,0.014909672,49.38424009,4.985099627,151620.9531,1.532237816
15.95736377,0.115518637,-0.165779069,0.018054986,47.91405995,5.10928844,152042.3438,1.536496269
15.95736377,0.115803368,-0.165800527,0.021823999,46.36968637,5.254249827,152391.4219,1.540023952
15.95736377,0.116144054,-0.165826276,0.026333677,44.81571534,5.422421549,152694.2031,1.543083772
15.95736377,0.116551064,-0.165857375,0.031721305,43.41664125,5.60488755,152952.6406,1.545695467
15.95736377,0.117035985,-0.165894419,0.038140245,42.44629547,5.79401365,153132.8438,1.547516549
15.95736377,0.117612541,-0.165938824,0.045772158,41.99020228,5.975222271,153171.1094,1.54790325
15.95736377,0.118295975,-0.165991515,0.054818835,41.85343198,6.155134789,153028.8438,1.546465554
15.95736377,0.119103715,-0.166053653,0.065510951,41.83614567,6.329961988,152662.4531,1.542762916
15.95736377,0.120055057,-0.166126773,0.078103945,41.85807834,6.495112231,152089.125,1.536969027
15.95736377,0.121169992,-0.166211903,0.092862427,41.88459286,6.639519071,151382.2813,1.529825867
15.95736377,0.122469693,-0.166310936,0.110066682,41.87028634,6.763737474,150641.8594,1.522343376
15.95736377,0.123974703,-0.1664249,0.129988626,41.75283934,6.846568592,149993.9063,1.515795347
15.95736377,0.125704035,-0.166555092,0.152879924,41.51894635,6.888930436,149547,1.511279041
15.95736377,0.127674237,-0.166702524,0.178959653,41.15863067,6.871383086,149338.6875,1.509173895
15.95736377,0.129896432,-0.166867614,0.208375022,40.68900535,6.798397689,149307.0313,1.508853986
15.95736377,0.132375479,-0.167050317,0.241190374,40.12164848,6.655161851,149325.9531,1.509045205
15.95736377,0.135106742,-0.167249814,0.277344316,39.47843006,6.452013131,149324.4688,1.509030204
15.95736377,0.138074413,-0.167464823,0.316627622,38.78072531,6.187324656,149302.8906,1.508812142
15.95736377,0.141251445,-0.167693004,0.358682245,38.03758542,5.871133904,149286.6406,1.508647924
15.95736377,0.144598246,-0.167931423,0.402984113,37.2950123,5.515903624,149236.9219,1.508145481
15.95736377,0.148064941,-0.168176502,0.448873043,36.55733552,5.128125189,149157.7188,1.507345077
15.95736377,0.151593894,-0.168424219,0.495586097,35.88272426,4.739957649,149074.7031,1.506506145
15.95736377,0.155123547,-0.168670431,0.54230839,35.20513736,4.320104057,149002.4063,1.505775533
15.95736377,0.15859206,-0.168910354,0.588221371,34.62166674,3.927877857,148927.0313,1.505013815
15.95736377,0.161941916,-0.169140607,0.63256371,34.16974738,3.567990437,148840.3281,1.504137618
15.95736377,0.165123627,-0.169357985,0.674680233,33.85387226,3.219019582,148737.375,1.503097203
15.95736377,0.168097556,-0.169559985,0.714046419,33.80153065,2.914748401,148614.9531,1.501860043
15.95736377,0.170836508,-0.169745058,0.750302136,34.01043656,2.656297181,148511,1.500809523
15.95736377,0.173324376,-0.169912368,0.783234239,34.38677763,2.440716716,148451.9844,1.500213128
15.95736377,0.175556302,-0.170061886,0.812778413,34.7889549,2.246383826,148448.3281,1.500176179
15.95736377,0.177536219,-0.170193925,0.838986754,35.33376013,2.107544195,148558.1406,1.501285912
15.95736377,0.179275081,-0.170309559,0.86200422,36.232836,2.006974116,148854.8438,1.504284309
15.95736377,0.180788934,-0.170410052,0.882043183,37.54018949,1.918960115,149394.7969,1.50974092
15.95736377,0.182096928,-0.170496657,0.8993572,38.94497317,1.841827107,149954.1094,1.515393172
15.95736377,0.183219597,-0.170570731,0.914218068,40.10863788,1.782963093,149971.3281,1.515567179
15.95736377,0.184177637,-0.170633942,0.926899731,41.07385435,1.737066374,149197.2188,1.507744252
15.95736377,0.184991404,-0.170687541,0.937671661,42.05761433,1.694383506,147877.125,1.494403764
15.95736377,0.185679674,-0.170732886,0.946782351,43.17244352,1.660894981,146325.9688,1.478728224
15.95736377,0.186259866,-0.170770913,0.954462349,44.48258032,1.637940468,144770.4531,1.46300863
15.95736377,0.186747372,-0.170802966,0.960915506,45.99183888,1.615358528,143317.2344,1.448322819
15.95736377,0.187156171,-0.170829773,0.966326833,47.58643542,1.58443234,142025.2344,1.435266238
15.95736377,0.187498063,-0.17085214,0.970852494,49.13426428,1.54028111,140929.9063,1.424197166
15.95736377,0.187783629,-0.170870885,0.974632561,50.55784679,1.480285894,140019.3125,1.414994967
15.95736377,0.188021824,-0.170886457,0.977785528,51.82448232,1.408132091,139264.0781,1.407362785
15.95736377,0.188220233,-0.170899436,0.980411887,52.9261505,1.328915679,138632.8125,1.400983396
15.95736377,0.188385278,-0.170910344,0.982596636,53.87547583,1.249550598,138100.2813,1.395601788
15.95736377,0.188522428,-0.170919195,0.984412074,54.68481363,1.172865196,137645.7031,1.391007952
15.95736377,0.188636571,-0.170926765,0.985922992,55.37103881,1.101110283,137254.5,1.387054566
15.95736377,0.188731223,-0.170932978,0.987175941,55.95068874,1.035588032,136915,1.383623676
15.95736377,0.188809797,-0.170938119,0.988216043,56.440356,0.976522516,136619.6563,1.380639017
15.95736377,0.18887496,-0.170942381,0.989078581,56.85363461,0.924322233,136362.3438,1.378038691
15.95736377,0.188929066,-0.170945987,0.989794791,57.20223636,0.878798379,136137.8906,1.375770432
15.95736377,0.188973919,-0.170948848,0.990388513,57.49590708,0.839602853,135942.8125,1.373799029
15.95736377,0.189010993,-0.170951292,0.990879238,57.74271496,0.805955243,135773.6563,1.372089584
15.95736377,0.189041868,-0.170953318,0.991287947,57.94976777,0.777462975,135627.8125,1.370615729
15.95736377,0.189067215,-0.170954928,0.991623461,58.12312608,0.753420404,135502.1875,1.369346199
15.95736377,0.189088315,-0.170956269,0.991902769,58.26834381,0.733051238,135394.6875,1.368259835
15.95736377,0.189106002,-0.170957521,0.992136896,58.38961564,0.716034289,135303.3906,1.367337215
15.95736377,0.189120501,-0.170958459,0.992328823,58.4909016,0.701720078,135225.875,1.366553864
15.95736377,0.189132452,-0.170959175,0.992487013,58.57479016,0.689904656,135159.7656,1.365885782
